Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Серпуховская городская																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																									
																																																																																																																									
		Сумма	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668	УИК №2669	УИК №2670	УИК №2671	УИК №2672	УИК №2673	УИК №2674	УИК №2675	УИК №2676	УИК №2677	УИК №2678	УИК №2679	УИК №2680	УИК №2681	УИК №2682	УИК №2683	УИК №2684	УИК №2685	УИК №2686	УИК №2687	УИК №2688	УИК №2689	УИК №2690	УИК №2691	УИК №2692	УИК №2693	УИК №2694	УИК №2695	УИК №2696	УИК №2697	УИК №2698	УИК №2699	УИК №2700	УИК №2701	УИК №2702	УИК №2703	УИК №5006	УИК №5007	УИК №5051	УИК №5052	УИК №5093	УИК №5094	УИК №5095	УИК №5096	УИК №5097	УИК №5098	УИК №5099	УИК №5100	УИК №5101	УИК №5102	УИК №5103	УИК №5128	УИК №5132	УИК №5135	УИК №5136	УИК №5150	УИК №5170	УИК №5196	УИК №5197	УИК №5198	УИК №5201	УИК №5202	УИК №5203	УИК №5209	УИК №5216	УИК №5217	УИК №5218	УИК №5221	УИК №5237	УИК №5238	УИК №5239	УИК №5240	УИК №5241	УИК №5243	УИК №5297	УИК №5298	УИК №5302	УИК №5308	УИК №5309	УИК №5319	УИК №5320	УИК №5321	УИК №5324	УИК №5331	УИК №5332	УИК №5333	УИК №5334	УИК №5335	УИК №5336	УИК №5337	УИК №5338	УИК №5339	УИК №5358					
		0.51%	0.25%	0.84%	0.15%	0.0%	0.59%	0.25%	0.49%	0.22%	0.48%	0.12%	0.21%	0.66%	0.47%	0.22%	0.21%	0.24%	0.18%	0.41%	0.14%	0.79%	0.23%	0.16%	0.48%	0.23%	0.0%	0.24%	0.30%	0.90%	0.31%	0.26%	0.33%	0.68%	0.44%	0.44%	0.40%	0.52%	0.50%	0.40%	0.43%	0.33%	0.27%	0.54%	0.49%	0.45%	0.55%	0.44%	0.14%	0.79%	0.50%	0.84%	0.74%	1.08%	0.42%	0.27%	1.12%	0.83%	0.53%	0.57%	0.34%	0.90%	1.88%	2.10%	1.42%	5.08%	4.79%	2.22%	1.23%	2.91%	0.90%	0.0%	1.01%	0.0%	1.6%	3.07%	0.55%	0.0%	2.50%	0.0%	1.28%	3.06%	4.65%	0.0%	0.0%	1.16%	1.06%	0.0%	1.65%	5.71%	0.0%	0.14%	0.07%	0.28%	0.20%	0.06%	0.0%	0.0%	3.84%	1.53%	3.33%	0.0%	1.29%	2.23%	2.32%	4.0%	0.70%	0.19%	0.34%	0.45%	0.51%	0.0%	0.0%	1.87%	0.36%	0.0%					
27	"10. ""Аграрная партия России"""	1484	22	16	16	18	15	6	20	21	15	18	14	21	16	26	13	28	18	12	19	15	14	14	35	28	32	23	22	23	27	23	13	24	41	30	20	31	32	21	29	19	25	32	31	19	36	38	36	30	30	32	31	34	22	20	8	9	11	8	6	8	0	3	1	0	1	5	2	1	0	0	2	0	1	0	19	2	8	0	5	0	0	1	1	5	0	0	6	0	0	11	16	16	8	7	1	0	0	3	1	0	4	0	0	2	9	4	1	3	4	3	5	5	1	1					
		1.91%	1.83%	2.71%	2.48%	4.23%	1.78%	1.55%	2.48%	2.36%	2.4%	2.28%	1.52%	2.81%	1.52%	1.93%	2.79%	3.44%	1.66%	1.65%	2.83%	1.48%	1.63%	2.25%	3.42%	3.34%	3.59%	1.90%	1.69%	1.59%	2.09%	2.01%	2.17%	2.35%	2.58%	2.66%	1.60%	2.03%	2.30%	1.68%	2.49%	2.13%	2.32%	2.19%	2.55%	2.15%	3.34%	3.36%	2.66%	2.98%	2.51%	3.01%	3.29%	3.68%	1.87%	1.86%	0.64%	0.75%	2.94%	1.54%	0.68%	1.20%	0.0%	0.63%	0.47%	0.0%	0.68%	3.70%	1.23%	0.72%	0.0%	0.0%	0.50%	0.0%	0.8%	0.0%	1.18%	0.53%	1.82%	0.0%	2.14%	0.0%	0.0%	0.45%	3.84%	1.94%	0.0%	0.0%	1.98%	0.0%	0.0%	0.82%	1.25%	1.13%	0.54%	0.42%	1.66%	0.0%	0.0%	2.30%	1.11%	0.0%	1.29%	0.0%	0.0%	4.0%	0.90%	0.78%	0.34%	0.27%	1.02%	0.85%	3.73%	3.12%	0.36%	0.58%					
28	"11. ""Истинные патриоты России"""	118	0	1	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	1	2	0	0	0	0	0	1	0	2	0	1	0	0	0	3	0	1	0	1	4	4	0	3	2	0	0	2	1	0	0	1	0	1	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	0	1	0	0	0	14	7	10	11	10	0	0	0	0	1	0	0	1	1	0	3	1	0	5	0	3	2	0	1	0					
		0.15%	0.0%	0.16%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.14%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.16%	0.0%	0.06%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.22%	0.0%	0.08%	0.0%	0.0%	0.0%	0.28%	0.0%	0.10%	0.0%	0.09%	0.32%	0.33%	0.0%	0.57%	0.22%	0.0%	0.0%	0.42%	0.47%	0.0%	0.0%	0.74%	0.0%	0.72%	0.0%	0.0%	0.25%	0.0%	0.8%	0.0%	0.12%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	1.04%	0.55%	0.71%	0.74%	0.60%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.55%	1.16%	0.0%	0.30%	0.19%	0.0%	0.45%	0.0%	0.85%	1.49%	0.0%	0.36%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	969	14	8	8	5	15	13	12	5	14	11	9	12	14	12	6	11	14	6	11	8	22	11	17	16	23	15	17	19	20	12	13	23	28	19	15	24	20	13	10	14	18	21	19	11	13	15	17	17	23	20	18	10	20	15	19	11	6	4	8	5	1	5	1	0	0	0	0	0	1	0	2	0	1	0	6	0	10	0	3	0	0	0	0	4	0	0	2	1	0	9	9	5	14	5	0	0	0	0	1	0	4	5	0	0	14	1	1	1	6	1	1	3	1	2					
		1.24%	1.17%	1.35%	1.24%	1.17%	1.78%	3.37%	1.48%	0.56%	2.24%	1.39%	0.97%	1.60%	1.33%	0.89%	1.29%	1.35%	1.29%	0.82%	1.64%	0.79%	2.57%	1.77%	1.66%	1.91%	2.58%	1.24%	1.30%	1.32%	1.55%	1.04%	2.17%	2.25%	1.76%	1.69%	1.20%	1.57%	1.43%	1.04%	0.86%	1.56%	1.67%	1.44%	1.56%	1.24%	1.20%	1.32%	1.25%	1.69%	1.92%	1.88%	1.91%	1.08%	1.70%	1.39%	1.53%	0.92%	1.60%	0.77%	0.91%	0.75%	1.88%	1.05%	0.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.50%	0.0%	0.8%	0.0%	0.37%	0.0%	2.27%	0.0%	1.28%	0.0%	0.0%	0.0%	0.0%	1.55%	0.0%	0.0%	0.66%	2.85%	0.0%	0.67%	0.70%	0.35%	0.94%	0.30%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	1.29%	2.79%	0.0%	0.0%	1.41%	0.19%	0.34%	0.09%	1.53%	0.28%	0.74%	1.87%	0.36%	1.17%					
30	"13. ""Демократическая партия России"""	209	4	0	2	0	6	0	3	4	0	3	4	3	3	1	1	5	1	2	0	5	1	0	5	3	3	3	2	1	2	0	3	1	3	3	4	5	3	5	5	1	1	1	4	1	0	2	0	4	1	1	3	0	1	2	8	4	0	1	1	0	2	0	0	1	1	1	1	0	0	0	2	0	0	0	8	1	9	0	0	1	0	0	0	1	1	0	1	0	0	6	12	5	4	4	0	0	0	0	3	0	1	0	0	0	3	0	0	2	0	3	0	1	0	0					
		0.26%	0.33%	0.0%	0.31%	0.0%	0.71%	0.0%	0.37%	0.45%	0.0%	0.38%	0.43%	0.40%	0.28%	0.07%	0.21%	0.61%	0.09%	0.27%	0.0%	0.49%	0.11%	0.0%	0.48%	0.35%	0.33%	0.24%	0.15%	0.06%	0.15%	0.0%	0.50%	0.09%	0.18%	0.26%	0.32%	0.32%	0.21%	0.40%	0.43%	0.11%	0.09%	0.06%	0.33%	0.11%	0.0%	0.17%	0.0%	0.39%	0.08%	0.09%	0.31%	0.0%	0.08%	0.18%	0.64%	0.33%	0.0%	0.19%	0.11%	0.0%	3.77%	0.0%	0.0%	1.69%	0.68%	0.74%	0.61%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.49%	0.26%	2.05%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.38%	1.06%	0.0%	0.33%	0.0%	0.0%	0.44%	0.94%	0.35%	0.27%	0.24%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.32%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.18%	0.0%	0.85%	0.0%	0.62%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	190	2	0	1	0	2	3	3	3	0	1	2	1	0	0	1	3	5	2	0	3	1	0	4	0	0	2	2	0	0	8	3	0	1	2	1	2	2	1	0	4	0	0	1	0	4	2	2	3	1	3	0	1	2	3	9	3	2	0	3	0	0	1	1	0	0	1	1	0	4	0	0	0	0	1	21	3	2	0	1	0	0	0	0	0	2	0	1	0	0	4	9	4	6	3	0	0	0	0	0	1	0	1	0	0	5	3	2	3	0	3	1	0	1	1					
		0.24%	0.16%	0.0%	0.15%	0.0%	0.23%	0.77%	0.37%	0.33%	0.0%	0.12%	0.21%	0.13%	0.0%	0.0%	0.21%	0.36%	0.46%	0.27%	0.0%	0.29%	0.11%	0.0%	0.39%	0.0%	0.0%	0.16%	0.15%	0.0%	0.0%	0.69%	0.50%	0.0%	0.06%	0.17%	0.08%	0.13%	0.14%	0.08%	0.0%	0.44%	0.0%	0.0%	0.08%	0.0%	0.37%	0.17%	0.14%	0.29%	0.08%	0.28%	0.0%	0.10%	0.17%	0.27%	0.72%	0.25%	0.53%	0.0%	0.34%	0.0%	0.0%	0.21%	0.47%	0.0%	0.0%	0.74%	0.61%	0.0%	1.20%	0.0%	0.0%	0.0%	0.0%	1.53%	1.30%	0.80%	0.45%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.33%	0.0%	0.0%	0.29%	0.70%	0.28%	0.40%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.55%	0.0%	0.0%	0.50%	0.58%	0.68%	0.27%	0.0%	0.85%	0.74%	0.0%	0.36%	0.58%					
32	"15. ""Партия СЛОН"""	101	1	0	1	0	2	0	0	0	1	0	0	0	1	0	0	0	1	1	1	2	2	0	2	1	2	1	1	2	1	2	2	1	0	0	0	1	1	2	1	1	1	2	1	1	3	3	2	0	1	1	2	2	1	1	2	5	1	1	0	2	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	4	0	3	0	0	1	0	0	3	0	0	0	0	1	1	3	4	2	0	0	1	0	0	0	3	1	0	0	2	2	0	0	0	0	0	0	0	0					
		0.13%	0.08%	0.0%	0.15%	0.0%	0.23%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.09%	0.13%	0.14%	0.19%	0.23%	0.0%	0.19%	0.11%	0.22%	0.08%	0.07%	0.13%	0.07%	0.17%	0.33%	0.09%	0.0%	0.0%	0.0%	0.06%	0.07%	0.16%	0.08%	0.11%	0.09%	0.13%	0.08%	0.11%	0.27%	0.26%	0.14%	0.0%	0.08%	0.09%	0.21%	0.21%	0.08%	0.09%	0.16%	0.41%	0.26%	0.19%	0.0%	0.30%	0.0%	0.21%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.8%	0.0%	0.0%	0.0%	0.91%	0.0%	1.28%	0.0%	0.0%	0.45%	0.0%	0.0%	3.19%	0.0%	0.0%	0.0%	0.0%	0.07%	0.07%	0.21%	0.27%	0.12%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.97%	0.55%	0.0%	0.0%	0.20%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	10186	145	82	70	64	124	44	110	127	93	108	132	81	190	331	53	121	145	111	84	89	134	98	199	130	147	183	224	205	226	173	73	168	240	176	207	232	183	239	174	125	190	221	181	135	153	172	255	147	158	155	153	145	240	188	149	183	31	69	24	105	4	82	20	8	14	33	18	23	61	4	58	4	14	5	128	21	48	11	29	9	0	35	4	20	0	1	61	1	2	115	63	56	37	82	5	5	3	20	8	4	45	14	3	0	7	10	15	30	10	7	2	4	15	14					
		13.13%	12.12%	13.89%	10.85%	15.05%	14.76%	11.42%	13.64%	14.31%	14.88%	13.70%	14.36%	10.84%	18.06%	24.57%	11.39%	14.88%	13.38%	15.33%	12.53%	8.81%	15.67%	15.78%	19.49%	15.53%	16.51%	15.17%	17.24%	14.24%	17.51%	15.12%	12.20%	16.50%	15.12%	15.65%	16.59%	15.19%	13.17%	19.18%	14.98%	14.01%	17.64%	15.17%	14.93%	15.32%	14.20%	15.24%	18.88%	14.64%	13.25%	14.58%	16.24%	15.72%	20.44%	17.50%	12.02%	15.31%	8.28%	13.29%	2.74%	15.83%	7.54%	17.29%	9.47%	13.55%	9.58%	24.44%	11.11%	16.78%	18.37%	44.44%	14.64%	16.0%	11.2%	7.69%	7.95%	5.66%	10.93%	11.34%	12.44%	9.18%	0.0%	16.05%	15.38%	7.78%	0.0%	3.33%	20.13%	2.85%	10.0%	8.61%	4.96%	3.98%	2.49%	4.96%	8.33%	25.0%	11.53%	15.38%	8.88%	8.16%	14.61%	7.82%	3.48%	0.0%	0.70%	1.95%	5.17%	2.74%	2.56%	1.98%	1.49%	2.5%	5.45%	8.23%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	151	3	3	1	2	3	1	3	2	1	1	1	2	3	1	0	4	2	1	1	6	1	3	0	1	1	2	1	2	3	4	0	0	0	2	2	2	5	0	3	4	0	3	0	1	4	1	7	0	2	0	0	3	1	4	6	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0	1	0	0	2	0	0	2	1	1	3	5	0	0	0	0	0	0	0	0	0	0	1	3	0	1	1	0	1	0	1	0					
		0.19%	0.25%	0.50%	0.15%	0.47%	0.35%	0.25%	0.37%	0.22%	0.16%	0.12%	0.10%	0.26%	0.28%	0.07%	0.0%	0.49%	0.18%	0.13%	0.14%	0.59%	0.11%	0.48%	0.0%	0.11%	0.11%	0.16%	0.07%	0.13%	0.23%	0.34%	0.0%	0.0%	0.0%	0.17%	0.16%	0.13%	0.35%	0.0%	0.25%	0.44%	0.0%	0.20%	0.0%	0.11%	0.37%	0.08%	0.51%	0.0%	0.16%	0.0%	0.0%	0.32%	0.08%	0.37%	0.48%	0.25%	0.26%	0.19%	0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.66%	0.0%	0.0%	0.14%	0.07%	0.07%	0.20%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.58%	0.0%	0.09%	0.25%	0.0%	0.74%	0.0%	0.36%	0.0%					
35	"18. ""ЛДПР"""	7653	141	70	67	42	80	45	93	87	57	74	95	84	97	65	47	78	112	96	50	192	84	39	59	63	79	107	98	136	150	95	67	96	137	88	101	143	117	104	111	83	116	148	146	82	97	108	120	104	122	107	69	82	122	105	188	213	46	20	75	30	3	30	14	2	17	3	10	6	15	0	49	0	4	2	218	39	12	11	4	3	2	8	1	92	1	0	18	0	1	85	65	187	246	103	6	4	0	2	6	0	21	11	6	6	147	42	32	133	73	44	23	30	45	42					
		9.86%	11.78%	11.86%	10.38%	9.88%	9.52%	11.68%	11.53%	9.80%	9.12%	9.39%	10.33%	11.24%	9.22%	4.82%	10.10%	9.59%	10.34%	13.25%	7.46%	19.00%	9.82%	6.28%	5.77%	7.52%	8.87%	8.87%	7.54%	9.45%	11.62%	8.30%	11.20%	9.43%	8.63%	7.82%	8.09%	9.36%	8.42%	8.34%	9.56%	9.30%	10.77%	10.16%	12.04%	9.30%	9.00%	9.57%	8.88%	10.35%	10.23%	10.06%	7.32%	8.89%	10.39%	9.77%	15.17%	17.82%	12.29%	3.85%	8.59%	4.52%	5.66%	6.32%	6.63%	3.38%	11.64%	2.22%	6.17%	4.37%	4.51%	0.0%	12.37%	0.0%	3.2%	3.07%	13.54%	10.51%	2.73%	11.34%	1.71%	3.06%	2.32%	3.66%	3.84%	35.79%	1.06%	0.0%	5.94%	0.0%	5.0%	6.36%	5.11%	13.30%	16.61%	6.23%	10.0%	20.0%	0.0%	1.53%	6.66%	0.0%	6.81%	6.14%	6.97%	12.0%	14.83%	8.21%	11.03%	12.17%	18.71%	12.5%	17.16%	18.75%	16.36%	24.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1356	28	14	19	6	14	17	11	10	20	10	25	16	28	8	8	7	14	13	9	7	11	7	22	18	14	20	21	31	25	17	15	12	27	23	25	24	16	26	12	14	24	18	20	20	23	28	11	13	23	21	24	14	17	17	24	20	11	8	9	4	0	8	3	2	4	0	3	0	4	0	3	0	0	0	35	4	16	3	3	0	0	1	1	4	3	2	7	1	0	52	32	20	11	13	2	0	1	2	1	1	5	2	0	1	7	8	8	49	9	2	4	3	1	2					
		1.74%	2.34%	2.37%	2.94%	1.41%	1.66%	4.41%	1.36%	1.12%	3.2%	1.26%	2.72%	2.14%	2.66%	0.59%	1.72%	0.86%	1.29%	1.79%	1.34%	0.69%	1.28%	1.12%	2.15%	2.15%	1.57%	1.65%	1.61%	2.15%	1.93%	1.48%	2.50%	1.17%	1.70%	2.04%	2.00%	1.57%	1.15%	2.08%	1.03%	1.56%	2.22%	1.23%	1.65%	2.27%	2.13%	2.48%	0.81%	1.29%	1.92%	1.97%	2.54%	1.51%	1.44%	1.58%	1.93%	1.67%	2.94%	1.54%	1.03%	0.60%	0.0%	1.68%	1.42%	3.38%	2.73%	0.0%	1.85%	0.0%	1.20%	0.0%	0.75%	0.0%	0.0%	0.0%	2.17%	1.07%	3.64%	3.09%	1.28%	0.0%	0.0%	0.45%	3.84%	1.55%	3.19%	6.66%	2.31%	2.85%	0.0%	3.89%	2.51%	1.42%	0.74%	0.78%	3.33%	0.0%	3.84%	1.53%	1.11%	2.04%	1.62%	1.11%	0.0%	2.0%	0.70%	1.56%	2.75%	4.48%	2.30%	0.56%	2.98%	1.87%	0.36%	1.17%					
37	"20. ""Политическая партия ""Единая Россия"""	28502	418	190	223	159	288	126	275	296	192	259	301	278	371	370	168	277	426	267	256	273	272	202	337	288	295	430	469	543	399	375	194	312	514	410	377	494	501	415	409	272	330	476	390	297	350	358	451	357	367	313	284	280	317	326	327	338	99	230	555	230	13	153	59	16	40	47	90	57	107	4	86	0	62	33	736	225	90	32	46	11	46	71	7	56	25	11	105	20	12	567	604	749	735	1185	26	6	12	40	28	25	109	75	33	10	640	334	136	628	189	161	46	71	145	92					
		36.74%	34.94%	32.20%	34.57%	37.41%	34.28%	32.72%	34.11%	33.37%	30.72%	32.86%	32.75%	37.21%	35.26%	27.46%	36.12%	34.07%	39.33%	36.87%	38.20%	27.02%	31.81%	32.52%	33.00%	34.40%	33.14%	35.65%	36.10%	37.73%	30.93%	32.77%	32.44%	30.64%	32.38%	36.47%	30.23%	32.35%	36.06%	33.30%	35.22%	30.49%	30.64%	32.69%	32.17%	33.71%	32.49%	31.73%	33.40%	35.55%	30.78%	29.44%	30.14%	30.36%	27.00%	30.35%	26.39%	28.28%	26.47%	44.31%	63.57%	34.69%	24.52%	32.27%	27.96%	27.11%	27.39%	34.81%	55.55%	41.60%	32.22%	44.44%	21.71%	0.0%	49.6%	50.76%	45.71%	60.64%	20.50%	32.98%	19.74%	11.22%	53.48%	32.56%	26.92%	21.78%	26.59%	36.66%	34.65%	57.14%	60.0%	42.47%	47.55%	53.27%	49.62%	71.73%	43.33%	30.0%	46.15%	30.76%	31.11%	51.02%	35.38%	41.89%	38.37%	20.0%	64.58%	65.36%	46.89%	57.50%	48.46%	45.73%	34.32%	44.37%	52.72%	54.11%					
38	"21. ""Российская Конституционно-демократическая партия"""	161	4	1	2	1	3	0	2	2	2	1	1	2	0	1	0	1	4	2	2	2	1	0	1	2	3	0	1	21	3	1	1	2	1	2	1	2	1	1	3	2	4	0	0	5	1	0	1	0	3	0	0	0	1	1	0	5	2	1	2	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	6	2	3	0	1	0	0	0	0	0	0	0	0	0	0	4	6	8	3	5	0	0	0	0	0	0	1	0	0	0	1	1	0	3	2	1	0	0	1	0					
		0.20%	0.33%	0.16%	0.31%	0.23%	0.35%	0.0%	0.24%	0.22%	0.32%	0.12%	0.10%	0.26%	0.0%	0.07%	0.0%	0.12%	0.36%	0.27%	0.29%	0.19%	0.11%	0.0%	0.09%	0.23%	0.33%	0.0%	0.07%	1.45%	0.23%	0.08%	0.16%	0.19%	0.06%	0.17%	0.08%	0.13%	0.07%	0.08%	0.25%	0.22%	0.37%	0.0%	0.0%	0.56%	0.09%	0.0%	0.07%	0.0%	0.25%	0.0%	0.0%	0.0%	0.08%	0.09%	0.0%	0.41%	0.53%	0.19%	0.22%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.72%	0.60%	0.0%	0.25%	0.0%	0.0%	0.0%	0.37%	0.53%	0.68%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.47%	0.56%	0.20%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.10%	0.19%	0.0%	0.27%	0.51%	0.28%	0.0%	0.0%	0.36%	0.0%					
39	"22. ""Развитие предпринимательства"""	246	6	2	0	0	6	3	6	1	9	5	4	2	3	5	1	1	2	3	3	1	3	3	6	2	1	1	9	6	1	2	1	3	6	3	5	4	3	3	4	5	5	5	0	0	2	0	4	2	3	7	4	0	4	5	8	6	2	2	1	2	0	4	0	0	0	0	0	0	1	0	2	0	1	0	8	1	2	0	1	1	0	0	0	0	0	0	2	0	0	4	5	0	2	2	0	0	0	0	2	0	1	0	5	0	0	0	1	2	0	0	1	0	1	1					
		0.31%	0.50%	0.33%	0.0%	0.0%	0.71%	0.77%	0.74%	0.11%	1.44%	0.63%	0.43%	0.26%	0.28%	0.37%	0.21%	0.12%	0.18%	0.41%	0.44%	0.09%	0.35%	0.48%	0.58%	0.23%	0.11%	0.08%	0.69%	0.41%	0.07%	0.17%	0.16%	0.29%	0.37%	0.26%	0.40%	0.26%	0.21%	0.24%	0.34%	0.56%	0.46%	0.34%	0.0%	0.0%	0.18%	0.0%	0.29%	0.19%	0.25%	0.65%	0.42%	0.0%	0.34%	0.46%	0.64%	0.50%	0.53%	0.38%	0.11%	0.30%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.50%	0.0%	0.8%	0.0%	0.49%	0.26%	0.45%	0.0%	0.42%	1.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.0%	0.29%	0.39%	0.0%	0.13%	0.12%	0.0%	0.0%	0.0%	0.0%	2.22%	0.0%	0.32%	0.0%	5.81%	0.0%	0.0%	0.0%	0.34%	0.18%	0.0%	0.0%	0.74%	0.0%	0.36%	0.58%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9376	141	72	75	49	72	35	88	106	61	120	119	83	118	228	53	110	109	64	76	87	119	80	144	122	131	140	139	144	177	128	79	129	191	162	175	214	171	150	172	130	128	171	98	119	166	146	160	119	179	161	133	123	156	128	119	71	51	84	46	38	3	45	29	12	10	10	13	18	25	0	32	1	11	0	159	17	94	12	21	5	12	25	2	35	18	4	29	1	0	309	280	188	178	141	8	3	1	25	3	4	32	13	5	6	36	38	56	114	33	40	19	9	23	10					
		12.08%	11.78%	12.20%	11.62%	11.52%	8.57%	9.09%	10.91%	11.95%	9.76%	15.22%	12.94%	11.11%	11.21%	16.92%	11.39%	13.53%	10.06%	8.83%	11.34%	8.61%	13.91%	12.88%	14.10%	14.57%	14.71%	11.60%	10.70%	10.00%	13.72%	11.18%	13.21%	12.67%	12.03%	14.41%	14.03%	14.01%	12.31%	12.03%	14.81%	14.57%	11.88%	11.74%	8.08%	13.50%	15.41%	12.94%	11.85%	11.85%	15.01%	15.14%	14.11%	13.34%	13.28%	11.91%	9.60%	5.94%	13.63%	16.18%	5.26%	5.73%	5.66%	9.49%	13.74%	20.33%	6.84%	7.40%	8.02%	13.13%	7.53%	0.0%	8.08%	4.0%	8.8%	0.0%	9.87%	4.58%	21.41%	12.37%	9.01%	5.10%	13.95%	11.46%	7.69%	13.61%	19.14%	13.33%	9.57%	2.85%	0.0%	23.14%	22.04%	13.37%	12.01%	8.53%	13.33%	15.0%	3.84%	19.23%	3.33%	8.16%	10.38%	7.26%	5.81%	12.0%	3.63%	7.43%	19.31%	10.43%	8.46%	11.36%	14.17%	5.62%	8.36%	5.88%					
																																																																																																																									
41	Против всех	4765	91	48	45	15	55	22	57	66	35	40	63	42	51	77	32	43	59	50	44	125	45	25	42	33	49	97	75	63	84	76	29	65	102	57	76	104	117	71	42	56	68	92	106	40	60	62	85	54	89	69	62	58	94	77	168	163	47	5	39	25	11	43	35	4	16	8	3	16	45	1	51	14	4	6	29	4	26	3	11	4	8	13	1	15	11	3	15	0	2	18	5	52	99	30	4	0	3	13	17	8	23	8	7	4	48	27	10	60	12	44	10	18	12	0					
