Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																														
Дата голосования: 07.12.2003 0:00:00																																																																																																																														
																																																																																																																														
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																														
																																																																																																																														
		Сумма	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №188	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №199	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №211	УИК №213	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №237	УИК №238	УИК №240	УИК №241	УИК №242	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №251	УИК №252	УИК №254	УИК №255	УИК №256	УИК №257	УИК №259	УИК №263	УИК №264	УИК №267	УИК №272	УИК №273	УИК №274	УИК №275	УИК №280	УИК №281	УИК №285	УИК №288	УИК №294	УИК №295	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №311	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №330	УИК №333	УИК №336	УИК №337	УИК №338	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №350	УИК №352	УИК №357	УИК №359	УИК №360					
		1.23%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	0.0%	0.0%	4.54%	2.12%	0.0%	5.26%	0.0%	1.66%	0.0%	0.0%	3.44%	0.0%	5.55%	1.14%	4.59%	2.63%	4.0%	0.0%	0.0%	0.0%	0.0%	5.0%	7.31%	0.0%	0.0%	3.52%	1.17%	1.25%	3.70%	0.0%	5.12%	0.0%	2.19%	1.85%	0.0%	0.0%	0.0%	8.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	2.40%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	15.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.81%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	1.81%	0.0%	0.0%	0.0%	0.0%	3.03%					
27	"10. ""Аграрная партия России"""	96	4	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	1	0	0	6	5	0	0	0	0	0	1	1	0	0	0	2	3	0	4	2	1	0	3	1	0	0	0	2	1	1	1	4	1	0	0	1	0	0	0	0	4	2	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	4	1	0	0	1	0	0	2	0	0	1	1	4	3	2	1	4	1	0	0					
		2.19%	14.81%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.0%	0.0%	0.0%	0.0%	1.88%	3.70%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	3.33%	1.92%	3.57%	3.44%	0.0%	0.0%	6.89%	5.74%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	5.0%	0.0%	0.0%	0.0%	2.35%	3.52%	0.0%	4.93%	2.66%	2.56%	0.0%	3.29%	1.85%	0.0%	0.0%	0.0%	8.0%	3.84%	3.44%	4.16%	17.39%	3.22%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	4.39%	2.40%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	4.76%	0.0%	5.0%	4.0%	4.0%	0.0%	3.57%	1.21%	0.0%	2.43%	0.0%	0.0%	0.0%	2.81%	1.19%	0.0%	0.0%	3.84%	0.0%	0.0%	11.11%	0.0%	0.0%	5.55%	3.84%	5.47%	10.71%	3.63%	1.25%	3.41%	3.84%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	1.17%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	3.57%	0.0%	0.0%	0.0%	2.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.35%	2.35%	1.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.19%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	1.17%	0.0%	0.0%	1.33%	0.0%	0.0%	0.0%	1.85%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	2.12%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	109	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	2	1	0	0	0	2	1	0	0	0	0	1	2	1	1	1	0	1	1	1	1	0	6	0	0	5	7	0	2	0	0	1	0	0	0	0	0	4	1	0	6	3	0	0	0	0	0	0	7	0	1	0	1	1	0	0	0	0	0	0	0	0	5	4	18	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		2.49%	0.0%	3.70%	4.0%	0.0%	3.70%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	2.0%	2.04%	0.0%	0.0%	0.0%	7.40%	3.70%	0.0%	0.0%	0.0%	3.03%	3.44%	0.0%	0.0%	0.0%	0.0%	3.22%	6.25%	2.12%	4.54%	2.12%	0.0%	5.26%	6.66%	1.66%	1.92%	0.0%	20.68%	0.0%	0.0%	5.74%	8.04%	0.0%	8.0%	0.0%	0.0%	6.25%	0.0%	0.0%	0.0%	0.0%	0.0%	4.70%	1.17%	0.0%	7.40%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	46.66%	0.0%	3.84%	0.0%	4.16%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.49%	4.81%	94.73%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	12.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.63%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	11	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	2.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	6.25%	0.0%	0.0%	0.0%	0.0%	2.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.06%					
33	"16. ""Родина"" (народно-патриотический союз)"""	102	0	2	0	1	1	0	2	6	1	1	0	0	1	1	1	0	0	2	1	0	0	2	0	0	0	0	2	0	0	1	0	1	2	0	0	1	0	0	0	0	2	2	1	1	2	0	0	1	1	1	0	0	0	1	1	1	0	3	0	1	4	1	1	1	0	0	1	2	0	0	0	2	1	1	0	0	1	0	2	0	0	1	0	1	1	1	1	0	0	0	3	0	0	1	1	3	1	0	3	3	0	0	0	0	1	0	3	0	0	3	0	1	1	0	2	4	1	1	1					
		2.33%	0.0%	7.40%	0.0%	3.70%	3.70%	0.0%	8.33%	22.22%	3.57%	3.70%	0.0%	0.0%	2.04%	1.81%	1.88%	0.0%	0.0%	7.40%	3.44%	0.0%	0.0%	3.03%	0.0%	0.0%	0.0%	0.0%	12.5%	0.0%	0.0%	2.12%	0.0%	2.12%	10.0%	0.0%	0.0%	1.66%	0.0%	0.0%	0.0%	0.0%	11.11%	2.29%	1.14%	2.63%	8.0%	0.0%	0.0%	6.25%	3.84%	5.0%	0.0%	0.0%	0.0%	1.17%	1.17%	1.25%	0.0%	4.0%	0.0%	2.56%	4.39%	1.85%	3.57%	3.57%	0.0%	0.0%	3.84%	6.89%	0.0%	0.0%	0.0%	8.33%	4.54%	4.16%	0.0%	0.0%	3.44%	0.0%	2.19%	0.0%	0.0%	4.54%	0.0%	3.44%	3.57%	5.0%	4.76%	0.0%	0.0%	0.0%	12.0%	0.0%	0.0%	1.21%	3.22%	7.31%	5.26%	0.0%	12.5%	2.11%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	16.66%	0.0%	0.0%	16.66%	0.0%	1.36%	3.57%	0.0%	2.5%	3.41%	3.84%	2.12%	3.03%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1					
		0.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	2.56%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	6.38%	3.03%					
35	"18. ""ЛДПР"""	749	3	4	2	2	0	2	8	1	5	2	1	7	3	3	3	2	5	7	3	5	5	12	1	2	0	4	4	1	11	5	5	8	4	2	3	6	10	1	1	7	0	10	15	7	5	3	5	3	3	1	5	5	7	12	17	10	10	12	18	10	11	13	4	3	0	2	1	5	3	0	5	5	4	1	12	6	4	0	17	8	0	3	1	0	6	4	7	1	4	8	4	0	14	20	8	13	8	11	10	34	3	7	0	2	2	6	2	3	3	0	7	24	8	10	21	58	4	4	7					
		17.13%	11.11%	14.81%	8.0%	7.40%	0.0%	7.14%	33.33%	3.70%	17.85%	7.40%	3.84%	14.0%	6.12%	5.45%	5.66%	3.77%	18.51%	25.92%	10.34%	35.71%	35.71%	18.18%	3.44%	50.0%	0.0%	17.39%	25.0%	3.22%	34.37%	10.63%	22.72%	17.02%	20.0%	10.52%	20.0%	10.0%	19.23%	3.57%	3.44%	41.17%	0.0%	11.49%	17.24%	18.42%	20.0%	10.0%	35.71%	18.75%	11.53%	5.0%	12.19%	17.85%	24.99%	14.11%	20.0%	12.5%	12.34%	16.0%	46.15%	25.64%	12.08%	24.07%	14.28%	10.71%	0.0%	8.0%	3.84%	17.24%	12.5%	0.0%	16.12%	20.83%	18.18%	4.16%	36.36%	23.07%	13.79%	0.0%	18.68%	9.63%	0.0%	13.63%	3.57%	0.0%	21.42%	20.0%	33.33%	5.0%	20.0%	32.0%	16.0%	0.0%	49.99%	24.39%	25.80%	31.70%	42.10%	73.33%	41.66%	23.94%	3.57%	12.49%	0.0%	7.69%	10.52%	30.0%	11.11%	20.0%	15.0%	0.0%	26.92%	32.87%	28.57%	18.18%	26.25%	49.57%	15.38%	8.51%	21.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	1	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	7.14%	1.51%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.92%	3.57%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	2.46%	1.33%	0.0%	2.56%	1.09%	3.70%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	0.0%	5.26%	0.0%	0.0%	2.11%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.25%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1031	11	10	18	7	14	14	2	7	10	4	18	14	25	47	39	37	5	4	7	0	1	11	0	0	0	2	1	4	10	24	1	8	2	1	4	7	11	9	9	5	12	6	8	18	8	15	6	8	0	1	11	2	11	8	12	42	7	11	3	10	2	9	2	4	7	8	2	5	2	0	4	5	0	6	2	4	3	0	13	12	1	7	8	17	6	9	9	15	3	2	3	22	1	27	4	6	3	2	2	27	10	17	4	1	2	7	6	5	5	8	5	4	1	9	32	27	11	10	1					
		23.59%	40.74%	37.03%	72.0%	25.92%	51.85%	49.99%	8.33%	25.92%	35.71%	14.81%	69.23%	28.0%	51.02%	85.45%	73.58%	69.81%	18.51%	14.81%	24.13%	0.0%	7.14%	16.66%	0.0%	0.0%	0.0%	8.69%	6.25%	12.90%	31.25%	51.06%	4.54%	17.02%	10.0%	5.26%	26.66%	11.66%	21.15%	32.14%	31.03%	29.41%	66.66%	6.89%	9.19%	47.36%	32.0%	50.0%	42.85%	50.0%	0.0%	5.0%	26.82%	7.14%	39.28%	9.41%	14.11%	52.5%	8.64%	14.66%	7.69%	25.64%	2.19%	16.66%	7.14%	14.28%	46.66%	32.0%	7.69%	17.24%	8.33%	0.0%	12.90%	20.83%	0.0%	25.0%	6.06%	15.38%	10.34%	0.0%	14.28%	14.45%	5.26%	31.81%	28.57%	58.62%	21.42%	45.0%	42.85%	75.0%	15.0%	8.0%	12.0%	75.86%	3.57%	32.92%	12.90%	14.63%	15.78%	13.33%	8.33%	19.01%	11.90%	30.35%	19.04%	3.84%	10.52%	35.0%	33.33%	33.33%	25.0%	44.44%	19.23%	5.47%	3.57%	16.36%	40.0%	23.07%	42.30%	21.27%	3.03%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	4.87%	0.0%	0.0%	2.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	34	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	2	2	1	0	0	2	7	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.77%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	2.5%	2.46%	1.33%	0.0%	0.0%	2.19%	12.96%	0.0%	3.57%	0.0%	0.0%	0.0%	3.44%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.19%	1.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.21%	0.0%	2.43%	0.0%	0.0%	0.0%	0.70%	0.0%	3.57%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	194	1	0	0	1	0	0	0	1	1	0	0	5	2	0	2	0	1	0	0	0	1	2	0	0	0	2	0	1	6	1	0	9	1	0	0	4	2	1	0	0	1	5	6	0	0	1	0	1	1	0	0	1	3	12	6	1	1	2	6	1	4	3	0	0	0	1	7	1	0	4	3	0	1	1	4	0	1	0	2	8	0	0	0	0	2	0	0	0	1	0	2	0	0	9	0	4	1	0	2	9	1	3	1	3	3	1	1	0	0	1	1	2	3	1	3	3	0	3	2					
		4.43%	3.70%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	3.70%	3.57%	0.0%	0.0%	10.0%	4.08%	0.0%	3.77%	0.0%	3.70%	0.0%	0.0%	0.0%	7.14%	3.03%	0.0%	0.0%	0.0%	8.69%	0.0%	3.22%	18.75%	2.12%	0.0%	19.14%	5.0%	0.0%	0.0%	6.66%	3.84%	3.57%	0.0%	0.0%	5.55%	5.74%	6.89%	0.0%	0.0%	3.33%	0.0%	6.25%	3.84%	0.0%	0.0%	3.57%	10.71%	14.11%	7.05%	1.25%	1.23%	2.66%	15.38%	2.56%	4.39%	5.55%	0.0%	0.0%	0.0%	4.0%	26.92%	3.44%	0.0%	17.39%	9.67%	0.0%	4.54%	4.16%	12.12%	0.0%	3.44%	0.0%	2.19%	9.63%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	5.0%	0.0%	8.0%	0.0%	0.0%	10.97%	0.0%	9.75%	5.26%	0.0%	8.33%	6.33%	1.19%	5.35%	4.76%	11.53%	15.78%	5.0%	5.55%	0.0%	0.0%	5.55%	3.84%	2.73%	10.71%	1.81%	3.75%	2.56%	0.0%	6.38%	6.06%					
																																																																																																																														
41	Против всех	1114	4	7	1	10	6	9	8	7	3	7	4	14	11	1	3	9	8	5	17	5	5	21	23	1	22	11	2	13	3	11	8	10	6	13	7	18	16	6	6	1	0	31	15	6	5	6	3	1	17	8	11	15	4	6	17	14	22	32	8	9	34	9	14	17	1	8	11	7	15	8	11	6	11	4	7	12	14	28	24	30	0	5	6	6	9	3	1	1	7	5	9	2	9	11	6	2	3	1	6	26	7	7	7	9	6	2	3	4	3	3	6	23	4	22	12	14	5	5	11					
