Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																															
Дата голосования: 18.09.2016																																																																																																																															
																																																																																																																															
Наименование Избирательной комиссии:    Стерлитамакская городская																																																																																																																															
																																																																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																															
																																																																																																																															
		Сумма	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №3460	УИК №3461	УИК №3495	УИК №3496									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	292	0	1	0	2	5	0	3	2	9	0	0	1	5	7	2	2	0	9	0	4	2	2	6	1	2	1	1	0	0	3	1	0	5	5	0	0	2	4	0	1	2	0	4	2	1	4	2	6	4	3	1	4	0	3	0	4	0	2	6	3	1	5	0	0	2	7	3	2	2	13	3	2	2	5	1	12	0	3	2	2	2	0	2	2	1	2	2	1	0	2	6	3	4	2	8	12	2	0	9	1	5	2	3	0	5	5	1	0	0	1	0	0	2	1	0	0									
		0.20%	0.00%	0.07%	0.00%	0.11%	0.31%	0.00%	0.21%	0.20%	0.55%	0.00%	0.00%	0.07%	0.61%	0.53%	0.24%	0.12%	0.00%	0.61%	0.00%	0.88%	0.14%	0.13%	0.85%	0.06%	0.13%	0.06%	0.08%	0.00%	0.00%	0.21%	0.06%	0.00%	0.41%	0.43%	0.00%	0.00%	0.18%	0.19%	0.00%	0.13%	0.24%	0.00%	0.38%	0.15%	0.10%	0.39%	0.20%	0.55%	0.61%	0.17%	0.20%	0.28%	0.00%	0.20%	0.00%	0.27%	0.00%	0.11%	0.40%	0.20%	0.06%	0.38%	0.00%	0.00%	0.17%	0.56%	0.28%	0.14%	0.21%	0.72%	0.27%	0.12%	0.17%	0.46%	0.09%	0.57%	0.00%	0.16%	0.17%	0.14%	0.12%	0.00%	0.13%	0.11%	0.08%	0.18%	0.24%	0.11%	0.00%	0.13%	0.38%	0.17%	0.32%	0.21%	2.00%	0.68%	0.10%	0.00%	0.50%	0.06%	0.23%	0.27%	0.16%	0.00%	0.75%	0.26%	0.10%	0.00%	0.00%	0.18%	0.00%	0.00%	0.20%	0.14%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	120	0	2	1	2	3	0	2	0	1	2	0	0	0	0	0	4	0	1	0	1	0	1	1	2	3	0	1	0	0	3	3	0	0	0	0	1	2	3	0	1	2	0	0	2	1	0	0	1	0	3	0	1	0	4	0	1	0	0	2	0	2	2	0	0	0	0	2	3	2	0	2	9	1	2	1	1	0	2	0	2	1	2	0	1	1	0	1	0	0	0	2	0	0	2	0	2	2	0	2	2	3	0	2	0	0	4	1	0	0	0	0	0	4	0	0	0									
		0.08%	0.00%	0.14%	0.06%	0.11%	0.19%	0.00%	0.14%	0.00%	0.06%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.07%	0.00%	0.22%	0.00%	0.06%	0.14%	0.13%	0.19%	0.00%	0.08%	0.00%	0.00%	0.21%	0.18%	0.00%	0.00%	0.00%	0.00%	0.08%	0.18%	0.14%	0.00%	0.13%	0.24%	0.00%	0.00%	0.15%	0.10%	0.00%	0.00%	0.09%	0.00%	0.17%	0.00%	0.07%	0.00%	0.27%	0.00%	0.07%	0.00%	0.00%	0.13%	0.00%	0.12%	0.15%	0.00%	0.00%	0.00%	0.00%	0.18%	0.20%	0.21%	0.00%	0.18%	0.53%	0.09%	0.19%	0.09%	0.05%	0.00%	0.11%	0.00%	0.14%	0.06%	0.11%	0.00%	0.05%	0.08%	0.00%	0.12%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.21%	0.00%	0.11%	0.10%	0.00%	0.11%	0.12%	0.14%	0.00%	0.11%	0.00%	0.00%	0.21%	0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	407	12	6	6	2	2	15	3	2	12	2	17	2	0	0	1	5	0	3	26	2	0	1	10	3	8	0	1	6	2	8	2	0	15	2	0	9	9	4	0	1	2	7	3	3	2	0	1	0	9	7	0	4	4	3	6	7	0	4	1	8	3	2	7	6	1	11	3	2	3	8	4	3	1	0	5	1	4	1	3	3	3	6	0	2	1	1	1	1	1	1	3	0	0	5	4	3	3	0	3	3	4	0	4	2	4	5	2	0	0	1	0	1	0	0	1	1									
		0.28%	0.60%	0.42%	0.33%	0.11%	0.12%	2.01%	0.21%	0.20%	0.74%	0.23%	1.16%	0.13%	0.00%	0.00%	0.12%	0.31%	0.00%	0.20%	2.03%	0.44%	0.00%	0.06%	1.41%	0.19%	0.51%	0.00%	0.08%	0.46%	0.24%	0.57%	0.12%	0.00%	1.22%	0.17%	0.00%	0.69%	0.82%	0.19%	0.00%	0.13%	0.24%	0.47%	0.29%	0.23%	0.19%	0.00%	0.10%	0.00%	1.36%	0.40%	0.00%	0.28%	0.36%	0.20%	0.65%	0.47%	0.00%	0.22%	0.07%	0.52%	0.19%	0.15%	0.45%	0.56%	0.09%	0.88%	0.28%	0.14%	0.32%	0.45%	0.37%	0.18%	0.09%	0.00%	0.45%	0.05%	0.32%	0.05%	0.26%	0.21%	0.18%	0.32%	0.00%	0.11%	0.08%	0.09%	0.12%	0.11%	0.09%	0.06%	0.19%	0.00%	0.00%	0.54%	1.00%	0.17%	0.15%	0.00%	0.17%	0.18%	0.19%	0.00%	0.22%	0.28%	0.60%	0.26%	0.19%	0.00%	0.00%	0.18%	0.00%	0.91%	0.00%	0.00%	1.15%	0.80%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	44516	622	438	561	565	496	208	443	317	505	271	454	459	255	457	257	502	451	456	397	47	434	483	57	473	485	513	389	407	251	417	532	508	330	353	261	406	339	641	525	240	258	457	326	409	318	318	311	338	140	541	158	446	364	459	282	465	225	578	462	476	498	406	475	334	364	381	335	454	289	541	339	527	356	333	342	656	384	569	355	441	511	582	467	583	378	340	248	271	362	486	424	537	386	289	83	548	617	601	552	511	668	226	565	218	146	595	319	456	3	35	1	14	312	219	11	37									
		30.51%	31.12%	30.61%	31.06%	31.27%	30.96%	27.92%	30.94%	30.93%	31.04%	31.08%	30.91%	30.97%	30.95%	34.73%	31.00%	31.03%	31.12%	31.02%	31.02%	10.35%	31.43%	31.06%	8.03%	30.11%	31.03%	31.57%	30.99%	30.97%	29.81%	29.79%	31.54%	31.01%	26.94%	30.40%	30.96%	31.04%	31.04%	30.89%	31.01%	30.97%	30.90%	30.98%	30.99%	30.96%	30.34%	30.78%	30.85%	31.04%	21.18%	31.02%	30.92%	31.02%	32.97%	31.03%	30.75%	31.02%	31.03%	31.43%	31.01%	30.99%	30.97%	30.76%	30.74%	30.90%	31.06%	30.50%	30.96%	31.01%	30.98%	30.14%	30.96%	30.98%	31.01%	30.92%	31.09%	30.99%	30.97%	30.99%	31.00%	30.97%	30.69%	30.99%	31.09%	31.01%	31.03%	31.08%	30.06%	31.15%	31.26%	31.05%	26.92%	30.93%	31.03%	31.01%	20.75%	30.87%	30.99%	31.90%	30.82%	31.16%	31.14%	31.00%	31.01%	30.97%	21.95%	30.75%	31.00%	30.92%	33.33%	6.31%	6.67%	12.73%	30.95%	31.24%	12.64%	29.60%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	275	0	2	8	2	1	7	3	0	2	3	13	0	5	0	2	4	0	3	0	2	1	1	2	7	5	2	0	1	0	11	1	0	1	3	0	4	2	3	6	2	2	7	2	2	2	0	3	2	1	5	2	3	0	2	3	9	0	2	6	0	1	2	13	0	1	0	4	4	2	4	5	2	0	0	1	1	5	3	2	3	5	2	2	1	2	1	1	2	0	1	2	0	0	1	0	5	1	0	2	2	3	0	3	0	0	5	2	14	0	0	0	0	3	0	0	0									
		0.19%	0.00%	0.14%	0.44%	0.11%	0.06%	0.94%	0.21%	0.00%	0.12%	0.34%	0.88%	0.00%	0.61%	0.00%	0.24%	0.25%	0.00%	0.20%	0.00%	0.44%	0.07%	0.06%	0.28%	0.45%	0.32%	0.12%	0.00%	0.08%	0.00%	0.79%	0.06%	0.00%	0.08%	0.26%	0.00%	0.31%	0.18%	0.14%	0.35%	0.26%	0.24%	0.47%	0.19%	0.15%	0.19%	0.00%	0.30%	0.18%	0.15%	0.29%	0.39%	0.21%	0.00%	0.14%	0.33%	0.60%	0.00%	0.11%	0.40%	0.00%	0.06%	0.15%	0.84%	0.00%	0.09%	0.00%	0.37%	0.27%	0.21%	0.22%	0.46%	0.12%	0.00%	0.00%	0.09%	0.05%	0.40%	0.16%	0.17%	0.21%	0.30%	0.11%	0.13%	0.05%	0.16%	0.09%	0.12%	0.23%	0.00%	0.06%	0.13%	0.00%	0.00%	0.11%	0.00%	0.28%	0.05%	0.00%	0.11%	0.12%	0.14%	0.00%	0.16%	0.00%	0.00%	0.26%	0.19%	0.95%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12606	180	129	163	161	144	44	130	92	147	75	132	133	74	117	74	146	133	47	115	7	131	143	75	138	141	142	113	118	48	126	114	136	112	104	76	118	98	186	152	70	79	133	95	118	93	93	91	98	14	158	46	129	122	134	82	135	76	123	135	138	145	118	133	96	105	111	97	132	83	145	98	153	104	96	37	190	113	166	101	127	153	169	140	170	109	98	75	79	106	143	13	156	111	84	10	159	179	179	161	148	196	65	161	63	64	173	93	120	1	32	0	3	90	64	2	11									
		8.64%	9.00%	9.01%	9.03%	8.91%	8.99%	5.91%	9.08%	8.98%	9.04%	8.60%	8.99%	8.97%	8.98%	8.89%	8.93%	9.02%	9.18%	3.20%	8.98%	1.54%	9.49%	9.20%	10.56%	8.78%	9.02%	8.74%	9.00%	8.98%	5.70%	9.00%	6.76%	8.30%	9.14%	8.96%	9.02%	9.02%	8.97%	8.96%	8.98%	9.03%	9.46%	9.02%	9.03%	8.93%	8.87%	9.00%	9.03%	8.99%	2.12%	9.06%	9.00%	8.97%	11.05%	9.06%	8.94%	9.01%	10.48%	6.69%	9.06%	8.98%	9.02%	8.94%	8.61%	8.88%	8.96%	8.89%	8.96%	9.02%	8.90%	8.08%	8.95%	8.99%	9.06%	8.91%	3.36%	8.97%	9.11%	9.04%	8.82%	8.92%	9.19%	8.99%	9.32%	9.04%	8.95%	8.96%	9.09%	9.08%	9.15%	9.14%	0.83%	8.99%	8.92%	9.01%	2.50%	8.96%	8.99%	9.50%	8.99%	9.02%	9.14%	8.92%	8.84%	8.95%	9.62%	8.94%	9.04%	8.14%	11.11%	5.77%	0.00%	2.73%	8.93%	9.13%	2.30%	8.80%									
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
																																																																																																																															
