Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																									
Дата голосования: 04.12.2011																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																									
																																																																																																																																																									
Сводная таблица результатов выборов																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491					
		33.93%	49.57%	44.44%	64.89%	42.86%	57.06%	58.37%	59.18%	45.25%	27.23%	27.03%	31.74%	23.27%	40.07%	35.86%	44.62%	38.89%	31.35%	27.95%	33.03%	38.68%	26.17%	29.03%	37.82%	81.48%	28.33%	28.69%	34.38%	45.99%	29.24%	29.21%	37.11%	28.28%	27.07%	27.38%	28.31%	30.08%	22.58%	27.42%	23.67%	24.46%	24.80%	35.30%	29.31%	26.32%	34.50%	39.66%	29.93%	27.64%	28.88%	26.60%	34.85%	22.57%	30.13%	28.75%	24.17%	29.01%	25.93%	26.05%	22.53%	30.78%	25.00%	28.76%	25.20%	27.17%	24.83%	28.30%	26.16%	24.44%	27.20%	23.42%	41.38%	37.09%	25.60%	27.11%	33.07%	34.88%	37.50%	100.00%	93.10%	93.10%	93.10%	100.00%	95.00%	82.61%	81.82%	80.00%	83.33%	80.87%	5.88%	44.44%	73.64%	82.76%	100.00%	94.19%	91.67%	96.59%	91.03%	96.05%	54.72%	93.75%	83.33%	28.07%	92.73%	100.00%	100.00%	100.00%	100.00%	96.15%	83.33%	77.78%	18.18%	78.95%	81.25%	83.33%	81.82%	75.00%	54.17%	66.67%	80.95%	63.64%	86.67%	80.00%	100.00%	100.00%	100.00%	100.00%	100.00%	100.00%	0.00%	26.67%	0.00%	0.00%	32.10%	51.85%	37.50%	92.19%	92.73%	12.50%	14.29%	100.00%	100.00%	100.00%	100.00%	25.42%	14.81%	32.26%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	325	4	5	4	0	7	1	0	2	12	2	3	5	0	2	2	2	1	4	12	1	4	8	12	0	4	6	2	1	2	4	1	3	3	3	3	3	6	3	10	9	9	7	1	5	3	5	2	1	9	1	5	6	0	4	4	7	1	2	5	1	5	5	3	1	4	3	6	8	11	7	1	5	3	4	5	8	2	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0					
		0.53%	1.14%	0.88%	0.21%	0.00%	0.38%	0.14%	0.00%	0.76%	1.39%	0.20%	0.32%	0.58%	0.00%	0.51%	0.62%	0.74%	0.11%	0.47%	1.39%	0.17%	0.93%	0.77%	0.99%	0.00%	0.30%	0.72%	0.29%	0.14%	0.35%	0.48%	0.12%	0.52%	0.40%	0.39%	0.43%	0.41%	0.72%	0.49%	1.18%	1.15%	1.05%	0.69%	0.86%	0.57%	0.50%	0.66%	0.33%	0.16%	1.03%	0.13%	0.52%	1.06%	0.00%	0.47%	0.49%	0.65%	0.22%	0.23%	0.53%	0.13%	0.93%	0.74%	0.35%	0.12%	0.44%	0.30%	0.54%	0.77%	1.05%	0.61%	3.45%	0.55%	0.26%	0.59%	0.67%	0.89%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.87%	0.00%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	3.39%	0.00%	0.00%					
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
