Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																			
																																																																																																			
Наименование Избирательной комиссии:    Балашовская																																																																																																			
																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																			
																																																																																																			
		Сумма	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749					
		0.14%	0.0%	0.0%	0.0%	0.13%	0.18%	0.0%	0.10%	0.27%	0.16%	0.23%	0.21%	0.0%	0.22%	0.0%	0.14%	0.0%	0.17%	0.0%	0.0%	0.18%	0.0%	0.15%	0.29%	0.0%	0.09%	0.23%	0.0%	0.0%	0.11%	0.16%	0.0%	0.48%	0.0%	0.12%	0.19%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.22%	0.11%	0.14%	0.0%	0.37%	0.0%	0.18%	0.18%	0.05%	0.35%	0.0%	0.25%	0.5%	0.0%	1.27%	0.15%	0.23%	0.71%	0.15%	0.0%	0.0%	0.90%	0.55%	0.47%	0.0%	0.0%	0.72%	0.26%	0.93%	0.0%	0.39%	0.0%	0.0%	0.30%	0.0%	0.41%	0.54%	0.11%	0.0%	0.32%	0.12%	0.30%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.09%	0.38%					
31	"14. ""Великая Россия - Евразийский Союз"""	95	0	0	2	1	3	2	1	0	0	1	2	0	2	0	0	2	1	0	1	0	3	0	1	2	0	2	1	3	3	0	0	1	3	2	0	1	4	1	1	0	1	1	2	2	0	2	1	4	0	2	1	1	2	0	0	0	0	2	3	1	3	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	2	1	0	3	0	0	3	0	0	1	0	1	4	2					
		0.16%	0.0%	0.0%	0.43%	0.13%	0.55%	0.46%	0.10%	0.0%	0.0%	0.11%	0.21%	0.0%	0.44%	0.0%	0.0%	0.25%	0.08%	0.0%	0.21%	0.0%	0.36%	0.0%	0.14%	0.33%	0.0%	0.15%	0.11%	0.43%	0.33%	0.0%	0.0%	0.16%	0.30%	0.25%	0.0%	0.10%	0.46%	0.11%	0.10%	0.0%	0.13%	0.07%	0.22%	0.14%	0.0%	0.18%	0.06%	0.37%	0.0%	0.11%	0.35%	0.15%	0.51%	0.0%	0.0%	0.0%	0.0%	0.47%	0.71%	0.15%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.39%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.59%	0.0%	0.36%	0.0%	0.0%	1.31%	0.0%	0.0%	0.23%	0.0%	0.16%	0.36%	0.76%					
32	"15. ""Партия СЛОН"""	77	2	0	0	1	1	0	1	2	2	2	1	1	2	1	2	1	0	3	1	2	1	0	2	1	0	0	3	2	1	0	2	0	2	5	1	0	1	0	2	0	0	4	0	2	0	1	4	2	0	2	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0					
		0.13%	0.33%	0.0%	0.0%	0.13%	0.18%	0.0%	0.10%	0.27%	0.32%	0.23%	0.10%	0.16%	0.44%	0.20%	0.29%	0.12%	0.0%	0.34%	0.21%	0.36%	0.12%	0.0%	0.29%	0.16%	0.0%	0.0%	0.35%	0.28%	0.11%	0.0%	0.28%	0.0%	0.20%	0.63%	0.09%	0.0%	0.11%	0.0%	0.21%	0.0%	0.0%	0.29%	0.0%	0.14%	0.0%	0.09%	0.25%	0.18%	0.0%	0.11%	0.0%	0.15%	0.51%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.18%	0.0%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	1.09%	0.11%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4416	36	60	27	59	48	9	77	58	58	83	87	49	28	47	51	61	101	89	67	60	59	45	39	52	80	112	78	41	62	67	83	38	81	77	83	69	78	74	74	56	53	106	66	176	24	117	154	94	114	161	15	36	22	19	0	16	89	10	19	26	20	6	1	20	4	3	3	23	12	7	3	15	8	3	16	2	17	7	76	13	45	65	11	24	7	3	47	17	4	30	69	15					
		7.58%	6.02%	9.28%	5.85%	8.18%	8.93%	2.07%	7.79%	8.08%	9.32%	9.69%	9.37%	7.86%	6.16%	9.77%	7.60%	7.87%	8.63%	10.37%	14.19%	10.98%	7.16%	6.97%	5.79%	8.62%	7.40%	8.70%	9.20%	5.91%	6.98%	11.29%	11.70%	6.13%	8.35%	9.79%	7.95%	7.40%	9.03%	8.17%	7.99%	8.16%	6.96%	7.85%	7.33%	12.96%	5.79%	11.04%	9.87%	8.90%	10.71%	9.62%	5.28%	5.64%	5.69%	4.75%	0.0%	6.77%	6.69%	2.38%	4.52%	4.14%	5.66%	3.61%	0.90%	3.73%	1.88%	1.84%	2.52%	4.15%	3.19%	3.28%	2.54%	2.93%	4.96%	5.45%	2.44%	0.92%	3.56%	3.82%	8.78%	7.73%	7.28%	7.87%	3.39%	4.90%	3.05%	1.91%	8.71%	4.05%	1.27%	4.81%	6.32%	5.76%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	133	4	0	2	0	0	0	1	3	1	0	0	0	1	1	0	2	2	3	1	0	0	1	0	0	3	2	1	2	0	2	2	1	2	1	1	1	0	1	1	1	3	4	2	1	3	2	8	1	1	2	2	1	0	1	0	3	6	2	1	1	1	0	2	0	3	1	1	0	3	1	1	2	1	4	1	0	2	0	2	0	2	2	0	1	0	2	3	0	3	2	4	2					
		0.22%	0.66%	0.0%	0.43%	0.0%	0.0%	0.0%	0.10%	0.41%	0.16%	0.0%	0.0%	0.0%	0.22%	0.20%	0.0%	0.25%	0.17%	0.34%	0.21%	0.0%	0.0%	0.15%	0.0%	0.0%	0.27%	0.15%	0.11%	0.28%	0.0%	0.33%	0.28%	0.16%	0.20%	0.12%	0.09%	0.10%	0.0%	0.11%	0.10%	0.14%	0.39%	0.29%	0.22%	0.07%	0.72%	0.18%	0.51%	0.09%	0.09%	0.11%	0.70%	0.15%	0.0%	0.25%	0.0%	1.27%	0.45%	0.47%	0.23%	0.15%	0.28%	0.0%	1.81%	0.0%	1.41%	0.61%	0.84%	0.0%	0.79%	0.46%	0.84%	0.39%	0.62%	7.27%	0.15%	0.0%	0.41%	0.0%	0.23%	0.0%	0.32%	0.24%	0.0%	0.20%	0.0%	1.27%	0.55%	0.0%	0.95%	0.32%	0.36%	0.76%					
35	"18. ""ЛДПР"""	7028	94	104	65	84	62	26	123	75	74	117	102	45	59	60	81	91	142	108	54	58	67	77	94	65	114	172	109	74	87	84	76	92	109	120	114	96	101	109	92	64	84	175	95	159	60	207	270	117	135	206	23	50	45	42	9	23	200	77	39	61	45	3	6	74	21	8	5	45	54	15	21	61	11	5	81	17	74	21	106	21	90	85	37	66	20	39	52	42	35	73	143	35					
		12.07%	15.71%	16.09%	14.09%	11.65%	11.54%	5.99%	12.44%	10.46%	11.89%	13.66%	10.99%	7.22%	12.99%	12.47%	12.07%	11.74%	12.13%	12.58%	11.44%	10.62%	8.13%	11.93%	13.96%	10.77%	10.54%	13.36%	12.86%	10.67%	9.80%	14.16%	10.71%	14.86%	11.24%	15.26%	10.91%	10.30%	11.70%	12.04%	9.93%	9.32%	11.03%	12.96%	10.55%	11.70%	14.49%	19.54%	17.31%	11.09%	12.68%	12.32%	8.09%	7.83%	11.65%	10.5%	21.95%	9.74%	15.03%	18.37%	9.28%	9.71%	12.74%	1.80%	5.45%	13.80%	9.90%	4.90%	4.20%	8.12%	14.36%	7.04%	17.79%	11.93%	6.83%	9.09%	12.38%	7.87%	15.51%	11.47%	12.25%	12.5%	14.56%	10.30%	11.41%	13.49%	8.73%	24.84%	9.64%	10.02%	11.14%	11.71%	13.10%	13.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	829	16	4	3	12	6	3	7	7	6	6	21	11	6	1	11	5	29	9	8	13	13	10	8	6	25	15	7	9	15	4	10	8	18	10	8	10	9	5	12	6	12	28	14	19	4	13	25	15	11	29	7	12	9	1	2	4	24	2	8	10	12	0	0	12	2	4	1	7	2	5	1	11	2	0	16	2	11	2	21	3	4	4	3	7	8	3	10	2	3	7	13	10					
		1.42%	2.67%	0.61%	0.65%	1.66%	1.11%	0.69%	0.70%	0.97%	0.96%	0.70%	2.26%	1.76%	1.32%	0.20%	1.63%	0.64%	2.47%	1.04%	1.69%	2.38%	1.57%	1.55%	1.18%	0.99%	2.31%	1.16%	0.82%	1.29%	1.69%	0.67%	1.41%	1.29%	1.85%	1.27%	0.76%	1.07%	1.04%	0.55%	1.29%	0.87%	1.57%	2.07%	1.55%	1.39%	0.96%	1.22%	1.60%	1.42%	1.03%	1.73%	2.46%	1.88%	2.33%	0.25%	4.87%	1.69%	1.80%	0.47%	1.90%	1.59%	3.39%	0.0%	0.0%	2.23%	0.94%	2.45%	0.84%	1.26%	0.53%	2.34%	0.84%	2.15%	1.24%	0.0%	2.44%	0.92%	2.30%	1.09%	2.42%	1.78%	0.64%	0.48%	0.92%	1.43%	3.49%	1.91%	1.85%	0.47%	0.95%	1.12%	1.19%	3.84%					
37	"20. ""Политическая партия ""Единая Россия"""	18628	191	191	150	236	155	136	263	275	198	265	203	169	132	127	221	254	412	252	134	139	263	241	238	172	335	372	241	215	286	158	220	194	297	227	269	232	257	263	266	189	244	377	242	378	116	344	466	294	265	438	139	135	112	104	10	93	456	163	150	246	167	106	72	167	88	115	58	279	155	107	53	187	50	14	242	135	208	89	353	72	254	309	128	153	77	58	130	234	152	265	255	86					
		32.00%	31.93%	29.56%	32.53%	32.73%	28.86%	31.33%	26.61%	38.35%	31.83%	30.95%	21.87%	27.12%	29.07%	26.40%	32.93%	32.77%	35.21%	29.37%	28.38%	25.45%	31.91%	37.36%	35.36%	28.52%	30.98%	28.90%	28.45%	31.02%	32.24%	26.64%	31.02%	31.34%	30.65%	28.88%	25.76%	24.89%	29.77%	29.06%	28.72%	27.55%	32.06%	27.92%	26.88%	27.83%	28.01%	32.48%	29.89%	27.86%	24.90%	26.19%	48.94%	21.15%	29.01%	26.0%	24.39%	39.40%	34.28%	38.90%	35.71%	39.17%	47.30%	63.85%	65.45%	31.15%	41.50%	70.55%	48.73%	50.36%	41.22%	50.23%	44.91%	36.59%	31.05%	25.45%	37.00%	62.49%	43.60%	48.63%	40.80%	42.85%	41.10%	37.45%	39.50%	31.28%	33.62%	36.94%	24.11%	55.84%	48.40%	42.53%	23.37%	33.07%					
38	"21. ""Российская Конституционно-демократическая партия"""	185	1	0	1	5	2	2	4	4	1	1	3	2	0	5	4	1	7	3	1	2	1	3	3	1	3	3	1	3	4	4	2	1	4	0	6	2	2	0	3	0	4	4	3	4	2	5	4	7	0	3	0	6	1	3	0	0	2	1	2	10	1	0	2	1	0	1	0	1	2	0	0	1	0	0	2	3	0	0	1	0	0	1	0	0	1	0	3	2	0	3	2	2					
		0.31%	0.16%	0.0%	0.21%	0.69%	0.37%	0.46%	0.40%	0.55%	0.16%	0.11%	0.32%	0.32%	0.0%	1.03%	0.59%	0.12%	0.59%	0.34%	0.21%	0.36%	0.12%	0.46%	0.44%	0.16%	0.27%	0.23%	0.11%	0.43%	0.45%	0.67%	0.28%	0.16%	0.41%	0.0%	0.57%	0.21%	0.23%	0.0%	0.32%	0.0%	0.52%	0.29%	0.33%	0.29%	0.48%	0.47%	0.25%	0.66%	0.0%	0.17%	0.0%	0.94%	0.25%	0.75%	0.0%	0.0%	0.15%	0.23%	0.47%	1.59%	0.28%	0.0%	1.81%	0.18%	0.0%	0.61%	0.0%	0.18%	0.53%	0.0%	0.0%	0.19%	0.0%	0.0%	0.30%	1.38%	0.0%	0.0%	0.11%	0.0%	0.0%	0.12%	0.0%	0.0%	0.43%	0.0%	0.55%	0.47%	0.0%	0.48%	0.18%	0.76%					
39	"22. ""Развитие предпринимательства"""	119	2	1	0	2	0	0	4	3	0	1	3	2	1	0	0	1	1	1	0	2	3	0	2	2	1	1	4	5	3	1	0	2	2	1	0	2	2	2	1	0	2	4	0	3	0	1	2	0	3	5	1	0	3	1	0	0	0	0	2	2	1	0	1	4	1	0	0	1	0	0	0	1	0	0	4	0	1	0	2	0	6	2	0	1	0	0	0	1	0	1	4	1					
		0.20%	0.33%	0.15%	0.0%	0.27%	0.0%	0.0%	0.40%	0.41%	0.0%	0.11%	0.32%	0.32%	0.22%	0.0%	0.0%	0.12%	0.08%	0.11%	0.0%	0.36%	0.36%	0.0%	0.29%	0.33%	0.09%	0.07%	0.47%	0.72%	0.33%	0.16%	0.0%	0.32%	0.20%	0.12%	0.0%	0.21%	0.23%	0.22%	0.10%	0.0%	0.26%	0.29%	0.0%	0.22%	0.0%	0.09%	0.12%	0.0%	0.28%	0.29%	0.35%	0.0%	0.77%	0.25%	0.0%	0.0%	0.0%	0.0%	0.47%	0.31%	0.28%	0.0%	0.90%	0.74%	0.47%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.61%	0.0%	0.20%	0.0%	0.23%	0.0%	0.97%	0.24%	0.0%	0.20%	0.0%	0.0%	0.0%	0.23%	0.0%	0.16%	0.36%	0.38%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	12271	103	122	96	154	115	57	264	154	105	199	209	174	91	115	142	182	196	185	74	103	186	150	139	129	265	279	209	162	223	141	154	148	246	172	306	260	191	199	198	165	139	258	204	295	99	95	240	314	291	303	27	246	101	101	5	49	277	90	90	177	56	13	7	94	36	12	30	53	38	49	24	132	54	10	132	13	75	29	54	23	58	188	35	106	54	20	181	22	49	118	303	40					
		21.08%	17.22%	18.88%	20.82%	21.35%	21.41%	13.13%	26.72%	21.47%	16.88%	23.24%	22.52%	27.92%	20.04%	23.90%	21.16%	23.48%	16.75%	21.56%	15.67%	18.86%	22.57%	23.25%	20.65%	21.39%	24.51%	21.67%	24.67%	23.37%	25.14%	23.77%	21.72%	23.90%	25.38%	21.88%	29.31%	27.89%	22.13%	21.98%	21.38%	24.05%	18.26%	19.11%	22.66%	21.72%	23.91%	8.97%	15.39%	29.76%	27.34%	18.12%	9.50%	38.55%	26.16%	25.25%	12.19%	20.76%	20.82%	21.47%	21.42%	28.18%	15.86%	7.83%	6.36%	17.53%	16.98%	7.36%	25.21%	9.56%	10.10%	23.00%	20.33%	25.83%	33.54%	18.18%	20.18%	6.01%	15.72%	15.84%	6.24%	13.69%	9.38%	22.78%	10.80%	21.67%	23.58%	12.73%	33.58%	5.25%	15.60%	18.94%	27.77%	15.38%					
																																																																																																			
41	Против всех	2558	21	18	22	26	23	82	55	29	22	29	36	20	21	13	36	27	45	29	17	18	31	14	25	19	43	59	34	27	25	14	30	27	32	24	50	34	34	32	75	21	34	76	37	47	17	94	133	40	62	84	13	39	12	20	2	10	52	12	30	11	7	11	2	27	4	5	2	14	19	4	0	14	9	0	22	7	16	4	97	7	28	22	11	18	12	7	27	22	15	20	39	2					
		4.39%	3.51%	2.78%	4.77%	3.60%	4.28%	18.89%	5.56%	4.04%	3.53%	3.38%	3.87%	3.21%	4.62%	2.70%	5.36%	3.48%	3.84%	3.37%	3.60%	3.29%	3.76%	2.17%	3.71%	3.15%	3.97%	4.58%	4.01%	3.89%	2.81%	2.36%	4.23%	4.36%	3.30%	3.05%	4.78%	3.64%	3.93%	3.53%	8.09%	3.06%	4.46%	5.62%	4.11%	3.46%	4.10%	8.87%	8.53%	3.79%	5.82%	5.02%	4.57%	6.11%	3.10%	5.0%	4.87%	4.23%	3.90%	2.86%	7.14%	1.75%	1.98%	6.62%	1.81%	5.03%	1.88%	3.06%	1.68%	2.52%	5.05%	1.87%	0.0%	2.73%	5.59%	0.0%	3.36%	3.24%	3.35%	2.18%	11.21%	4.16%	4.53%	2.66%	3.39%	3.68%	5.24%	4.45%	5.00%	5.25%	4.77%	3.21%	3.57%	0.76%					
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
																																																																																																			
