Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Щекинская																																																																																					
																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																					
																																																																																					
		Сумма	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №5088	УИК №5089	УИК №5090	УИК №5091	УИК №5092					
		10.49%	12.64%	13.73%	11.66%	14.22%	12.67%	12.06%	13.25%	10.09%	11.11%	8.41%	6.86%	8.14%	12.08%	12.93%	15.04%	11.53%	12.20%	10.62%	10.80%	13.72%	15.86%	9.13%	12.67%	11.23%	12.92%	8.68%	2.97%	11.84%	12.39%	10.19%	11.18%	0.0%	6.50%	15.46%	3.25%	9.68%	10.73%	12.05%	9.43%	5.71%	10.00%	8.37%	9.63%	18.88%	9.94%	9.89%	11.21%	16.66%	12.26%	13.99%	15.07%	7.42%	5.40%	9.53%	10.77%	7.83%	8.0%	11.0%	8.28%	11.33%	3.78%	6.94%	4.34%	8.44%	7.40%	6.81%	10.82%	12.98%	5.84%	1.58%	6.90%	9.45%	10.95%	1.58%	2.21%	1.43%	2.87%	4.65%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	131	0	2	6	2	3	1	5	3	0	1	0	1	0	2	2	1	1	4	0	6	1	2	5	1	1	1	2	1	3	0	2	0	1	0	1	1	4	4	2	0	3	0	1	2	3	1	0	0	2	3	3	0	0	2	0	1	1	1	7	3	0	2	1	0	2	0	0	0	1	2	4	1	1	1	4	3	4	0					
		0.26%	0.0%	0.13%	0.53%	0.13%	0.21%	0.07%	0.35%	0.21%	0.0%	0.93%	0.0%	0.16%	0.0%	0.27%	0.46%	0.07%	0.08%	0.33%	0.0%	0.69%	0.11%	0.50%	0.41%	0.14%	0.10%	0.23%	0.85%	0.06%	0.21%	0.0%	0.25%	0.0%	0.59%	0.0%	0.25%	0.31%	0.38%	0.32%	0.17%	0.0%	0.27%	0.0%	0.26%	1.39%	1.65%	0.18%	0.0%	0.0%	0.54%	1.02%	0.61%	0.0%	0.0%	0.51%	0.0%	0.13%	0.33%	1.0%	0.82%	0.30%	0.0%	0.63%	0.48%	0.0%	2.46%	0.0%	0.0%	0.0%	0.32%	1.58%	0.55%	0.28%	0.47%	0.10%	0.35%	0.28%	0.52%	0.0%					
35	"18. ""ЛДПР"""	6190	162	215	165	190	199	207	181	190	181	14	34	122	163	110	60	164	143	133	114	105	79	54	152	68	100	56	12	189	166	158	93	0	25	20	92	43	116	142	187	5	158	32	44	10	27	49	46	20	61	43	71	21	9	39	33	61	35	16	146	147	16	35	39	20	15	14	31	13	49	14	130	51	22	16	22	9	17	0					
		12.41%	12.49%	14.41%	14.57%	13.24%	14.32%	15.04%	12.96%	13.79%	15.35%	13.08%	16.66%	19.86%	13.05%	15.29%	13.88%	12.44%	12.46%	11.21%	11.96%	12.11%	9.21%	13.70%	12.59%	9.67%	10.50%	13.14%	5.10%	12.94%	12.10%	14.25%	11.81%	0.0%	14.79%	10.30%	23.0%	13.43%	11.12%	11.56%	16.65%	14.28%	14.37%	16.75%	11.45%	6.99%	14.91%	8.97%	14.74%	16.66%	16.62%	14.67%	14.46%	12.0%	12.16%	10.05%	14.22%	8.24%	11.66%	16.0%	17.27%	15.01%	12.12%	11.04%	18.84%	12.98%	18.51%	10.60%	15.97%	8.44%	15.90%	11.11%	17.95%	14.61%	10.47%	1.68%	1.94%	0.86%	2.22%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	857	22	46	25	23	22	18	32	23	18	0	5	8	17	14	5	18	11	21	10	15	14	7	21	18	20	6	4	25	19	19	16	0	5	1	5	3	35	23	12	0	11	1	0	6	2	27	10	4	8	6	7	6	0	6	3	17	4	1	26	15	3	7	8	4	1	1	8	2	5	1	13	6	4	9	6	7	6	0					
		1.71%	1.69%	3.08%	2.20%	1.60%	1.58%	1.30%	2.29%	1.67%	1.52%	0.0%	2.45%	1.30%	1.36%	1.94%	1.15%	1.36%	0.95%	1.77%	1.04%	1.73%	1.63%	1.77%	1.73%	2.56%	2.10%	1.40%	1.70%	1.71%	1.38%	1.71%	2.03%	0.0%	2.95%	0.51%	1.25%	0.93%	3.35%	1.87%	1.06%	0.0%	1.00%	0.52%	0.0%	4.19%	1.10%	4.94%	3.20%	3.33%	2.17%	2.04%	1.42%	3.42%	0.0%	1.54%	1.29%	2.29%	1.33%	1.0%	3.07%	1.53%	2.27%	2.20%	3.86%	2.59%	1.23%	0.75%	4.12%	1.29%	1.62%	0.79%	1.79%	1.71%	1.90%	0.94%	0.53%	0.67%	0.78%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	15402	390	406	320	464	465	434	411	500	396	34	60	202	419	209	119	447	369	415	304	261	272	119	354	206	284	155	64	481	453	350	252	2	79	69	158	99	367	339	312	10	317	76	134	54	90	175	107	19	103	92	144	81	36	140	92	243	113	29	309	370	55	119	51	44	22	67	57	52	96	47	239	89	61	159	172	167	112	19					
		30.88%	30.06%	27.21%	28.26%	32.35%	33.47%	31.54%	29.44%	36.31%	33.58%	31.77%	29.41%	32.89%	33.54%	29.06%	27.54%	33.91%	32.17%	34.99%	31.89%	30.10%	31.73%	30.20%	29.32%	29.30%	29.83%	36.38%	27.23%	32.94%	33.04%	31.58%	32.02%	40.0%	46.74%	35.56%	39.5%	30.93%	35.18%	27.60%	27.78%	28.57%	28.84%	39.79%	34.89%	37.76%	49.72%	32.05%	34.29%	15.83%	28.06%	31.39%	29.32%	46.28%	48.64%	36.08%	39.65%	32.83%	37.66%	29.0%	36.56%	37.79%	41.66%	37.53%	24.63%	28.57%	27.16%	50.75%	29.38%	33.76%	31.16%	37.30%	33.01%	25.50%	29.04%	16.77%	15.23%	15.99%	14.65%	44.18%					
38	"21. ""Российская Конституционно-демократическая партия"""	95	4	0	3	5	1	0	2	0	3	0	2	0	1	1	0	3	1	3	0	0	1	0	3	6	3	0	2	4	2	3	0	0	1	1	3	0	3	0	3	1	3	0	0	0	0	6	0	0	0	3	0	0	0	0	2	1	0	0	4	2	0	0	0	2	0	0	0	0	0	2	2	0	0	0	2	0	0	1					
		0.19%	0.30%	0.0%	0.26%	0.34%	0.07%	0.0%	0.14%	0.0%	0.25%	0.0%	0.98%	0.0%	0.08%	0.13%	0.0%	0.22%	0.08%	0.25%	0.0%	0.0%	0.11%	0.0%	0.24%	0.85%	0.31%	0.0%	0.85%	0.27%	0.14%	0.27%	0.0%	0.0%	0.59%	0.51%	0.75%	0.0%	0.28%	0.0%	0.26%	2.85%	0.27%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	1.02%	0.0%	0.0%	0.0%	0.0%	0.86%	0.13%	0.0%	0.0%	0.47%	0.20%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.27%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	2.32%					
39	"22. ""Развитие предпринимательства"""	118	2	1	4	1	2	5	4	4	0	1	1	0	1	0	4	4	4	0	4	1	0	0	5	3	4	1	0	4	3	2	2	0	0	0	1	3	3	4	4	0	1	1	1	0	1	1	1	0	1	1	8	0	0	0	1	0	0	1	0	3	0	0	0	0	0	1	0	0	0	0	5	1	0	0	1	2	5	0					
		0.23%	0.15%	0.06%	0.35%	0.06%	0.14%	0.36%	0.28%	0.29%	0.0%	0.93%	0.49%	0.0%	0.08%	0.0%	0.92%	0.30%	0.34%	0.0%	0.41%	0.11%	0.0%	0.0%	0.41%	0.42%	0.42%	0.23%	0.0%	0.27%	0.21%	0.18%	0.25%	0.0%	0.0%	0.0%	0.25%	0.93%	0.28%	0.32%	0.35%	0.0%	0.09%	0.52%	0.26%	0.0%	0.55%	0.18%	0.32%	0.0%	0.27%	0.34%	1.62%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	1.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.0%	0.0%	0.69%	0.28%	0.0%	0.0%	0.08%	0.19%	0.65%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5694	133	147	147	129	142	120	119	132	125	9	22	67	173	96	63	132	145	150	146	103	97	58	179	104	136	54	44	172	130	143	88	1	11	27	40	37	125	247	158	5	215	23	47	19	13	92	26	20	41	32	51	12	10	34	21	139	29	5	63	111	24	50	41	17	4	9	14	21	51	14	95	49	43	20	24	24	30	5					
		11.41%	10.25%	9.85%	12.98%	8.99%	10.22%	8.72%	8.52%	9.58%	10.60%	8.41%	10.78%	10.91%	13.85%	13.35%	14.58%	10.01%	12.64%	12.64%	15.32%	11.88%	11.31%	14.72%	14.83%	14.79%	14.28%	12.67%	18.72%	11.78%	9.48%	12.90%	11.18%	20.0%	6.50%	13.91%	10.0%	11.56%	11.98%	20.11%	14.06%	14.28%	19.56%	12.04%	12.23%	13.28%	7.18%	16.84%	8.33%	16.66%	11.17%	10.92%	10.38%	6.85%	13.51%	8.76%	9.05%	18.78%	9.66%	5.0%	7.45%	11.33%	18.18%	15.77%	19.80%	11.03%	4.93%	6.81%	7.21%	13.63%	16.55%	11.11%	13.12%	14.04%	20.47%	2.10%	2.12%	2.29%	3.92%	11.62%					
																																																																																					
41	Против всех	3215	97	125	90	120	107	108	126	111	62	12	16	39	82	54	35	91	67	83	64	49	39	36	56	40	75	29	13	115	121	72	44	1	9	19	23	27	76	70	105	2	57	9	14	4	6	37	22	11	27	20	25	8	3	22	6	47	20	6	51	65	6	14	11	13	8	6	7	9	23	9	42	31	9	9	10	15	21	2					
		6.44%	7.47%	8.37%	7.95%	8.36%	7.70%	7.84%	9.02%	8.06%	5.25%	11.21%	7.84%	6.35%	6.56%	7.51%	8.10%	6.90%	5.84%	6.99%	6.71%	5.65%	4.55%	9.13%	4.63%	5.68%	7.87%	6.80%	5.53%	7.87%	8.82%	6.49%	5.59%	20.0%	5.32%	9.79%	5.75%	8.43%	7.28%	5.70%	9.34%	5.71%	5.18%	4.71%	3.64%	2.79%	3.31%	6.77%	7.05%	9.16%	7.35%	6.82%	5.09%	4.57%	4.05%	5.67%	2.58%	6.35%	6.66%	6.0%	6.03%	6.63%	4.54%	4.41%	5.31%	8.44%	9.87%	4.54%	3.60%	5.84%	7.46%	7.14%	5.80%	8.88%	4.28%	0.94%	0.88%	1.43%	2.74%	4.65%					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
																																																																																					
