Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																																		
																																																																																																																																		
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																		
																																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																		
																																																																																																																																		
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946	УИК №1947	УИК №1948	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №7101	УИК №7102	УИК №7103	УИК №7105	УИК №7106	УИК №7107	УИК №7108	УИК №7109	УИК №7111	УИК №7113	УИК №7116	УИК №7117	УИК №7118	УИК №7119	УИК №7126	УИК №7127	УИК №7128	УИК №7129	УИК №7130	УИК №7131	УИК №7132	УИК №7133	УИК №7134	УИК №7135	УИК №7136	УИК №7137	УИК №7138	УИК №7139	УИК №7141	УИК №7142	УИК №7143	УИК №7144	УИК №7145	УИК №7146	УИК №7147	УИК №7148	УИК №7149	УИК №7150	УИК №7151	УИК №7152	УИК №7153	УИК №7154	УИК №7155	УИК №7156	УИК №7157	УИК №7158									
		0.85%	0.00%	0.00%	0.32%	0.45%	0.17%	0.00%	0.00%	1.18%	0.86%	1.13%	0.82%	0.83%	1.45%	1.06%	0.00%	1.37%	0.95%	0.39%	2.77%	0.84%	1.16%	0.56%	1.88%	1.13%	1.10%	1.26%	0.40%	0.73%	0.77%	0.00%	0.97%	1.99%	0.69%	0.86%	1.54%	0.53%	0.67%	1.22%	1.17%	0.77%	1.69%	1.15%	1.13%	0.72%	1.93%	0.55%	1.24%	1.27%	1.21%	1.67%	0.69%	0.91%	0.14%	0.82%	1.18%	0.96%	0.47%	2.04%	1.00%	0.50%	0.61%	1.99%	0.78%	0.66%	1.50%	0.88%	0.56%	0.46%	0.87%	0.51%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	594	2	6	11	9	2	0	1	18	17	7	5	7	1	2	0	11	4	7	3	5	11	17	28	5	7	3	1	6	6	3	14	16	9	7	11	9	13	16	8	15	6	2	8	3	6	10	7	14	9	5	3	11	17	4	9	12	7	3	8	6	6	8	6	15	7	26	14	8	11	4	4	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		1.32%	1.00%	1.32%	0.71%	0.57%	0.34%	0.00%	0.50%	2.66%	2.45%	0.99%	0.68%	1.45%	0.36%	1.06%	0.00%	1.68%	0.76%	1.37%	0.76%	1.40%	1.59%	1.58%	2.92%	0.95%	1.54%	0.76%	0.20%	1.09%	1.15%	0.53%	2.26%	2.89%	2.06%	1.51%	2.12%	2.41%	2.18%	2.78%	1.34%	1.93%	0.92%	0.57%	1.81%	0.72%	0.96%	1.83%	1.45%	1.62%	2.18%	1.19%	0.52%	1.67%	2.37%	1.09%	1.52%	1.91%	1.64%	0.77%	1.61%	1.01%	0.92%	1.23%	0.78%	1.97%	0.81%	2.86%	1.58%	1.22%	1.06%	0.68%	0.78%	1.30%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	87	0	1	3	0	1	0	0	1	2	2	1	1	0	0	0	2	1	0	0	1	0	1	2	2	0	1	1	1	0	1	0	1	2	0	3	0	1	2	0	2	1	0	2	0	1	0	0	1	2	1	0	1	0	0	1	0	2	0	2	4	10	2	3	1	1	5	1	2	1	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.19%	0.00%	0.22%	0.19%	0.00%	0.17%	0.00%	0.00%	0.15%	0.29%	0.28%	0.14%	0.21%	0.00%	0.00%	0.00%	0.31%	0.19%	0.00%	0.00%	0.28%	0.00%	0.09%	0.21%	0.38%	0.00%	0.25%	0.20%	0.18%	0.00%	0.18%	0.00%	0.18%	0.46%	0.00%	0.58%	0.00%	0.17%	0.35%	0.00%	0.26%	0.15%	0.00%	0.45%	0.00%	0.16%	0.00%	0.00%	0.12%	0.48%	0.24%	0.00%	0.15%	0.00%	0.00%	0.17%	0.00%	0.47%	0.00%	0.40%	0.67%	1.53%	0.31%	0.39%	0.13%	0.12%	0.55%	0.11%	0.31%	0.10%	0.17%	0.39%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	772	1	2	9	7	5	0	1	19	15	12	10	6	1	1	2	7	9	10	9	4	10	5	35	10	15	12	3	6	9	4	16	11	7	12	19	9	13	21	11	10	6	1	11	3	22	13	14	21	7	12	5	13	20	6	11	21	8	2	9	20	10	10	15	20	15	25	20	11	21	9	7	6	4	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
		1.72%	0.50%	0.44%	0.58%	0.45%	0.84%	0.00%	0.50%	2.81%	2.16%	1.70%	1.36%	1.24%	0.36%	0.53%	1.18%	1.07%	1.70%	1.95%	2.27%	1.12%	1.45%	0.46%	3.65%	1.89%	3.30%	3.02%	0.61%	1.09%	1.73%	0.71%	2.58%	1.99%	1.61%	2.59%	3.65%	2.41%	2.18%	3.65%	1.84%	1.29%	0.92%	0.29%	2.49%	0.72%	3.53%	2.39%	2.90%	2.42%	1.69%	2.86%	0.86%	1.97%	2.79%	1.64%	1.85%	3.35%	1.87%	0.51%	1.81%	3.36%	1.53%	1.53%	1.94%	2.62%	1.73%	2.75%	2.25%	1.68%	2.03%	1.53%	1.37%	1.12%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.70%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6404	19	62	146	156	57	5	46	125	123	23	132	70	48	16	12	122	85	76	61	50	136	120	154	84	86	62	95	80	87	73	70	102	90	88	104	62	91	99	109	90	111	64	61	48	71	82	93	117	88	47	116	63	111	44	77	95	65	41	75	93	117	117	109	134	143	162	138	89	150	91	51	88	44	0	0	2	0	0	0	13	7	0	1	0	2	2	2	3	2	2	5	4	4	3	0	2	2	0	1	0	0	1	1	0	0	0	1	3	0	12	1	1	0	7	2	3	1	2	1									
		14.24%	9.50%	13.66%	9.47%	9.96%	9.56%	5.05%	22.89%	18.46%	17.70%	3.26%	18.01%	14.46%	17.39%	8.51%	7.10%	18.63%	16.07%	14.84%	15.37%	13.97%	19.65%	11.12%	16.06%	15.88%	18.90%	15.62%	19.23%	14.52%	16.70%	13.01%	11.31%	18.44%	20.64%	18.97%	20.00%	16.58%	15.27%	17.22%	18.23%	11.57%	17.02%	18.34%	13.83%	11.51%	11.40%	15.05%	19.29%	13.51%	21.31%	11.19%	20.00%	9.56%	15.50%	12.02%	12.98%	15.15%	15.19%	10.46%	15.06%	15.63%	17.94%	17.92%	14.12%	17.56%	16.51%	17.82%	15.56%	13.59%	14.49%	15.42%	10.00%	16.36%	9.03%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	3.26%	4.90%	0.00%	4.00%	0.00%	9.09%	9.09%	7.69%	3.23%	2.27%	2.20%	5.95%	4.49%	4.44%	3.23%	0.00%	6.90%	2.38%	0.00%	5.00%	0.00%	0.00%	3.45%	3.45%	0.00%	0.00%	0.00%	5.26%	15.00%	0.00%	54.55%	4.55%	4.55%	0.00%	31.82%	9.09%	16.67%	4.35%	6.67%	6.25%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	195	0	0	8	5	1	1	1	3	1	0	2	3	2	0	2	4	1	1	3	4	5	6	8	2	2	1	1	1	0	0	5	6	2	1	3	3	3	4	6	2	2	0	1	1	5	1	5	2	2	3	3	1	3	1	1	4	0	5	3	2	3	6	4	4	4	4	6	2	3	4	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0									
		0.43%	0.00%	0.00%	0.52%	0.32%	0.17%	1.01%	0.50%	0.44%	0.14%	0.00%	0.27%	0.62%	0.72%	0.00%	1.18%	0.61%	0.19%	0.20%	0.76%	1.12%	0.72%	0.56%	0.83%	0.38%	0.44%	0.25%	0.20%	0.18%	0.00%	0.00%	0.81%	1.08%	0.46%	0.22%	0.58%	0.80%	0.50%	0.70%	1.00%	0.26%	0.31%	0.00%	0.23%	0.24%	0.80%	0.18%	1.04%	0.23%	0.48%	0.71%	0.52%	0.15%	0.42%	0.27%	0.17%	0.64%	0.00%	1.28%	0.60%	0.34%	0.46%	0.92%	0.52%	0.52%	0.46%	0.44%	0.68%	0.31%	0.29%	0.68%	0.20%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2832	2	10	32	32	10	7	2	53	63	52	38	43	33	15	4	53	39	43	23	17	46	38	70	34	40	28	44	51	51	48	87	47	41	49	30	31	65	41	51	43	53	25	36	20	26	32	31	55	31	23	32	51	45	25	23	45	18	21	38	12	32	65	49	50	68	64	74	42	58	33	40	38	32	0	0	0	4	0	0	4	2	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	1	0	10	2	1	0	0	0	0	0	7	0									
		6.30%	1.00%	2.20%	2.08%	2.04%	1.68%	7.07%	0.99%	7.83%	9.06%	7.37%	5.18%	8.88%	11.96%	7.98%	2.37%	8.09%	7.37%	8.40%	5.79%	4.75%	6.65%	3.52%	7.30%	6.43%	8.79%	7.05%	8.91%	9.26%	9.79%	8.56%	14.05%	8.50%	9.40%	10.56%	5.77%	8.29%	10.91%	7.13%	8.53%	5.53%	8.13%	7.16%	8.16%	4.80%	4.17%	5.87%	6.43%	6.35%	7.51%	5.48%	5.52%	7.74%	6.28%	6.83%	3.88%	7.18%	4.21%	5.36%	7.63%	2.02%	4.91%	9.95%	6.35%	6.55%	7.85%	7.04%	8.34%	6.41%	5.60%	5.59%	7.84%	7.06%	6.57%	0.00%	0.00%	0.00%	13.33%	0.00%	0.00%	1.00%	1.40%	4.17%	4.00%	0.00%	0.00%	4.55%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	3.45%	3.45%	0.00%	0.00%	0.00%	5.26%	5.00%	0.00%	45.45%	9.09%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	23.33%	0.00%									
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
																																																																																																																																		
