Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																											
																																																																																											
Наименование Избирательной комиссии:    Миасская городская																																																																																											
																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																											
																																																																																											
		Сумма	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №2193					
		0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.46%	0.42%	1.03%	0.22%	0.30%	0.60%	0.84%	0.70%	0.72%	0.66%	0.63%	0.70%	0.95%	0.30%	1.02%	0.55%	0.73%	0.08%	0.18%	0.40%	0.38%	0.34%	0.43%	0.61%	0.18%	0.83%	0.11%	0.68%	0.51%	0.24%	0.25%	0.36%	0.37%	0.15%	0.08%	0.12%	0.12%	0.13%	0.0%	0.10%	0.43%	0.85%	0.17%	0.34%	0.11%	0.11%	0.23%	0.27%	0.0%	0.29%	0.55%	0.27%	0.16%	0.72%	0.08%	0.0%	0.61%	0.0%	0.13%	0.0%	0.85%	0.18%	0.14%	1.15%	0.39%	0.0%	0.39%	0.0%	0.31%	0.25%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.15%	0.40%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5541	21	8	16	7	59	74	134	118	114	79	92	126	111	96	111	97	116	141	148	180	202	123	196	92	73	35	53	66	63	81	63	87	62	51	53	80	59	35	54	56	85	7	65	57	62	86	93	82	87	93	77	82	59	99	34	37	56	94	87	32	83	45	47	20	32	11	8	21	39	41	23	34	32	30	33	24	19	28	36	8	5	2	42	72					
		8.27%	5.52%	3.06%	5.75%	15.90%	7.73%	8.40%	10.46%	10.07%	10.77%	8.81%	9.28%	10.82%	13.40%	9.69%	11.43%	10.78%	10.58%	10.98%	10.84%	13.51%	13.74%	9.79%	13.10%	7.95%	6.73%	4.71%	6.85%	7.60%	5.51%	7.06%	11.66%	8.09%	6.88%	7.01%	9.07%	6.40%	7.48%	6.30%	6.79%	8.45%	7.47%	0.84%	8.31%	7.43%	7.64%	8.82%	6.79%	8.77%	7.61%	7.98%	9.23%	9.18%	6.97%	9.11%	5.47%	10.85%	7.78%	8.48%	7.34%	7.71%	6.84%	11.45%	5.78%	4.34%	4.24%	3.97%	3.40%	3.78%	5.68%	7.86%	4.59%	6.30%	6.32%	7.35%	5.21%	6.06%	6.73%	5.66%	7.27%	2.62%	2.63%	3.44%	6.61%	9.69%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	115	0	1	0	0	0	3	0	1	0	0	2	3	3	1	3	1	3	0	1	1	0	1	1	1	2	0	0	1	2	1	0	2	3	0	0	0	1	3	0	0	1	0	2	2	0	0	1	1	1	4	1	0	1	0	1	0	4	4	0	0	3	1	1	1	4	2	1	1	3	4	4	2	1	1	3	1	3	3	1	2	2	1	4	2					
		0.17%	0.0%	0.38%	0.0%	0.0%	0.0%	0.34%	0.0%	0.08%	0.0%	0.0%	0.20%	0.25%	0.36%	0.10%	0.30%	0.11%	0.27%	0.0%	0.07%	0.07%	0.0%	0.07%	0.06%	0.08%	0.18%	0.0%	0.0%	0.11%	0.17%	0.08%	0.0%	0.18%	0.33%	0.0%	0.0%	0.0%	0.12%	0.54%	0.0%	0.0%	0.08%	0.0%	0.25%	0.26%	0.0%	0.0%	0.07%	0.10%	0.08%	0.34%	0.11%	0.0%	0.11%	0.0%	0.16%	0.0%	0.55%	0.36%	0.0%	0.0%	0.24%	0.25%	0.12%	0.21%	0.53%	0.72%	0.42%	0.18%	0.43%	0.76%	0.79%	0.37%	0.19%	0.24%	0.47%	0.25%	1.06%	0.60%	0.20%	0.65%	1.05%	1.72%	0.62%	0.26%					
35	"18. ""ЛДПР"""	7167	36	43	44	2	99	89	106	90	85	84	95	92	86	88	103	81	99	151	110	108	103	145	128	140	92	76	86	110	127	139	36	130	122	77	51	138	64	59	82	48	93	81	103	98	75	97	170	113	124	137	101	90	109	111	81	50	80	99	137	50	138	30	110	54	84	41	42	69	69	63	51	94	76	41	100	72	45	47	40	46	17	6	79	110					
		10.69%	9.47%	16.47%	15.82%	4.54%	12.97%	10.11%	8.28%	7.68%	8.03%	9.37%	9.58%	7.90%	10.38%	8.88%	10.60%	9.01%	9.03%	11.76%	8.05%	8.10%	7.00%	11.54%	8.55%	12.11%	8.48%	10.24%	11.12%	12.67%	11.11%	12.12%	6.66%	12.09%	13.55%	10.59%	8.73%	11.04%	8.12%	10.63%	10.31%	7.25%	8.17%	9.77%	13.17%	12.77%	9.24%	9.95%	12.41%	12.08%	10.85%	11.75%	12.11%	10.07%	12.88%	10.22%	13.04%	14.66%	11.12%	8.93%	11.57%	12.04%	11.37%	7.63%	13.53%	11.73%	11.15%	14.80%	17.87%	12.43%	10.05%	12.09%	10.17%	17.43%	15.01%	10.04%	15.79%	18.18%	15.95%	9.51%	8.08%	15.08%	8.94%	10.34%	12.44%	14.80%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1465	4	7	7	1	20	21	36	19	10	20	28	29	24	19	29	24	22	21	17	36	34	20	29	14	24	12	15	22	18	22	8	18	27	11	13	40	11	10	17	12	31	25	10	15	11	33	30	17	29	20	19	24	20	26	10	11	18	17	20	9	22	6	18	12	16	5	4	15	15	12	7	11	12	8	5	9	3	52	15	12	0	4	22	14					
		2.18%	1.05%	2.68%	2.51%	2.27%	2.62%	2.38%	2.81%	1.62%	0.94%	2.23%	2.82%	2.49%	2.89%	1.91%	2.98%	2.66%	2.00%	1.63%	1.24%	2.70%	2.31%	1.59%	1.93%	1.21%	2.21%	1.61%	1.94%	2.53%	1.57%	1.91%	1.48%	1.67%	3.0%	1.51%	2.22%	3.20%	1.39%	1.80%	2.13%	1.81%	2.72%	3.01%	1.27%	1.95%	1.35%	3.38%	2.19%	1.81%	2.53%	1.71%	2.27%	2.68%	2.36%	2.39%	1.61%	3.22%	2.50%	1.53%	1.68%	2.16%	1.81%	1.52%	2.21%	2.60%	2.12%	1.80%	1.70%	2.70%	2.18%	2.30%	1.39%	2.04%	2.37%	1.96%	0.78%	2.27%	1.06%	10.52%	3.03%	3.93%	0.0%	6.89%	3.46%	1.88%					
37	"20. ""Политическая партия ""Единая Россия"""	17908	147	113	90	19	249	193	300	285	249	226	248	254	164	242	220	192	296	289	326	322	334	312	364	322	302	162	200	234	267	304	158	315	252	190	137	363	218	153	212	204	330	236	233	192	198	243	425	284	332	354	244	253	207	327	170	100	208	296	294	102	289	96	226	92	213	76	87	137	192	145	160	147	137	109	222	153	88	166	127	90	70	26	197	208					
		26.73%	38.68%	43.29%	32.37%	43.18%	32.63%	21.93%	23.43%	24.33%	23.53%	25.22%	25.02%	21.82%	19.80%	24.44%	22.65%	21.35%	27.00%	22.52%	23.88%	24.17%	22.72%	24.84%	24.33%	27.85%	27.85%	21.83%	25.87%	26.95%	23.35%	26.52%	29.25%	29.30%	28.0%	26.13%	23.45%	29.06%	27.66%	27.56%	26.66%	30.81%	29.02%	28.46%	29.79%	25.03%	24.41%	24.94%	31.04%	30.37%	29.07%	30.38%	29.25%	28.33%	24.46%	30.11%	27.37%	29.32%	28.92%	26.71%	24.83%	24.57%	23.82%	24.42%	27.79%	19.99%	28.28%	27.43%	37.02%	24.68%	27.98%	27.83%	31.93%	27.27%	27.07%	26.71%	35.07%	38.63%	31.20%	33.60%	25.65%	29.50%	36.84%	44.82%	31.02%	27.99%					
38	"21. ""Российская Конституционно-демократическая партия"""	96	1	0	1	0	0	2	1	4	0	0	0	1	0	2	0	1	1	0	2	3	1	2	0	4	2	0	1	2	2	2	2	2	0	0	0	0	1	2	2	1	3	1	3	1	2	3	1	0	0	2	1	1	3	1	1	0	0	0	2	2	2	1	2	1	2	1	0	0	0	0	1	0	2	0	2	1	1	1	0	1	2	1	2	1					
		0.14%	0.26%	0.0%	0.35%	0.0%	0.0%	0.22%	0.07%	0.34%	0.0%	0.0%	0.0%	0.08%	0.0%	0.20%	0.0%	0.11%	0.09%	0.0%	0.14%	0.22%	0.06%	0.15%	0.0%	0.34%	0.18%	0.0%	0.12%	0.23%	0.17%	0.17%	0.37%	0.18%	0.0%	0.0%	0.0%	0.0%	0.12%	0.36%	0.25%	0.15%	0.26%	0.12%	0.38%	0.13%	0.24%	0.30%	0.07%	0.0%	0.0%	0.17%	0.11%	0.11%	0.35%	0.09%	0.16%	0.0%	0.0%	0.0%	0.16%	0.48%	0.16%	0.25%	0.24%	0.21%	0.26%	0.36%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.39%	0.0%	0.31%	0.25%	0.35%	0.20%	0.0%	0.32%	1.05%	1.72%	0.31%	0.13%					
39	"22. ""Развитие предпринимательства"""	202	0	0	0	0	1	3	8	5	4	3	2	2	3	4	2	0	7	3	5	1	1	7	2	5	5	1	3	3	2	2	2	2	2	2	1	7	6	3	3	4	7	5	1	4	2	2	6	0	0	1	6	1	4	3	1	0	0	2	6	1	4	2	1	0	1	1	0	4	5	0	1	0	1	2	3	2	1	1	0	0	0	0	3	2					
		0.30%	0.0%	0.0%	0.0%	0.0%	0.13%	0.34%	0.62%	0.42%	0.37%	0.33%	0.20%	0.17%	0.36%	0.40%	0.20%	0.0%	0.63%	0.23%	0.36%	0.07%	0.06%	0.55%	0.13%	0.43%	0.46%	0.13%	0.38%	0.34%	0.17%	0.17%	0.37%	0.18%	0.22%	0.27%	0.17%	0.56%	0.76%	0.54%	0.37%	0.60%	0.61%	0.60%	0.12%	0.52%	0.24%	0.20%	0.43%	0.0%	0.0%	0.08%	0.71%	0.11%	0.47%	0.27%	0.16%	0.0%	0.0%	0.18%	0.50%	0.24%	0.32%	0.50%	0.12%	0.0%	0.13%	0.36%	0.0%	0.72%	0.72%	0.0%	0.19%	0.0%	0.19%	0.49%	0.47%	0.50%	0.35%	0.20%	0.0%	0.0%	0.0%	0.0%	0.47%	0.26%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	11951	60	34	34	8	107	151	242	201	207	173	163	184	113	154	151	152	176	193	239	197	235	142	231	198	191	155	148	144	265	206	86	182	143	171	113	224	146	82	155	108	225	156	116	130	198	181	188	141	214	191	129	139	157	179	126	46	130	247	256	83	307	85	162	126	193	57	40	127	171	114	108	116	98	115	106	33	31	106	104	48	23	11	30	144					
		17.84%	15.78%	13.02%	12.23%	18.18%	14.02%	17.15%	18.90%	17.16%	19.56%	19.30%	16.44%	15.80%	13.64%	15.55%	15.55%	16.90%	16.05%	15.04%	17.50%	14.78%	15.98%	11.30%	15.44%	17.12%	17.61%	20.88%	19.14%	16.58%	23.18%	17.97%	15.92%	16.93%	15.88%	23.52%	19.34%	17.93%	18.52%	14.77%	19.49%	16.31%	19.78%	18.81%	14.83%	16.94%	24.41%	18.58%	13.73%	15.08%	18.73%	16.39%	15.46%	15.56%	18.55%	16.48%	20.28%	13.48%	18.08%	22.29%	21.62%	20.0%	25.30%	21.62%	19.92%	27.39%	25.63%	20.57%	17.02%	22.88%	24.92%	21.88%	21.55%	21.52%	19.36%	28.18%	16.74%	8.33%	10.99%	21.45%	21.01%	15.73%	12.10%	18.96%	4.72%	19.38%					
																																																																																											
41	Против всех	4243	20	9	12	0	40	49	72	72	77	48	60	92	61	66	78	48	66	61	99	67	95	105	93	78	74	66	39	60	76	73	31	68	82	33	26	88	53	46	43	42	72	40	48	66	49	64	104	61	83	99	60	73	71	66	26	12	48	70	61	19	82	19	47	32	50	15	5	34	33	17	22	14	36	23	24	14	15	26	23	22	18	0	81	31					
		6.33%	5.26%	3.44%	4.31%	0.0%	5.24%	5.56%	5.62%	6.14%	7.27%	5.35%	6.05%	7.90%	7.36%	6.66%	8.03%	5.33%	6.02%	4.75%	7.25%	5.03%	6.46%	8.35%	6.21%	6.74%	6.82%	8.89%	5.04%	6.91%	6.64%	6.36%	5.74%	6.32%	9.11%	4.53%	4.45%	7.04%	6.72%	8.28%	5.40%	6.34%	6.33%	4.82%	6.13%	8.60%	6.04%	6.57%	7.59%	6.52%	7.26%	8.49%	7.19%	8.17%	8.39%	6.07%	4.18%	3.51%	6.67%	6.31%	5.15%	4.57%	6.76%	4.83%	5.78%	6.95%	6.64%	5.41%	2.12%	6.12%	4.81%	3.26%	4.39%	2.59%	7.11%	5.63%	3.79%	3.53%	5.31%	5.26%	4.64%	7.21%	9.47%	0.0%	12.75%	4.17%					
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
																																																																																											
