Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																																																																						
																																																																																																																																																																																						
Наименование Избирательной комиссии:    Находкинская																																																																																																																																																																																						
																																																																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																																																																						
																																																																																																																																																																																						
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1351	УИК №1352	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1432	УИК №1433	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1445	УИК №1446	УИК №1447	УИК №1449	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1491	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1499	УИК №1501	УИК №1502	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	7903	16	111	169	31	117	44	6	21	59	97	97	108	69	37	16	14	110	87	92	65	58	128	73	24	108	96	98	69	83	147	124	87	92	157	110	103	169	137	109	113	138	111	17	171	104	125	71	109	147	142	141	122	95	203	187	168	85	98	163	86	47	83	132	90	135	141	150	150	126	148	80	89	113	124	43	97	70	1	0	1	2	0	3	0	1	1	2	3	0	2	3	2	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	6	2	4	15	4	2	1	3	2	1	17	5	4	5	7	0	0	0	2	3	7	0	3	2	3	0	0	6	0	4	0	2	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	2	1	1	0					
		11.82%	4.21%	17.87%	11.30%	14.22%	9.56%	8.21%	4.23%	8.33%	6.58%	8.97%	9.01%	11.19%	8.93%	8.08%	4.37%	5.24%	10.61%	9.58%	9.52%	10.43%	11.81%	12.05%	10.28%	4.27%	9.59%	10.99%	14.48%	8.46%	13.15%	15.19%	14.06%	13.38%	10.72%	17.33%	14.38%	12.36%	17.42%	19.80%	12.02%	13.95%	14.59%	10.59%	15.89%	17.96%	15.98%	17.66%	9.94%	15.87%	14.77%	14.48%	14.81%	18.32%	11.67%	23.25%	18.05%	15.30%	15.51%	9.53%	14.37%	9.17%	7.90%	10.31%	14.73%	11.42%	13.95%	13.62%	12.92%	13.84%	11.83%	13.33%	13.84%	10.21%	12.18%	14.81%	5.70%	10.49%	6.90%	5.26%	0.00%	5.56%	11.76%	0.00%	15.79%	0.00%	4.35%	4.35%	9.52%	15.79%	0.00%	0.53%	1.10%	2.17%	1.10%	0.00%	0.00%	0.00%	4.17%	0.00%	4.55%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.45%	2.15%	4.76%	18.29%	4.55%	2.25%	1.11%	3.23%	2.15%	1.47%	22.67%	6.94%	6.56%	6.85%	10.00%	0.00%	0.00%	0.00%	4.76%	9.09%	10.29%	0.00%	2.54%	9.52%	11.54%	0.00%	0.00%	35.29%	0.00%	22.22%	0.00%	12.50%	2.94%	0.00%	0.00%	0.00%	31.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	6.90%	3.45%	3.70%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	596	5	0	4	4	17	4	1	3	8	5	5	8	13	2	1	0	9	2	5	7	1	17	5	2	9	6	14	6	6	8	3	8	6	11	12	5	7	2	11	14	9	8	0	16	3	1	3	9	12	7	10	14	5	5	15	9	2	12	11	4	9	10	16	11	7	8	17	5	16	11	2	5	4	15	8	6	17	0	1	0	1	0	0	0	0	0	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0					
		0.89%	1.32%	0.00%	0.27%	1.83%	1.39%	0.75%	0.70%	1.19%	0.89%	0.46%	0.46%	0.83%	1.68%	0.44%	0.27%	0.00%	0.87%	0.22%	0.52%	1.12%	0.20%	1.60%	0.70%	0.36%	0.80%	0.69%	2.07%	0.74%	0.95%	0.83%	0.34%	1.23%	0.70%	1.21%	1.57%	0.60%	0.72%	0.29%	1.21%	1.73%	0.95%	0.76%	0.00%	1.68%	0.46%	0.14%	0.42%	1.31%	1.21%	0.71%	1.05%	2.10%	0.61%	0.57%	1.45%	0.82%	0.36%	1.17%	0.97%	0.43%	1.51%	1.24%	1.79%	1.40%	0.72%	0.77%	1.46%	0.46%	1.50%	0.99%	0.35%	0.57%	0.43%	1.79%	1.06%	0.65%	1.68%	0.00%	5.56%	0.00%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	9.52%	5.26%	6.25%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.67%	0.00%	0.00%	0.00%	2.86%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	6.67%	6.25%	2.94%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.41%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	221	1	1	4	0	1	2	1	1	3	4	2	1	2	1	2	1	2	3	5	2	1	6	5	1	5	0	4	1	1	1	1	0	2	2	5	2	2	0	3	3	7	0	7	3	0	2	3	6	4	3	3	3	2	1	5	5	3	3	5	3	1	7	6	6	2	2	2	5	2	3	2	3	4	1	4	3	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.33%	0.26%	0.16%	0.27%	0.00%	0.08%	0.37%	0.70%	0.40%	0.33%	0.37%	0.19%	0.10%	0.26%	0.22%	0.55%	0.37%	0.19%	0.33%	0.52%	0.32%	0.20%	0.56%	0.70%	0.18%	0.44%	0.00%	0.59%	0.12%	0.16%	0.10%	0.11%	0.00%	0.23%	0.22%	0.65%	0.24%	0.21%	0.00%	0.33%	0.37%	0.74%	0.00%	6.54%	0.32%	0.00%	0.28%	0.42%	0.87%	0.40%	0.31%	0.32%	0.45%	0.25%	0.11%	0.48%	0.46%	0.55%	0.29%	0.44%	0.32%	0.17%	0.87%	0.67%	0.76%	0.21%	0.19%	0.17%	0.46%	0.19%	0.27%	0.35%	0.34%	0.43%	0.12%	0.53%	0.32%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	8.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	1.08%	1.08%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	1.47%	0.00%	0.00%	0.00%	1.37%	1.43%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	9858	75	65	169	31	135	53	13	36	119	162	171	134	123	55	44	44	137	155	177	110	94	164	127	92	182	133	96	109	101	172	126	96	104	126	117	136	137	92	135	112	149	193	17	144	124	102	117	102	152	149	149	104	158	135	152	139	69	162	155	147	98	133	119	121	135	147	177	134	192	211	85	173	123	101	119	135	185	8	4	1	4	2	2	7	5	9	5	4	7	4	2	2	17	1	0	3	0	1	0	0	0	0	0	0	0	0	1	7	3	10	15	2	4	2	3	1	3	16	26	16	26	31	2	0	1	6	7	15	0	1	0	1	1	1	0	6	2	2	6	6	5	3	6	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	6	3	0	0	0	0	0	7	7	0	0	3	5	9	7	14					
		14.74%	19.74%	10.47%	11.30%	14.22%	11.03%	9.89%	9.15%	14.29%	13.28%	14.99%	15.88%	13.89%	15.91%	12.01%	12.02%	16.48%	13.21%	17.07%	18.32%	17.66%	19.14%	15.44%	17.89%	16.37%	16.16%	15.23%	14.18%	13.36%	16.01%	17.77%	14.29%	14.77%	12.12%	13.91%	15.29%	16.33%	14.12%	13.29%	14.88%	13.83%	15.75%	18.42%	15.89%	15.13%	19.05%	14.41%	16.39%	14.85%	15.28%	15.19%	15.65%	15.62%	19.41%	15.46%	14.67%	12.66%	12.59%	15.76%	13.67%	15.67%	16.47%	16.52%	13.28%	15.36%	13.95%	14.20%	15.25%	12.36%	18.03%	19.01%	14.71%	19.84%	13.25%	12.07%	15.76%	14.59%	18.24%	42.11%	22.22%	5.56%	23.53%	10.53%	10.53%	26.92%	21.74%	39.13%	23.81%	21.05%	43.75%	1.06%	0.74%	2.17%	18.68%	3.33%	0.00%	3.61%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	7.53%	3.23%	11.90%	18.29%	2.27%	4.49%	2.22%	3.23%	1.08%	4.41%	21.33%	36.11%	26.23%	35.62%	44.29%	10.00%	0.00%	3.45%	14.29%	21.21%	22.06%	0.00%	0.85%	0.00%	3.85%	3.45%	4.55%	0.00%	40.00%	11.11%	13.33%	37.50%	17.65%	10.00%	13.64%	42.86%	25.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	30.00%	3.90%	0.00%	0.00%	0.00%	0.00%	0.00%	41.18%	46.67%	0.00%	0.00%	13.64%	17.24%	31.03%	25.93%	53.85%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6418	28	38	134	16	113	43	9	8	90	96	90	89	54	35	21	13	88	79	80	55	48	88	52	20	125	75	82	57	63	94	123	79	121	85	98	84	129	76	88	98	77	90	0	88	61	63	62	91	110	111	137	93	73	95	131	141	66	82	121	69	55	76	105	87	133	101	139	132	110	116	69	88	145	88	65	89	57	0	1	4	3	7	1	4	2	3	3	3	4	1	1	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	6	2	3	1	5	0	1	9	6	4	7	2	0	0	1	3	2	3	0	2	0	0	0	0	2	0	3	4	2	1	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	3	0	0	1	2	2	1	2	4					
		9.60%	7.37%	6.12%	8.96%	7.34%	9.23%	8.02%	6.34%	3.17%	10.04%	8.88%	8.36%	9.22%	6.99%	7.64%	5.74%	4.87%	8.49%	8.70%	8.28%	8.83%	9.78%	8.29%	7.32%	3.56%	11.10%	8.59%	12.11%	6.99%	9.98%	9.71%	13.95%	12.15%	14.10%	9.38%	12.81%	10.08%	13.30%	10.98%	9.70%	12.10%	8.14%	8.59%	0.00%	9.24%	9.37%	8.90%	8.68%	13.25%	11.06%	11.31%	14.39%	13.96%	8.97%	10.88%	12.64%	12.84%	12.04%	7.98%	10.67%	7.36%	9.24%	9.44%	11.72%	11.04%	13.74%	9.76%	11.97%	12.18%	10.33%	10.45%	11.94%	10.09%	15.63%	10.51%	8.61%	9.62%	5.62%	0.00%	5.56%	22.22%	17.65%	36.84%	5.26%	15.38%	8.70%	13.04%	14.29%	15.79%	25.00%	0.27%	0.37%	0.00%	2.20%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.15%	0.00%	7.32%	2.27%	3.37%	1.11%	5.38%	0.00%	1.47%	12.00%	8.33%	6.56%	9.59%	2.86%	0.00%	0.00%	3.45%	7.14%	6.06%	4.41%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	11.76%	0.00%	16.67%	26.67%	12.50%	2.94%	4.00%	0.00%	21.43%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.90%	0.00%	4.00%	0.00%	0.00%	0.00%	17.65%	0.00%	0.00%	4.55%	9.09%	6.90%	3.45%	7.41%	15.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	741	0	3	7	0	9	7	0	1	12	14	9	7	7	3	2	1	11	13	11	5	8	13	8	3	15	6	9	13	8	9	22	10	8	7	3	10	14	7	16	10	11	14	1	11	10	3	6	11	17	2	12	11	5	11	9	24	4	10	23	12	6	8	11	11	7	13	8	19	18	12	8	8	11	6	7	12	7	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	1	2	0	0	4	1	0	0	0	1	2	4	0	0	0	0	0	0	1	4	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	1					
		1.11%	0.00%	0.48%	0.47%	0.00%	0.74%	1.31%	0.00%	0.40%	1.34%	1.30%	0.84%	0.73%	0.91%	0.66%	0.55%	0.37%	1.06%	1.43%	1.14%	0.80%	1.63%	1.22%	1.13%	0.53%	1.33%	0.69%	1.33%	1.59%	1.27%	0.93%	2.49%	1.54%	0.93%	0.77%	0.39%	1.20%	1.44%	1.01%	1.76%	1.23%	1.16%	1.34%	0.93%	1.16%	1.54%	0.42%	0.84%	1.60%	1.71%	0.20%	1.26%	1.65%	0.61%	1.26%	0.87%	2.19%	0.73%	0.97%	2.03%	1.28%	1.01%	0.99%	1.23%	1.40%	0.72%	1.26%	0.69%	1.75%	1.69%	1.08%	1.38%	0.92%	1.19%	0.72%	0.93%	1.30%	0.69%	0.00%	5.56%	0.00%	0.00%	0.00%	5.26%	0.00%	4.35%	0.00%	0.00%	5.26%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	1.08%	0.00%	0.00%	1.22%	0.00%	0.00%	1.11%	0.00%	0.00%	1.47%	2.67%	0.00%	0.00%	5.48%	1.43%	0.00%	0.00%	0.00%	2.38%	6.06%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	26.67%	0.00%	6.67%	0.00%	0.00%	2.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	17.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.85%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	37081	243	386	953	128	783	352	109	165	541	633	645	569	474	301	274	188	616	520	537	348	247	583	400	388	570	491	342	527	337	502	433	330	462	452	377	449	422	343	479	400	490	556	60	460	322	364	405	312	501	505	443	276	426	363	459	533	282	587	565	571	336	440	438	407	488	552	583	564	518	524	296	454	469	448	466	532	623	8	9	7	6	5	7	11	11	8	8	6	3	361	266	88	67	29	22	79	23	23	21	24	23	23	22	22	26	29	19	77	82	69	27	75	78	84	82	89	57	22	29	26	14	13	18	25	27	18	16	26	19	112	19	22	27	20	5	5	4	5	4	20	38	13	3	4	34	23	24	22	31	22	20	22	18	14	15	15	16	19	23	14	63	28	23	26	16	26	3	7	22	20	13	20	17	13	5					
		55.44%	63.95%	62.16%	63.70%	58.72%	63.97%	65.67%	76.76%	65.48%	60.38%	58.56%	59.89%	58.96%	61.32%	65.72%	74.86%	70.41%	59.40%	57.27%	55.59%	55.86%	50.31%	54.90%	56.34%	69.04%	50.62%	56.24%	50.52%	64.58%	53.41%	51.86%	49.09%	50.77%	53.85%	49.89%	49.28%	53.90%	43.51%	49.57%	52.81%	49.38%	51.80%	53.05%	56.07%	48.32%	49.46%	51.41%	56.72%	45.41%	50.35%	51.48%	46.53%	41.44%	52.33%	41.58%	44.31%	48.54%	51.46%	57.10%	49.82%	60.87%	56.47%	54.66%	48.88%	51.65%	50.41%	53.33%	50.22%	52.03%	48.64%	47.21%	51.21%	52.06%	50.54%	53.52%	61.72%	57.51%	61.44%	42.11%	50.00%	38.89%	35.29%	26.32%	36.84%	42.31%	47.83%	34.78%	38.10%	31.58%	18.75%	96.01%	97.79%	95.65%	73.63%	96.67%	95.65%	95.18%	95.83%	95.83%	95.45%	96.00%	95.83%	95.83%	95.65%	95.65%	96.30%	10.00%	95.00%	82.80%	88.17%	82.14%	32.93%	85.23%	87.64%	93.33%	88.17%	95.70%	83.82%	29.33%	40.28%	42.62%	19.18%	18.57%	90.00%	92.59%	93.10%	42.86%	48.48%	38.24%	10.00%	94.92%	90.48%	84.62%	93.10%	90.91%	29.41%	33.33%	22.22%	33.33%	25.00%	58.82%	76.00%	59.09%	21.43%	25.00%	10.00%	95.83%	10.00%	95.65%	10.00%	10.00%	10.00%	10.00%	94.74%	10.00%	10.00%	10.00%	94.12%	10.00%	82.14%	70.00%	81.82%	10.00%	92.00%	10.00%	10.00%	10.00%	17.65%	46.67%	10.00%	90.91%	59.09%	68.97%	58.62%	48.15%	19.23%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1043	1	0	10	1	6	9	0	2	14	22	16	17	3	1	0	2	19	9	14	6	6	20	8	5	40	21	9	12	10	8	13	11	19	21	4	9	26	8	26	20	19	25	1	9	8	10	8	19	16	12	17	9	12	9	24	18	7	15	32	9	10	12	18	20	22	17	21	18	26	22	10	15	17	9	12	15	10	0	0	0	0	3	1	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	1	0	0	0	0	0	0	1	4	2	3	0	0	0	1	2	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1					
		1.56%	0.26%	0.00%	0.67%	0.46%	0.49%	1.68%	0.00%	0.79%	1.56%	2.04%	1.49%	1.76%	0.39%	0.22%	0.00%	0.75%	1.83%	0.99%	1.45%	0.96%	1.22%	1.88%	1.13%	0.89%	3.55%	2.41%	1.33%	1.47%	1.58%	0.83%	1.47%	1.69%	2.21%	2.32%	0.52%	1.08%	2.68%	1.16%	2.87%	2.47%	2.01%	2.39%	0.93%	0.95%	1.23%	1.41%	1.12%	2.77%	1.61%	1.22%	1.79%	1.35%	1.47%	1.03%	2.32%	1.64%	1.28%	1.46%	2.82%	0.96%	1.68%	1.49%	2.01%	2.54%	2.27%	1.64%	1.81%	1.66%	2.44%	1.98%	1.73%	1.72%	1.83%	1.08%	1.59%	1.62%	0.99%	0.00%	0.00%	0.00%	0.00%	15.79%	5.26%	0.00%	8.70%	0.00%	4.76%	0.00%	6.25%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	8.54%	1.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.39%	6.56%	2.74%	4.29%	0.00%	0.00%	0.00%	2.38%	6.06%	4.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	2.94%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.45%	0.00%	3.85%					
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
																																																																																																																																																																																						
