Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																						
Дата голосования: 02.12.2007																																																																																																																																						
																																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																																						
																																																																																																																																						
Сводная таблица результатов выборов																																																																																																																																						
																																																																																																																																						
		Сумма	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №238	УИК №239	УИК №240	УИК №241	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №317	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №336	УИК №337	УИК №338	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	172	5	1	0	2	4	3	2	1	0	1	2	0	1	3	3	0	3	0	0	3	0	1	0	0	2	1	2	2	6	4	0	4	1	4	1	3	1	7	1	2	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	10	1	0	1	3	0	0	0	0	1	0	1	1	1	1	0	0	3	1	3	0	0	5	0	0	0	1	0	2	3	1	1	1	0	1	2	0	1	2	0	1	1	2	1	0	2	1	1	0	0	2	3	0	0	2	5	1	1	0	0	1	3	3	3	4	4	0	2					
		3.58%	20.83%	5.88%	0.00%	3.85%	20.00%	15.79%	2.78%	2.27%	0.00%	4.00%	15.38%	0.00%	3.57%	14.29%	4.23%	0.00%	10.71%	0.00%	0.00%	6.12%	0.00%	5.88%	0.00%	0.00%	7.41%	1.25%	2.53%	2.33%	6.90%	6.56%	0.00%	20.00%	3.57%	4.76%	1.37%	3.49%	1.30%	6.60%	2.63%	6.45%	11.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	1.20%	0.00%	0.00%	24.39%	9.09%	0.00%	3.45%	10.00%	0.00%	0.00%	0.00%	0.00%	3.13%	0.00%	3.13%	3.33%	5.56%	2.78%	0.00%	0.00%	5.56%	5.56%	3.75%	0.00%	0.00%	29.41%	0.00%	0.00%	0.00%	10.00%	0.00%	3.45%	4.69%	3.70%	3.33%	1.67%	0.00%	1.75%	8.00%	0.00%	0.72%	2.38%	0.00%	1.52%	4.35%	4.35%	4.17%	0.00%	11.11%	3.85%	5.26%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	7.14%	11.11%	2.27%	2.70%	0.00%	0.00%	1.85%	12.00%	10.00%	10.71%	14.29%	18.18%	0.00%	16.67%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	70	0	0	1	1	1	0	0	1	0	0	0	0	3	3	0	0	1	1	0	1	0	0	0	0	2	0	0	2	2	3	1	1	0	1	0	1	1	2	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	0	1	1	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1	2	1	2	1	0	1	0	4	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	0	1	0	0	2					
		1.46%	0.00%	0.00%	3.33%	1.92%	5.00%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	10.71%	14.29%	0.00%	0.00%	3.57%	3.45%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	7.41%	0.00%	0.00%	2.33%	2.30%	4.92%	1.12%	5.00%	0.00%	1.19%	0.00%	1.16%	1.30%	1.89%	5.26%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	6.67%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	3.13%	7.14%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.72%	3.13%	3.70%	0.00%	0.00%	0.00%	1.75%	8.00%	4.76%	1.44%	1.19%	0.00%	1.52%	0.00%	8.70%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	4.00%	6.67%	0.00%	3.57%	0.00%	0.00%	16.67%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3164	8	8	12	13	2	8	54	33	26	23	2	28	9	9	21	6	5	15	78	20	8	2	22	0	11	73	70	71	53	38	82	9	16	50	57	40	73	89	23	27	11	25	17	21	22	22	12	12	14	15	10	10	17	29	29	16	75	75	12	9	5	29	14	20	42	0	10	9	7	9	6	18	10	9	19	7	17	3	57	31	57	4	10	27	27	5	3	45	43	18	19	57	63	50	2	15	86	66	42	43	10	31	15	81	4	14	6	8	15	11	0	3	20	7	13	21	22	22	11	45	20	6	24	4	13	80	7					
		65.93%	33.33%	47.06%	40.00%	25.00%	10.00%	42.11%	75.00%	75.00%	10.00%	92.00%	15.38%	90.32%	32.14%	42.86%	29.58%	40.00%	17.86%	51.72%	90.70%	40.82%	47.06%	11.76%	88.00%	0.00%	40.74%	91.25%	88.61%	82.56%	60.92%	62.30%	92.13%	45.00%	57.14%	59.52%	78.08%	46.51%	94.81%	83.96%	60.53%	87.10%	42.31%	96.15%	77.27%	10.00%	10.00%	10.00%	60.00%	85.71%	10.00%	93.75%	10.00%	10.00%	38.64%	10.00%	10.00%	61.54%	90.36%	87.21%	40.00%	21.95%	45.45%	72.50%	48.28%	66.67%	50.00%	0.00%	37.04%	34.62%	21.88%	64.29%	18.75%	60.00%	55.56%	25.00%	79.17%	10.00%	31.48%	16.67%	71.25%	10.00%	10.00%	23.53%	50.00%	10.00%	10.00%	50.00%	20.00%	77.59%	67.19%	66.67%	63.33%	95.00%	10.00%	87.72%	8.00%	71.43%	61.87%	78.57%	87.50%	65.15%	43.48%	67.39%	62.50%	96.43%	22.22%	53.85%	31.58%	57.14%	93.75%	55.00%	0.00%	17.65%	74.07%	25.00%	28.89%	47.73%	59.46%	73.33%	39.29%	83.33%	80.00%	20.00%	85.71%	14.29%	59.09%	95.24%	58.33%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	66	0	1	0	1	0	0	1	1	0	1	1	0	1	0	1	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	8	0	0	0	1	1	1	0	0	0	4	0	0	0	0	0	1	0	0	1	3	0	0	0	1	0	0	0	0	2	2	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	6	0	3	0	0	0	0	2	0	0	0					
		1.38%	0.00%	5.88%	0.00%	1.92%	0.00%	0.00%	1.39%	2.27%	0.00%	4.00%	7.69%	0.00%	3.57%	0.00%	1.41%	6.67%	0.00%	0.00%	0.00%	4.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	1.15%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	2.63%	3.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.27%	0.00%	0.00%	0.00%	1.20%	0.00%	26.67%	0.00%	0.00%	0.00%	3.45%	3.33%	1.19%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	5.56%	3.75%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	3.45%	3.13%	3.70%	0.00%	0.00%	0.00%	0.00%	8.00%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	5.26%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	2.27%	16.22%	0.00%	10.71%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%					
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
																																																																																																																																						
