Выборы Президента Российской Федерации																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
Итоги голосования 																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1939	УИК №1940	УИК №1941	УИК №1942	УИК №1943	УИК №1944	УИК №1945	УИК №1946					
20	. Миронов Сергей Михайлович	1271	5	6	5	4	12	15	7	16	11	11	6	7	15	10	12	9	11	5	8	16	14	8	9	8	7	15	11	16	10	13	12	6	9	21	11	10	10	7	21	12	8	24	18	19	18	10	11	16	25	20	13	11	21	20	14	21	14	23	19	26	23	16	24	11	15	18	15	19	24	20	17	16	24	16	10	33	28	26	27	28	25	7	22	1	2	0	0	0	0	1	1	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0					
		1.51%	0.60%	0.89%	0.93%	0.67%	1.73%	1.91%	0.80%	2.58%	1.76%	1.03%	1.47%	1.15%	1.91%	1.27%	1.34%	1.67%	1.52%	0.61%	0.77%	1.84%	1.33%	1.76%	0.82%	0.94%	1.04%	1.55%	1.28%	1.41%	0.99%	1.08%	1.32%	0.62%	1.23%	2.88%	2.07%	1.15%	1.11%	1.59%	2.14%	1.24%	0.70%	2.66%	1.75%	1.89%	1.88%	1.24%	1.14%	1.62%	2.38%	1.81%	1.25%	1.18%	2.18%	1.44%	1.23%	1.99%	1.70%	1.93%	1.44%	2.14%	1.55%	1.57%	1.64%	0.99%	1.24%	1.57%	1.14%	1.97%	1.83%	1.38%	1.55%	1.49%	2.01%	1.22%	0.84%	2.16%	1.75%	1.90%	1.70%	2.60%	2.03%	0.58%	1.69%	0.44%	1.77%	0.00%	0.00%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	10.00%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	6.25%	6.67%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	18.18%	0.00%	9.09%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	18.18%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	1.82%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	63785	676	501	416	474	507	612	682	480	481	889	328	471	613	573	718	418	565	621	766	671	795	339	869	664	503	712	648	833	753	891	672	740	532	524	409	624	722	300	706	692	839	661	749	755	727	571	713	736	815	848	780	718	724	1055	852	832	636	899	1043	905	1104	798	1108	860	929	910	963	747	986	1035	819	852	896	1001	968	1166	1134	1096	1214	738	894	948	987	193	90	6	7	7	9	5	4	7	6	6	7	7	7	6	7	7	6	9	8	8	8	9	4	9	7	6	4	7	6	4	10	9	6	8	6	7	10	14	5	7	10	6	7	7	9	6	7	8	7	11	9	7	10	4	6	7	10	7	8	10	5	7	8	7	12	11	7	11	12	6	10	8	10	7	4	6	6	9	6	9	9	8	11	9	11	11	5	10	18	12	9	19	13	19	8	4	9	9	31	46	8	14	0	0	0	0	0	36	9	8	11	16	12	13	10	5	12	2	8	12	11	10	9	11	10	7	4					
		75.61%	80.48%	74.66%	77.32%	79.26%	73.27%	77.76%	78.30%	77.42%	77.08%	82.85%	80.59%	77.09%	77.89%	72.53%	80.31%	77.70%	77.82%	76.29%	74.08%	77.30%	75.64%	74.51%	79.58%	77.75%	74.96%	73.78%	75.61%	73.65%	74.26%	73.82%	73.68%	76.29%	72.58%	71.88%	77.02%	71.56%	79.87%	68.18%	71.97%	71.56%	73.28%	73.36%	72.65%	75.20%	75.73%	70.76%	73.73%	74.49%	77.47%	76.60%	75.29%	76.71%	75.03%	75.74%	75.07%	78.79%	77.18%	75.61%	78.90%	74.49%	74.19%	78.24%	75.68%	77.55%	76.78%	79.27%	73.07%	77.41%	75.21%	71.58%	74.66%	79.26%	75.17%	76.12%	80.94%	76.21%	70.74%	79.88%	76.30%	68.46%	72.45%	78.48%	75.86%	85.40%	79.65%	54.55%	63.64%	63.64%	81.82%	50.00%	40.00%	70.00%	60.00%	60.00%	70.00%	70.00%	70.00%	60.00%	70.00%	70.00%	54.55%	81.82%	72.73%	72.73%	72.73%	81.82%	40.00%	81.82%	58.33%	66.67%	36.36%	70.00%	66.67%	40.00%	90.91%	90.00%	60.00%	80.00%	60.00%	70.00%	100.00%	87.50%	33.33%	63.64%	90.91%	54.55%	63.64%	58.33%	81.82%	60.00%	70.00%	72.73%	63.64%	100.00%	75.00%	63.64%	83.33%	40.00%	54.55%	70.00%	100.00%	63.64%	72.73%	90.91%	45.45%	63.64%	72.73%	63.64%	100.00%	100.00%	63.64%	100.00%	100.00%	54.55%	90.91%	72.73%	90.91%	63.64%	36.36%	54.55%	66.67%	81.82%	54.55%	81.82%	75.00%	80.00%	100.00%	81.82%	100.00%	91.67%	71.43%	90.91%	94.74%	100.00%	75.00%	86.36%	61.90%	82.61%	100.00%	40.00%	64.29%	81.82%	56.36%	66.67%	53.33%	87.50%	0.00%	0.00%	0.00%	0.00%	0.00%	78.26%	69.23%	100.00%	50.00%	64.00%	50.00%	72.22%	40.00%	41.67%	100.00%	16.67%	72.73%	100.00%	91.67%	66.67%	81.82%	91.67%	83.33%	63.64%	28.57%					
22	. Хакамада Ирина Муцуовна	5572	50	52	30	41	57	50	66	33	44	50	25	45	36	72	41	32	55	55	75	43	63	27	58	42	57	78	62	67	70	66	81	72	56	48	26	81	53	37	103	115	88	72	93	63	69	56	85	82	63	67	55	64	52	87	95	60	46	84	57	77	105	58	84	62	73	56	71	59	100	116	91	57	79	83	77	78	130	58	98	100	104	57	74	11	4	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	1	2	1	2	1	0	0	1	0	1	2	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	3	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	2	2	0	0	0	2	0	0	0	0					
		6.60%	5.95%	7.75%	5.58%	6.86%	8.24%	6.35%	7.58%	5.32%	7.05%	4.66%	6.14%	7.36%	4.57%	9.11%	4.59%	5.95%	7.58%	6.76%	7.25%	4.95%	5.99%	5.93%	5.31%	4.92%	8.49%	8.08%	7.23%	5.92%	6.90%	5.47%	8.88%	7.42%	7.64%	6.58%	4.90%	9.29%	5.86%	8.41%	10.50%	11.89%	7.69%	7.99%	9.02%	6.27%	7.19%	6.94%	8.79%	8.30%	5.99%	6.05%	5.31%	6.84%	5.39%	6.25%	8.37%	5.68%	5.58%	7.06%	4.31%	6.34%	7.06%	5.69%	5.74%	5.59%	6.03%	4.88%	5.39%	6.11%	7.63%	8.02%	8.30%	5.30%	6.63%	6.31%	6.44%	5.10%	8.11%	4.23%	6.16%	9.28%	8.43%	4.72%	5.69%	4.87%	3.54%	0.00%	9.09%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	8.33%	11.11%	18.18%	10.00%	22.22%	10.00%	0.00%	0.00%	10.00%	0.00%	10.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	10.00%	0.00%	9.09%	9.09%	0.00%	0.00%	9.09%	8.33%	10.00%	9.09%	10.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	36.36%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	7.27%	4.35%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	4.00%	8.33%	0.00%	16.67%	18.18%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	6029	38	56	25	29	52	53	45	34	41	60	23	40	44	58	47	41	36	62	96	45	73	32	68	53	33	87	52	109	82	108	65	58	68	77	41	80	44	41	74	61	97	73	67	72	62	86	72	69	63	79	93	68	86	96	62	71	58	77	106	86	123	74	115	85	84	81	131	75	90	130	76	63	88	94	55	114	125	88	112	99	85	99	113	5	8	3	0	3	1	2	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1					
		7.15%	4.52%	8.35%	4.65%	4.85%	7.51%	6.73%	5.17%	5.48%	6.57%	5.59%	5.65%	6.55%	5.59%	7.34%	5.26%	7.62%	4.96%	7.62%	9.28%	5.18%	6.95%	7.03%	6.23%	6.21%	4.92%	9.02%	6.07%	9.64%	8.09%	8.95%	7.13%	5.98%	9.28%	10.56%	7.72%	9.17%	4.87%	9.32%	7.54%	6.31%	8.47%	8.10%	6.50%	7.17%	6.46%	10.66%	7.45%	6.98%	5.99%	7.14%	8.98%	7.26%	8.91%	6.89%	5.46%	6.72%	7.04%	6.48%	8.02%	7.08%	8.27%	7.25%	7.86%	7.66%	6.94%	7.06%	9.94%	7.77%	6.86%	8.99%	6.93%	5.86%	7.38%	7.15%	4.60%	7.45%	7.80%	6.41%	7.04%	9.18%	6.89%	8.20%	8.69%	2.21%	7.08%	27.27%	0.00%	27.27%	9.09%	20.00%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	27.27%	0.00%	16.67%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	18.18%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	3.64%	2.90%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%					
																																																																																																																																																																																																																										
24	Против всех	3352	28	26	25	23	19	22	30	23	25	36	9	22	36	21	28	14	24	37	33	44	34	22	36	27	24	26	42	46	41	56	35	35	29	20	21	36	43	24	38	38	58	40	49	31	35	31	39	35	39	44	39	30	29	58	49	33	27	45	39	49	63	30	69	32	50	40	60	36	42	59	45	32	39	45	36	59	78	38	58	42	55	41	46	10	6	2	3	0	1	2	4	3	4	1	3	3	1	1	2	2	4	1	0	1	0	2	5	1	1	0	5	2	1	4	1	0	0	1	1	0	0	0	7	3	1	0	2	1	0	2	3	2	3	0	2	3	0	5	0	0	0	3	0	1	4	3	1	2	0	0	2	0	0	2	1	2	1	2	1	3	2	0	1	1	1	1	0	1	0	1	2	1	0	0	3	0	2	3	0	4	3	2	10	11	2	1	0	6	0	7	6	6	1	0	7	8	6	1	6	5	0	0	0	0	0	4	0	0	1	1	3					
		3.97%	3.33%	3.87%	4.65%	3.85%	2.75%	2.80%	3.44%	3.71%	4.01%	3.36%	2.21%	3.60%	4.57%	2.66%	3.13%	2.60%	3.31%	4.55%	3.19%	5.07%	3.24%	4.84%	3.30%	3.16%	3.58%	2.69%	4.90%	4.07%	4.04%	4.64%	3.84%	3.61%	3.96%	2.74%	3.95%	4.13%	4.76%	5.45%	3.87%	3.93%	5.07%	4.44%	4.75%	3.09%	3.65%	3.84%	4.03%	3.54%	3.71%	3.97%	3.76%	3.21%	3.01%	4.16%	4.32%	3.12%	3.28%	3.78%	2.95%	4.03%	4.23%	2.94%	4.71%	2.89%	4.13%	3.48%	4.55%	3.73%	3.20%	4.08%	4.10%	2.98%	3.27%	3.42%	3.01%	3.86%	4.87%	2.77%	3.65%	3.90%	4.46%	3.39%	3.54%	4.42%	5.31%	18.18%	27.27%	0.00%	9.09%	20.00%	40.00%	30.00%	40.00%	10.00%	30.00%	30.00%	10.00%	10.00%	20.00%	20.00%	36.36%	9.09%	0.00%	9.09%	0.00%	18.18%	50.00%	9.09%	8.33%	0.00%	45.45%	20.00%	11.11%	40.00%	9.09%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	0.00%	46.67%	27.27%	9.09%	0.00%	18.18%	8.33%	0.00%	20.00%	30.00%	18.18%	27.27%	0.00%	16.67%	27.27%	0.00%	50.00%	0.00%	0.00%	0.00%	27.27%	0.00%	9.09%	36.36%	27.27%	9.09%	18.18%	0.00%	0.00%	18.18%	0.00%	0.00%	18.18%	9.09%	18.18%	9.09%	18.18%	9.09%	27.27%	22.22%	0.00%	9.09%	9.09%	8.33%	10.00%	0.00%	9.09%	0.00%	8.33%	28.57%	9.09%	0.00%	0.00%	25.00%	0.00%	9.52%	13.04%	0.00%	40.00%	21.43%	18.18%	18.18%	15.94%	13.33%	6.25%	0.00%	100.00%	0.00%	100.00%	100.00%	13.04%	7.69%	0.00%	31.82%	32.00%	25.00%	5.56%	24.00%	41.67%	0.00%	0.00%	0.00%	0.00%	0.00%	26.67%	0.00%	0.00%	8.33%	9.09%	21.43%					
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
																																																																																																																																																																																																																										
