Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																											
Дата голосования: 07.12.2003 0:00:00																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Коломенская городская																																																																																																											
																																																																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																											
																																																																																																											
		Сумма	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №5015	УИК №5016	УИК №5017	УИК №5018	УИК №5019	УИК №5020	УИК №5021	УИК №5022	УИК №5023	УИК №5024	УИК №5038	УИК №5039	УИК №5040	УИК №5066	УИК №5067	УИК №5068	УИК №5069	УИК №5070	УИК №5071	УИК №5072	УИК №5073	УИК №5074	УИК №5107	УИК №5108	УИК №5113	УИК №5114	УИК №5252	УИК №5361					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	2856	15	15	21	14	7	16	26	5	31	10	17	25	8	17	8	23	7	13	0	6	7	12	26	18	16	8	17	12	18	18	27	19	27	17	13	20	17	9	17	18	16	31	16	13	22	22	20	11	34	21	13	15	7	20	17	27	16	46	12	12	16	12	6	1	1	0	0	1	15	32	23	21	7	25	22	9	6	1	4	13	13	16	32	33	22	9	9	2	10	18	1	9	0	986	3	0	3	2	342	120					
		3.28%	2.59%	2.72%	3.04%	2.17%	0.81%	0.97%	2.04%	0.76%	2.13%	1.74%	1.62%	2.86%	1.06%	1.72%	1.96%	1.92%	0.97%	0.93%	0.0%	1.26%	1.98%	2.98%	2.39%	2.10%	1.88%	1.53%	1.33%	1.57%	1.81%	1.99%	2.42%	1.90%	2.37%	1.60%	1.18%	1.81%	1.63%	1.18%	2.06%	2.10%	1.45%	2.57%	1.47%	1.39%	1.70%	2.77%	2.54%	2.09%	2.56%	1.78%	1.38%	1.36%	0.95%	1.62%	1.90%	2.39%	1.76%	2.37%	1.43%	1.96%	1.58%	2.92%	2.5%	1.03%	0.59%	0.0%	0.0%	1.53%	2.20%	2.56%	1.79%	1.84%	0.60%	1.95%	3.03%	1.50%	1.85%	0.59%	0.48%	1.14%	1.73%	1.75%	3.00%	5.67%	12.64%	2.96%	1.54%	0.59%	2.22%	2.50%	0.13%	0.61%	0.0%	20.51%	1.32%	0.0%	1.28%	3.84%	31.43%	19.26%					
30	"13. ""Демократическая партия России"""	183	0	1	2	2	3	4	2	3	2	1	1	3	2	6	8	2	0	2	0	2	0	2	4	1	2	1	5	0	3	3	0	2	0	0	0	1	2	1	0	0	0	4	1	4	5	0	2	0	0	4	0	4	2	0	0	5	1	8	1	1	5	0	1	1	0	0	0	0	1	0	1	2	1	4	3	3	0	0	0	4	3	0	2	4	0	0	5	4	1	4	4	4	0	9	0	0	0	0	1	1					
		0.21%	0.0%	0.18%	0.29%	0.31%	0.34%	0.24%	0.15%	0.45%	0.13%	0.17%	0.09%	0.34%	0.26%	0.60%	1.96%	0.16%	0.0%	0.14%	0.0%	0.42%	0.0%	0.49%	0.36%	0.11%	0.23%	0.19%	0.39%	0.0%	0.30%	0.33%	0.0%	0.20%	0.0%	0.0%	0.0%	0.09%	0.19%	0.13%	0.0%	0.0%	0.0%	0.33%	0.09%	0.42%	0.38%	0.0%	0.25%	0.0%	0.0%	0.34%	0.0%	0.36%	0.27%	0.0%	0.0%	0.44%	0.11%	0.41%	0.11%	0.16%	0.49%	0.0%	0.41%	1.03%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.07%	0.17%	0.08%	0.31%	0.41%	0.50%	0.0%	0.0%	0.0%	0.35%	0.39%	0.0%	0.18%	0.68%	0.0%	0.0%	0.85%	1.18%	0.22%	0.55%	0.55%	0.27%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.09%	0.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	181	1	0	1	1	3	7	5	1	2	1	4	0	0	3	2	1	1	0	1	0	0	0	1	3	0	1	1	2	0	0	0	0	1	3	2	2	0	2	2	4	3	3	2	0	1	2	3	0	0	0	0	4	2	4	1	3	1	6	2	2	0	0	1	0	0	0	0	0	2	0	1	0	4	6	1	4	0	2	3	2	0	4	2	4	0	0	0	0	3	19	2	5	0	15	0	0	1	0	1	2					
		0.20%	0.17%	0.0%	0.14%	0.15%	0.34%	0.42%	0.39%	0.15%	0.13%	0.17%	0.38%	0.0%	0.0%	0.30%	0.49%	0.08%	0.13%	0.0%	0.11%	0.0%	0.0%	0.0%	0.09%	0.35%	0.0%	0.19%	0.07%	0.26%	0.0%	0.0%	0.0%	0.0%	0.08%	0.28%	0.18%	0.18%	0.0%	0.26%	0.24%	0.46%	0.27%	0.24%	0.18%	0.0%	0.07%	0.25%	0.38%	0.0%	0.0%	0.0%	0.0%	0.36%	0.27%	0.32%	0.11%	0.26%	0.11%	0.30%	0.23%	0.32%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.07%	0.0%	0.34%	0.46%	0.13%	0.67%	0.0%	1.19%	0.36%	0.17%	0.0%	0.43%	0.18%	0.68%	0.0%	0.0%	0.0%	0.0%	0.66%	2.64%	0.27%	0.34%	0.0%	0.31%	0.0%	0.0%	0.42%	0.0%	0.09%	0.32%					
32	"15. ""Партия СЛОН"""	189	0	2	0	5	2	17	6	2	3	0	2	0	3	0	0	2	3	6	2	4	1	0	0	1	1	0	6	1	1	0	0	0	0	2	6	1	0	1	0	1	1	5	3	2	0	2	2	1	1	2	0	2	1	1	0	1	3	9	5	2	4	1	0	0	0	0	0	0	1	2	2	4	6	1	2	1	0	0	2	3	2	2	1	0	0	0	1	4	1	0	5	5	7	6	0	0	2	0	0	0					
		0.21%	0.0%	0.36%	0.0%	0.77%	0.23%	1.04%	0.47%	0.30%	0.20%	0.0%	0.19%	0.0%	0.40%	0.0%	0.0%	0.16%	0.41%	0.43%	0.23%	0.84%	0.28%	0.0%	0.0%	0.11%	0.11%	0.0%	0.47%	0.13%	0.10%	0.0%	0.0%	0.0%	0.0%	0.18%	0.54%	0.09%	0.0%	0.13%	0.0%	0.11%	0.09%	0.41%	0.27%	0.21%	0.0%	0.25%	0.25%	0.19%	0.07%	0.17%	0.0%	0.18%	0.13%	0.08%	0.0%	0.08%	0.33%	0.46%	0.59%	0.32%	0.39%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.16%	0.15%	0.35%	0.52%	0.07%	0.27%	0.16%	0.0%	0.0%	0.24%	0.26%	0.26%	0.21%	0.09%	0.0%	0.0%	0.0%	0.17%	1.18%	0.22%	0.0%	0.68%	0.34%	0.23%	0.12%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	10418	55	54	92	77	77	171	195	109	246	65	190	152	133	138	51	195	78	217	163	43	38	56	182	110	129	93	136	81	128	117	170	180	158	198	195	173	160	112	137	115	172	177	205	144	282	121	87	97	134	128	149	191	77	121	97	123	100	187	104	63	120	57	34	8	17	1	7	4	112	157	209	149	75	30	19	11	8	3	8	13	10	22	109	24	5	29	54	21	9	0	10	30	12	819	43	2	29	8	52	160					
		11.98%	9.51%	9.81%	13.35%	11.95%	8.92%	10.47%	15.35%	16.66%	16.95%	11.32%	18.19%	17.41%	17.78%	14.02%	12.53%	16.30%	10.89%	15.60%	18.84%	9.09%	10.79%	13.93%	16.78%	12.83%	15.23%	17.85%	10.67%	10.60%	12.87%	12.95%	15.27%	18.05%	13.92%	18.64%	17.72%	15.71%	15.38%	14.77%	16.66%	13.45%	15.67%	14.71%	18.87%	15.45%	21.86%	15.25%	11.08%	18.47%	10.12%	10.89%	15.88%	17.44%	10.50%	9.82%	10.87%	10.92%	11.04%	9.63%	12.42%	10.32%	11.85%	13.90%	14.16%	8.24%	10.11%	2.27%	13.20%	6.15%	16.49%	12.58%	16.34%	13.07%	6.53%	2.34%	2.62%	1.84%	2.47%	1.79%	0.97%	1.14%	1.33%	2.41%	10.24%	4.12%	2.87%	9.53%	9.24%	6.23%	2.00%	0.0%	1.37%	2.05%	0.39%	17.03%	19.02%	2.10%	12.44%	15.38%	4.77%	25.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	157	1	0	1	1	4	1	1	1	1	1	2	4	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	1	2	0	3	1	3	1	3	2	0	3	3	3	0	2	0	1	1	1	0	2	0	2	0	1	1	0	2	9	3	1	0	1	1	1	0	0	0	0	1	0	1	0	0	5	9	6	2	0	1	5	3	6	1	0	1	0	1	0	3	2	1	8	5	13	0	0	1	0	0	3					
		0.18%	0.17%	0.0%	0.14%	0.15%	0.46%	0.06%	0.07%	0.15%	0.06%	0.17%	0.19%	0.45%	0.0%	0.20%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.07%	0.0%	0.10%	0.11%	0.17%	0.0%	0.26%	0.09%	0.27%	0.09%	0.28%	0.26%	0.0%	0.35%	0.27%	0.24%	0.0%	0.21%	0.0%	0.12%	0.12%	0.19%	0.0%	0.17%	0.0%	0.18%	0.0%	0.08%	0.11%	0.0%	0.22%	0.46%	0.35%	0.16%	0.0%	0.24%	0.41%	1.03%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.07%	0.0%	0.0%	0.39%	1.24%	1.00%	0.61%	0.0%	0.12%	0.44%	0.39%	0.65%	0.09%	0.0%	0.57%	0.0%	0.17%	0.0%	0.66%	0.27%	0.13%	0.54%	0.16%	0.27%	0.0%	0.0%	0.42%	0.0%	0.0%	0.48%					
35	"18. ""ЛДПР"""	7744	53	47	62	46	127	367	100	57	97	62	103	76	49	79	42	79	70	109	44	57	27	34	74	82	50	29	96	65	80	63	117	85	70	81	98	91	81	62	72	77	78	74	74	83	86	72	85	40	137	128	76	78	64	95	110	119	111	338	96	64	99	42	34	8	9	0	8	15	54	115	142	119	119	181	152	143	49	7	77	176	101	202	42	29	3	7	71	30	32	40	51	80	31	158	12	6	11	0	82	39					
		8.90%	9.16%	8.54%	8.99%	7.14%	14.71%	22.47%	7.87%	8.71%	6.68%	10.80%	9.86%	8.70%	6.55%	8.02%	10.31%	6.60%	9.77%	7.83%	5.08%	12.05%	7.67%	8.45%	6.82%	9.56%	5.90%	5.56%	7.53%	8.50%	8.04%	6.97%	10.51%	8.52%	6.16%	7.62%	8.90%	8.26%	7.78%	8.17%	8.75%	9.00%	7.11%	6.15%	6.81%	8.90%	6.66%	9.07%	10.82%	7.61%	10.34%	10.89%	8.10%	7.12%	8.73%	7.71%	12.33%	10.56%	12.26%	17.42%	11.46%	10.49%	9.78%	10.24%	14.16%	8.24%	5.35%	0.0%	15.09%	23.07%	7.95%	9.21%	11.10%	10.43%	10.36%	14.16%	20.96%	23.95%	15.17%	4.19%	9.40%	15.56%	13.44%	22.14%	3.94%	4.98%	1.72%	2.30%	12.15%	8.90%	7.12%	5.57%	7.01%	5.48%	1.02%	3.28%	5.30%	6.31%	4.72%	0.0%	7.53%	6.26%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1222	9	6	13	5	10	1	31	9	22	5	18	14	11	14	5	16	6	13	7	4	6	5	10	9	17	4	17	9	15	17	16	13	19	7	12	17	19	14	7	14	12	11	19	10	21	6	7	5	17	13	13	12	11	17	8	21	11	17	18	8	12	3	7	0	0	1	1	1	8	17	17	17	28	12	5	6	2	1	1	10	3	7	20	4	2	5	8	3	4	8	7	36	180	33	6	2	4	1	9	8					
		1.40%	1.55%	1.09%	1.88%	0.77%	1.15%	0.06%	2.44%	1.37%	1.51%	0.87%	1.72%	1.60%	1.47%	1.42%	1.22%	1.33%	0.83%	0.93%	0.80%	0.84%	1.70%	1.24%	0.92%	1.05%	2.00%	0.76%	1.33%	1.17%	1.50%	1.88%	1.43%	1.30%	1.67%	0.65%	1.09%	1.54%	1.82%	1.84%	0.85%	1.63%	1.09%	0.91%	1.74%	1.07%	1.62%	0.75%	0.89%	0.95%	1.28%	1.10%	1.38%	1.09%	1.50%	1.37%	0.89%	1.86%	1.21%	0.87%	2.15%	1.31%	1.18%	0.73%	2.91%	0.0%	0.0%	2.27%	1.88%	1.53%	1.17%	1.36%	1.32%	1.49%	2.43%	0.93%	0.68%	1.00%	0.61%	0.59%	0.12%	0.88%	0.39%	0.76%	1.87%	0.68%	1.14%	1.64%	1.36%	0.89%	0.89%	1.11%	0.96%	2.46%	5.92%	0.68%	2.65%	2.10%	1.71%	1.92%	0.82%	1.28%					
37	"20. ""Политическая партия ""Единая Россия"""	36628	240	210	235	247	248	551	445	212	541	220	340	349	222	363	160	367	266	502	224	181	130	145	329	304	291	169	522	268	382	300	391	330	415	360	396	421	406	250	305	297	379	465	359	351	402	312	346	176	502	434	329	434	307	469	344	472	352	661	303	217	376	154	75	40	62	33	13	24	253	501	484	460	589	795	245	195	137	124	621	752	452	469	554	316	111	137	310	190	287	446	463	1046	2748	2201	59	30	58	23	499	148					
		42.12%	41.52%	38.18%	34.10%	38.35%	28.73%	33.74%	35.03%	32.41%	37.28%	38.32%	32.56%	39.97%	29.67%	36.89%	39.31%	30.68%	37.15%	36.08%	25.89%	38.26%	36.93%	36.06%	30.35%	35.47%	34.35%	32.43%	40.97%	35.07%	38.43%	33.22%	35.13%	33.09%	36.56%	33.89%	36.0%	38.23%	39.03%	32.98%	37.10%	34.73%	34.54%	38.65%	33.05%	37.66%	31.16%	39.34%	44.07%	33.52%	37.91%	36.93%	35.07%	39.63%	41.88%	38.06%	38.56%	41.91%	38.89%	34.07%	36.20%	35.57%	37.15%	37.56%	31.25%	41.23%	36.90%	75.0%	24.52%	36.92%	37.26%	40.14%	37.84%	40.35%	51.30%	62.20%	33.79%	32.66%	42.41%	74.25%	75.82%	66.48%	60.18%	51.42%	52.06%	54.29%	63.79%	45.06%	53.08%	56.37%	63.91%	62.11%	63.68%	71.74%	90.48%	45.78%	26.10%	31.57%	24.89%	44.23%	45.86%	23.75%					
38	"21. ""Российская Конституционно-демократическая партия"""	136	1	0	2	0	5	2	0	1	1	3	1	3	4	2	1	2	1	1	1	1	1	0	0	5	2	2	0	0	0	0	0	2	2	3	0	1	1	3	2	0	0	2	0	0	1	0	0	2	1	0	0	0	1	0	0	1	0	3	1	1	0	1	0	0	0	0	0	0	0	2	1	2	1	7	6	3	1	0	3	8	0	0	3	3	0	1	2	1	0	6	1	3	0	9	0	0	1	0	1	1					
		0.15%	0.17%	0.0%	0.29%	0.0%	0.57%	0.12%	0.0%	0.15%	0.06%	0.52%	0.09%	0.34%	0.53%	0.20%	0.24%	0.16%	0.13%	0.07%	0.11%	0.21%	0.28%	0.0%	0.0%	0.58%	0.23%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.17%	0.28%	0.0%	0.09%	0.09%	0.39%	0.24%	0.0%	0.0%	0.16%	0.0%	0.0%	0.07%	0.0%	0.0%	0.38%	0.07%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.08%	0.0%	0.15%	0.11%	0.16%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.07%	0.17%	0.08%	0.54%	0.82%	0.50%	0.30%	0.0%	0.36%	0.70%	0.0%	0.0%	0.28%	0.51%	0.0%	0.32%	0.34%	0.29%	0.0%	0.83%	0.13%	0.20%	0.0%	0.18%	0.0%	0.0%	0.42%	0.0%	0.09%	0.16%					
39	"22. ""Развитие предпринимательства"""	206	0	4	5	5	4	2	2	1	3	2	4	1	1	3	0	6	3	2	2	1	0	2	7	2	3	1	0	2	1	1	0	0	2	3	1	3	2	1	2	1	0	3	7	0	1	1	0	1	7	3	4	4	2	3	0	6	4	6	2	1	0	1	0	2	1	0	0	0	2	1	4	1	4	3	2	2	1	0	0	1	5	2	2	3	0	1	0	2	8	3	1	4	0	7	1	0	1	0	1	0					
		0.23%	0.0%	0.72%	0.72%	0.77%	0.46%	0.12%	0.15%	0.15%	0.20%	0.34%	0.38%	0.11%	0.13%	0.30%	0.0%	0.50%	0.41%	0.14%	0.23%	0.21%	0.0%	0.49%	0.64%	0.23%	0.35%	0.19%	0.0%	0.26%	0.10%	0.11%	0.0%	0.0%	0.17%	0.28%	0.09%	0.27%	0.19%	0.13%	0.24%	0.11%	0.0%	0.24%	0.64%	0.0%	0.07%	0.12%	0.0%	0.19%	0.52%	0.25%	0.42%	0.36%	0.27%	0.24%	0.0%	0.53%	0.44%	0.30%	0.23%	0.16%	0.0%	0.24%	0.0%	2.06%	0.59%	0.0%	0.0%	0.0%	0.29%	0.08%	0.31%	0.08%	0.34%	0.23%	0.27%	0.33%	0.30%	0.0%	0.0%	0.08%	0.66%	0.21%	0.18%	0.51%	0.0%	0.32%	0.0%	0.59%	1.78%	0.41%	0.13%	0.27%	0.0%	0.14%	0.44%	0.0%	0.42%	0.0%	0.09%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7809	82	49	78	94	61	115	146	67	135	63	108	43	104	111	38	135	60	156	142	35	43	38	131	103	101	56	153	103	96	132	115	120	118	95	118	116	93	88	74	98	157	109	135	74	200	79	56	52	105	120	122	117	74	126	83	101	99	175	70	81	116	57	24	2	26	2	7	3	61	110	107	102	91	53	62	35	13	9	19	50	38	39	86	21	2	35	46	22	33	51	120	80	7	194	13	13	16	3	32	61					
		8.98%	14.18%	8.90%	11.32%	14.59%	7.06%	7.04%	11.49%	10.24%	9.30%	10.97%	10.34%	4.92%	13.90%	11.28%	9.33%	11.28%	8.37%	11.21%	16.41%	7.39%	12.21%	9.45%	12.08%	12.01%	11.92%	10.74%	12.00%	13.48%	9.65%	14.61%	10.33%	12.03%	10.39%	8.94%	10.72%	10.53%	8.94%	11.60%	9.00%	11.46%	14.31%	9.06%	12.43%	7.93%	15.50%	9.96%	7.13%	9.90%	7.93%	10.21%	13.00%	10.68%	10.09%	10.22%	9.30%	8.96%	10.93%	9.02%	8.36%	13.27%	11.46%	13.90%	10.0%	2.06%	15.47%	4.54%	13.20%	4.61%	8.98%	8.81%	8.36%	8.94%	7.92%	4.14%	8.55%	5.86%	4.02%	5.38%	2.31%	4.42%	5.05%	4.27%	8.08%	3.60%	1.14%	11.51%	7.87%	6.52%	7.34%	7.10%	16.50%	5.48%	0.23%	4.03%	5.75%	13.68%	6.86%	5.76%	2.94%	9.79%					
																																																																																																											
41	Против всех	4456	22	43	26	35	153	156	79	37	80	43	41	41	48	61	20	95	56	74	55	27	18	21	70	38	51	22	66	50	61	58	50	41	73	74	55	43	50	35	43	32	66	69	59	54	77	28	42	38	95	74	70	49	35	77	68	60	71	155	62	34	49	20	25	21	17	2	3	3	37	70	82	55	30	34	59	51	45	0	23	32	53	47	24	6	0	5	9	6	12	8	21	41	14	76	13	4	16	2	10	5					
		5.12%	3.80%	7.81%	3.77%	5.43%	17.72%	9.55%	6.22%	5.65%	5.51%	7.49%	3.92%	4.69%	6.41%	6.19%	4.91%	7.94%	7.82%	5.31%	6.35%	5.70%	5.11%	5.22%	6.45%	4.43%	6.02%	4.22%	5.18%	6.54%	6.13%	6.42%	4.49%	4.11%	6.43%	6.96%	5.0%	3.90%	4.80%	4.61%	5.23%	3.74%	6.01%	5.73%	5.43%	5.79%	5.96%	3.53%	5.35%	7.23%	7.17%	6.29%	7.46%	4.47%	4.77%	6.25%	7.62%	5.32%	7.84%	7.98%	7.40%	5.57%	4.84%	4.87%	10.41%	21.64%	10.11%	4.54%	5.66%	4.61%	5.44%	5.60%	6.41%	4.82%	2.61%	2.66%	8.13%	8.54%	13.93%	0.0%	2.80%	2.82%	7.05%	5.15%	2.25%	1.03%	0.0%	1.64%	1.54%	1.78%	2.67%	1.11%	2.88%	2.81%	0.46%	1.58%	5.75%	4.21%	6.86%	3.84%	0.91%	0.80%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
