Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																									
																																																																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Ленинская"																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																									
																																																																																																																									
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034									
		1.32%	3.27%	3.85%	2.37%	1.56%	3.79%	2.28%	4.02%	0.48%	0.29%	4.53%	1.52%	1.36%	2.23%	1.99%	2.66%	1.33%	2.55%	1.43%	0.00%	2.52%	2.30%	0.57%	0.35%	2.42%	1.72%	0.32%	0.28%	2.07%	0.67%	0.90%	1.02%	1.69%	0.65%	2.18%	1.88%	0.53%	0.59%	1.99%	0.96%	0.51%	0.79%	0.26%	0.68%	0.48%	1.05%	0.57%	1.30%	1.47%	0.63%	1.08%	0.30%	0.60%	1.95%	1.03%	1.12%	1.66%	0.96%	1.69%	0.82%	1.34%	0.74%	0.21%	1.54%	0.34%	0.90%	1.24%	0.91%	0.76%	0.44%	0.46%	1.50%	0.64%	1.54%	1.69%	1.35%	0.81%	0.37%	0.67%	1.70%	1.91%	1.84%	1.72%	1.88%	1.17%	1.38%	2.10%	0.85%	2.95%	1.95%	1.29%	1.75%	0.15%	0.20%	2.48%	3.02%	2.50%	1.56%	0.00%	2.04%	1.62%	0.68%	0.95%	0.74%	0.97%	1.26%	1.68%	0.00%	1.72%	3.33%	0.59%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	71	1	0	2	1	0	3	1	2	1	0	1	2	0	3	0	1	1	0	1	0	0	1	0	0	0	0	2	1	0	4	0	1	0	1	2	0	0	1	1	0	1	1	0	1	3	0	0	1	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	1	0	0	0	2	0	0	0	2	0	1	1	0	0	1	0	3	1	1	2	0	0	0	1	0	0	0	1	0	0	0	2	1	1	1	0	1	0	0	1	0	0	0									
		0.11%	0.18%	0.00%	0.23%	0.13%	0.00%	0.46%	0.31%	0.48%	0.29%	0.00%	0.25%	0.45%	0.00%	0.54%	0.00%	0.11%	0.15%	0.00%	0.17%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.28%	0.21%	0.00%	0.60%	0.00%	0.12%	0.00%	0.16%	0.38%	0.00%	0.00%	0.14%	0.14%	0.00%	0.13%	0.13%	0.00%	0.12%	0.53%	0.00%	0.00%	0.15%	0.00%	0.14%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.27%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.33%	0.00%	0.13%	0.21%	0.00%	0.00%	0.21%	0.00%	0.59%	0.28%	0.14%	0.34%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.29%	0.13%	0.17%	0.14%	0.00%	0.14%	0.00%	0.00%	3.45%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1964	39	28	40	36	30	40	26	6	21	27	23	18	36	41	20	30	33	13	9	4	50	10	6	1	2	7	4	24	20	15	22	27	19	22	7	10	15	10	15	17	17	13	13	14	8	3	9	12	12	22	15	8	14	27	19	12	27	26	18	4	6	14	3	6	12	18	16	14	20	17	15	33	19	13	20	14	24	17	19	29	18	26	14	20	15	31	21	13	39	12	16	25	40	22	41	20	23	5	12	33	18	15	14	15	4	1	0	3	0	3									
		3.16%	7.08%	7.69%	4.51%	4.67%	4.55%	6.07%	8.05%	1.45%	6.02%	7.20%	5.84%	4.08%	5.01%	7.40%	3.80%	3.33%	4.95%	2.07%	1.49%	1.26%	9.60%	1.14%	2.09%	0.81%	0.86%	2.24%	0.56%	4.98%	2.69%	2.25%	3.21%	3.27%	3.08%	3.43%	1.31%	1.75%	2.22%	1.42%	2.07%	2.89%	2.25%	1.70%	1.48%	1.67%	1.40%	0.57%	1.46%	1.77%	1.90%	2.97%	2.24%	1.20%	2.72%	3.99%	2.65%	1.99%	3.70%	3.13%	2.47%	1.07%	1.47%	2.97%	0.66%	1.02%	2.71%	3.19%	2.43%	2.14%	2.91%	2.62%	2.25%	4.23%	3.24%	1.99%	3.37%	2.28%	2.99%	2.29%	4.04%	4.26%	4.74%	5.58%	2.93%	3.91%	4.13%	4.34%	3.55%	4.26%	5.85%	3.10%	3.11%	3.63%	8.05%	3.89%	6.51%	4.55%	5.13%	2.33%	1.75%	4.44%	3.08%	2.03%	2.07%	2.07%	1.01%	0.84%	0.00%	5.17%	0.00%	1.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	14046	142	97	219	160	129	131	85	87	80	80	103	107	192	127	117	209	151	134	81	57	113	149	33	15	45	40	85	97	193	166	132	182	140	146	129	119	155	161	164	124	158	153	207	153	125	112	144	162	133	124	157	156	118	169	184	121	179	221	174	71	99	103	77	123	111	147	143	151	156	140	151	184	123	142	142	137	178	157	131	181	109	134	125	113	82	183	152	79	148	82	111	162	119	165	178	96	113	62	186	172	132	169	167	170	95	17	7	6	11	28									
		22.60%	25.77%	26.65%	24.69%	20.75%	19.58%	19.88%	26.32%	21.07%	22.92%	21.33%	26.14%	24.26%	26.74%	22.92%	22.20%	23.20%	22.64%	21.30%	13.43%	17.92%	21.69%	16.99%	11.50%	12.10%	19.31%	12.82%	11.94%	20.12%	25.98%	24.92%	19.24%	22.03%	22.69%	22.74%	24.20%	20.84%	22.93%	22.84%	22.59%	21.09%	20.90%	20.05%	23.52%	18.28%	21.89%	21.21%	23.41%	23.86%	21.08%	16.76%	23.47%	23.32%	22.96%	24.96%	25.66%	20.13%	24.55%	26.63%	23.90%	19.03%	24.26%	21.82%	16.92%	20.95%	25.06%	26.02%	21.70%	23.05%	22.71%	21.54%	22.64%	23.56%	20.99%	21.81%	23.91%	22.28%	22.17%	21.19%	27.87%	26.62%	28.68%	28.76%	26.15%	22.07%	22.59%	25.59%	25.72%	25.90%	22.19%	21.19%	21.55%	23.55%	23.94%	29.20%	28.25%	21.82%	25.22%	28.84%	27.07%	23.15%	22.60%	22.90%	24.70%	23.51%	23.93%	14.29%	24.14%	10.34%	18.33%	16.47%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	289	4	0	4	6	3	3	1	0	1	1	2	2	1	2	1	1	3	1	3	0	4	5	1	0	0	0	0	1	2	1	1	7	3	6	4	7	7	3	4	1	7	8	7	6	7	1	0	4	3	3	3	3	4	0	2	3	8	4	8	1	0	1	2	4	0	4	5	1	3	1	3	2	4	5	2	0	2	2	3	4	2	4	3	2	1	1	4	1	0	0	4	3	5	5	3	1	2	0	3	3	3	4	1	2	3	1	0	0	1	1									
		0.46%	0.73%	0.00%	0.45%	0.78%	0.46%	0.46%	0.31%	0.00%	0.29%	0.27%	0.51%	0.45%	0.14%	0.36%	0.19%	0.11%	0.45%	0.16%	0.50%	0.00%	0.77%	0.57%	0.35%	0.00%	0.00%	0.00%	0.00%	0.21%	0.27%	0.15%	0.15%	0.85%	0.49%	0.93%	0.75%	1.23%	1.04%	0.43%	0.55%	0.17%	0.93%	1.05%	0.80%	0.72%	1.23%	0.19%	0.00%	0.59%	0.48%	0.41%	0.45%	0.45%	0.78%	0.00%	0.28%	0.50%	1.10%	0.48%	1.10%	0.27%	0.00%	0.21%	0.44%	0.68%	0.00%	0.71%	0.76%	0.15%	0.44%	0.15%	0.45%	0.26%	0.68%	0.77%	0.34%	0.00%	0.25%	0.27%	0.64%	0.59%	0.53%	0.86%	0.63%	0.39%	0.28%	0.14%	0.68%	0.33%	0.00%	0.00%	0.78%	0.44%	1.01%	0.88%	0.48%	0.23%	0.45%	0.00%	0.44%	0.40%	0.51%	0.54%	0.15%	0.28%	0.76%	0.84%	0.00%	0.00%	1.67%	0.59%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4834	41	29	65	62	57	51	28	42	24	30	40	37	62	57	49	82	52	46	29	15	45	33	9	7	15	23	25	57	85	60	69	68	47	52	42	64	64	62	59	40	48	58	64	56	53	27	49	45	58	49	59	44	40	67	96	53	51	66	58	20	23	22	26	40	36	47	37	56	47	62	49	57	63	58	52	66	62	77	44	61	29	46	37	39	25	43	51	17	41	27	30	53	37	43	37	24	20	11	50	30	46	55	56	75	15	11	2	7	0	7									
		7.78%	7.44%	7.97%	7.33%	8.04%	8.65%	7.74%	8.67%	10.17%	6.88%	8.00%	10.15%	8.39%	8.64%	10.29%	9.30%	9.10%	7.80%	7.31%	4.81%	4.72%	8.64%	3.76%	3.14%	5.65%	6.44%	7.37%	3.51%	11.83%	11.44%	9.01%	10.06%	8.23%	7.62%	8.10%	7.88%	11.21%	9.47%	8.79%	8.13%	6.80%	6.35%	7.60%	7.27%	6.69%	9.28%	5.11%	7.97%	6.63%	9.19%	6.62%	8.82%	6.58%	7.78%	9.90%	13.39%	8.82%	6.99%	7.95%	7.97%	5.36%	5.64%	4.66%	5.71%	6.81%	8.13%	8.32%	5.61%	8.55%	6.84%	9.54%	7.35%	7.30%	10.75%	8.91%	8.75%	10.73%	7.72%	10.39%	9.36%	8.97%	7.63%	9.87%	7.74%	7.62%	6.89%	6.01%	8.63%	5.57%	6.15%	6.98%	5.83%	7.70%	7.44%	7.61%	5.87%	5.45%	4.46%	5.12%	7.28%	4.04%	7.88%	7.45%	8.28%	10.37%	3.78%	9.24%	6.90%	12.07%	0.00%	4.12%									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
