Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																					
Дата голосования: 18.09.2016																																																																																																																																					
																																																																																																																																					
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																					
																																																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																					
																																																																																																																																					
		Сумма	УИК №901	УИК №902	УИК №903	УИК №904	УИК №905	УИК №906	УИК №907	УИК №908	УИК №909	УИК №910	УИК №911	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №980	УИК №981	УИК №982	УИК №983	УИК №5801	УИК №5802	УИК №5803	УИК №5804	УИК №5805	УИК №5806	УИК №5807	УИК №5809	УИК №5810	УИК №5811	УИК №5812	УИК №5813	УИК №5814	УИК №5815	УИК №5816	УИК №5817	УИК №5818	УИК №5819	УИК №5820	УИК №5821	УИК №5822	УИК №5823	УИК №5824	УИК №5825	УИК №5827	УИК №5828	УИК №5829	УИК №5830	УИК №5831	УИК №5832	УИК №5833	УИК №5834	УИК №5836	УИК №5837	УИК №5838	УИК №5839	УИК №5840	УИК №5841	УИК №5842	УИК №5843	УИК №5844	УИК №5845	УИК №5846	УИК №5847	УИК №5849	УИК №5850	УИК №5851	УИК №5852	УИК №5853	УИК №5855	УИК №5856	УИК №5857	УИК №5858	УИК №5859	УИК №5860	УИК №5861	УИК №5862	УИК №5863	УИК №5864	УИК №5865	УИК №5866	УИК №5867	УИК №5870	УИК №5871	УИК №5872	УИК №5873	УИК №5875	УИК №5876	УИК №5878	УИК №5879	УИК №5881	УИК №5882	УИК №5883	УИК №5884	УИК №5885	УИК №5886	УИК №5887	УИК №5889	УИК №5890	УИК №5891	УИК №5892	УИК №5894	УИК №5895	УИК №5896	УИК №5897	УИК №5898	УИК №5899	УИК №5900	УИК №5901	УИК №5902	УИК №5903	УИК №5904									
		1.81%	2.43%	0.71%	2.38%	2.48%	2.40%	2.28%	2.47%	0.89%	3.71%	3.40%	3.29%	1.96%	2.92%	2.16%	3.68%	2.51%	2.79%	1.08%	2.05%	1.83%	2.14%	1.17%	1.80%	1.10%	0.43%	2.07%	1.72%	1.00%	2.33%	3.33%	0.00%	0.00%	0.00%	2.86%	0.00%	0.00%	2.50%	2.44%	0.00%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	1.92%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	655	53	31	19	19	31	41	23	40	24	12	15	25	34	28	32	28	25	22	6	25	17	22	1	11	13	2	0	8	10	15	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0									
		3.94%	7.14%	4.41%	3.01%	3.14%	5.32%	5.20%	5.68%	11.87%	6.86%	5.11%	6.17%	7.00%	9.02%	4.31%	5.61%	5.86%	5.36%	3.40%	2.05%	4.57%	2.60%	3.67%	0.90%	3.01%	2.81%	1.38%	0.00%	4.00%	1.94%	5.56%	0.00%	0.00%	9.52%	0.00%	0.00%	0.00%	2.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	4.76%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.10%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.11%	4.76%	0.00%	1.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.89%	1.92%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	25	0	0	3	2	1	0	0	1	0	0	1	0	0	1	0	0	2	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.15%	0.00%	0.00%	0.48%	0.33%	0.17%	0.00%	0.00%	0.30%	0.00%	0.00%	0.41%	0.00%	0.00%	0.15%	0.00%	0.00%	0.43%	0.00%	0.00%	0.18%	0.31%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	4.00%	3.85%	0.00%	2.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.17%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	755	47	36	26	21	37	52	29	16	33	11	19	27	27	31	35	35	22	29	6	36	31	28	1	2	9	1	2	8	20	26	1	0	0	0	1	0	1	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	1	4	0	0	0	2	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	2	1	0	0	0	0	0	0	0	3	14	0	2	0	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0									
		4.54%	6.33%	5.12%	4.12%	3.47%	6.35%	6.60%	7.16%	4.75%	9.43%	4.68%	7.82%	7.56%	7.16%	4.78%	6.14%	7.32%	4.72%	4.48%	2.05%	6.58%	4.74%	4.67%	0.90%	0.55%	1.94%	0.69%	3.45%	4.00%	3.88%	9.63%	4.76%	0.00%	0.00%	0.00%	4.00%	0.00%	2.50%	2.44%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	5.26%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	3.85%	0.00%	2.50%	19.05%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	9.52%	0.00%	0.00%	0.00%	7.69%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.68%	8.97%	0.00%	7.69%	0.00%	0.00%	0.00%	5.88%	4.35%	1.16%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2929	135	125	110	116	115	181	92	72	59	35	40	78	85	133	131	130	100	156	73	111	175	153	21	44	67	3	11	38	50	41	2	8	1	8	4	3	4	7	3	1	2	0	2	1	2	1	0	4	2	4	2	5	3	0	5	4	3	3	0	5	1	0	1	0	0	2	3	0	3	11	0	0	0	0	0	0	3	3	0	0	4	3	0	5	1	3	3	5	0	5	0	7	4	0	8	15	0	7	1	2	0	0	1	9	3	15	4	2	6	4	1	0	0	1	0	0	6	0	1	6	1	0									
		17.63%	18.19%	17.78%	17.43%	19.17%	19.73%	22.97%	22.72%	21.36%	16.86%	14.89%	16.46%	21.85%	22.55%	20.49%	22.98%	27.20%	21.46%	24.07%	24.91%	20.29%	26.76%	25.50%	18.92%	12.05%	14.47%	2.07%	18.97%	19.00%	9.69%	15.19%	9.52%	11.76%	4.76%	22.86%	16.00%	12.00%	10.00%	17.07%	14.29%	6.25%	12.50%	0.00%	10.53%	4.55%	10.53%	8.33%	0.00%	5.26%	8.33%	22.22%	8.33%	20.00%	11.54%	0.00%	12.50%	19.05%	16.67%	13.04%	0.00%	5.95%	5.88%	0.00%	1.19%	0.00%	0.00%	9.09%	14.29%	0.00%	15.00%	3.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	13.04%	13.04%	0.00%	0.00%	10.81%	14.29%	0.00%	7.35%	3.85%	11.54%	16.67%	26.32%	0.00%	17.86%	0.00%	20.00%	16.00%	0.00%	7.14%	9.62%	0.00%	26.92%	5.88%	11.11%	0.00%	0.00%	4.35%	10.47%	3.41%	31.91%	6.90%	8.33%	22.22%	13.33%	3.57%	0.00%	0.00%	4.55%	0.00%	0.00%	54.55%	0.00%	5.56%	13.04%	4.55%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	121	7	3	6	2	4	0	1	2	0	1	0	1	0	4	3	0	4	4	20	3	6	4	3	4	6	6	1	0	5	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0									
		0.73%	0.94%	0.43%	0.95%	0.33%	0.69%	0.00%	0.25%	0.59%	0.00%	0.43%	0.00%	0.28%	0.00%	0.62%	0.53%	0.00%	0.86%	0.62%	6.83%	0.55%	0.92%	0.67%	2.70%	1.10%	1.30%	4.14%	1.72%	0.00%	0.97%	0.74%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	4.17%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.19%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	2.13%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	4.55%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1215	39	76	57	48	55	69	30	26	29	23	13	19	26	67	48	38	34	74	29	52	50	36	13	24	30	6	5	12	18	10	1	2	1	5	1	2	2	2	0	2	2	0	0	1	1	0	0	0	1	0	3	1	1	0	0	2	0	2	0	1	1	0	1	2	0	1	0	0	2	9	4	0	0	2	0	1	1	0	2	0	6	1	0	2	0	4	0	6	1	0	0	0	0	0	4	7	2	1	1	3	0	0	0	3	1	3	3	3	0	0	2	16	21	4	0	0	1	0	0	4	1	0									
		7.31%	5.26%	10.81%	9.03%	7.93%	9.43%	8.76%	7.41%	7.72%	8.29%	9.79%	5.35%	5.32%	6.90%	10.32%	8.42%	7.95%	7.30%	11.42%	9.90%	9.51%	7.65%	6.00%	11.71%	6.58%	6.48%	4.14%	8.62%	6.00%	3.49%	3.70%	4.76%	2.94%	4.76%	14.29%	4.00%	8.00%	5.00%	4.88%	0.00%	12.50%	12.50%	0.00%	0.00%	4.55%	5.26%	0.00%	0.00%	0.00%	4.17%	0.00%	12.50%	4.00%	3.85%	0.00%	0.00%	9.52%	0.00%	8.70%	0.00%	1.19%	5.88%	0.00%	1.19%	11.11%	0.00%	4.55%	0.00%	0.00%	10.00%	2.47%	22.22%	0.00%	0.00%	10.53%	0.00%	4.76%	4.35%	0.00%	8.70%	0.00%	16.22%	4.76%	0.00%	2.94%	0.00%	15.38%	0.00%	31.58%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	4.49%	22.22%	3.85%	5.88%	16.67%	0.00%	0.00%	0.00%	3.49%	1.14%	6.38%	5.17%	12.50%	0.00%	0.00%	7.14%	69.57%	100.00%	18.18%	0.00%	0.00%	9.09%	0.00%	0.00%	8.70%	4.55%	0.00%									
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
																																																																																																																																					
