Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская																																																																																																		
																																																																																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																		
																																																																																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №174	УИК №175					
		0.20%	0.28%	0.37%	0.27%	0.0%	0.28%	0.25%	0.67%	0.08%	0.0%	0.07%	0.06%	0.48%	0.47%	0.93%	0.20%	0.13%	0.0%	0.23%	0.20%	0.0%	0.23%	0.20%	0.41%	0.0%	0.49%	0.45%	0.54%	0.0%	1.52%	0.09%	0.14%	0.21%	0.16%	0.08%	0.21%	0.29%	0.26%	0.17%	0.0%	0.16%	0.23%	0.32%	0.14%	0.10%	0.35%	0.08%	0.20%	0.0%	0.16%	0.22%	0.16%	0.0%	0.08%	0.19%	0.21%	0.45%	0.0%	0.52%	0.69%	0.07%	0.11%	0.09%	0.0%	0.08%	0.20%	0.18%	0.07%	0.30%	0.26%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	1.96%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.72%	7.14%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	1407	21	30	21	12	15	18	4	18	39	47	31	15	12	25	12	26	8	28	12	9	11	6	30	10	13	16	0	4	8	14	17	27	18	20	11	33	5	19	12	22	25	19	27	15	7	23	17	14	10	26	27	28	21	23	12	21	22	34	8	31	35	21	26	28	26	18	16	20	14	11	9	10	2	3	4	2	2	1	3	6	3	15	2	8	7	2	3	0	0	1	0					
		1.87%	2.00%	2.77%	1.93%	1.25%	1.44%	1.5%	0.89%	1.56%	2.85%	3.75%	2.15%	1.21%	1.43%	2.91%	2.46%	3.40%	0.87%	2.20%	1.22%	1.09%	2.57%	1.22%	1.77%	1.78%	3.22%	1.46%	0.0%	1.39%	3.04%	1.33%	1.27%	1.96%	1.52%	1.61%	1.17%	2.40%	1.30%	1.62%	0.98%	1.81%	1.95%	1.53%	1.96%	1.51%	0.81%	1.88%	1.71%	1.49%	0.82%	1.94%	2.26%	2.29%	1.86%	2.28%	2.59%	1.91%	2.55%	3.55%	0.92%	2.25%	1.97%	1.99%	2.08%	2.26%	2.72%	1.67%	1.18%	1.53%	1.88%	1.55%	1.73%	4.83%	2.89%	1.71%	4.12%	3.92%	2.70%	0.99%	3.44%	4.28%	1.24%	3.37%	0.82%	2.66%	1.76%	1.30%	1.69%	0.0%	0.0%	7.14%	0.0%					
32	"15. ""Партия СЛОН"""	117	0	0	0	0	1	1	1	1	2	3	3	2	4	0	2	2	2	4	1	0	0	1	5	1	0	1	0	2	0	2	1	3	4	2	2	1	1	3	3	2	3	1	1	0	0	2	0	3	0	3	3	3	1	1	0	3	1	2	1	5	1	0	3	4	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	2	0	2	1	0	3	0	0	0	1	0	0					
		0.15%	0.0%	0.0%	0.0%	0.0%	0.09%	0.08%	0.22%	0.08%	0.14%	0.23%	0.20%	0.16%	0.47%	0.0%	0.41%	0.26%	0.21%	0.31%	0.10%	0.0%	0.0%	0.20%	0.29%	0.17%	0.0%	0.09%	0.0%	0.69%	0.0%	0.19%	0.07%	0.21%	0.33%	0.16%	0.21%	0.07%	0.26%	0.25%	0.24%	0.16%	0.23%	0.08%	0.07%	0.0%	0.0%	0.16%	0.0%	0.32%	0.0%	0.22%	0.25%	0.24%	0.08%	0.09%	0.0%	0.27%	0.11%	0.20%	0.11%	0.36%	0.05%	0.0%	0.24%	0.32%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.19%	0.0%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	1.42%	0.0%	0.45%	0.41%	0.0%	0.75%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6693	68	77	69	77	87	109	32	107	142	123	119	73	52	89	31	83	120	146	84	86	36	46	131	53	20	70	12	21	17	105	123	111	103	134	83	141	22	127	113	107	140	142	156	111	73	115	80	84	120	147	108	134	106	98	49	81	63	100	74	124	139	112	130	119	85	124	115	124	55	32	37	9	3	9	6	5	0	10	0	0	0	21	32	19	14	13	13	8	5	0	0					
		8.93%	6.48%	7.12%	6.37%	8.03%	8.35%	9.08%	7.17%	9.29%	10.38%	9.81%	8.26%	5.91%	6.21%	10.38%	6.36%	10.87%	13.18%	11.50%	8.54%	10.43%	8.41%	9.36%	7.74%	9.46%	4.96%	6.42%	6.55%	7.31%	6.46%	10.02%	9.19%	8.08%	8.72%	10.83%	8.82%	10.26%	5.72%	10.83%	9.26%	8.82%	10.92%	11.46%	11.34%	11.20%	8.52%	9.40%	8.04%	8.98%	9.86%	10.98%	9.06%	10.96%	9.43%	9.72%	10.60%	7.39%	7.32%	10.44%	8.52%	9.01%	7.82%	10.63%	10.42%	9.61%	8.91%	11.51%	8.48%	9.50%	7.41%	4.51%	7.11%	4.34%	4.34%	5.14%	6.18%	9.80%	0.0%	9.90%	0.0%	0.0%	0.0%	4.72%	13.16%	6.33%	3.53%	8.49%	7.34%	10.81%	3.62%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	141	4	2	3	1	0	2	0	2	2	1	2	7	5	2	0	1	1	2	0	0	0	1	5	0	1	1	3	2	1	1	3	0	1	1	3	2	3	3	1	2	2	0	2	1	2	1	2	1	0	1	3	1	0	3	1	1	3	0	2	3	6	1	3	4	0	0	1	1	3	0	0	1	0	0	1	0	1	0	0	8	1	4	0	1	3	0	2	0	0	0	0					
		0.18%	0.38%	0.18%	0.27%	0.10%	0.0%	0.16%	0.0%	0.17%	0.14%	0.07%	0.13%	0.56%	0.59%	0.23%	0.0%	0.13%	0.10%	0.15%	0.0%	0.0%	0.0%	0.20%	0.29%	0.0%	0.24%	0.09%	1.63%	0.69%	0.38%	0.09%	0.22%	0.0%	0.08%	0.08%	0.31%	0.14%	0.78%	0.25%	0.08%	0.16%	0.15%	0.0%	0.14%	0.10%	0.23%	0.08%	0.20%	0.10%	0.0%	0.07%	0.25%	0.08%	0.0%	0.29%	0.21%	0.09%	0.34%	0.0%	0.23%	0.21%	0.33%	0.09%	0.24%	0.32%	0.0%	0.0%	0.07%	0.07%	0.40%	0.0%	0.0%	0.48%	0.0%	0.0%	1.03%	0.0%	1.35%	0.0%	0.0%	5.71%	0.41%	0.90%	0.0%	0.33%	0.75%	0.0%	1.12%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	11338	230	202	185	191	196	217	67	195	231	193	256	256	173	148	96	114	132	191	136	120	70	64	235	66	60	193	39	48	58	150	191	171	171	144	124	186	59	176	153	130	149	141	184	126	109	169	140	128	208	206	145	158	185	180	66	166	130	140	99	200	312	187	172	133	164	105	200	184	131	108	59	37	5	23	7	14	9	9	6	19	63	115	31	42	78	17	33	9	20	0	0					
		15.14%	21.92%	18.70%	17.08%	19.93%	18.82%	18.08%	15.02%	16.94%	16.89%	15.40%	17.77%	20.74%	20.66%	17.26%	19.71%	14.94%	14.50%	15.05%	13.83%	14.56%	16.35%	13.03%	13.88%	11.78%	14.88%	17.70%	21.31%	16.72%	22.05%	14.32%	14.28%	12.45%	14.47%	11.64%	13.19%	13.53%	15.36%	15.01%	12.55%	10.71%	11.62%	11.38%	13.38%	12.71%	12.73%	13.81%	14.08%	13.68%	17.10%	15.39%	12.17%	12.92%	16.47%	17.85%	14.28%	15.14%	15.11%	14.62%	11.40%	14.54%	17.56%	17.75%	13.79%	10.74%	17.20%	9.74%	14.76%	14.11%	17.65%	15.25%	11.34%	17.87%	7.24%	13.14%	7.21%	27.45%	12.16%	8.91%	6.89%	13.57%	26.14%	25.90%	12.75%	14.0%	19.69%	11.11%	18.64%	12.16%	14.49%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1073	8	20	20	13	21	23	3	23	20	17	21	18	13	7	8	11	8	15	23	11	9	7	13	6	11	19	5	2	6	17	24	24	16	18	17	18	1	23	19	17	21	21	14	9	10	10	17	12	18	10	16	9	16	12	5	8	15	11	8	22	19	18	14	16	9	36	26	23	17	9	5	2	1	2	1	1	2	0	1	3	1	8	3	8	4	1	1	1	2	0	0					
		1.43%	0.76%	1.85%	1.84%	1.35%	2.01%	1.91%	0.67%	1.99%	1.46%	1.35%	1.45%	1.45%	1.55%	0.81%	1.64%	1.44%	0.87%	1.18%	2.33%	1.33%	2.10%	1.42%	0.76%	1.07%	2.72%	1.74%	2.73%	0.69%	2.28%	1.62%	1.79%	1.74%	1.35%	1.45%	1.80%	1.31%	0.26%	1.96%	1.55%	1.40%	1.63%	1.69%	1.01%	0.90%	1.16%	0.81%	1.71%	1.28%	1.48%	0.74%	1.34%	0.73%	1.42%	1.19%	1.08%	0.72%	1.74%	1.14%	0.92%	1.6%	1.06%	1.70%	1.12%	1.29%	0.94%	3.34%	1.91%	1.76%	2.29%	1.27%	0.96%	0.96%	1.44%	1.14%	1.03%	1.96%	2.70%	0.0%	1.14%	2.14%	0.41%	1.80%	1.23%	2.66%	1.01%	0.65%	0.56%	1.35%	1.44%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	25097	408	384	348	345	333	403	169	418	476	434	519	420	326	306	184	250	267	375	301	288	137	162	651	216	145	417	60	90	88	348	443	482	394	370	340	397	136	369	404	408	429	404	432	310	269	429	322	297	360	404	413	363	345	308	131	403	279	301	312	440	588	296	401	401	289	335	492	416	234	294	183	72	31	66	24	3	29	38	37	20	101	134	104	112	189	76	67	21	67	10	5					
		33.51%	38.89%	35.55%	32.13%	36.01%	31.98%	33.58%	37.89%	36.31%	34.82%	34.63%	36.04%	34.03%	38.94%	35.70%	37.78%	32.76%	29.34%	29.55%	30.62%	34.95%	32.00%	32.99%	38.47%	38.57%	35.98%	38.25%	32.78%	31.35%	33.46%	33.23%	33.13%	35.10%	33.36%	29.91%	36.17%	28.89%	35.41%	31.48%	33.14%	33.63%	33.46%	32.60%	31.41%	31.28%	31.42%	35.07%	32.39%	31.76%	29.60%	30.19%	34.67%	29.70%	30.72%	30.55%	28.35%	36.77%	32.44%	31.45%	35.94%	32.0%	33.10%	28.11%	32.15%	32.39%	30.32%	31.10%	36.30%	31.90%	31.53%	41.52%	35.19%	34.78%	44.92%	37.71%	24.74%	5.88%	39.18%	37.62%	42.52%	14.28%	41.90%	30.18%	42.79%	37.33%	47.72%	49.67%	37.85%	28.37%	48.55%	71.42%	62.5%					
38	"21. ""Российская Конституционно-демократическая партия"""	114	5	0	1	0	4	1	0	1	1	2	2	5	2	1	0	2	0	3	1	1	3	1	4	0	2	2	0	0	1	2	3	1	0	4	1	3	1	1	2	1	3	1	1	0	1	1	1	0	2	2	2	0	1	2	0	1	3	1	2	1	2	2	2	2	2	1	0	2	1	2	2	0	0	1	0	0	0	0	0	1	1	1	0	2	0	0	0	0	1	0	0					
		0.15%	0.47%	0.0%	0.09%	0.0%	0.38%	0.08%	0.0%	0.08%	0.07%	0.15%	0.13%	0.40%	0.23%	0.11%	0.0%	0.26%	0.0%	0.23%	0.10%	0.12%	0.70%	0.20%	0.23%	0.0%	0.49%	0.18%	0.0%	0.0%	0.38%	0.19%	0.22%	0.07%	0.0%	0.32%	0.10%	0.21%	0.26%	0.08%	0.16%	0.08%	0.23%	0.08%	0.07%	0.0%	0.11%	0.08%	0.10%	0.0%	0.16%	0.14%	0.16%	0.0%	0.08%	0.19%	0.0%	0.09%	0.34%	0.10%	0.23%	0.07%	0.11%	0.18%	0.16%	0.16%	0.20%	0.09%	0.0%	0.15%	0.13%	0.28%	0.38%	0.0%	0.0%	0.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.41%	0.22%	0.0%	0.66%	0.0%	0.0%	0.0%	0.0%	0.72%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	300	4	5	1	1	2	1	0	4	3	5	6	4	2	3	2	6	4	1	6	7	1	1	7	3	0	5	0	0	1	7	6	6	6	7	3	13	2	3	6	4	4	9	8	2	1	8	7	5	2	9	6	1	3	3	2	7	3	6	4	6	5	5	10	1	4	5	5	2	1	3	1	5	0	0	0	0	1	0	0	0	1	1	1	2	1	1	0	0	1	0	0					
		0.40%	0.38%	0.46%	0.09%	0.10%	0.19%	0.08%	0.0%	0.34%	0.21%	0.39%	0.41%	0.32%	0.23%	0.35%	0.41%	0.78%	0.43%	0.07%	0.61%	0.84%	0.23%	0.20%	0.41%	0.53%	0.0%	0.45%	0.0%	0.0%	0.38%	0.66%	0.44%	0.43%	0.50%	0.56%	0.31%	0.94%	0.52%	0.25%	0.49%	0.32%	0.31%	0.72%	0.58%	0.20%	0.11%	0.65%	0.70%	0.53%	0.16%	0.67%	0.50%	0.08%	0.26%	0.29%	0.43%	0.63%	0.34%	0.62%	0.46%	0.43%	0.28%	0.47%	0.80%	0.08%	0.41%	0.46%	0.36%	0.15%	0.13%	0.42%	0.19%	2.41%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.41%	0.22%	0.41%	0.66%	0.25%	0.65%	0.0%	0.0%	0.72%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6800	81	93	62	71	81	112	43	73	121	133	119	91	46	59	35	46	104	131	80	74	42	67	130	60	39	135	17	32	15	80	114	136	96	106	76	145	29	101	113	132	86	99	120	79	110	105	79	104	117	135	131	123	97	110	43	86	72	104	70	135	134	90	133	173	96	99	131	151	84	67	77	16	9	12	13	1	5	18	0	10	13	24	18	33	22	12	15	10	9	0	0					
		9.08%	7.72%	8.61%	5.72%	7.41%	7.78%	9.33%	9.64%	6.34%	8.85%	10.61%	8.26%	7.37%	5.49%	6.88%	7.18%	6.02%	11.42%	10.32%	8.13%	8.98%	9.81%	13.64%	7.68%	10.71%	9.67%	12.38%	9.28%	11.14%	5.70%	7.64%	8.52%	9.90%	8.12%	8.56%	8.08%	10.55%	7.55%	8.61%	9.26%	10.88%	6.70%	7.99%	8.72%	7.97%	12.85%	8.58%	7.94%	11.12%	9.62%	10.08%	10.99%	10.06%	8.63%	10.91%	9.30%	7.84%	8.37%	10.86%	8.06%	9.81%	7.54%	8.54%	10.66%	13.97%	10.07%	9.19%	9.66%	11.57%	11.32%	9.46%	14.80%	7.72%	13.04%	6.85%	13.40%	1.96%	6.75%	17.82%	0.0%	7.14%	5.39%	5.40%	7.40%	11.0%	5.55%	7.84%	8.47%	13.51%	6.52%	0.0%	0.0%					
																																																																																																		
41	Против всех	3707	51	69	52	36	56	41	20	46	55	39	60	73	43	37	19	48	52	69	47	37	23	26	63	20	13	41	14	15	15	65	67	60	54	58	45	64	27	63	59	56	56	59	88	52	36	63	56	57	59	50	45	63	55	39	32	68	46	47	52	69	98	60	45	68	45	49	63	73	31	32	31	19	3	12	6	7	7	7	22	5	19	36	11	17	19	5	12	5	10	0	0					
		4.95%	4.86%	6.38%	4.80%	3.75%	5.37%	3.41%	4.48%	3.99%	4.02%	3.11%	4.16%	5.91%	5.13%	4.31%	3.90%	6.29%	5.71%	5.43%	4.78%	4.49%	5.37%	5.29%	3.72%	3.57%	3.22%	3.76%	7.65%	5.22%	5.70%	6.20%	5.01%	4.36%	4.57%	4.68%	4.78%	4.65%	7.03%	5.37%	4.84%	4.61%	4.36%	4.76%	6.4%	5.24%	4.20%	5.15%	5.63%	6.09%	4.85%	3.73%	3.77%	5.15%	4.89%	3.86%	6.92%	6.20%	5.34%	4.91%	5.99%	5.01%	5.51%	5.69%	3.60%	5.49%	4.72%	4.54%	4.64%	5.59%	4.17%	4.51%	5.96%	9.17%	4.34%	6.85%	6.18%	13.72%	9.45%	6.93%	25.28%	3.57%	7.88%	8.10%	4.52%	5.66%	4.79%	3.26%	6.77%	6.75%	7.24%	0.0%	0.0%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
