Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																
Дата голосования: 18.09.2016																																																																																																																																																
																																																																																																																																																
Наименование Избирательной комиссии:    Братская городская																																																																																																																																																
																																																																																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																
																																																																																																																																																
		Сумма	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №1891	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №8020	УИК №8023	УИК №8056	УИК №8057	УИК №8058	УИК №8066	УИК №8067	УИК №8068	УИК №8069	УИК №8070	УИК №8079	УИК №8099	УИК №8100	УИК №8101	УИК №8102	УИК №8104	УИК №8105	УИК №8106	УИК №8107	УИК №8158	УИК №8173	УИК №8174	УИК №8185	УИК №8200	УИК №8201	УИК №8202	УИК №8267	УИК №8270	УИК №8284	УИК №8326	УИК №8329	УИК №8352	УИК №8353									
		19.09%	26.54%	22.61%	24.30%	22.05%	20.00%	24.15%	21.98%	20.79%	20.30%	19.48%	21.26%	23.30%	22.80%	18.91%	20.47%	24.45%	18.70%	17.86%	20.30%	18.11%	24.32%	21.15%	20.04%	19.39%	17.70%	21.13%	22.43%	15.78%	23.32%	21.32%	23.16%	23.76%	16.30%	19.43%	21.73%	15.50%	22.45%	18.49%	20.95%	17.58%	20.32%	23.19%	21.70%	21.71%	22.42%	21.95%	18.10%	20.19%	22.58%	19.96%	19.39%	20.75%	25.56%	19.18%	23.21%	20.18%	19.51%	18.01%	23.72%	16.14%	14.49%	19.03%	22.72%	23.80%	20.39%	17.73%	18.57%	15.79%	14.43%	20.15%	21.84%	19.81%	23.13%	18.95%	15.36%	16.77%	20.72%	18.59%	23.19%	20.81%	22.87%	23.11%	31.02%	20.20%	19.19%	19.17%	29.41%	13.22%	16.67%	18.83%	23.26%	24.07%	22.87%	24.09%	20.00%	30.30%	16.06%	31.09%	23.46%	23.61%	16.36%	10.16%	8.57%	12.04%	4.65%	15.88%	8.79%	10.69%	25.00%	18.60%	6.18%	9.93%	10.00%	0.00%	16.55%	6.52%	17.86%	11.56%	7.41%	8.76%	9.14%	14.43%	7.28%	15.31%	5.08%	6.27%	10.52%	5.88%	10.78%	5.92%	7.29%	11.24%	10.77%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	737	0	3	2	4	1	4	6	3	4	4	3	4	2	1	1	2	2	7	7	3	2	2	0	8	5	1	4	5	1	5	12	5	6	4	5	3	2	3	6	5	5	8	9	2	8	5	6	10	5	8	2	8	0	0	5	7	2	4	2	2	5	8	5	6	4	8	0	4	9	7	1	6	8	10	5	9	8	3	3	4	1	4	3	1	1	1	0	1	0	6	1	4	2	2	0	0	0	4	0	0	2	7	0	3	3	11	9	14	0	10	17	3	4	0	5	1	0	5	0	78	15	4	0	5	4	16	16	12	72	1	23	4	4									
		1.16%	0.00%	1.06%	0.37%	0.87%	0.22%	0.80%	1.29%	0.54%	0.74%	0.94%	0.54%	1.14%	0.55%	0.23%	0.18%	0.73%	0.26%	0.76%	1.04%	0.38%	0.27%	0.43%	0.00%	1.06%	0.69%	0.17%	0.61%	0.76%	0.15%	0.65%	1.53%	0.83%	0.82%	0.46%	0.70%	0.66%	0.68%	0.38%	0.80%	0.67%	0.66%	1.45%	1.63%	0.28%	1.03%	0.61%	1.03%	1.56%	0.84%	1.60%	0.24%	1.30%	0.00%	0.00%	1.12%	0.89%	0.49%	0.92%	1.28%	0.58%	0.81%	0.92%	0.80%	1.20%	0.55%	1.24%	0.00%	0.51%	1.01%	1.32%	0.20%	1.13%	0.99%	1.01%	0.75%	1.15%	1.06%	0.71%	0.47%	0.62%	0.15%	0.76%	1.22%	0.20%	0.27%	0.42%	0.00%	0.41%	0.00%	0.82%	0.17%	0.62%	0.61%	0.36%	0.00%	0.00%	0.00%	1.50%	0.00%	0.00%	0.74%	2.73%	0.00%	2.78%	3.49%	4.72%	3.77%	8.81%	0.00%	1.79%	5.00%	0.73%	4.00%	0.00%	3.45%	0.36%	0.00%	2.89%	0.00%	5.94%	4.42%	4.12%	0.00%	2.55%	3.39%	4.78%	3.06%	5.43%	16.51%	0.66%	5.99%	1.55%	6.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	843	2	1	0	2	2	4	4	6	2	4	2	1	1	5	1	2	11	16	1	9	5	4	6	7	9	3	8	1	3	7	7	8	9	9	7	3	1	12	7	9	5	5	7	6	9	15	5	8	7	1	10	9	3	2	0	10	3	2	0	5	3	13	7	5	9	15	14	13	14	7	4	11	11	9	6	9	3	2	4	7	5	3	7	1	3	1	1	0	1	5	2	1	3	1	2	0	0	0	1	0	0	6	2	6	4	7	8	5	0	7	16	17	3	3	5	5	3	17	1	67	15	9	2	6	4	22	11	13	17	10	18	10	8									
		1.33%	0.62%	0.35%	0.00%	0.44%	0.44%	0.80%	0.86%	1.08%	0.37%	0.94%	0.36%	0.28%	0.27%	1.14%	0.18%	0.73%	1.43%	1.73%	0.15%	1.13%	0.68%	0.85%	1.23%	0.92%	1.23%	0.52%	1.23%	0.15%	0.46%	0.90%	0.89%	1.32%	1.23%	1.03%	0.97%	0.66%	0.34%	1.51%	0.93%	1.20%	0.66%	0.91%	1.27%	0.84%	1.16%	1.83%	0.86%	1.25%	1.17%	0.20%	1.18%	1.46%	1.67%	0.55%	0.00%	1.28%	0.74%	0.46%	0.00%	1.44%	0.48%	1.50%	1.12%	1.00%	1.25%	2.33%	2.22%	1.67%	1.57%	1.32%	0.82%	2.08%	1.37%	0.91%	0.90%	1.15%	0.40%	0.47%	0.63%	1.09%	0.76%	0.57%	2.86%	0.20%	0.81%	0.42%	0.59%	0.00%	0.48%	0.68%	0.33%	0.15%	0.91%	0.18%	1.60%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	2.34%	1.90%	5.56%	4.65%	3.00%	3.35%	3.14%	0.00%	1.25%	4.71%	4.12%	3.00%	12.50%	3.45%	1.81%	3.57%	9.83%	1.23%	5.10%	4.42%	9.28%	0.54%	3.06%	3.39%	6.57%	2.10%	5.88%	3.90%	6.58%	4.69%	3.88%	12.31%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	55	0	1	2	2	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	2	1	0	0	1	0	0	0	0	1	0	0	1	0	2	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	2	1	0	0	1	0	1	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0									
		0.09%	0.00%	0.35%	0.37%	0.44%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.27%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.25%	0.14%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.17%	0.00%	0.23%	0.00%	0.22%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.22%	0.13%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.16%	0.00%	0.11%	0.38%	0.20%	0.00%	0.00%	0.10%	0.00%	0.13%	0.00%	0.00%	0.16%	0.00%	0.00%	0.38%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.15%	0.00%	0.00%	0.00%	0.00%	0.73%	0.37%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	1.26%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.19%	0.45%	0.00%	0.00%	0.26%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1667	2	2	4	3	3	6	8	5	9	6	11	1	4	4	1	1	9	10	10	14	9	6	6	9	14	12	10	8	7	9	18	17	9	13	15	13	3	10	12	10	7	5	8	10	18	6	10	6	11	11	25	12	0	2	2	8	7	6	4	7	17	20	9	6	7	16	10	13	12	10	7	9	12	18	7	12	6	9	11	8	8	6	4	4	2	4	1	3	1	4	15	4	1	4	3	1	3	2	0	0	7	31	9	14	10	18	5	17	1	16	86	23	3	1	11	1	1	16	1	212	47	7	4	8	14	38	53	25	63	5	110	27	6									
		2.63%	0.62%	0.71%	0.75%	0.66%	0.67%	1.20%	1.72%	0.90%	1.68%	1.41%	1.98%	0.28%	1.10%	0.91%	0.18%	0.36%	1.17%	1.08%	1.49%	1.76%	1.23%	1.28%	1.23%	1.19%	1.92%	2.06%	1.54%	1.21%	1.07%	1.16%	2.29%	2.81%	1.23%	1.49%	2.09%	2.84%	1.02%	1.26%	1.59%	1.33%	0.92%	0.91%	1.45%	1.40%	2.32%	0.73%	1.72%	0.94%	1.84%	2.20%	2.94%	1.94%	0.00%	0.55%	0.45%	1.02%	1.73%	1.39%	2.56%	2.02%	2.74%	2.31%	1.44%	1.20%	0.97%	2.49%	1.59%	1.67%	1.34%	1.88%	1.43%	1.70%	1.49%	1.82%	1.05%	1.54%	0.80%	2.12%	1.74%	1.24%	1.22%	1.14%	1.63%	0.80%	0.54%	1.67%	0.59%	1.24%	0.48%	0.55%	2.49%	0.62%	0.30%	0.73%	2.40%	1.52%	2.19%	0.75%	0.00%	0.00%	2.60%	12.11%	8.57%	12.96%	11.63%	7.73%	2.09%	10.69%	3.57%	2.86%	25.29%	5.57%	3.00%	4.17%	7.59%	0.36%	1.19%	9.25%	1.23%	16.15%	13.86%	7.22%	1.08%	4.08%	11.86%	11.34%	10.13%	11.31%	14.45%	3.29%	28.65%	10.47%	9.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	14237	54	53	99	110	93	89	85	127	111	85	122	102	71	103	135	70	172	216	157	162	177	96	97	157	153	120	120	172	132	195	183	135	164	205	158	117	57	214	176	168	148	123	118	148	162	185	157	146	145	120	209	174	26	60	131	212	115	114	44	109	206	212	162	135	164	153	140	205	272	129	122	98	217	298	178	219	214	115	170	185	177	123	60	153	124	78	48	106	58	217	181	175	101	99	42	13	21	19	19	19	29	31	13	18	14	20	33	16	1	77	28	55	30	4	24	28	13	20	3	133	34	11	54	18	8	38	31	38	42	16	33	32	7									
		22.47%	16.67%	18.73%	18.50%	24.02%	20.67%	17.76%	18.32%	22.76%	20.67%	19.95%	21.98%	28.98%	19.51%	23.46%	24.24%	25.55%	22.34%	23.38%	23.43%	20.38%	24.18%	20.51%	19.84%	20.71%	20.99%	20.62%	18.43%	26.10%	20.12%	25.19%	23.28%	22.28%	22.47%	23.56%	22.01%	25.55%	19.39%	26.92%	23.34%	22.37%	19.53%	22.28%	21.34%	20.73%	20.88%	22.56%	27.07%	22.85%	24.25%	23.95%	24.56%	28.20%	14.44%	16.44%	29.24%	27.08%	28.40%	26.33%	28.21%	31.41%	33.17%	24.45%	25.92%	27.00%	22.75%	23.79%	22.22%	26.32%	30.43%	24.29%	24.90%	18.49%	26.99%	30.19%	26.81%	28.04%	28.42%	27.06%	26.81%	28.73%	26.98%	23.30%	24.49%	30.60%	33.51%	32.50%	28.24%	43.80%	27.62%	29.60%	30.07%	27.01%	30.79%	18.07%	33.60%	19.70%	15.33%	7.12%	23.46%	26.39%	10.78%	12.11%	12.38%	16.67%	16.28%	8.58%	13.81%	10.06%	3.57%	13.77%	8.24%	13.32%	30.00%	16.67%	16.55%	10.14%	15.48%	11.56%	3.70%	10.13%	10.03%	11.34%	14.56%	9.18%	6.78%	11.34%	5.93%	17.19%	9.63%	10.53%	8.59%	12.40%	10.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	301	1	1	1	1	4	1	4	0	4	4	4	0	1	0	0	1	3	4	2	4	2	1	0	4	1	2	3	3	3	3	3	5	6	7	3	3	0	1	6	0	2	2	2	1	4	3	6	2	2	2	2	1	1	2	3	3	1	6	1	2	2	5	4	2	1	3	2	2	1	2	1	2	1	7	1	4	2	2	2	1	4	1	2	3	3	0	0	0	1	4	2	1	2	2	0	1	1	1	0	1	0	3	1	1	2	4	2	0	1	6	3	2	2	0	3	3	0	5	0	8	4	1	4	1	0	9	8	1	4	1	2	0	0									
		0.48%	0.31%	0.35%	0.19%	0.22%	0.89%	0.20%	0.86%	0.00%	0.74%	0.94%	0.72%	0.00%	0.27%	0.00%	0.00%	0.36%	0.39%	0.43%	0.30%	0.50%	0.27%	0.21%	0.00%	0.53%	0.14%	0.34%	0.46%	0.46%	0.46%	0.39%	0.38%	0.83%	0.82%	0.80%	0.42%	0.66%	0.00%	0.13%	0.80%	0.00%	0.26%	0.36%	0.36%	0.14%	0.52%	0.37%	1.03%	0.31%	0.33%	0.40%	0.24%	0.16%	0.56%	0.55%	0.67%	0.38%	0.25%	1.39%	0.64%	0.58%	0.32%	0.58%	0.64%	0.40%	0.14%	0.47%	0.32%	0.26%	0.11%	0.38%	0.20%	0.38%	0.12%	0.71%	0.15%	0.51%	0.27%	0.47%	0.32%	0.16%	0.61%	0.19%	0.82%	0.60%	0.81%	0.00%	0.00%	0.00%	0.48%	0.55%	0.33%	0.15%	0.61%	0.36%	0.00%	1.52%	0.73%	0.37%	0.00%	1.39%	0.00%	1.17%	0.95%	0.93%	2.33%	1.72%	0.84%	0.00%	3.57%	1.07%	0.88%	0.48%	2.00%	0.00%	2.07%	1.09%	0.00%	2.89%	0.00%	0.61%	1.18%	1.03%	1.08%	0.51%	0.00%	2.69%	1.53%	0.45%	0.92%	0.66%	0.52%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3723	6	5	23	41	47	53	32	48	47	43	56	28	15	18	14	9	89	82	74	79	51	45	51	78	61	68	69	69	44	69	60	45	75	82	65	37	19	61	59	79	36	44	50	65	56	58	43	68	39	42	79	41	5	12	16	20	13	14	7	11	18	46	12	10	54	26	40	35	24	17	12	19	37	34	26	28	28	24	29	22	21	35	6	17	14	3	2	6	7	25	14	17	8	12	2	5	6	10	3	0	5	9	1	1	2	7	11	6	0	29	6	14	2	0	10	10	1	5	3	34	7	0	6	7	2	13	12	11	12	3	15	9	1									
		5.88%	1.85%	1.77%	4.30%	8.95%	10.44%	10.58%	6.90%	8.60%	8.75%	10.09%	10.09%	7.95%	4.12%	4.10%	2.51%	3.28%	11.56%	8.87%	11.04%	9.94%	6.97%	9.62%	10.43%	10.29%	8.37%	11.68%	10.60%	10.47%	6.71%	8.91%	7.63%	7.43%	10.27%	9.43%	9.05%	8.08%	6.46%	7.67%	7.82%	10.52%	4.75%	7.97%	9.04%	9.10%	7.22%	7.07%	7.41%	10.64%	6.52%	8.38%	9.28%	6.65%	2.78%	3.29%	3.57%	2.55%	3.21%	3.23%	4.49%	3.17%	2.90%	5.31%	1.92%	2.00%	7.49%	4.04%	6.35%	4.49%	2.68%	3.20%	2.45%	3.58%	4.60%	3.44%	3.92%	3.59%	3.72%	5.65%	4.57%	3.42%	3.20%	6.63%	2.45%	3.40%	3.78%	1.25%	1.18%	2.48%	3.33%	3.41%	2.33%	2.62%	2.44%	2.19%	1.60%	7.58%	4.38%	3.75%	3.70%	0.00%	1.86%	3.52%	0.95%	0.93%	2.33%	3.00%	4.60%	3.77%	0.00%	5.19%	1.76%	3.39%	2.00%	0.00%	6.90%	3.62%	1.19%	2.89%	3.70%	2.59%	2.06%	0.00%	1.62%	3.57%	1.69%	3.88%	2.29%	4.98%	2.75%	1.97%	3.91%	3.49%	1.54%									
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
																																																																																																																																																
