Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																									
Дата голосования: 02.12.2007																																																																																																																									
																																																																																																																									
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																									
																																																																																																																									
Сводная таблица результатов выборов																																																																																																																									
																																																																																																																									
		Сумма	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №2595	УИК №2596	УИК №2597	УИК №2598	УИК №2599	УИК №2600	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1584	14	19	12	12	2	18	21	28	9	10	0	21	15	15	18	25	15	24	18	33	24	10	18	14	13	25	10	41	21	8	10	13	20	12	10	53	40	29	37	8	24	23	28	8	14	16	14	20	5	7	4	0	6	6	7	3	9	13	18	7	27	24	18	21	13	16	8	6	7	18	9	29	22	65	19	4	4	2	6	3	13	18	23	4	14	6	14	17	18	11	14	7	6	2	12	5	6	5	1	6	3	6	5	9	9	5	15	3	6	9	2	0	5	7					
		1.43%	1.17%	1.43%	2.24%	1.62%	0.85%	1.71%	2.03%	2.53%	1.03%	1.01%	0.00%	1.37%	1.72%	1.23%	1.81%	2.01%	1.46%	1.89%	1.55%	2.62%	1.70%	1.75%	2.02%	1.66%	1.13%	2.23%	0.74%	2.98%	1.46%	1.37%	4.18%	2.21%	1.74%	1.11%	0.98%	3.23%	2.68%	1.84%	2.42%	1.11%	1.98%	1.65%	2.02%	1.16%	2.18%	1.59%	1.12%	1.44%	0.85%	0.76%	0.87%	0.00%	2.20%	1.00%	1.08%	0.17%	0.92%	1.04%	1.36%	0.73%	2.11%	1.77%	1.72%	1.70%	0.97%	0.84%	1.07%	0.39%	0.35%	0.90%	1.45%	1.55%	1.34%	3.28%	1.29%	0.78%	1.94%	1.48%	0.63%	0.66%	0.99%	1.21%	1.72%	1.10%	1.06%	0.75%	1.83%	1.53%	1.90%	0.83%	1.08%	0.94%	0.77%	2.70%	1.15%	1.58%	1.40%	1.79%	0.63%	1.29%	0.50%	0.81%	0.63%	1.19%	1.62%	1.27%	0.87%	0.54%	1.57%	2.63%	0.41%	0.00%	1.02%	0.85%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	64858	624	697	274	438	134	546	513	517	424	583	213	1000	451	582	530	653	497	639	658	689	742	372	472	416	575	606	789	738	765	335	171	346	567	567	506	841	708	760	713	373	546	641	724	409	382	623	689	670	387	524	251	90	142	399	380	1398	625	737	773	663	758	616	580	759	798	1206	509	1230	1516	1496	408	1298	974	975	893	344	114	84	676	350	719	977	844	287	724	435	421	664	549	890	860	478	518	38	627	175	267	171	104	340	480	495	611	560	335	251	1084	349	272	185	334	295	295	563					
		58.74%	52.00%	52.52%	51.12%	59.03%	57.02%	51.75%	49.52%	46.70%	48.68%	58.65%	69.61%	65.32%	51.60%	47.59%	53.32%	52.58%	48.49%	50.20%	56.63%	54.64%	52.62%	65.03%	53.09%	49.23%	49.91%	53.96%	58.10%	53.63%	53.24%	57.36%	71.55%	58.74%	49.30%	52.31%	49.71%	51.28%	47.36%	48.28%	46.66%	51.66%	45.09%	46.05%	52.24%	59.36%	59.41%	62.05%	55.21%	48.17%	65.59%	56.53%	54.68%	58.06%	52.01%	66.61%	58.82%	79.57%	63.97%	58.82%	58.52%	69.06%	59.36%	45.33%	55.40%	61.51%	59.78%	63.24%	68.23%	79.77%	76.60%	74.65%	65.59%	69.19%	59.54%	49.14%	60.75%	67.45%	55.34%	62.22%	70.93%	76.59%	55.22%	65.79%	63.27%	78.63%	54.97%	54.38%	54.89%	59.61%	57.97%	67.12%	66.05%	64.33%	66.58%	51.35%	60.06%	55.38%	62.09%	61.29%	65.00%	73.12%	80.27%	66.89%	76.66%	73.98%	60.47%	63.87%	63.06%	62.32%	71.20%	54.09%	68.87%	60.57%	60.45%	68.08%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3150	44	55	11	22	7	36	46	59	34	25	5	45	23	44	43	40	39	67	34	44	58	10	41	30	43	43	58	45	63	18	4	18	51	33	60	78	82	67	67	37	69	73	50	3	21	79	30	55	9	17	18	0	6	18	2	9	16	33	27	11	43	80	33	44	41	61	9	23	31	57	13	36	39	53	44	10	4	1	7	6	27	20	31	1	19	10	5	29	18	16	8	6	7	4	23	9	7	5	3	2	5	13	1	3	5	4	34	5	0	0	2	0	3	15					
		2.85%	3.67%	4.14%	2.05%	2.96%	2.98%	3.41%	4.44%	5.33%	3.90%	2.52%	1.63%	2.94%	2.63%	3.60%	4.33%	3.22%	3.80%	5.26%	2.93%	3.49%	4.11%	1.75%	4.61%	3.55%	3.73%	3.83%	4.27%	3.27%	4.38%	3.08%	1.67%	3.06%	4.43%	3.04%	5.89%	4.76%	5.48%	4.26%	4.38%	5.12%	5.70%	5.24%	3.61%	0.44%	3.27%	7.87%	2.40%	3.95%	1.53%	1.83%	3.92%	0.00%	2.20%	3.01%	0.31%	0.51%	1.64%	2.63%	2.04%	1.15%	3.37%	5.89%	3.15%	3.57%	3.07%	3.20%	1.21%	1.49%	1.57%	2.84%	2.09%	1.92%	2.38%	2.67%	2.99%	1.96%	1.94%	0.74%	0.73%	1.31%	2.07%	1.35%	2.32%	0.27%	1.44%	1.25%	0.65%	2.60%	1.90%	1.21%	0.61%	0.81%	0.90%	5.41%	2.20%	2.85%	1.63%	1.79%	1.88%	0.43%	0.84%	1.76%	0.13%	0.40%	0.90%	1.02%	1.98%	0.89%	0.00%	0.00%	0.41%	0.00%	0.61%	1.81%					
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
																																																																																																																									
