Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Василеостровская № 2																																																																																															
																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																															
																																																																																															
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №1801	УИК №1802	УИК №1803					
		0.17%	0.12%	0.0%	0.45%	0.26%	0.37%	0.0%	0.13%	0.29%	0.12%	0.22%	0.13%	0.0%	0.09%	0.32%	0.0%	0.0%	0.0%	0.09%	0.29%	0.23%	0.56%	0.36%	0.13%	0.25%	0.25%	0.12%	0.42%	0.0%	0.14%	0.27%	0.10%	0.09%	0.32%	0.48%	0.0%	0.0%	0.48%	0.09%	0.11%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.09%	0.15%	0.17%	0.0%	0.0%	0.51%	0.25%	0.08%	0.47%	0.20%	0.25%	0.17%	0.17%	0.25%	0.20%	0.0%	0.17%	0.19%	0.0%	0.62%	0.11%	0.0%	0.53%	0.16%	0.0%	0.09%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	129	4	2	4	2	2	1	1	1	1	0	0	3	11	4	5	0	0	1	2	3	2	0	1	1	2	0	3	1	0	0	2	1	3	2	0	1	3	3	1	3	1	0	1	1	2	2	1	3	2	1	1	2	2	1	3	4	4	2	2	0	0	1	3	1	0	2	1	2	2	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
		0.18%	0.48%	0.15%	0.45%	0.26%	0.24%	0.10%	0.13%	0.14%	0.12%	0.0%	0.0%	0.31%	1.01%	0.64%	0.61%	0.0%	0.0%	0.09%	0.19%	0.35%	0.22%	0.0%	0.13%	0.12%	0.25%	0.0%	0.42%	0.13%	0.0%	0.0%	0.20%	0.09%	0.32%	0.19%	0.0%	0.15%	0.48%	0.29%	0.11%	0.32%	0.09%	0.0%	0.14%	0.12%	0.24%	0.18%	0.07%	0.23%	0.18%	0.09%	0.07%	0.17%	0.33%	0.10%	0.30%	0.33%	0.34%	0.19%	0.20%	0.0%	0.0%	0.08%	0.25%	0.20%	0.0%	0.17%	0.09%	0.18%	0.17%	0.11%	0.08%	0.0%	0.08%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.38%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	9338	122	128	94	84	83	120	96	104	75	130	76	116	67	94	102	35	71	117	116	117	100	103	105	75	84	106	94	81	87	142	153	191	122	128	101	85	54	132	148	123	132	162	84	138	87	185	209	197	138	181	216	188	80	175	145	136	196	147	174	116	147	165	131	40	79	161	139	158	160	127	130	157	186	172	114	0	2	0	5	1	1	0	4	0	0	0	12	0					
		13.47%	14.84%	9.88%	10.63%	11.05%	10.25%	13.14%	12.64%	15.13%	9.67%	14.68%	10.27%	12.26%	6.16%	15.11%	12.51%	10.35%	13.12%	11.66%	11.53%	14.01%	11.28%	12.65%	14.46%	9.39%	10.75%	12.78%	13.39%	11.23%	12.20%	13.01%	15.53%	18.27%	13.03%	12.46%	13.89%	13.53%	8.69%	12.84%	16.64%	13.36%	12.39%	15.37%	12.35%	16.87%	10.84%	16.77%	15.26%	15.61%	12.90%	16.59%	16.71%	16.49%	13.44%	17.51%	14.85%	11.35%	16.85%	14.06%	17.46%	14.66%	13.11%	14.18%	11.34%	8.11%	14.60%	14.34%	13.83%	14.87%	14.32%	14.73%	11.68%	16.73%	15.73%	15.39%	11.30%	0.0%	11.76%	0.0%	17.85%	3.84%	2.56%	0.0%	9.52%	0.0%	0.0%	0.0%	8.69%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	63	1	1	1	0	2	1	0	0	2	1	1	1	4	1	1	1	0	0	0	2	3	0	0	0	0	2	1	0	0	0	1	2	2	0	0	0	1	0	2	0	1	0	1	0	3	0	2	2	1	0	1	0	0	2	0	1	0	0	2	0	1	1	2	0	1	1	0	0	0	2	2	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0					
		0.09%	0.12%	0.07%	0.11%	0.0%	0.24%	0.10%	0.0%	0.0%	0.25%	0.11%	0.13%	0.10%	0.36%	0.16%	0.12%	0.29%	0.0%	0.0%	0.0%	0.23%	0.33%	0.0%	0.0%	0.0%	0.0%	0.24%	0.14%	0.0%	0.0%	0.0%	0.10%	0.19%	0.21%	0.0%	0.0%	0.0%	0.16%	0.0%	0.22%	0.0%	0.09%	0.0%	0.14%	0.0%	0.37%	0.0%	0.14%	0.15%	0.09%	0.0%	0.07%	0.0%	0.0%	0.20%	0.0%	0.08%	0.0%	0.0%	0.20%	0.0%	0.08%	0.08%	0.17%	0.0%	0.18%	0.08%	0.0%	0.0%	0.0%	0.23%	0.17%	0.10%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	4947	52	173	65	64	60	77	54	49	49	62	58	87	144	72	74	33	41	87	67	52	93	45	55	63	96	61	62	52	78	73	73	62	46	126	49	40	60	77	29	73	73	63	41	31	64	45	66	54	102	49	76	71	32	67	55	120	60	59	43	60	68	71	85	43	33	63	65	51	59	57	57	57	47	67	120	0	4	2	1	9	1	1	5	0	2	0	7	8					
		7.13%	6.32%	13.35%	7.35%	8.42%	7.41%	8.43%	7.11%	7.13%	6.32%	7.00%	7.83%	9.19%	13.25%	11.57%	9.07%	9.76%	7.57%	8.67%	6.66%	6.22%	10.49%	5.52%	7.57%	7.89%	12.29%	7.35%	8.83%	7.21%	10.93%	6.69%	7.41%	5.93%	4.91%	12.26%	6.74%	6.36%	9.66%	7.49%	3.26%	7.93%	6.85%	5.97%	6.02%	3.78%	7.98%	4.07%	4.82%	4.27%	9.54%	4.49%	5.88%	6.22%	5.37%	6.70%	5.63%	10.01%	5.15%	5.64%	4.31%	7.58%	6.06%	6.10%	7.35%	8.72%	6.09%	5.61%	6.46%	4.80%	5.28%	6.61%	5.12%	6.07%	3.97%	5.99%	11.90%	0.0%	23.52%	15.38%	3.57%	34.61%	2.56%	8.33%	11.90%	0.0%	14.28%	0.0%	5.07%	34.78%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2175	26	26	43	21	23	26	27	17	25	15	18	20	24	13	22	9	12	34	30	30	33	25	18	35	38	23	25	20	31	35	37	33	39	27	24	18	19	32	28	39	34	33	22	17	33	15	40	31	27	36	47	44	25	15	34	38	37	29	43	21	46	39	39	17	22	30	25	39	42	27	38	48	38	29	26	0	2	0	1	1	1	0	1	0	1	0	1	1					
		3.13%	3.16%	2.00%	4.86%	2.76%	2.84%	2.84%	3.55%	2.47%	3.22%	1.69%	2.43%	2.11%	2.20%	2.09%	2.69%	2.66%	2.21%	3.38%	2.98%	3.59%	3.72%	3.07%	2.47%	4.38%	4.86%	2.77%	3.56%	2.77%	4.34%	3.20%	3.75%	3.15%	4.16%	2.62%	3.30%	2.86%	3.05%	3.11%	3.14%	4.23%	3.19%	3.13%	3.23%	2.07%	4.11%	1.35%	2.92%	2.45%	2.52%	3.29%	3.63%	3.85%	4.20%	1.50%	3.48%	3.17%	3.18%	2.77%	4.31%	2.65%	4.10%	3.35%	3.37%	3.44%	4.06%	2.67%	2.48%	3.67%	3.76%	3.13%	3.41%	5.11%	3.21%	2.59%	2.57%	0.0%	11.76%	0.0%	3.57%	3.84%	2.56%	0.0%	2.38%	0.0%	7.14%	0.0%	0.72%	4.34%					
37	"20. ""Политическая партия ""Единая Россия"""	20494	212	438	234	234	273	261	243	188	260	255	231	315	399	163	273	122	179	282	321	244	264	230	193	258	245	272	210	220	237	312	264	274	261	307	218	164	171	303	242	299	286	323	206	214	272	281	378	328	328	281	353	315	187	296	271	385	321	322	243	247	390	338	347	177	142	349	318	288	290	265	358	275	304	324	346	2	4	2	9	7	7	2	4	8	2	4	23	1					
		29.57%	25.79%	33.82%	26.47%	30.78%	33.74%	28.58%	32.01%	27.36%	33.54%	28.81%	31.21%	33.29%	36.74%	26.20%	33.49%	36.09%	33.08%	28.11%	31.90%	29.22%	29.79%	28.25%	26.58%	32.33%	31.37%	32.81%	29.91%	30.51%	33.23%	28.59%	26.80%	26.22%	27.88%	29.89%	29.98%	26.11%	27.53%	29.47%	27.22%	32.49%	26.85%	30.64%	30.29%	26.16%	33.91%	25.47%	27.61%	25.99%	30.68%	25.75%	27.32%	27.63%	31.42%	29.62%	27.76%	32.13%	27.60%	30.81%	24.39%	31.22%	34.79%	29.06%	30.04%	35.90%	26.24%	31.10%	31.64%	27.11%	25.96%	30.74%	32.16%	29.31%	25.71%	29.00%	34.32%	20.0%	23.52%	15.38%	32.14%	26.92%	17.94%	16.66%	9.52%	42.10%	14.28%	36.36%	16.66%	4.34%					
38	"21. ""Российская Конституционно-демократическая партия"""	88	0	5	2	1	1	1	2	0	0	0	0	2	3	1	0	0	0	2	3	1	1	1	2	0	2	0	0	0	1	0	0	1	0	1	0	13	0	2	0	0	2	1	1	0	3	1	3	3	2	0	1	2	0	0	0	0	3	1	2	0	1	1	0	0	0	0	2	2	4	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.0%	0.38%	0.22%	0.13%	0.12%	0.10%	0.26%	0.0%	0.0%	0.0%	0.0%	0.21%	0.27%	0.16%	0.0%	0.0%	0.0%	0.19%	0.29%	0.11%	0.11%	0.12%	0.27%	0.0%	0.25%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.09%	0.0%	0.09%	0.0%	2.07%	0.0%	0.19%	0.0%	0.0%	0.18%	0.09%	0.14%	0.0%	0.37%	0.09%	0.21%	0.23%	0.18%	0.0%	0.07%	0.17%	0.0%	0.0%	0.0%	0.0%	0.25%	0.09%	0.20%	0.0%	0.08%	0.08%	0.0%	0.0%	0.0%	0.0%	0.19%	0.18%	0.35%	0.0%	0.0%	0.10%	0.0%	0.26%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	1070	14	12	21	9	15	8	5	7	10	17	16	5	9	6	2	3	2	15	15	6	15	11	8	16	6	13	15	8	7	16	15	20	14	16	9	0	12	8	22	8	33	22	22	16	3	24	24	22	16	29	28	18	5	14	21	14	22	18	16	16	15	18	21	5	4	22	12	22	21	18	24	13	22	17	11	0	1	1	0	0	2	0	1	0	0	0	1	0					
		1.54%	1.70%	0.92%	2.37%	1.18%	1.85%	0.87%	0.65%	1.01%	1.29%	1.92%	2.16%	0.52%	0.82%	0.96%	0.24%	0.88%	0.36%	1.49%	1.49%	0.71%	1.69%	1.35%	1.10%	2.00%	0.76%	1.56%	2.13%	1.10%	0.98%	1.46%	1.52%	1.91%	1.49%	1.55%	1.23%	0.0%	1.93%	0.77%	2.47%	0.86%	3.09%	2.08%	3.23%	1.95%	0.37%	2.17%	1.75%	1.74%	1.49%	2.65%	2.16%	1.57%	0.84%	1.40%	2.15%	1.16%	1.89%	1.72%	1.60%	2.02%	1.33%	1.54%	1.81%	1.01%	0.73%	1.96%	1.19%	2.07%	1.88%	2.08%	2.15%	1.38%	1.86%	1.52%	1.09%	0.0%	5.88%	7.69%	0.0%	0.0%	5.12%	0.0%	2.38%	0.0%	0.0%	0.0%	0.72%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5761	70	72	63	41	33	48	45	41	44	72	74	88	72	59	62	22	42	83	59	68	63	65	51	63	59	66	47	52	39	89	82	86	84	71	66	66	47	102	79	72	104	88	62	91	72	89	145	100	53	122	129	99	57	87	89	80	104	101	139	86	93	121	131	36	60	112	87	95	79	73	82	62	130	97	65	2	1	1	4	1	4	1	4	1	1	3	10	1					
		8.31%	8.51%	5.55%	7.12%	5.39%	4.07%	5.25%	5.92%	5.96%	5.67%	8.13%	10.0%	9.30%	6.62%	9.48%	7.60%	6.50%	7.76%	8.27%	5.86%	8.14%	7.11%	7.98%	7.02%	7.89%	7.55%	7.96%	6.69%	7.21%	5.46%	8.15%	8.32%	8.22%	8.97%	6.91%	9.07%	10.50%	7.56%	9.92%	8.88%	7.82%	9.76%	8.34%	9.11%	11.12%	8.97%	8.06%	10.59%	7.92%	4.95%	11.18%	9.98%	8.68%	9.57%	8.70%	9.11%	6.67%	8.94%	9.66%	13.95%	10.87%	8.29%	10.40%	11.34%	7.30%	11.09%	9.98%	8.65%	8.94%	7.07%	8.46%	7.36%	6.60%	10.99%	8.68%	6.44%	20.0%	5.88%	7.69%	14.28%	3.84%	10.25%	8.33%	9.52%	5.26%	7.14%	27.27%	7.24%	4.34%					
																																																																																															
41	Против всех	2638	29	81	20	29	31	31	29	26	30	19	21	65	88	39	35	10	24	37	35	26	33	27	24	45	34	37	19	31	25	30	20	29	30	42	23	31	44	43	28	31	37	30	15	30	23	37	40	34	44	20	45	45	13	31	38	50	55	36	21	39	43	49	37	21	14	37	36	44	37	30	31	27	22	31	53	0	2	6	0	1	15	7	9	5	5	4	49	9					
		3.80%	3.52%	6.25%	2.26%	3.81%	3.83%	3.39%	3.82%	3.78%	3.87%	2.14%	2.83%	6.87%	8.10%	6.27%	4.29%	2.95%	4.43%	3.68%	3.47%	3.11%	3.72%	3.31%	3.30%	5.63%	4.35%	4.46%	2.70%	4.29%	3.50%	2.74%	2.03%	2.77%	3.20%	4.08%	3.16%	4.93%	7.08%	4.18%	3.14%	3.36%	3.47%	2.84%	2.20%	3.66%	2.86%	3.35%	2.92%	2.69%	4.11%	1.83%	3.48%	3.94%	2.18%	3.10%	3.89%	4.17%	4.72%	3.44%	2.10%	4.93%	3.83%	4.21%	3.20%	4.25%	2.58%	3.29%	3.58%	4.14%	3.31%	3.48%	2.78%	2.87%	1.86%	2.77%	5.25%	0.0%	11.76%	46.15%	0.0%	3.84%	38.46%	58.33%	21.42%	26.31%	35.71%	36.36%	35.50%	39.13%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
