Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Шебекинская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095	УИК №1096	УИК №1097	УИК №1098	УИК №1099	УИК №1100	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150					
35	"18. ""ЛДПР"""	6108	66	247	201	170	218	85	152	205	191	264	168	184	145	86	174	121	120	57	80	95	190	7	26	22	13	8	134	31	14	36	31	47	7	48	27	139	39	33	93	46	70	74	57	54	9	25	17	38	126	28	64	43	143	166	15	32	38	82	16	15	11	15	64	168	85	64	95	107	39	94	28	83	65	58					
		12.41%	12.5%	14.20%	13.08%	14.93%	15.19%	12.89%	11.26%	16.00%	12.76%	13.84%	16.13%	14.44%	12.38%	11.94%	15.24%	11.85%	15.03%	11.87%	16.09%	13.26%	15.52%	2.67%	8.66%	8.66%	4.01%	5.75%	14.92%	13.36%	8.28%	8.43%	10.72%	12.33%	3.44%	11.79%	9.71%	10.27%	8.04%	6.47%	13.17%	11.97%	12.49%	10.64%	12.89%	14.21%	7.62%	5.34%	5.19%	9.81%	17.11%	10.18%	10.86%	12.75%	12.38%	10.15%	10.13%	11.72%	7.86%	12.09%	9.14%	7.42%	4.38%	14.42%	14.71%	13.97%	8.26%	15.27%	14.28%	14.38%	9.02%	13.27%	5.42%	13.90%	15.73%	12.63%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	866	11	28	24	25	44	12	26	26	28	42	24	28	21	11	27	20	19	5	6	11	17	1	5	1	7	0	22	5	3	5	6	5	4	9	1	23	3	2	12	6	19	16	11	4	0	4	7	8	14	2	5	3	23	30	0	2	8	10	1	0	2	3	5	16	10	6	15	14	6	13	4	12	7	11					
		1.76%	2.08%	1.61%	1.56%	2.19%	3.06%	1.82%	1.92%	2.02%	1.87%	2.20%	2.30%	2.19%	1.79%	1.52%	2.36%	1.95%	2.38%	1.04%	1.20%	1.53%	1.38%	0.38%	1.66%	0.39%	2.16%	0.0%	2.44%	2.15%	1.77%	1.17%	2.07%	1.31%	1.97%	2.21%	0.35%	1.69%	0.61%	0.39%	1.69%	1.56%	3.39%	2.30%	2.48%	1.05%	0.0%	0.85%	2.14%	2.06%	1.90%	0.72%	0.84%	0.89%	1.99%	1.83%	0.0%	0.73%	1.65%	1.47%	0.57%	0.0%	0.79%	2.88%	1.14%	1.33%	0.97%	1.43%	2.25%	1.88%	1.38%	1.83%	0.77%	2.01%	1.69%	2.39%					
37	"20. ""Политическая партия ""Единая Россия"""	15529	142	430	448	322	452	189	411	349	403	611	258	334	295	209	311	294	202	117	99	185	373	163	167	105	100	104	360	74	41	196	47	160	79	145	89	518	140	222	240	170	195	235	144	142	61	141	102	152	173	74	262	99	293	494	41	99	97	299	54	39	99	36	136	373	352	105	217	254	188	273	257	211	111	167					
		31.57%	26.89%	24.72%	29.16%	28.29%	31.49%	28.67%	30.46%	27.24%	26.93%	32.03%	24.78%	26.21%	25.19%	29.02%	27.25%	28.79%	25.31%	24.37%	19.91%	25.83%	30.47%	62.21%	55.66%	41.33%	30.86%	74.82%	40.08%	31.89%	24.26%	45.90%	16.26%	41.99%	38.91%	35.62%	32.01%	38.28%	28.86%	43.52%	33.99%	44.27%	34.82%	33.81%	32.57%	37.36%	51.69%	30.12%	31.19%	39.27%	23.50%	26.90%	44.48%	29.37%	25.36%	30.21%	27.70%	36.26%	20.08%	44.10%	30.85%	19.30%	39.44%	34.61%	31.26%	31.03%	34.20%	25.05%	32.63%	34.13%	43.51%	38.55%	49.80%	35.34%	26.87%	36.38%					
38	"21. ""Российская Конституционно-демократическая партия"""	102	0	2	2	1	1	0	2	3	3	2	0	1	0	1	5	0	3	0	0	2	1	2	0	0	0	0	5	0	0	2	1	0	0	2	1	4	2	1	1	1	1	2	1	0	0	3	0	0	3	0	2	3	4	3	0	1	4	4	0	1	0	0	2	0	2	2	0	2	3	1	1	5	0	1					
		0.20%	0.0%	0.11%	0.13%	0.08%	0.06%	0.0%	0.14%	0.23%	0.20%	0.10%	0.0%	0.07%	0.0%	0.13%	0.43%	0.0%	0.37%	0.0%	0.0%	0.27%	0.08%	0.76%	0.0%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.46%	0.34%	0.0%	0.0%	0.49%	0.35%	0.29%	0.41%	0.19%	0.14%	0.26%	0.17%	0.28%	0.22%	0.0%	0.0%	0.64%	0.0%	0.0%	0.40%	0.0%	0.33%	0.89%	0.34%	0.18%	0.0%	0.36%	0.82%	0.58%	0.0%	0.49%	0.0%	0.0%	0.45%	0.0%	0.19%	0.47%	0.0%	0.26%	0.69%	0.14%	0.19%	0.83%	0.0%	0.21%					
39	"22. ""Развитие предпринимательства"""	128	2	5	3	4	3	2	6	4	4	8	1	5	1	0	5	2	0	1	2	3	3	2	1	0	0	0	5	0	0	0	0	0	1	1	1	3	4	1	1	0	1	2	0	0	0	0	4	0	0	3	1	3	4	4	1	2	0	4	1	2	0	0	1	1	0	0	2	1	0	3	0	1	2	1					
		0.26%	0.37%	0.28%	0.19%	0.35%	0.20%	0.30%	0.44%	0.31%	0.26%	0.41%	0.09%	0.39%	0.08%	0.0%	0.43%	0.19%	0.0%	0.20%	0.40%	0.41%	0.24%	0.76%	0.33%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.24%	0.35%	0.22%	0.82%	0.19%	0.14%	0.0%	0.17%	0.28%	0.0%	0.0%	0.0%	0.0%	1.22%	0.0%	0.0%	1.09%	0.16%	0.89%	0.34%	0.24%	0.67%	0.73%	0.0%	0.58%	0.57%	0.99%	0.0%	0.0%	0.22%	0.08%	0.0%	0.0%	0.30%	0.13%	0.0%	0.42%	0.0%	0.16%	0.48%	0.21%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9525	136	437	378	246	255	160	281	220	321	332	174	226	183	132	197	208	166	126	122	172	217	26	49	33	48	3	107	43	25	80	122	66	51	70	67	326	77	65	143	65	73	110	59	55	23	148	80	78	181	79	74	88	232	257	17	53	65	91	35	84	49	21	95	239	175	76	143	129	71	123	71	108	110	78					
		19.36%	25.75%	25.12%	24.60%	21.61%	17.77%	24.27%	20.83%	17.17%	21.45%	17.40%	16.71%	17.73%	15.62%	18.33%	17.26%	20.37%	20.80%	26.25%	24.54%	24.02%	17.72%	9.92%	16.33%	12.99%	14.81%	2.15%	11.91%	18.53%	14.79%	18.73%	42.21%	17.32%	25.12%	17.19%	24.10%	24.09%	15.87%	12.74%	20.25%	16.92%	13.03%	15.82%	13.34%	14.47%	19.49%	31.62%	24.46%	20.15%	24.59%	28.72%	12.56%	26.11%	20.08%	15.71%	11.48%	19.41%	13.45%	13.42%	20.0%	41.58%	19.52%	20.19%	21.83%	19.88%	17.00%	18.13%	21.50%	17.33%	16.43%	17.37%	13.75%	18.09%	26.63%	16.99%					
																																																																																	
41	Против всех	2640	21	135	91	55	79	32	87	89	102	137	116	94	83	37	97	65	52	28	28	37	83	7	3	11	9	1	30	7	10	3	9	10	5	15	7	47	29	14	25	6	27	41	15	15	2	19	25	6	50	18	24	17	56	100	7	9	8	32	3	12	10	2	14	75	78	30	25	34	12	12	17	23	13	13					
		5.36%	3.97%	7.76%	5.92%	4.83%	5.50%	4.85%	6.44%	6.94%	6.81%	7.18%	11.14%	7.37%	7.08%	5.13%	8.50%	6.36%	6.51%	5.83%	5.63%	5.16%	6.78%	2.67%	1.0%	4.33%	2.77%	0.71%	3.34%	3.01%	5.91%	0.70%	3.11%	2.62%	2.46%	3.68%	2.51%	3.47%	5.97%	2.74%	3.54%	1.56%	4.82%	5.89%	3.39%	3.94%	1.69%	4.05%	7.64%	1.55%	6.79%	6.54%	4.07%	5.04%	4.84%	6.11%	4.72%	3.29%	1.65%	4.71%	1.71%	5.94%	3.98%	1.92%	3.21%	6.23%	7.58%	7.15%	3.75%	4.56%	2.77%	1.69%	3.29%	3.85%	3.14%	2.83%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
