Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																																																																										
Дата голосования: 02.12.2007																																																																																																																																																										
																																																																																																																																																										
Наименование Избирательной комиссии:    Кировская N 3																																																																																																																																																										
																																																																																																																																																										
Сводная таблица результатов выборов																																																																																																																																																										
																																																																																																																																																										
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №497	УИК №498	УИК №499	УИК №500	УИК №502	УИК №503	УИК №504	УИК №505	УИК №507	УИК №508	УИК №509	УИК №510	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №518	УИК №520	УИК №521	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1840	УИК №1841	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1860	УИК №1861	УИК №1862	УИК №1863	УИК №1864	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912					
		2.46%	2.25%	2.25%	2.24%	2.22%	0.53%	1.46%	2.97%	2.91%	2.50%	2.11%	2.43%	1.62%	2.12%	1.44%	2.81%	1.69%	2.11%	0.98%	1.80%	1.97%	2.12%	1.69%	4.56%	1.82%	4.09%	3.04%	2.93%	3.90%	3.45%	4.16%	5.81%	3.50%	2.53%	3.48%	1.93%	2.50%	2.67%	3.15%	3.12%	1.30%	1.86%	1.91%	3.80%	1.81%	2.63%	1.91%	2.33%	1.57%	1.87%	1.58%	1.87%	2.92%	1.55%	2.73%	2.74%	3.38%	1.89%	2.35%	1.97%	3.83%	3.26%	1.92%	2.07%	2.13%	2.07%	3.02%	2.12%	3.20%	2.52%	2.14%	3.97%	2.63%	1.66%	2.08%	2.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	170	3	0	1	0	1	4	1	2	1	2	1	3	1	1	1	1	3	0	2	2	2	5	4	0	3	1	0	4	1	5	1	2	3	2	2	3	0	2	3	5	3	0	1	2	1	5	1	2	3	3	0	3	1	3	2	2	1	2	1	3	1	5	2	5	3	3	1	9	2	1	3	3	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.29%	0.00%	0.15%	0.00%	0.09%	0.39%	0.17%	0.31%	0.10%	0.18%	0.14%	0.40%	0.09%	0.14%	0.11%	0.11%	0.29%	0.00%	0.24%	0.22%	0.19%	0.32%	0.33%	0.00%	0.24%	0.11%	0.00%	0.43%	0.14%	0.41%	0.12%	0.21%	0.33%	0.22%	0.23%	0.36%	0.00%	0.22%	0.35%	0.54%	0.29%	0.00%	0.12%	0.23%	0.08%	0.31%	0.10%	0.28%	0.28%	0.26%	0.00%	0.22%	0.09%	0.17%	0.20%	0.18%	0.09%	0.17%	0.12%	0.25%	0.08%	0.38%	0.22%	0.44%	0.24%	0.25%	0.07%	0.63%	0.17%	0.07%	0.30%	0.26%	0.49%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	22.22%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	5821	51	45	60	74	63	108	51	74	119	67	61	57	92	69	60	87	74	75	63	64	75	74	82	89	62	63	89	83	49	82	69	52	85	54	88	60	63	70	59	76	83	63	59	74	122	88	78	47	78	75	78	90	70	98	66	84	84	101	74	70	102	81	75	77	100	115	100	85	85	100	58	96	76	88	26	7	2	3	0	1	0	1	5	3	0	1	4	3	1	1	1	0	2	1	0	2	1	2	1	2	1	3	0	5	1	1	0	1	1	4	0	0	4	0	0	0	0	1	2	0	2	2	0	3	1	3	2	0	1	2	1	3	1	1	1	3	2	7	4	0	4	2	1	8	6	7	2					
		7.50%	5.00%	7.79%	8.97%	8.22%	5.53%	10.51%	8.90%	11.33%	12.40%	6.15%	8.71%	7.67%	8.11%	9.94%	6.75%	9.21%	7.10%	8.16%	7.57%	7.00%	7.23%	4.81%	6.68%	8.53%	4.88%	7.09%	6.86%	8.99%	6.77%	6.68%	8.18%	5.51%	9.34%	5.87%	9.98%	7.13%	8.85%	7.61%	6.81%	8.21%	8.13%	7.07%	7.24%	8.36%	9.71%	5.41%	7.90%	6.70%	7.31%	6.60%	6.93%	6.74%	6.03%	5.47%	6.45%	7.66%	7.92%	8.80%	9.11%	5.83%	7.72%	6.24%	8.19%	6.84%	7.96%	9.64%	7.30%	5.91%	7.14%	7.15%	5.75%	8.41%	7.41%	7.62%	10.53%	3.41%	18.18%	27.27%	0.00%	10.00%	0.00%	14.29%	45.45%	27.27%	0.00%	14.29%	40.00%	30.00%	10.00%	10.00%	10.00%	0.00%	28.57%	10.00%	0.00%	18.18%	9.09%	20.00%	9.09%	20.00%	7.14%	25.00%	0.00%	45.45%	9.09%	9.09%	0.00%	9.09%	10.00%	36.36%	0.00%	0.00%	36.36%	0.00%	0.00%	0.00%	0.00%	9.09%	18.18%	0.00%	18.18%	18.18%	0.00%	27.27%	9.09%	27.27%	25.00%	0.00%	9.09%	20.00%	9.09%	30.00%	12.50%	9.09%	10.00%	27.27%	16.67%	53.85%	30.77%	0.00%	30.77%	5.26%	7.14%	61.54%	60.00%	63.64%	20.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11497	81	85	90	131	125	126	71	77	95	176	105	85	128	106	138	146	154	118	99	168	165	162	196	163	193	154	221	126	103	224	110	185	149	133	125	123	126	142	146	168	161	132	152	157	211	182	177	140	192	193	219	242	142	229	173	168	207	158	132	205	223	160	118	175	178	155	202	241	157	202	130	156	135	151	23	8	2	1	4	5	3	0	2	1	0	0	2	2	1	2	1	1	0	1	1	0	0	2	2	3	1	0	1	0	4	0	0	1	1	1	0	2	4	0	1	0	3	1	0	0	1	3	0	2	2	2	0	0	0	1	0	0	1	4	1	1	3	0	1	0	2	10	1	0	1	0	1					
		14.82%	7.94%	14.71%	13.45%	14.56%	10.97%	12.26%	12.39%	11.79%	9.90%	16.15%	15.00%	11.44%	11.29%	15.27%	15.52%	15.45%	14.78%	12.84%	11.90%	18.38%	15.90%	10.53%	15.97%	15.63%	15.20%	17.34%	17.04%	13.65%	14.23%	18.26%	13.03%	19.62%	16.37%	14.46%	14.17%	14.63%	17.70%	15.43%	16.86%	18.14%	15.77%	14.81%	18.65%	17.74%	16.79%	11.19%	17.93%	19.94%	17.99%	16.97%	19.45%	18.13%	12.24%	12.77%	16.91%	15.33%	19.53%	13.76%	16.26%	17.08%	16.88%	12.32%	12.88%	15.54%	14.17%	12.99%	14.74%	16.76%	13.18%	14.44%	12.90%	13.67%	13.17%	13.07%	9.31%	3.90%	18.18%	9.09%	40.00%	50.00%	27.27%	0.00%	18.18%	9.09%	0.00%	0.00%	20.00%	20.00%	10.00%	20.00%	10.00%	9.09%	0.00%	10.00%	9.09%	0.00%	0.00%	20.00%	18.18%	30.00%	7.14%	0.00%	9.09%	0.00%	36.36%	0.00%	0.00%	9.09%	10.00%	9.09%	0.00%	18.18%	36.36%	0.00%	9.09%	0.00%	27.27%	9.09%	0.00%	0.00%	9.09%	27.27%	0.00%	18.18%	18.18%	18.18%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	12.50%	36.36%	10.00%	9.09%	25.00%	0.00%	7.69%	0.00%	15.38%	26.32%	7.14%	0.00%	10.00%	0.00%	10.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	708	49	1	8	6	3	3	7	2	10	11	9	5	14	7	4	9	11	5	7	7	11	9	9	15	7	8	18	10	7	15	5	10	6	10	10	7	2	3	13	9	6	2	8	7	12	8	11	13	10	7	7	9	7	8	19	20	4	8	7	8	10	7	8	4	13	19	13	18	7	13	9	8	17	3	5	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	0	0					
		0.91%	4.80%	0.17%	1.20%	0.67%	0.26%	0.29%	1.22%	0.31%	1.04%	1.01%	1.29%	0.67%	1.23%	1.01%	0.45%	0.95%	1.06%	0.54%	0.84%	0.77%	1.06%	0.58%	0.73%	1.44%	0.55%	0.90%	1.39%	1.08%	0.97%	1.22%	0.59%	1.06%	0.66%	1.09%	1.13%	0.83%	0.28%	0.33%	1.50%	0.97%	0.59%	0.22%	0.98%	0.79%	0.95%	0.49%	1.11%	1.85%	0.94%	0.62%	0.62%	0.67%	0.60%	0.45%	1.86%	1.82%	0.38%	0.70%	0.86%	0.67%	0.76%	0.54%	0.87%	0.36%	1.04%	1.59%	0.95%	1.25%	0.59%	0.93%	0.89%	0.70%	1.66%	0.26%	2.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	28.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	10.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	10.00%	0.00%	2.63%	0.00%	7.69%	0.00%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	40221	699	297	330	465	781	584	343	353	523	600	363	431	605	338	425	483	520	524	496	426	506	970	576	515	632	423	596	454	376	521	367	404	423	415	445	410	337	471	380	474	482	454	359	429	633	1062	482	361	519	600	504	613	740	1094	499	531	520	545	399	574	594	779	497	583	685	644	685	657	676	731	489	579	585	639	156	173	3	3	5	3	7	4	2	7	11	6	4	4	4	4	4	7	1	3	7	7	9	5	6	1	11	3	6	6	2	9	6	7	8	3	0	7	2	6	8	10	6	7	9	1	7	6	9	3	2	3	6	10	10	4	7	7	5	6	4	5	5	4	6	8	2	11	11	4	2	3	4					
		51.85%	68.53%	51.38%	49.33%	51.67%	68.57%	56.81%	59.86%	54.06%	54.48%	55.05%	51.86%	58.01%	53.35%	48.70%	47.81%	51.11%	49.90%	57.02%	59.62%	46.61%	48.75%	63.03%	46.94%	49.38%	49.76%	47.64%	45.95%	49.19%	51.93%	42.46%	43.48%	42.84%	46.48%	45.11%	50.45%	48.75%	47.33%	51.20%	43.88%	51.19%	47.21%	50.95%	44.05%	48.47%	50.36%	65.27%	48.83%	51.42%	48.64%	52.77%	44.76%	45.92%	63.79%	61.02%	48.78%	48.45%	49.06%	47.47%	49.14%	47.83%	44.97%	59.97%	54.26%	51.78%	54.54%	53.98%	50.00%	45.69%	56.76%	52.25%	48.51%	50.74%	57.07%	55.32%	63.16%	84.39%	27.27%	27.27%	50.00%	30.00%	63.64%	57.14%	18.18%	63.64%	10.00%	85.71%	40.00%	40.00%	40.00%	40.00%	40.00%	63.64%	14.29%	30.00%	63.64%	63.64%	81.82%	50.00%	54.55%	10.00%	78.57%	25.00%	54.55%	54.55%	18.18%	81.82%	54.55%	63.64%	80.00%	27.27%	0.00%	63.64%	18.18%	66.67%	72.73%	10.00%	54.55%	63.64%	81.82%	11.11%	63.64%	54.55%	10.00%	27.27%	18.18%	27.27%	75.00%	90.91%	90.91%	40.00%	63.64%	70.00%	62.50%	54.55%	40.00%	45.45%	41.67%	30.77%	46.15%	80.00%	15.38%	28.95%	78.57%	30.77%	20.00%	27.27%	40.00%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	4126	26	33	34	48	37	39	21	30	31	52	37	30	66	43	59	47	49	36	24	66	67	75	73	59	73	49	88	52	41	89	75	67	55	83	38	60	41	52	67	41	67	56	52	45	65	63	35	36	58	49	80	106	34	99	51	57	63	66	54	80	92	73	35	65	49	37	65	84	34	78	74	69	31	47	4	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1	0	3	0	0	0	0	1					
		5.32%	2.55%	5.71%	5.08%	5.33%	3.25%	3.79%	3.66%	4.59%	3.23%	4.77%	5.29%	4.04%	5.82%	6.20%	6.64%	4.97%	4.70%	3.92%	2.88%	7.22%	6.45%	4.87%	5.95%	5.66%	5.75%	5.52%	6.78%	5.63%	5.66%	7.25%	8.89%	7.10%	6.04%	9.02%	4.31%	7.13%	5.76%	5.65%	7.74%	4.43%	6.56%	6.29%	6.38%	5.08%	5.17%	3.87%	3.55%	5.13%	5.44%	4.31%	7.10%	7.94%	2.93%	5.52%	4.99%	5.20%	5.94%	5.75%	6.65%	6.67%	6.96%	5.62%	3.82%	5.77%	3.90%	3.10%	4.74%	5.84%	2.85%	5.58%	7.34%	6.05%	3.02%	4.07%	1.62%	1.95%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.18%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	8.33%	7.69%	0.00%	10.00%	0.00%	7.89%	0.00%	0.00%	0.00%	0.00%	10.00%					
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
																																																																																																																																																										
