Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																		
Дата голосования: 18.09.2016																																																																																																																		
																																																																																																																		
Наименование Избирательной комиссии:    Нижневартовская городская																																																																																																																		
																																																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																		
																																																																																																																		
		Сумма	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №698									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	928	12	5	8	3	49	7	8	10	4	6	9	6	5	9	8	18	13	12	10	9	7	5	9	7	5	11	11	13	8	12	7	10	12	25	12	11	15	12	12	7	2	5	12	10	9	9	5	8	16	5	6	6	10	6	2	6	8	15	14	4	15	12	10	6	10	9	4	6	6	19	8	15	4	6	5	6	13	13	9	4	12	7	11	20	13	9	3	2	13	18	8	4	2	7	2	0	9	2	6	0	3	14	3									
		1.42%	2.23%	0.85%	1.54%	0.58%	8.03%	1.26%	1.43%	1.36%	0.67%	0.93%	1.30%	1.08%	0.79%	1.47%	1.02%	2.25%	1.77%	1.80%	1.67%	1.36%	1.01%	0.97%	1.53%	0.91%	0.65%	1.75%	1.79%	1.81%	0.96%	1.53%	1.29%	1.89%	2.23%	2.87%	1.69%	2.10%	2.28%	1.85%	1.59%	1.14%	0.39%	0.86%	1.75%	1.45%	1.72%	1.00%	0.68%	1.40%	1.87%	0.66%	0.77%	0.85%	1.23%	1.26%	0.37%	1.46%	1.02%	1.81%	1.85%	0.50%	1.70%	1.64%	1.38%	0.82%	1.63%	1.41%	0.80%	1.13%	1.22%	3.26%	1.18%	2.30%	0.57%	1.15%	0.86%	0.80%	1.50%	1.76%	1.53%	0.71%	1.78%	1.19%	1.75%	3.05%	2.05%	1.58%	0.76%	0.33%	1.69%	2.87%	1.64%	1.62%	0.54%	1.31%	0.38%	0.00%	1.06%	0.24%	0.77%	0.00%	1.88%	1.26%	1.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	7532	53	68	62	60	6	53	61	89	83	65	68	72	61	73	77	96	101	80	62	82	85	60	69	83	85	66	69	88	131	101	57	46	66	91	102	56	72	80	108	66	65	69	81	53	69	95	57	73	108	78	90	87	92	54	53	50	98	102	103	91	108	73	87	94	73	92	70	55	55	76	71	84	86	48	68	102	116	95	53	67	70	80	69	76	73	80	41	70	92	82	56	31	35	66	66	23	86	96	88	39	14	80	25									
		11.49%	9.87%	11.60%	11.90%	11.67%	0.98%	9.57%	10.87%	12.13%	13.99%	10.03%	9.86%	12.93%	9.62%	11.95%	9.77%	11.99%	13.76%	11.98%	10.35%	12.35%	12.28%	11.70%	11.75%	10.78%	11.13%	10.49%	11.22%	12.22%	15.76%	12.85%	10.50%	8.71%	12.29%	10.44%	14.39%	10.69%	10.94%	12.33%	14.29%	10.71%	12.65%	11.84%	11.82%	7.67%	13.19%	10.58%	7.76%	12.78%	12.63%	10.37%	11.58%	12.36%	11.32%	11.34%	9.80%	12.17%	12.55%	12.32%	13.64%	11.42%	12.23%	9.97%	12.03%	12.84%	11.89%	14.38%	13.97%	10.36%	11.16%	13.06%	10.44%	12.90%	12.25%	9.21%	11.70%	13.64%	13.41%	12.87%	9.03%	11.86%	10.37%	13.56%	11.00%	11.60%	11.53%	14.04%	10.41%	11.53%	11.93%	13.06%	11.48%	12.55%	9.54%	12.34%	12.52%	11.39%	10.08%	11.29%	11.25%	10.66%	8.75%	7.19%	9.43%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	513	6	3	1	2	38	9	3	5	2	3	5	3	5	5	6	12	9	6	5	5	4	4	3	7	6	4	3	3	3	6	5	3	2	13	7	3	3	3	4	7	4	4	5	7	4	10	3	8	3	5	2	5	7	4	4	2	5	4	1	6	5	3	4	7	6	6	6	4	1	5	5	4	5	2	4	2	6	13	4	6	3	4	5	11	9	3	0	6	4	7	2	0	2	4	2	3	6	4	9	2	2	7	1									
		0.78%	1.12%	0.51%	0.19%	0.39%	6.23%	1.62%	0.53%	0.68%	0.34%	0.46%	0.72%	0.54%	0.79%	0.82%	0.76%	1.50%	1.23%	0.90%	0.83%	0.75%	0.58%	0.78%	0.51%	0.91%	0.79%	0.64%	0.49%	0.42%	0.36%	0.76%	0.92%	0.57%	0.37%	1.49%	0.99%	0.57%	0.46%	0.46%	0.53%	1.14%	0.78%	0.69%	0.73%	1.01%	0.76%	1.11%	0.41%	1.40%	0.35%	0.66%	0.26%	0.71%	0.86%	0.84%	0.74%	0.49%	0.64%	0.48%	0.13%	0.75%	0.57%	0.41%	0.55%	0.96%	0.98%	0.94%	1.20%	0.75%	0.20%	0.86%	0.74%	0.61%	0.71%	0.38%	0.69%	0.27%	0.69%	1.76%	0.68%	1.06%	0.44%	0.68%	0.80%	1.68%	1.42%	0.53%	0.00%	0.99%	0.52%	1.11%	0.41%	0.00%	0.54%	0.75%	0.38%	1.49%	0.70%	0.47%	1.15%	0.55%	1.25%	0.63%	0.38%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4038	33	37	33	36	0	39	25	44	35	23	37	31	25	33	35	49	47	45	40	42	50	27	31	40	41	44	51	41	54	56	36	36	35	68	39	41	43	35	52	36	29	28	42	57	22	52	50	37	56	49	58	54	57	35	45	25	45	55	46	41	63	41	38	47	34	37	29	33	49	31	43	42	45	41	37	51	69	45	42	48	38	43	33	33	53	51	36	27	59	32	38	13	10	53	21	8	34	33	48	12	10	55	5									
		6.16%	6.15%	6.31%	6.33%	7.00%	0.00%	7.04%	4.46%	5.99%	5.90%	3.55%	5.36%	5.57%	3.94%	5.40%	4.44%	6.12%	6.40%	6.74%	6.68%	6.33%	7.23%	5.26%	5.28%	5.19%	5.37%	6.99%	8.29%	5.69%	6.50%	7.12%	6.63%	6.82%	6.52%	7.80%	5.50%	7.82%	6.53%	5.39%	6.88%	5.84%	5.64%	4.80%	6.13%	8.25%	4.21%	5.79%	6.80%	6.48%	6.55%	6.52%	7.46%	7.67%	7.01%	7.35%	8.32%	6.08%	5.76%	6.64%	6.09%	5.14%	7.13%	5.60%	5.26%	6.42%	5.54%	5.78%	5.79%	6.21%	9.94%	5.33%	6.32%	6.45%	6.41%	7.87%	6.37%	6.82%	7.98%	6.10%	7.16%	8.50%	5.63%	7.29%	5.26%	5.04%	8.37%	8.95%	9.14%	4.45%	7.65%	5.10%	7.79%	5.26%	2.72%	9.91%	3.98%	3.96%	3.99%	3.88%	6.14%	3.28%	6.25%	4.95%	1.89%									
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
																																																																																																																		
