Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																								
																																																																																																																								
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																								
																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																								
																																																																																																																								
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №1410	УИК №1411	УИК №1412	УИК №1414	УИК №1416	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1431	УИК №1433	УИК №1436	УИК №1443	УИК №1445	УИК №1447	УИК №1448	УИК №1451	УИК №1453	УИК №1454	УИК №1455	УИК №1457	УИК №1458	УИК №1459	УИК №1462	УИК №1463	УИК №1468	УИК №1472	УИК №1473	УИК №1475	УИК №1477	УИК №1478	УИК №1479	УИК №1485	УИК №1486	УИК №1487	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1496	УИК №1499	УИК №1501	УИК №1504	УИК №1506	УИК №1510	УИК №1511	УИК №1522	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1538	УИК №1539	УИК №1542	УИК №1544	УИК №1554	УИК №1555	УИК №1559					
27	"10. ""Аграрная партия России"""	1013	13	6	20	41	12	28	14	31	15	32	15	23	20	13	15	20	42	35	10	22	23	36	23	22	22	47	27	19	22	8	15	9	14	20	18	24	15	20	11	23	18	13	16	26	27	31	7	0	0	0	0	1	1	1	0	0	0	6	0	0	0	2	0	1	0	0	0	0	0	0	2	0	2	2	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0					
		2.14%	1.27%	0.94%	2.20%	4.36%	2.26%	2.75%	1.32%	3.08%	1.64%	2.48%	2.49%	1.88%	2.28%	2.16%	2.24%	1.97%	3.53%	2.92%	0.93%	2.08%	1.83%	2.98%	1.37%	2.83%	2.89%	5.28%	2.91%	1.75%	2.13%	1.26%	1.69%	1.91%	1.29%	1.76%	2.55%	2.12%	2.05%	2.06%	1.02%	1.66%	3.39%	1.92%	1.50%	2.54%	2.63%	2.82%	1.60%	0.0%	0.0%	0.0%	0.0%	3.33%	1.17%	1.06%	0.0%	0.0%	0.0%	8.45%	0.0%	0.0%	0.0%	8.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	NaN%	2.24%	2.43%	0.0%	5.88%	6.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	7.14%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.40%	11.11%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	58	0	1	2	0	0	0	1	1	0	2	0	3	0	1	0	0	0	9	2	1	0	0	8	0	1	0	1	0	2	0	0	1	2	2	0	0	0	1	1	6	2	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.0%	0.15%	0.22%	0.0%	0.0%	0.0%	0.09%	0.09%	0.0%	0.15%	0.0%	0.24%	0.0%	0.16%	0.0%	0.0%	0.0%	0.75%	0.18%	0.09%	0.0%	0.0%	0.47%	0.0%	0.13%	0.0%	0.10%	0.0%	0.19%	0.0%	0.0%	0.21%	0.18%	0.17%	0.0%	0.0%	0.0%	0.10%	0.09%	0.43%	0.37%	0.0%	0.18%	0.19%	0.0%	0.09%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	325	8	10	0	8	4	6	9	5	10	8	6	7	2	4	7	9	6	8	14	7	5	4	18	6	2	6	9	11	4	2	2	1	10	5	9	7	7	2	7	10	2	8	5	10	7	7	8	0	0	1	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.68%	0.78%	1.57%	0.0%	0.85%	0.75%	0.59%	0.85%	0.49%	1.09%	0.62%	0.99%	0.57%	0.22%	0.66%	1.04%	0.88%	0.50%	0.66%	1.30%	0.66%	0.39%	0.33%	1.07%	0.77%	0.26%	0.67%	0.97%	1.01%	0.38%	0.31%	0.22%	0.21%	0.92%	0.44%	1.27%	0.62%	0.96%	0.20%	0.65%	0.72%	0.37%	1.18%	0.46%	0.97%	0.68%	0.63%	1.83%	0.0%	0.0%	1.23%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	NaN%	0.0%	0.0%	0.0%	0.0%	3.44%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	111	0	2	0	4	5	1	3	3	1	5	1	1	3	1	4	2	3	3	2	4	1	4	1	8	0	0	3	3	2	1	2	2	3	2	0	1	2	2	2	5	2	3	2	3	1	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.23%	0.0%	0.31%	0.0%	0.42%	0.94%	0.09%	0.28%	0.29%	0.10%	0.38%	0.16%	0.08%	0.34%	0.16%	0.59%	0.19%	0.25%	0.25%	0.18%	0.37%	0.07%	0.33%	0.05%	1.03%	0.0%	0.0%	0.32%	0.27%	0.19%	0.15%	0.22%	0.42%	0.27%	0.17%	0.0%	0.08%	0.27%	0.20%	0.18%	0.36%	0.37%	0.44%	0.18%	0.29%	0.09%	0.27%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.16%					
31	"14. ""Великая Россия - Евразийский Союз"""	69	1	1	1	2	2	2	3	0	0	0	1	0	2	1	0	1	0	1	0	5	1	1	8	3	0	0	0	1	2	2	0	0	0	2	0	2	1	2	1	5	1	1	2	0	1	0	1	0	0	1	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.14%	0.09%	0.15%	0.11%	0.21%	0.37%	0.19%	0.28%	0.0%	0.0%	0.0%	0.16%	0.0%	0.22%	0.16%	0.0%	0.09%	0.0%	0.08%	0.0%	0.47%	0.07%	0.08%	0.47%	0.38%	0.0%	0.0%	0.0%	0.09%	0.19%	0.31%	0.0%	0.0%	0.0%	0.17%	0.0%	0.17%	0.13%	0.20%	0.09%	0.36%	0.18%	0.14%	0.18%	0.0%	0.09%	0.0%	0.22%	0.0%	0.0%	1.23%	0.0%	0.0%	2.35%	1.06%	0.0%	0.0%	0.0%	2.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	6.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	72	3	3	0	2	0	0	2	1	1	0	0	5	0	0	1	0	0	1	4	1	0	3	1	0	2	2	4	1	3	0	0	0	0	2	1	2	1	3	5	3	0	4	2	0	0	3	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.15%	0.29%	0.47%	0.0%	0.21%	0.0%	0.0%	0.18%	0.09%	0.10%	0.0%	0.0%	0.41%	0.0%	0.0%	0.14%	0.0%	0.0%	0.08%	0.37%	0.09%	0.0%	0.24%	0.05%	0.0%	0.26%	0.22%	0.43%	0.09%	0.29%	0.0%	0.0%	0.0%	0.0%	0.17%	0.14%	0.17%	0.13%	0.30%	0.46%	0.21%	0.0%	0.59%	0.18%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	1.23%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4821	94	71	91	101	46	140	135	105	114	144	75	139	87	39	61	115	138	110	149	122	181	122	124	59	47	113	109	107	125	73	119	71	99	84	70	123	84	127	150	119	43	57	130	92	113	117	27	2	0	1	0	0	3	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	9	1	1	0	0	2	0	0	2	1	0	0	0	0	2	1	0	0	0	2	0	0	0	0	0	0	0	20	0	1	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		10.22%	9.21%	11.16%	10.05%	10.75%	8.69%	13.79%	12.79%	10.45%	12.48%	11.17%	12.45%	11.42%	9.92%	6.5%	9.11%	11.36%	11.61%	9.18%	13.89%	11.56%	14.41%	10.09%	7.41%	7.60%	6.19%	12.69%	11.77%	9.87%	12.12%	11.53%	13.41%	15.07%	9.13%	7.42%	9.92%	10.89%	11.52%	13.09%	14.04%	8.61%	8.11%	8.44%	12.21%	9.01%	11.04%	10.64%	6.17%	5.12%	0.0%	1.23%	0.0%	0.0%	3.52%	1.06%	1.09%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	8.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	45.0%	10.0%	2.0%	NaN%	0.0%	2.43%	0.0%	0.0%	6.89%	3.57%	0.0%	0.0%	0.0%	0.0%	11.76%	5.55%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	71.42%	0.0%	3.57%	35.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	111	1	1	2	3	0	0	1	4	2	3	0	3	1	3	1	0	1	5	0	1	0	1	9	2	0	0	0	1	3	4	1	1	3	7	5	5	4	1	0	4	3	2	4	3	1	2	2	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		0.23%	0.09%	0.15%	0.22%	0.31%	0.0%	0.0%	0.09%	0.39%	0.21%	0.23%	0.0%	0.24%	0.11%	0.5%	0.14%	0.0%	0.08%	0.41%	0.0%	0.09%	0.0%	0.08%	0.53%	0.25%	0.0%	0.0%	0.0%	0.09%	0.29%	0.63%	0.11%	0.21%	0.27%	0.61%	0.70%	0.44%	0.54%	0.10%	0.0%	0.28%	0.56%	0.29%	0.37%	0.29%	0.09%	0.18%	0.45%	0.0%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	27.77%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
35	"18. ""ЛДПР"""	8281	173	130	187	156	99	169	186	180	177	194	118	212	174	133	109	203	204	170	187	167	177	229	285	171	137	127	138	185	173	131	134	46	204	207	125	210	147	210	213	363	113	127	220	216	140	208	88	0	10	5	2	1	9	21	2	0	0	9	0	0	5	3	0	4	0	0	10	0	5	3	2	0	3	5	4	7	3	6	0	10	0	7	5	6	0	0	0	9	1	11	5	5	10	3	0	2	1	2	3	7	0	3	0	0	2	1	0	0	0	6	0	0	11					
		17.56%	16.96%	20.44%	20.66%	16.61%	18.71%	16.65%	17.63%	17.92%	19.38%	15.05%	19.60%	17.41%	19.84%	22.16%	16.29%	20.05%	17.17%	14.20%	17.44%	15.82%	14.09%	18.95%	17.03%	22.03%	18.05%	14.26%	14.90%	17.06%	16.77%	20.69%	15.10%	9.76%	18.81%	18.28%	17.73%	18.60%	20.16%	21.64%	19.94%	26.28%	21.32%	18.81%	20.67%	21.15%	13.68%	18.92%	20.13%	0.0%	100.0%	6.17%	6.66%	3.33%	10.58%	22.34%	2.19%	0.0%	0.0%	12.67%	0.0%	0.0%	20.0%	12.0%	0.0%	18.18%	0.0%	0.0%	58.82%	0.0%	25.0%	30.0%	4.0%	NaN%	3.37%	6.09%	13.33%	41.17%	10.34%	21.42%	0.0%	55.55%	0.0%	33.33%	29.41%	33.33%	0.0%	0.0%	0.0%	3.10%	0.30%	37.93%	17.85%	19.23%	40.0%	11.11%	0.0%	7.14%	5.88%	7.14%	21.42%	19.99%	0.0%	16.66%	0.0%	0.0%	7.40%	3.57%	0.0%	0.0%	0.0%	28.57%	NaN%	0.0%	12.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	632	14	9	8	16	9	12	14	13	11	25	6	19	11	6	14	10	24	17	19	14	11	15	16	9	13	14	11	11	20	6	12	10	24	18	8	15	7	10	12	24	6	10	10	16	14	11	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	1	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
		1.34%	1.37%	1.41%	0.88%	1.70%	1.70%	1.18%	1.32%	1.29%	1.20%	1.93%	0.99%	1.56%	1.25%	1.0%	2.09%	0.98%	2.02%	1.42%	1.77%	1.32%	0.87%	1.24%	0.95%	1.15%	1.71%	1.57%	1.18%	1.01%	1.93%	0.94%	1.35%	2.12%	2.21%	1.59%	1.13%	1.32%	0.96%	1.03%	1.12%	1.73%	1.13%	1.48%	0.93%	1.56%	1.36%	1.00%	1.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.0%	NaN%	0.0%	3.65%	0.0%	0.0%	3.44%	7.14%	44.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	11018	239	155	190	211	115	205	171	215	189	272	106	254	180	155	156	209	236	244	207	200	272	219	495	167	216	196	180	226	199	146	135	89	208	299	146	308	151	174	186	227	93	165	235	171	204	201	126	30	0	49	25	4	44	48	76	30	60	7	32	26	0	1	29	1	19	0	6	24	3	0	27	0	75	45	15	3	5	0	0	1	26	6	0	8	16	12	20	243	293	2	4	3	3	3	20	1	13	6	1	3	33	0	18	26	16	26	35	17	64	0	0	24	48					
		23.37%	23.43%	24.37%	20.99%	22.47%	21.73%	20.19%	16.20%	21.41%	20.70%	21.10%	17.60%	20.87%	20.52%	25.83%	23.31%	20.65%	19.86%	20.38%	19.30%	18.95%	21.65%	18.12%	29.58%	21.52%	28.45%	22.02%	19.43%	20.84%	19.30%	23.06%	15.21%	18.89%	19.18%	26.41%	20.70%	27.28%	20.71%	17.93%	17.41%	16.43%	17.54%	24.44%	22.08%	16.74%	19.94%	18.28%	28.83%	76.92%	0.0%	60.49%	83.33%	13.33%	51.76%	51.06%	83.51%	100.0%	88.23%	9.85%	100.0%	100.0%	0.0%	4.0%	100.0%	4.54%	95.0%	0.0%	35.29%	100.0%	15.0%	0.0%	54.0%	NaN%	84.26%	54.87%	50.0%	17.64%	17.24%	0.0%	0.0%	5.55%	100.0%	28.57%	0.0%	44.44%	94.11%	85.71%	66.66%	83.79%	89.60%	6.89%	14.28%	11.53%	12.0%	11.11%	90.90%	3.57%	76.47%	21.42%	7.14%	8.57%	89.18%	0.0%	100.0%	86.66%	59.25%	92.85%	87.5%	99.99%	100.0%	0.0%	NaN%	100.0%	55.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	79	0	2	0	2	2	2	1	3	0	5	3	2	1	4	2	0	1	1	0	5	2	1	2	3	1	0	2	1	2	1	1	1	0	2	0	0	1	1	0	2	0	1	2	3	2	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2					
		0.16%	0.0%	0.31%	0.0%	0.21%	0.37%	0.19%	0.09%	0.29%	0.0%	0.38%	0.49%	0.16%	0.11%	0.66%	0.29%	0.0%	0.08%	0.08%	0.0%	0.47%	0.15%	0.08%	0.11%	0.38%	0.13%	0.0%	0.21%	0.09%	0.19%	0.15%	0.11%	0.21%	0.0%	0.17%	0.0%	0.0%	0.13%	0.10%	0.0%	0.14%	0.0%	0.14%	0.18%	0.29%	0.19%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	1.21%	0.0%	0.0%	13.79%	0.0%	0.0%	0.0%	0.0%	4.76%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	2.32%					
39	"22. ""Развитие предпринимательства"""	140	1	1	3	2	2	2	5	2	2	7	0	4	3	3	1	1	1	2	3	5	2	5	0	3	1	3	2	5	4	2	4	2	4	4	0	4	2	4	3	12	0	3	2	3	3	3	0	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.29%	0.09%	0.15%	0.33%	0.21%	0.37%	0.19%	0.47%	0.19%	0.21%	0.54%	0.0%	0.32%	0.34%	0.5%	0.14%	0.09%	0.08%	0.16%	0.27%	0.47%	0.15%	0.41%	0.0%	0.38%	0.13%	0.33%	0.21%	0.46%	0.38%	0.31%	0.45%	0.42%	0.36%	0.35%	0.0%	0.35%	0.27%	0.41%	0.28%	0.86%	0.0%	0.44%	0.18%	0.29%	0.29%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	2.35%	0.0%	1.09%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	11.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5154	117	49	107	99	45	110	146	91	122	175	75	142	103	57	83	113	144	169	137	116	154	146	136	86	87	100	123	109	109	62	117	76	151	90	112	102	83	124	76	142	65	56	110	124	140	130	45	0	0	7	0	0	7	0	2	0	0	1	0	0	0	3	0	2	0	21	0	0	0	0	6	0	0	3	0	0	0	2	0	1	0	0	0	1	0	0	1	15	5	2	3	2	3	2	0	1	0	0	0	3	0	0	0	0	1	0	0	0	0	1	0	0	4					
		10.93%	11.47%	7.70%	11.82%	10.54%	8.50%	10.83%	13.83%	9.06%	13.36%	13.57%	12.45%	11.66%	11.74%	9.5%	12.40%	11.16%	12.12%	14.11%	12.77%	10.99%	12.26%	12.08%	8.12%	11.08%	11.46%	11.23%	13.28%	10.05%	10.57%	9.79%	13.19%	16.13%	13.92%	7.95%	15.88%	9.03%	11.38%	12.78%	7.11%	10.28%	12.26%	8.29%	10.33%	12.14%	13.68%	11.82%	10.29%	0.0%	0.0%	8.64%	0.0%	0.0%	8.23%	0.0%	2.19%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	12.0%	0.0%	9.09%	0.0%	100.0%	0.0%	0.0%	0.0%	0.0%	12.0%	NaN%	0.0%	3.65%	0.0%	0.0%	0.0%	7.14%	0.0%	5.55%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	3.33%	5.17%	1.52%	6.89%	10.71%	7.69%	12.0%	7.40%	0.0%	3.57%	0.0%	0.0%	0.0%	8.57%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	4.65%					
																																																																																																																								
41	Против всех	2701	61	40	48	27	26	46	52	69	42	63	29	58	52	37	40	55	70	63	44	53	58	68	135	36	47	40	34	65	47	43	50	22	46	71	34	59	39	56	48	92	32	50	65	53	50	76	19	2	0	4	1	11	5	11	1	0	0	21	0	0	19	11	0	10	1	0	1	0	1	4	0	0	3	11	10	5	3	12	0	3	0	4	9	2	1	1	0	12	4	7	5	7	5	11	1	1	0	13	5	15	0	8	0	0	6	0	5	0	0	3	0	0	16					
		5.72%	5.98%	6.28%	5.30%	2.87%	4.91%	4.53%	4.92%	6.87%	4.60%	4.88%	4.81%	4.76%	5.92%	6.16%	5.97%	5.43%	5.89%	5.26%	4.10%	5.02%	4.61%	5.62%	8.06%	4.63%	6.19%	4.49%	3.67%	5.99%	4.55%	6.79%	5.63%	4.67%	4.24%	6.27%	4.82%	5.22%	5.34%	5.77%	4.49%	6.66%	6.03%	7.40%	6.10%	5.19%	4.88%	6.91%	4.34%	5.12%	0.0%	4.93%	3.33%	36.66%	5.88%	11.70%	1.09%	0.0%	0.0%	29.57%	0.0%	0.0%	76.0%	44.0%	0.0%	45.45%	5.0%	0.0%	5.88%	0.0%	5.0%	40.0%	0.0%	NaN%	3.37%	13.41%	33.33%	29.41%	10.34%	42.85%	0.0%	16.66%	0.0%	19.04%	52.94%	11.11%	5.88%	7.14%	0.0%	4.13%	1.22%	24.13%	17.85%	26.92%	20.0%	40.74%	4.54%	3.57%	0.0%	46.42%	35.71%	42.85%	0.0%	44.44%	0.0%	0.0%	22.22%	0.0%	12.5%	0.0%	0.0%	14.28%	NaN%	0.0%	18.60%					
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
																																																																																																																								
