Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551					
		0.09%	0.30%	0.0%	0.0%	0.0%	0.77%	0.0%	0.36%	0.0%	0.10%	0.35%	0.11%	0.0%	0.0%	0.0%	0.31%	0.0%	0.06%	0.0%	0.12%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.34%	0.11%	0.10%	0.0%	0.0%	0.0%	0.0%	0.10%	0.16%	0.14%	0.14%	0.0%	0.09%	0.25%	0.0%	0.09%	0.17%	0.0%	0.0%	0.08%	0.07%	0.24%	0.17%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	597	8	5	12	13	4	3	13	5	17	10	8	16	9	6	7	19	9	15	7	8	5	8	10	11	13	10	12	12	8	12	14	13	9	17	21	19	13	13	10	14	14	7	14	10	15	15	12	7	6	7	2	20	27	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.21%	1.20%	1.07%	1.16%	1.48%	1.54%	0.61%	1.58%	1.18%	1.72%	1.19%	0.94%	1.67%	1.14%	0.62%	0.73%	2.13%	0.57%	2.42%	0.90%	0.83%	1.38%	0.73%	1.15%	1.16%	1.00%	0.86%	1.34%	1.31%	1.65%	0.99%	1.10%	1.18%	0.92%	1.36%	1.54%	1.41%	2.23%	1.21%	2.5%	1.37%	1.31%	0.62%	1.32%	0.92%	1.34%	1.09%	0.98%	0.60%	1.11%	1.52%	0.41%	1.93%	2.78%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	65	1	1	0	1	1	0	4	1	1	0	1	2	0	3	0	2	0	0	0	0	0	0	0	2	0	2	1	2	2	1	2	2	2	1	1	3	2	0	2	1	1	1	1	4	2	0	4	2	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.13%	0.15%	0.21%	0.0%	0.11%	0.38%	0.0%	0.48%	0.23%	0.10%	0.0%	0.11%	0.20%	0.0%	0.31%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.17%	0.11%	0.21%	0.41%	0.08%	0.15%	0.18%	0.20%	0.08%	0.07%	0.22%	0.34%	0.0%	0.5%	0.09%	0.09%	0.08%	0.09%	0.37%	0.17%	0.0%	0.32%	0.17%	0.18%	0.43%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	82	3	0	6	3	0	2	1	1	1	2	2	3	1	3	1	1	1	2	0	0	1	1	0	0	5	1	1	2	2	2	1	0	1	1	2	0	3	2	2	3	3	2	4	1	0	0	2	5	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.16%	0.45%	0.0%	0.58%	0.34%	0.0%	0.40%	0.12%	0.23%	0.10%	0.23%	0.23%	0.31%	0.12%	0.31%	0.10%	0.11%	0.06%	0.32%	0.0%	0.0%	0.27%	0.09%	0.0%	0.0%	0.38%	0.08%	0.11%	0.21%	0.41%	0.16%	0.07%	0.0%	0.10%	0.08%	0.14%	0.0%	0.51%	0.18%	0.5%	0.29%	0.28%	0.17%	0.37%	0.09%	0.0%	0.0%	0.16%	0.42%	0.0%	0.21%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	229	4	2	8	3	1	3	0	3	1	4	5	4	0	5	3	3	6	5	5	7	3	5	1	3	8	3	9	1	1	7	7	4	2	1	6	4	5	2	0	3	7	9	5	9	3	15	10	4	0	2	5	5	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.46%	0.60%	0.42%	0.77%	0.34%	0.38%	0.61%	0.0%	0.71%	0.10%	0.47%	0.59%	0.41%	0.0%	0.51%	0.31%	0.33%	0.38%	0.80%	0.64%	0.73%	0.83%	0.45%	0.11%	0.31%	0.61%	0.26%	1.01%	0.10%	0.20%	0.57%	0.55%	0.36%	0.20%	0.08%	0.44%	0.29%	0.86%	0.18%	0.0%	0.29%	0.65%	0.79%	0.47%	0.83%	0.26%	1.09%	0.82%	0.34%	0.0%	0.43%	1.04%	0.48%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	7012	64	88	134	113	29	41	119	39	139	115	138	150	110	157	147	136	273	79	101	145	59	168	112	145	233	198	114	137	56	165	183	152	138	182	229	181	61	164	59	143	133	153	201	162	184	191	162	173	43	54	31	142	138	1	1	3	2	1	0	6	0	0	0	1	1	1	2	3	2	1	1	0	0	0	1	1	2	1	1	1	0	0	0	0	5	0	0	0	3	1	1	0	0	0	3	0	2	0	0	0	0	0	0	1					
		14.29%	9.62%	18.88%	13.04%	12.94%	11.19%	8.35%	14.47%	9.24%	14.06%	13.73%	16.35%	15.69%	13.99%	16.25%	15.47%	15.24%	17.52%	12.76%	13.08%	15.16%	16.38%	15.39%	12.90%	15.29%	17.97%	17.21%	12.79%	15.02%	11.57%	13.67%	14.39%	13.81%	14.25%	14.63%	16.88%	13.46%	10.49%	15.29%	14.75%	14.06%	12.45%	13.57%	19.07%	15.01%	16.53%	13.93%	13.35%	14.86%	8.02%	11.76%	6.45%	13.73%	14.25%	10.0%	8.33%	23.07%	18.18%	6.66%	0.0%	46.15%	0.0%	0.0%	0.0%	6.66%	8.33%	7.14%	14.28%	21.42%	16.66%	7.69%	6.66%	0.0%	0.0%	0.0%	7.14%	7.69%	15.38%	7.14%	8.33%	8.33%	0.0%	0.0%	0.0%	0.0%	38.46%	0.0%	0.0%	0.0%	21.42%	7.69%	8.33%	0.0%	0.0%	0.0%	21.42%	0.0%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	48	1	0	2	0	0	1	1	1	1	0	2	0	0	0	0	0	1	0	0	2	0	1	0	2	1	0	1	2	2	4	1	0	0	2	1	0	2	3	0	1	0	0	0	0	0	0	2	1	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.15%	0.0%	0.19%	0.0%	0.0%	0.20%	0.12%	0.23%	0.10%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.0%	0.0%	0.20%	0.0%	0.09%	0.0%	0.21%	0.07%	0.0%	0.11%	0.21%	0.41%	0.33%	0.07%	0.0%	0.0%	0.16%	0.07%	0.0%	0.34%	0.27%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.08%	0.74%	0.0%	0.20%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	20.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3314	79	27	56	49	19	29	42	43	69	61	35	54	68	46	39	62	60	42	58	54	14	53	31	37	76	48	36	43	26	110	78	52	69	98	113	75	38	113	35	84	86	93	48	90	89	118	85	110	24	36	67	73	80	2	2	2	2	1	1	2	2	5	3	0	1	1	0	0	1	2	2	0	1	3	2	1	2	3	0	0	0	4	3	1	1	3	3	1	2	2	1	0	2	5	3	6	3	1	5	4	0	0	0	3					
		6.75%	11.87%	5.79%	5.45%	5.61%	7.33%	5.90%	5.10%	10.18%	6.98%	7.28%	4.14%	5.64%	8.65%	4.76%	4.10%	6.95%	3.85%	6.78%	7.51%	5.64%	3.88%	4.85%	3.57%	3.90%	5.86%	4.17%	4.04%	4.71%	5.37%	9.11%	6.13%	4.72%	7.12%	7.87%	8.33%	5.58%	6.54%	10.54%	8.75%	8.25%	8.05%	8.25%	4.55%	8.34%	7.99%	8.60%	7.00%	9.45%	4.47%	7.84%	13.95%	7.05%	8.26%	20.0%	16.66%	15.38%	18.18%	6.66%	7.14%	15.38%	16.66%	45.45%	23.07%	0.0%	8.33%	7.14%	0.0%	0.0%	8.33%	15.38%	13.33%	0.0%	7.69%	25.0%	14.28%	7.69%	15.38%	21.42%	0.0%	0.0%	0.0%	30.76%	23.07%	7.14%	7.69%	25.0%	21.42%	6.66%	14.28%	15.38%	8.33%	0.0%	15.38%	35.71%	21.42%	42.85%	21.42%	7.14%	35.71%	30.76%	0.0%	0.0%	0.0%	20.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	706	9	8	12	10	8	13	7	5	18	10	7	17	8	16	20	11	20	7	12	11	1	12	15	12	16	13	10	11	4	17	19	20	13	22	22	15	16	16	4	26	12	15	11	22	15	23	25	13	4	16	9	11	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.43%	1.35%	1.71%	1.16%	1.14%	3.08%	2.64%	0.85%	1.18%	1.82%	1.19%	0.82%	1.77%	1.01%	1.65%	2.10%	1.23%	1.28%	1.13%	1.55%	1.15%	0.27%	1.09%	1.72%	1.26%	1.23%	1.13%	1.12%	1.20%	0.82%	1.40%	1.49%	1.81%	1.34%	1.76%	1.62%	1.11%	2.75%	1.49%	1.0%	2.55%	1.12%	1.33%	1.04%	2.03%	1.34%	1.67%	2.06%	1.11%	0.74%	3.48%	1.87%	1.06%	1.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	11505	211	112	230	201	54	128	196	111	205	179	185	208	167	207	215	174	342	152	172	213	83	206	168	189	269	267	184	190	139	325	293	248	215	305	293	334	155	253	85	240	271	286	259	263	259	332	306	264	197	131	193	263	204	0	1	5	0	4	3	3	1	5	0	3	6	3	11	9	4	1	2	3	8	2	2	5	3	2	8	4	0	3	3	2	4	3	5	0	4	5	2	1	4	1	1	3	4	3	1	5	0	5	13	4					
		23.45%	31.72%	24.03%	22.39%	23.02%	20.84%	26.06%	23.84%	26.30%	20.74%	21.38%	21.91%	21.75%	21.24%	21.42%	22.63%	19.50%	21.95%	24.55%	22.27%	22.28%	23.05%	18.88%	19.35%	19.93%	20.75%	23.21%	20.65%	20.83%	28.71%	26.92%	23.05%	22.54%	22.21%	24.51%	21.60%	24.85%	26.67%	23.60%	21.25%	23.59%	25.37%	25.37%	24.57%	24.37%	23.27%	24.21%	25.22%	22.68%	36.75%	28.54%	40.20%	25.43%	21.07%	0.0%	8.33%	38.46%	0.0%	26.66%	21.42%	23.07%	8.33%	45.45%	0.0%	20.0%	50.0%	21.42%	78.57%	64.28%	33.33%	7.69%	13.33%	23.07%	61.53%	16.66%	14.28%	38.46%	23.07%	14.28%	66.66%	33.33%	0.0%	23.07%	23.07%	14.28%	30.76%	25.0%	35.71%	0.0%	28.57%	38.46%	16.66%	7.14%	30.76%	7.14%	7.14%	21.42%	28.57%	21.42%	7.14%	38.46%	0.0%	35.71%	100.0%	26.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	54	0	0	0	0	0	0	2	1	0	1	3	0	2	2	0	1	1	1	0	1	1	1	0	0	4	0	3	0	0	0	0	2	0	1	1	0	3	1	2	2	2	1	2	3	0	3	1	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.23%	0.0%	0.11%	0.35%	0.0%	0.25%	0.20%	0.0%	0.11%	0.06%	0.16%	0.0%	0.10%	0.27%	0.09%	0.0%	0.0%	0.30%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.08%	0.07%	0.0%	0.51%	0.09%	0.5%	0.19%	0.18%	0.08%	0.18%	0.27%	0.0%	0.21%	0.08%	0.0%	0.0%	1.08%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	153	3	3	3	0	0	2	5	1	3	2	5	2	2	0	2	0	5	4	5	5	1	4	6	4	3	0	3	1	1	5	5	2	1	3	2	7	3	1	0	1	8	2	1	2	1	2	7	3	1	2	2	5	7	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.31%	0.45%	0.64%	0.29%	0.0%	0.0%	0.40%	0.60%	0.23%	0.30%	0.23%	0.59%	0.20%	0.25%	0.0%	0.21%	0.0%	0.32%	0.64%	0.64%	0.52%	0.27%	0.36%	0.69%	0.42%	0.23%	0.0%	0.33%	0.10%	0.20%	0.41%	0.39%	0.18%	0.10%	0.24%	0.14%	0.52%	0.51%	0.09%	0.0%	0.09%	0.74%	0.17%	0.09%	0.18%	0.08%	0.14%	0.57%	0.25%	0.18%	0.43%	0.41%	0.48%	0.72%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6507	52	36	127	127	38	65	124	55	138	90	112	154	79	138	149	172	311	64	85	162	60	171	124	103	158	172	122	136	64	143	159	143	149	153	161	217	74	133	50	133	137	163	132	129	121	158	151	150	100	59	32	131	119	0	1	0	0	1	1	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	1	1	0	0	0	0	3	2	0	1	0	1	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	2					
		13.26%	7.81%	7.72%	12.36%	14.54%	14.67%	13.23%	15.08%	13.03%	13.96%	10.75%	13.27%	16.10%	10.05%	14.28%	15.68%	19.28%	19.96%	10.33%	11.01%	16.94%	16.66%	15.67%	14.28%	10.86%	12.19%	14.95%	13.69%	14.91%	13.22%	11.84%	12.50%	13.0%	15.39%	12.29%	11.87%	16.14%	12.73%	12.40%	12.5%	13.07%	12.82%	14.46%	12.52%	11.95%	10.87%	11.52%	12.44%	12.88%	18.65%	12.85%	6.66%	12.66%	12.29%	0.0%	8.33%	0.0%	0.0%	6.66%	7.14%	0.0%	0.0%	0.0%	7.69%	0.0%	0.0%	0.0%	0.0%	14.28%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.69%	7.14%	0.0%	0.0%	0.0%	0.0%	23.07%	14.28%	0.0%	8.33%	0.0%	6.66%	0.0%	0.0%	8.33%	0.0%	0.0%	7.14%	7.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	13.33%					
																																																																																																															
41	Против всех	3527	55	34	64	71	19	46	49	35	43	45	52	64	69	64	56	51	84	47	51	44	24	66	51	62	86	64	57	50	46	75	97	55	61	91	109	79	39	80	37	67	82	85	75	91	97	131	89	98	17	20	54	89	71	5	6	1	5	2	5	2	4	0	2	5	2	6	0	0	2	8	8	5	4	5	4	4	4	2	0	7	4	3	1	5	2	2	2	9	2	1	4	9	6	3	1	3	2	7	5	2	12	3	0	3					
		7.19%	8.27%	7.29%	6.23%	8.13%	7.33%	9.36%	5.96%	8.29%	4.35%	5.37%	6.16%	6.69%	8.77%	6.62%	5.89%	5.71%	5.39%	7.59%	6.60%	4.60%	6.66%	6.04%	5.87%	6.54%	6.63%	5.56%	6.39%	5.48%	9.50%	6.21%	7.63%	5.0%	6.30%	7.31%	8.03%	5.87%	6.71%	7.46%	9.25%	6.58%	7.67%	7.54%	7.11%	8.43%	8.71%	9.55%	7.33%	8.41%	3.17%	4.35%	11.25%	8.60%	7.33%	50.0%	50.0%	7.69%	45.45%	13.33%	35.71%	15.38%	33.33%	0.0%	15.38%	33.33%	16.66%	42.85%	0.0%	0.0%	16.66%	61.53%	53.33%	38.46%	30.76%	41.66%	28.57%	30.76%	30.76%	14.28%	0.0%	58.33%	30.76%	23.07%	7.69%	35.71%	15.38%	16.66%	14.28%	60.0%	14.28%	7.69%	33.33%	64.28%	46.15%	21.42%	7.14%	21.42%	14.28%	49.99%	35.71%	15.38%	92.30%	21.42%	0.0%	20.0%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
