Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
"Наименование Избирательной комиссии:    Магнитогорск, Орджоникидзевская"																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463					
		0.12%	0.20%	0.19%	0.14%	0.35%	0.37%	0.0%	0.17%	0.0%	0.23%	0.33%	0.0%	0.17%	0.0%	0.23%	0.0%	0.15%	0.4%	0.21%	0.41%	0.39%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.18%	0.15%	0.26%	0.24%	0.26%	0.0%	0.0%	0.09%	0.08%	0.11%	0.10%	0.0%	0.25%	0.19%	0.07%	0.0%	0.11%	0.0%	0.08%	0.06%	0.0%	0.07%	0.36%	0.10%	0.17%	0.0%	0.14%	0.26%	0.21%	0.17%	0.14%	0.0%	0.08%	0.0%	0.27%	0.06%	0.0%	0.08%	0.06%	0.07%	0.0%	0.13%	0.06%	0.13%	0.85%					
35	"18. ""ЛДПР"""	9131	71	73	105	29	49	101	84	96	120	130	92	75	127	69	51	103	67	73	117	68	59	86	28	7	39	48	72	53	25	122	171	113	110	159	141	82	125	136	254	218	178	204	192	188	172	197	167	147	189	120	167	157	117	136	157	171	141	109	126	165	118	131	155	101	167	166	151	163	161	189	143	153	206	179					
		12.54%	14.34%	13.87%	15.12%	10.21%	18.42%	15.44%	14.78%	15.84%	13.95%	14.34%	17.52%	12.82%	18.92%	16.00%	13.74%	15.99%	13.4%	15.63%	16.18%	13.38%	15.60%	14.33%	22.95%	9.21%	13.82%	14.58%	18.04%	18.02%	8.68%	11.14%	13.32%	9.84%	8.89%	10.34%	10.86%	9.16%	11.49%	11.61%	15.08%	11.91%	12.12%	12.77%	12.65%	13.33%	10.74%	11.64%	11.92%	11.78%	12.95%	9.89%	12.57%	11.54%	11.75%	12.02%	13.03%	12.44%	12.67%	11.91%	10.79%	11.58%	9.98%	10.92%	13.35%	13.77%	11.64%	11.84%	12.22%	10.92%	11.75%	12.79%	9.86%	9.43%	13.49%	30.49%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	697	2	7	4	2	2	5	3	1	8	9	8	8	7	5	3	9	5	4	8	9	2	5	4	1	6	3	4	5	5	11	13	9	16	13	15	14	10	10	17	16	14	21	17	15	20	12	9	4	13	13	13	18	12	12	13	10	12	7	12	8	12	10	9	5	14	12	7	13	10	14	4	13	25	6					
		0.95%	0.40%	1.33%	0.57%	0.70%	0.75%	0.76%	0.52%	0.16%	0.93%	0.99%	1.52%	1.36%	1.04%	1.16%	0.80%	1.39%	1.0%	0.85%	1.10%	1.77%	0.52%	0.83%	3.27%	1.31%	2.12%	0.91%	1.00%	1.70%	1.73%	1.00%	1.01%	0.78%	1.29%	0.84%	1.15%	1.56%	0.91%	0.85%	1.00%	0.87%	0.95%	1.31%	1.12%	1.06%	1.24%	0.70%	0.64%	0.32%	0.89%	1.07%	0.97%	1.32%	1.20%	1.06%	1.07%	0.72%	1.07%	0.76%	1.02%	0.56%	1.01%	0.83%	0.77%	0.68%	0.97%	0.85%	0.56%	0.87%	0.72%	0.94%	0.27%	0.80%	1.63%	1.02%					
37	"20. ""Политическая партия ""Единая Россия"""	37652	272	270	328	135	117	313	292	323	460	489	239	325	352	207	206	335	249	213	380	248	196	333	45	42	135	178	216	154	149	528	592	575	590	765	674	501	549	589	868	1019	787	867	812	759	848	909	788	588	724	670	750	685	540	562	618	782	583	471	622	653	646	597	619	359	729	693	624	751	711	795	797	962	806	94					
		51.71%	54.94%	51.33%	47.26%	47.53%	43.98%	47.85%	51.40%	53.30%	53.48%	53.97%	45.52%	55.55%	52.45%	48.02%	55.52%	52.01%	49.8%	45.61%	52.55%	48.81%	51.85%	55.5%	36.88%	55.26%	47.87%	54.10%	54.13%	52.38%	51.73%	48.21%	46.14%	50.08%	47.69%	49.77%	51.92%	55.97%	50.50%	50.29%	51.54%	55.68%	53.61%	54.28%	53.52%	53.82%	52.96%	53.75%	56.28%	47.15%	49.62%	55.23%	56.47%	50.36%	54.27%	49.69%	51.32%	56.91%	52.42%	51.47%	53.29%	45.85%	54.65%	49.79%	53.31%	48.97%	50.83%	49.42%	50.52%	50.33%	51.89%	53.82%	54.96%	59.34%	52.78%	16.01%					
38	"21. ""Российская Конституционно-демократическая партия"""	101	3	3	0	0	2	1	1	1	1	1	0	1	1	0	0	1	0	1	2	0	0	0	0	1	1	0	0	2	1	0	1	3	3	4	7	2	0	1	3	7	1	5	3	1	6	1	0	1	0	0	1	4	0	1	3	2	1	1	4	0	0	2	1	0	0	1	0	1	1	0	2	0	1	2					
		0.13%	0.60%	0.57%	0.0%	0.0%	0.75%	0.15%	0.17%	0.16%	0.11%	0.11%	0.0%	0.17%	0.14%	0.0%	0.0%	0.15%	0.0%	0.21%	0.27%	0.0%	0.0%	0.0%	0.0%	1.31%	0.35%	0.0%	0.0%	0.68%	0.34%	0.0%	0.07%	0.26%	0.24%	0.26%	0.53%	0.22%	0.0%	0.08%	0.17%	0.38%	0.06%	0.31%	0.19%	0.07%	0.37%	0.05%	0.0%	0.08%	0.0%	0.0%	0.07%	0.29%	0.0%	0.08%	0.24%	0.14%	0.08%	0.10%	0.34%	0.0%	0.0%	0.16%	0.08%	0.0%	0.0%	0.07%	0.0%	0.06%	0.07%	0.0%	0.13%	0.0%	0.06%	0.34%					
39	"22. ""Развитие предпринимательства"""	153	4	3	2	0	0	4	2	1	1	2	0	1	0	1	0	1	2	0	0	2	0	0	0	0	0	0	0	1	2	1	1	1	3	2	3	3	3	2	6	0	1	1	3	3	2	4	1	3	7	2	2	3	1	3	2	2	2	1	1	7	0	3	1	0	4	1	9	2	2	6	5	5	6	4					
		0.21%	0.80%	0.57%	0.28%	0.0%	0.0%	0.61%	0.35%	0.16%	0.11%	0.22%	0.0%	0.17%	0.0%	0.23%	0.0%	0.15%	0.4%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.69%	0.09%	0.07%	0.08%	0.24%	0.13%	0.23%	0.33%	0.27%	0.17%	0.35%	0.0%	0.06%	0.06%	0.19%	0.21%	0.12%	0.23%	0.07%	0.24%	0.47%	0.16%	0.15%	0.22%	0.10%	0.26%	0.16%	0.14%	0.17%	0.10%	0.08%	0.49%	0.0%	0.25%	0.08%	0.0%	0.27%	0.07%	0.72%	0.13%	0.14%	0.40%	0.34%	0.30%	0.39%	0.68%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4404	44	38	49	22	20	50	39	36	50	53	44	25	49	34	21	48	23	51	38	26	31	40	6	3	17	24	29	18	20	84	99	73	81	108	81	56	73	47	82	106	71	111	80	68	111	94	79	88	70	67	69	90	61	98	73	91	64	48	76	119	81	87	52	46	81	77	66	84	78	76	52	73	67	18					
		6.04%	8.88%	7.22%	7.06%	7.74%	7.51%	7.64%	6.86%	5.94%	5.81%	5.84%	8.38%	4.27%	7.30%	7.88%	5.66%	7.45%	4.6%	10.92%	5.25%	5.11%	8.20%	6.66%	4.91%	3.94%	6.02%	7.29%	7.26%	6.12%	6.94%	7.67%	7.71%	6.35%	6.54%	7.02%	6.24%	6.25%	6.71%	4.01%	4.86%	5.79%	4.83%	6.95%	5.27%	4.82%	6.93%	5.55%	5.64%	7.05%	4.79%	5.52%	5.19%	6.61%	6.13%	8.66%	6.06%	6.62%	5.75%	5.24%	6.51%	8.35%	6.85%	7.25%	4.47%	6.27%	5.64%	5.49%	5.34%	5.63%	5.69%	5.14%	3.58%	4.50%	4.38%	3.06%					
																																																																																	
41	Против всех	3384	16	17	46	15	10	19	24	23	36	46	8	22	30	12	20	27	28	17	26	25	9	23	5	1	6	10	9	8	7	50	52	50	68	94	63	53	38	48	74	91	72	94	57	76	98	74	62	69	79	36	44	52	28	44	71	55	31	39	57	53	54	66	61	34	77	74	62	63	68	65	102	84	65	92					
		4.64%	3.23%	3.23%	6.62%	5.28%	3.75%	2.90%	4.22%	3.79%	4.18%	5.07%	1.52%	3.76%	4.47%	2.78%	5.39%	4.19%	5.6%	3.64%	3.59%	4.92%	2.38%	3.83%	4.09%	1.31%	2.12%	3.03%	2.25%	2.72%	2.43%	4.56%	4.05%	4.35%	5.49%	6.11%	4.85%	5.92%	3.49%	4.09%	4.39%	4.97%	4.90%	5.88%	3.75%	5.39%	6.12%	4.37%	4.42%	5.53%	5.41%	2.96%	3.31%	3.82%	2.81%	3.89%	5.89%	4.00%	2.78%	4.26%	4.88%	3.72%	4.56%	5.50%	5.25%	4.63%	5.36%	5.27%	5.02%	4.22%	4.96%	4.40%	7.03%	5.18%	4.25%	15.67%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
