Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																																																				
																																																																																																																																				
Наименование Избирательной комиссии:    Невельская судовая																																																																																																																																				
																																																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																				
																																																																																																																																				
		Сумма	УИК №441	УИК №442	УИК №443	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №454	УИК №455	УИК №456	УИК №457	УИК №459	УИК №460	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №492	УИК №493	УИК №494	УИК №495	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №511	УИК №512	УИК №513	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №535	УИК №536	УИК №537	УИК №538	УИК №541	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №568	УИК №569	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №578	УИК №579	УИК №580	УИК №592	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601					
26	"9. ""Российская экологическая партия ""Зеленые"""	51	0	0	1	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	0	0	0	0	0	1	1	5	1	0	0	0	0	0	0	0	2	0	2	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	5	0	1	0	0	0	0	5	0	0	0	1	0	1	0	0	1	0	2	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		1.72%	0.0%	NaN%	4.16%	0.0%	4.0%	12.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	23.80%	NaN%	0.0%	2.94%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	12.5%	6.66%	6.84%	5.55%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.70%	0.0%	10.52%	0.0%	0.0%	0.0%	2.94%	5.26%	0.0%	0.0%	5.26%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	25.0%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	19.23%	0.0%	0.0%	0.0%	4.76%	0.0%	4.0%	0.0%	0.0%	1.17%	0.0%	2.63%	0.0%	0.0%	0.0%	3.44%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	3.57%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	32	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	1	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	5	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.08%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	11.76%	0.0%	1.78%	5.0%	10.52%	3.57%	0.0%	NaN%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	5.88%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	NaN%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	25.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.88%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	2.63%	2.29%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.27%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	75.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.40%	0.0%	NaN%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.0%	NaN%	4.16%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	3.57%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.54%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	0.0%	5.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	3.57%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	5.88%	NaN%	0.0%	NaN%	3.57%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	3.70%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	3.44%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
		0.27%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	2.94%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.89%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.27%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	4.16%	0.0%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	16.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	118	0	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	2	2	2	0	0	0	2	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	8	0	0	0	4	0	0	3	0	0	2	0	0	0	1	1	1	1	0	0	2	0	0	0	0	13	2	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	1	0	1	0	1	13	0	7	3	0	1	0	9	0	12	0	3	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0					
		3.98%	0.0%	NaN%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.33%	8.33%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	10.0%	10.52%	0.0%	0.0%	NaN%	7.40%	0.0%	2.08%	2.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	4.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	30.0%	0.0%	0.0%	0.0%	0.0%	44.44%	NaN%	0.0%	0.0%	5.88%	0.0%	0.0%	10.34%	0.0%	0.0%	10.52%	0.0%	0.0%	0.0%	2.94%	5.26%	3.44%	5.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	72.22%	8.0%	0.0%	8.0%	0.0%	0.0%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	8.0%	5.55%	0.0%	1.17%	0.0%	1.31%	14.94%	0.0%	24.13%	3.44%	0.0%	5.88%	0.0%	52.94%	0.0%	54.54%	0.0%	14.28%	0.0%	0.0%	0.0%	3.44%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	7.14%	0.0%	0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.87%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	62.96%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	5.26%	0.0%	0.0%	0.0%	2.94%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	5.26%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.14%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	548	0	0	2	0	1	5	2	1	6	5	5	8	8	7	2	5	2	2	5	13	4	4	4	0	0	5	2	10	2	4	10	3	0	0	3	0	1	5	0	0	0	6	0	10	3	0	0	4	8	4	0	5	0	13	6	9	2	25	0	2	12	7	6	0	7	13	11	3	6	3	5	3	0	0	2	8	4	8	4	0	6	0	5	6	7	5	1	0	9	5	5	2	8	3	0	13	8	12	22	2	1	11	0	2	17	0	5	0	7	7	3	0	0	11	0	0	0	4	0	0	12	4	10	0	0					
		18.51%	0.0%	NaN%	8.33%	0.0%	4.0%	20.0%	7.14%	5.26%	21.42%	26.31%	17.85%	26.66%	33.33%	23.33%	6.89%	25.0%	10.0%	11.76%	26.31%	23.21%	20.0%	21.05%	14.28%	0.0%	NaN%	18.51%	3.92%	20.83%	4.44%	14.81%	34.48%	20.0%	0.0%	0.0%	14.28%	NaN%	4.0%	14.70%	NaN%	0.0%	NaN%	21.42%	NaN%	66.66%	30.0%	0.0%	0.0%	26.66%	10.95%	22.22%	NaN%	20.83%	0.0%	19.11%	22.22%	32.14%	6.89%	33.78%	0.0%	10.52%	54.54%	49.99%	37.5%	0.0%	36.84%	44.82%	55.0%	15.78%	33.33%	15.0%	26.31%	14.28%	0.0%	0.0%	11.11%	32.0%	14.81%	32.0%	40.0%	0.0%	22.22%	0.0%	45.45%	37.5%	22.58%	29.41%	3.84%	0.0%	37.5%	25.0%	23.80%	8.0%	32.0%	16.66%	0.0%	15.29%	34.78%	15.78%	25.28%	7.40%	3.44%	12.64%	0.0%	11.76%	99.99%	0.0%	27.77%	0.0%	25.92%	33.33%	16.66%	0.0%	0.0%	37.93%	0.0%	NaN%	NaN%	16.66%	NaN%	NaN%	42.85%	40.0%	100.0%	0.0%	0.0%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	49	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	1	0	1	3	0	0	0	0	1	0	0	2	0	3	1	0	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		1.65%	0.0%	NaN%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	NaN%	7.40%	0.0%	0.0%	0.0%	0.0%	6.89%	0.0%	2.94%	0.0%	0.0%	NaN%	8.0%	2.94%	NaN%	0.0%	NaN%	3.57%	NaN%	0.0%	0.0%	0.0%	0.0%	13.33%	0.0%	0.0%	NaN%	4.16%	0.0%	1.47%	0.0%	0.0%	0.0%	1.35%	0.0%	5.26%	13.63%	0.0%	0.0%	0.0%	0.0%	3.44%	0.0%	0.0%	11.11%	0.0%	15.78%	4.76%	0.0%	99.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	2.35%	0.0%	1.31%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	736	0	0	11	11	12	6	11	4	8	2	11	8	5	10	2	4	11	1	4	11	1	5	0	16	0	11	45	25	39	7	0	1	32	1	1	0	16	4	0	17	0	2	0	4	0	0	3	1	1	1	0	3	5	14	9	8	4	3	2	4	0	3	3	8	3	1	2	3	5	3	1	0	14	0	0	5	2	5	4	5	1	11	3	8	12	0	0	2	2	9	3	4	9	6	0	14	4	5	8	0	13	14	0	3	0	7	4	10	5	4	5	2	31	6	22	0	0	5	0	0	4	0	0	12	4					
		24.87%	0.0%	NaN%	45.83%	44.0%	48.0%	24.0%	39.28%	21.05%	28.57%	10.52%	39.28%	26.66%	20.83%	33.33%	6.89%	20.0%	55.0%	5.88%	21.05%	19.64%	5.0%	26.31%	0.0%	100.0%	NaN%	40.74%	88.23%	52.08%	86.66%	25.92%	0.0%	6.66%	94.11%	4.54%	4.76%	NaN%	64.0%	11.76%	NaN%	99.99%	NaN%	7.14%	NaN%	26.66%	0.0%	0.0%	37.5%	6.66%	1.36%	5.55%	NaN%	12.5%	18.51%	20.58%	33.33%	28.57%	13.79%	4.05%	11.11%	21.05%	0.0%	21.42%	18.75%	23.52%	15.78%	3.44%	10.0%	15.78%	27.77%	15.0%	5.26%	0.0%	87.5%	0.0%	0.0%	20.0%	7.40%	20.0%	40.0%	25.0%	3.70%	64.70%	27.27%	50.0%	38.70%	0.0%	0.0%	10.52%	8.33%	45.0%	14.28%	16.0%	36.0%	33.33%	0.0%	16.47%	17.39%	6.57%	9.19%	0.0%	44.82%	16.09%	0.0%	17.64%	0.0%	41.17%	22.22%	45.45%	18.51%	19.04%	27.77%	12.5%	100.0%	20.68%	84.61%	NaN%	NaN%	20.83%	NaN%	NaN%	14.28%	0.0%	0.0%	100.0%	100.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		0.27%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.57%	0.0%	NaN%	0.0%	0.0%	0.0%	2.22%	0.0%	0.0%	0.0%	2.94%	0.0%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	1.47%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	NaN%	4.16%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	23	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0					
		0.77%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.14%	0.0%	NaN%	0.0%	0.0%	2.08%	0.0%	3.70%	3.44%	0.0%	0.0%	4.54%	0.0%	NaN%	0.0%	0.0%	NaN%	0.0%	NaN%	0.0%	NaN%	0.0%	20.0%	0.0%	0.0%	6.66%	1.36%	0.0%	NaN%	0.0%	3.70%	0.0%	0.0%	3.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.88%	11.53%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	6.89%	0.0%	NaN%	NaN%	0.0%	NaN%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	176	0	0	0	1	1	1	6	3	2	1	5	0	1	0	1	1	2	0	2	5	1	0	0	0	0	0	2	1	1	0	0	0	0	4	0	0	1	3	0	0	0	5	0	0	0	0	1	0	8	3	0	3	1	8	2	1	2	3	14	0	1	0	0	2	0	1	0	1	0	2	0	5	0	0	0	1	2	1	0	0	7	0	0	0	1	3	0	0	1	1	2	4	0	1	1	2	1	6	9	0	0	14	0	3	0	0	1	0	1	0	0	2	0	1	0	0	0	1	0	0	1	1	0	0	0					
