Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																		
Дата голосования: 04.12.2011																																																																																																																																																		
																																																																																																																																																		
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																		
																																																																																																																																																		
Сводная таблица результатов выборов																																																																																																																																																		
																																																																																																																																																		
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №1849	УИК №1852	УИК №1853	УИК №1854	УИК №1855	УИК №1856	УИК №1859	УИК №1860	УИК №1862	УИК №1863	УИК №1864	УИК №1865	УИК №1866	УИК №1868	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1874	УИК №1875	УИК №1876	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923					
		48.99%	28.19%	60.87%	21.24%	25.12%	49.44%	25.64%	29.01%	20.03%	45.17%	21.22%	52.49%	52.17%	38.83%	20.97%	20.12%	52.57%	52.64%	26.37%	25.75%	24.31%	21.83%	20.26%	19.04%	52.08%	51.71%	20.25%	51.29%	21.44%	20.60%	16.82%	16.24%	16.81%	15.82%	18.02%	51.55%	55.80%	59.74%	39.33%	51.63%	52.25%	49.25%	52.17%	40.26%	52.83%	35.15%	49.25%	52.26%	48.40%	35.79%	51.37%	34.04%	55.80%	57.87%	53.26%	43.87%	47.11%	51.75%	51.86%	51.83%	49.05%	46.42%	78.58%	90.99%	36.17%	47.11%	23.47%	67.79%	86.69%	39.21%	80.86%	34.64%	89.41%	59.27%	88.43%	66.14%	79.93%	100.00%	62.87%	95.01%	94.27%	29.63%	90.27%	42.86%	40.00%	18.18%	18.18%	27.27%	25.00%	18.18%	20.00%	16.67%	33.33%	8.33%	36.36%	36.36%	50.00%	10.00%	40.00%	18.18%	23.08%	36.36%	27.27%	50.00%	30.00%	9.09%	18.18%	9.09%	10.00%	45.45%	33.33%	33.33%	20.00%	12.50%	20.00%	10.00%	45.45%	10.00%	9.09%	36.36%	18.18%	36.36%	0.00%	9.09%	0.00%	60.00%	27.27%	11.11%	8.33%	36.36%	100.00%	18.18%	36.36%	9.09%	40.00%	18.18%	12.00%	21.74%	8.00%	58.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	984	9	22	2	4	9	10	3	6	15	14	8	9	11	6	10	27	12	18	5	10	14	7	11	18	28	7	78	11	9	17	11	10	7	4	29	12	7	9	6	11	11	16	8	17	10	9	13	6	6	27	9	8	11	20	6	9	9	65	9	9	12	5	3	12	6	11	7	46	16	12	12	10	10	6	2	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		1.11%	1.21%	3.42%	0.33%	0.46%	1.27%	0.95%	0.93%	0.97%	1.77%	1.42%	1.17%	1.30%	0.97%	0.90%	1.20%	3.08%	1.15%	1.80%	0.68%	1.03%	1.42%	0.71%	0.99%	1.74%	2.23%	0.81%	6.30%	1.46%	1.22%	1.43%	1.33%	1.08%	0.63%	0.69%	2.89%	1.36%	0.84%	0.84%	0.68%	1.13%	1.09%	1.65%	0.75%	1.81%	0.70%	0.59%	0.89%	0.60%	0.51%	2.05%	0.70%	0.34%	0.92%	1.04%	0.46%	0.82%	0.81%	4.03%	0.73%	0.64%	0.72%	0.38%	0.24%	0.96%	0.38%	0.86%	0.43%	2.94%	1.20%	0.64%	1.04%	0.62%	0.74%	0.38%	1.57%	1.02%	0.00%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%					
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
																																																																																																																																																		
