Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																																																																									
																																																																																																																																									
Наименование Избирательной комиссии:    Энгельсская																																																																																																																																									
																																																																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																									
																																																																																																																																									
		Сумма	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828					
		0.64%	0.58%	0.68%	0.56%	0.72%	0.55%	0.76%	0.97%	0.48%	1.21%	1.01%	0.24%	1.01%	1.25%	0.24%	0.89%	0.61%	0.50%	0.82%	0.69%	0.63%	0.76%	0.0%	0.41%	0.65%	0.69%	1.27%	0.90%	0.60%	0.76%	0.51%	1.34%	0.51%	0.10%	0.73%	1.05%	0.83%	0.62%	1.18%	0.51%	0.84%	0.33%	0.93%	0.27%	1.08%	0.21%	0.70%	0.46%	0.65%	0.95%	0.80%	0.69%	0.84%	0.47%	0.84%	0.85%	0.30%	1.57%	0.88%	0.46%	0.28%	0.28%	0.56%	0.69%	0.73%	0.26%	0.68%	0.72%	0.67%	0.51%	0.39%	0.67%	0.53%	1.29%	0.11%	1.27%	0.73%	1.07%	0.60%	0.51%	0.29%	0.74%	1.07%	0.41%	0.40%	0.77%	0.78%	0.12%	0.47%	0.52%	1.18%	0.18%	0.44%	0.33%	0.20%	0.07%	0.28%	0.19%	0.0%	0.0%	0.69%	0.0%	1.63%	0.30%	0.09%	0.28%	1.29%	0.81%	2.57%	0.0%	0.0%	0.35%	1.10%	1.80%	1.23%	1.25%	0.26%	0.67%	0.45%	0.52%	0.35%	0.0%	0.66%	0.0%	0.29%	0.0%	0.0%	0.70%	0.63%	0.84%	0.4%					
25	"8. ""Народно-республиканская партия России"""	110	1	0	0	1	1	1	1	1	0	1	1	3	3	0	4	0	1	0	0	1	0	0	0	1	0	1	0	1	3	3	0	0	1	2	0	0	0	0	1	3	0	1	1	0	0	2	0	0	1	0	0	0	3	1	0	2	3	0	1	1	0	2	0	0	0	0	2	3	3	0	3	0	0	0	0	1	1	0	2	1	2	0	1	1	1	2	0	0	0	1	0	2	0	1	1	0	0	0	0	0	1	0	1	2	0	1	1	2	0	0	0	0	0	0	3	1	1	0	1	2	0	0	0	2	0	0	3	1	1	5					
		0.10%	0.09%	0.0%	0.0%	0.10%	0.13%	0.10%	0.12%	0.12%	0.0%	0.08%	0.12%	0.25%	0.20%	0.0%	0.27%	0.0%	0.10%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.09%	0.0%	0.10%	0.0%	0.10%	0.32%	0.51%	0.0%	0.0%	0.10%	0.20%	0.0%	0.0%	0.0%	0.0%	0.07%	0.31%	0.0%	0.11%	0.09%	0.0%	0.0%	0.15%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.35%	0.07%	0.0%	0.20%	0.47%	0.0%	0.09%	0.14%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.20%	0.33%	0.38%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%	0.20%	0.09%	0.21%	0.0%	0.08%	0.08%	0.09%	0.31%	0.0%	0.0%	0.0%	0.19%	0.0%	0.29%	0.0%	0.10%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.15%	0.19%	0.0%	0.16%	0.16%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.87%	0.26%	0.22%	0.0%	0.26%	0.35%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.42%	0.06%	0.16%	0.5%					
26	"9. ""Российская экологическая партия ""Зеленые"""	368	4	4	1	2	0	3	3	5	5	3	1	2	12	9	7	10	0	4	5	3	6	0	2	3	0	3	2	5	1	2	11	2	4	4	3	4	8	3	4	2	6	3	2	2	1	10	3	0	3	3	3	5	3	3	4	6	3	1	7	2	0	0	3	2	4	5	4	6	5	4	4	1	3	4	3	4	4	1	4	3	2	5	2	8	0	3	6	6	2	4	0	4	2	2	0	4	1	0	0	1	1	1	0	2	2	0	1	0	0	2	0	1	0	0	1	0	0	0	0	0	3	1	0	2	0	1	1	7	1	3					
		0.34%	0.38%	0.39%	0.11%	0.20%	0.0%	0.32%	0.36%	0.60%	0.43%	0.25%	0.12%	0.16%	0.83%	0.74%	0.48%	0.77%	0.0%	0.41%	0.49%	0.31%	0.57%	0.0%	0.20%	0.28%	0.0%	0.31%	0.25%	0.50%	0.10%	0.34%	0.98%	0.20%	0.42%	0.41%	0.31%	0.36%	0.83%	0.27%	0.29%	0.21%	0.50%	0.34%	0.18%	0.24%	0.10%	0.78%	0.27%	0.0%	0.26%	0.24%	0.34%	0.47%	0.35%	0.22%	0.57%	0.60%	0.47%	0.11%	0.65%	0.28%	0.0%	0.0%	0.26%	0.24%	0.34%	0.48%	0.41%	0.67%	0.64%	0.39%	0.53%	0.26%	0.43%	0.44%	0.42%	0.48%	0.53%	0.20%	0.40%	0.29%	0.21%	0.49%	0.16%	0.64%	0.0%	0.47%	0.72%	0.47%	0.35%	0.79%	0.0%	0.59%	0.33%	0.20%	0.0%	1.14%	0.19%	0.0%	0.0%	0.17%	0.35%	0.14%	0.0%	0.19%	0.28%	0.0%	0.16%	0.0%	0.0%	0.84%	0.0%	0.36%	0.0%	0.0%	0.62%	0.0%	0.0%	0.0%	0.0%	0.0%	1.24%	0.33%	0.0%	0.29%	0.0%	0.12%	0.14%	0.44%	0.16%	0.3%					
27	"10. ""Аграрная партия России"""	1950	16	18	21	12	11	17	11	10	16	14	9	17	15	17	16	21	19	16	20	13	13	6	12	20	1	11	14	19	16	10	12	16	17	16	18	17	17	14	25	23	21	14	9	16	9	7	9	15	17	15	6	9	12	17	16	12	12	20	18	8	9	6	13	9	10	15	16	8	10	11	17	4	30	8	17	9	14	9	6	19	15	13	11	19	10	8	14	25	10	12	23	13	10	19	31	12	24	4	8	9	4	10	9	38	28	32	15	23	7	23	11	7	5	1	13	14	52	9	6	20	8	11	3	26	15	38	34	40	21	29					
		1.85%	1.55%	1.75%	2.39%	1.23%	1.53%	1.85%	1.33%	1.21%	1.38%	1.18%	1.09%	1.43%	1.04%	1.40%	1.10%	1.62%	1.92%	1.64%	1.97%	1.38%	1.23%	1.46%	1.25%	1.87%	0.34%	1.16%	1.81%	1.92%	1.75%	1.72%	1.07%	1.64%	1.79%	1.67%	1.89%	1.57%	1.77%	1.27%	1.82%	2.42%	1.77%	1.62%	0.83%	1.92%	0.96%	0.55%	0.83%	1.63%	1.47%	1.21%	0.69%	0.84%	1.43%	1.29%	2.28%	1.21%	1.89%	2.20%	1.68%	1.14%	1.30%	1.12%	1.13%	1.10%	0.87%	1.46%	1.66%	0.90%	1.28%	1.09%	2.28%	1.06%	4.32%	0.88%	2.40%	1.09%	1.88%	1.82%	0.61%	1.89%	1.60%	1.27%	0.91%	1.53%	0.96%	1.25%	1.70%	1.98%	1.75%	2.37%	4.33%	1.92%	1.68%	1.95%	2.35%	3.44%	4.75%	3.77%	2.87%	1.55%	1.41%	1.48%	1.37%	3.65%	4.04%	5.16%	2.44%	4.93%	4.60%	9.74%	3.90%	2.57%	4.50%	1.23%	8.12%	3.64%	11.65%	2.05%	1.56%	3.53%	3.31%	3.65%	3.09%	3.81%	2.87%	4.76%	4.79%	2.55%	3.53%	2.9%					
28	"11. ""Истинные патриоты России"""	129	3	0	0	1	0	0	1	1	0	0	1	3	3	0	2	0	1	0	0	0	2	0	0	0	0	0	0	3	1	0	0	0	0	0	2	1	0	1	1	2	10	0	1	3	0	1	2	0	0	1	0	1	2	1	0	0	1	0	4	0	5	1	0	2	1	0	0	1	0	0	2	0	0	1	2	0	0	0	1	11	0	1	0	2	1	0	1	1	0	2	0	2	0	0	3	3	2	0	0	2	1	1	3	0	1	0	0	1	0	3	0	0	0	5	1	1	0	0	0	0	4	0	0	0	0	3	0	1	1	0					
		0.12%	0.29%	0.0%	0.0%	0.10%	0.0%	0.0%	0.12%	0.12%	0.0%	0.0%	0.12%	0.25%	0.20%	0.0%	0.13%	0.0%	0.10%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.09%	0.0%	0.09%	0.07%	0.21%	0.84%	0.0%	0.09%	0.36%	0.0%	0.07%	0.18%	0.0%	0.0%	0.08%	0.0%	0.09%	0.23%	0.07%	0.0%	0.0%	0.15%	0.0%	0.37%	0.0%	0.72%	0.18%	0.0%	0.24%	0.08%	0.0%	0.0%	0.11%	0.0%	0.0%	0.26%	0.0%	0.0%	0.11%	0.28%	0.0%	0.0%	0.0%	0.10%	1.09%	0.0%	0.09%	0.0%	0.16%	0.09%	0.0%	0.12%	0.07%	0.0%	0.39%	0.0%	0.29%	0.0%	0.0%	0.22%	0.86%	0.39%	0.0%	0.0%	0.34%	0.35%	0.14%	0.45%	0.0%	0.14%	0.0%	0.0%	0.21%	0.0%	1.27%	0.0%	0.0%	0.0%	6.17%	0.62%	0.26%	0.0%	0.0%	0.0%	0.0%	1.65%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.06%	0.16%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1003	10	7	8	12	5	4	4	10	10	10	6	10	16	9	17	12	8	5	5	15	13	2	5	19	4	10	12	15	13	7	11	9	11	12	12	10	3	11	12	7	10	14	10	6	3	16	2	5	4	19	8	5	5	4	4	11	16	7	7	6	5	4	7	6	16	7	8	14	8	6	9	10	5	10	4	7	6	9	9	14	12	12	12	8	6	12	3	6	8	1	1	9	2	12	15	2	3	0	0	2	0	10	11	19	10	9	17	6	0	1	6	3	3	0	1	2	3	5	1	9	0	7	0	7	12	3	3	11	2	9					
		0.95%	0.97%	0.68%	0.91%	1.23%	0.69%	0.43%	0.48%	1.21%	0.86%	0.84%	0.72%	0.84%	1.11%	0.74%	1.17%	0.92%	0.81%	0.51%	0.49%	1.59%	1.23%	0.48%	0.52%	1.78%	1.39%	1.06%	1.55%	1.52%	1.42%	1.20%	0.98%	0.92%	1.16%	1.25%	1.26%	0.92%	0.31%	1.0%	0.87%	0.73%	0.84%	1.62%	0.92%	0.72%	0.32%	1.26%	0.18%	0.54%	0.34%	1.53%	0.93%	0.47%	0.59%	0.30%	0.57%	1.11%	2.52%	0.77%	0.65%	0.85%	0.72%	0.75%	0.61%	0.73%	1.39%	0.68%	0.83%	1.58%	1.02%	0.59%	1.20%	2.66%	0.72%	1.11%	0.56%	0.85%	0.80%	1.82%	0.92%	1.39%	1.28%	1.17%	0.99%	0.64%	0.58%	1.88%	0.36%	0.47%	1.40%	0.19%	0.18%	1.32%	0.33%	1.23%	1.13%	0.57%	0.59%	0.0%	0.0%	0.34%	0.0%	1.48%	1.68%	1.82%	1.44%	1.45%	2.77%	1.28%	0.0%	0.42%	2.12%	1.10%	2.70%	0.0%	0.62%	0.52%	0.67%	1.14%	0.26%	1.59%	0.0%	2.32%	0.0%	1.02%	2.29%	0.37%	0.42%	0.70%	0.33%	0.9%					
30	"13. ""Демократическая партия России"""	247	1	1	5	1	6	2	2	4	1	0	1	5	7	2	4	1	2	0	0	2	2	0	3	1	1	1	0	4	1	1	4	2	0	0	1	3	1	3	4	1	7	2	1	1	1	3	7	1	3	2	2	4	1	5	2	2	2	1	2	0	0	2	3	1	3	2	1	4	4	2	2	1	4	3	0	2	1	2	1	4	2	7	6	4	3	0	0	1	2	3	1	5	1	1	4	2	0	0	0	3	3	2	1	2	2	3	2	0	0	0	0	4	1	0	1	0	1	0	0	2	2	0	1	1	0	2	0	0	1	0					
		0.23%	0.09%	0.09%	0.56%	0.10%	0.83%	0.21%	0.24%	0.48%	0.08%	0.0%	0.12%	0.42%	0.48%	0.16%	0.27%	0.07%	0.20%	0.0%	0.0%	0.21%	0.19%	0.0%	0.31%	0.09%	0.34%	0.10%	0.0%	0.40%	0.10%	0.17%	0.35%	0.20%	0.0%	0.0%	0.10%	0.27%	0.10%	0.27%	0.29%	0.10%	0.59%	0.23%	0.09%	0.12%	0.10%	0.23%	0.64%	0.10%	0.26%	0.16%	0.23%	0.37%	0.11%	0.38%	0.28%	0.20%	0.31%	0.11%	0.18%	0.0%	0.0%	0.37%	0.26%	0.12%	0.26%	0.19%	0.10%	0.45%	0.51%	0.19%	0.26%	0.26%	0.57%	0.33%	0.0%	0.24%	0.13%	0.40%	0.10%	0.39%	0.21%	0.68%	0.49%	0.32%	0.29%	0.0%	0.0%	0.07%	0.35%	0.59%	0.18%	0.73%	0.16%	0.10%	0.30%	0.57%	0.0%	0.0%	0.0%	0.51%	1.06%	0.29%	0.15%	0.19%	0.28%	0.48%	0.32%	0.0%	0.0%	0.0%	0.0%	1.47%	0.90%	0.0%	0.62%	0.0%	0.22%	0.0%	0.0%	0.35%	0.82%	0.0%	1.03%	0.14%	0.0%	0.25%	0.0%	0.0%	0.16%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	188	1	2	2	0	5	3	3	0	1	1	1	1	4	1	3	2	1	0	1	0	2	2	0	0	0	2	4	2	1	2	3	0	0	1	2	2	3	6	1	3	2	0	3	2	0	0	0	2	4	1	0	1	2	3	4	1	1	2	1	1	1	0	0	2	3	3	1	4	0	1	3	0	1	1	1	2	0	0	4	0	0	1	1	4	0	0	0	4	1	1	0	0	1	7	2	1	0	0	1	0	1	2	0	8	2	1	0	1	0	0	0	0	0	2	2	1	0	4	0	0	1	0	0	1	7	2	1	2	1	0					
		0.17%	0.09%	0.19%	0.22%	0.0%	0.69%	0.32%	0.36%	0.0%	0.08%	0.08%	0.12%	0.08%	0.27%	0.08%	0.20%	0.15%	0.10%	0.0%	0.09%	0.0%	0.19%	0.48%	0.0%	0.0%	0.0%	0.21%	0.51%	0.20%	0.10%	0.34%	0.26%	0.0%	0.0%	0.10%	0.21%	0.18%	0.31%	0.54%	0.07%	0.31%	0.16%	0.0%	0.27%	0.24%	0.0%	0.0%	0.0%	0.21%	0.34%	0.08%	0.0%	0.09%	0.23%	0.22%	0.57%	0.10%	0.15%	0.22%	0.09%	0.14%	0.14%	0.0%	0.0%	0.24%	0.26%	0.29%	0.10%	0.45%	0.0%	0.09%	0.40%	0.0%	0.14%	0.11%	0.14%	0.24%	0.0%	0.0%	0.40%	0.0%	0.0%	0.09%	0.08%	0.32%	0.0%	0.0%	0.0%	0.31%	0.17%	0.19%	0.0%	0.0%	0.16%	0.72%	0.15%	0.28%	0.0%	0.0%	0.35%	0.0%	0.35%	0.29%	0.0%	0.76%	0.28%	0.16%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	2.46%	1.25%	0.26%	0.0%	0.91%	0.0%	0.0%	0.41%	0.0%	0.0%	0.14%	1.34%	0.25%	0.14%	0.12%	0.16%	0.0%					
32	"15. ""Партия СЛОН"""	125	2	0	2	3	0	1	2	0	1	2	0	3	6	2	4	0	1	3	4	0	1	0	0	1	0	1	1	0	0	2	1	2	0	3	2	0	0	0	1	0	2	0	0	1	3	2	0	2	0	0	1	2	0	3	0	1	0	1	4	1	3	1	2	0	2	1	1	0	1	1	0	1	2	2	0	3	0	0	0	2	2	2	2	3	2	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	4	0	0					
		0.11%	0.19%	0.0%	0.22%	0.30%	0.0%	0.10%	0.24%	0.0%	0.08%	0.16%	0.0%	0.25%	0.41%	0.16%	0.27%	0.0%	0.10%	0.30%	0.39%	0.0%	0.09%	0.0%	0.0%	0.09%	0.0%	0.10%	0.12%	0.0%	0.0%	0.34%	0.08%	0.20%	0.0%	0.31%	0.21%	0.0%	0.0%	0.0%	0.07%	0.0%	0.16%	0.0%	0.0%	0.12%	0.32%	0.15%	0.0%	0.21%	0.0%	0.0%	0.11%	0.18%	0.0%	0.22%	0.0%	0.10%	0.0%	0.11%	0.37%	0.14%	0.43%	0.18%	0.17%	0.0%	0.17%	0.09%	0.10%	0.0%	0.12%	0.09%	0.0%	0.26%	0.28%	0.22%	0.0%	0.36%	0.0%	0.0%	0.0%	0.19%	0.21%	0.19%	0.16%	0.24%	0.19%	0.15%	0.12%	0.07%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.14%	0.15%	0.0%	0.14%	0.0%	0.16%	0.21%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.33%	0.0%	0.0%	0.19%	0.0%	0.0%	0.25%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8026	88	61	57	66	19	80	67	57	76	120	89	93	135	130	112	155	93	87	87	54	85	6	47	108	18	82	62	70	75	26	100	67	79	84	83	111	74	102	141	78	103	75	119	70	74	133	90	76	101	110	90	82	71	131	57	81	35	86	89	43	64	32	168	86	104	57	113	75	38	76	36	33	51	68	45	54	53	42	67	86	82	86	100	86	70	42	73	109	32	25	18	59	48	51	76	23	34	0	10	15	5	41	29	52	24	21	25	31	7	21	18	13	1	2	3	2	21	11	18	21	17	23	4	22	26	31	41	73	40	56					
		7.61%	8.55%	5.96%	6.49%	6.81%	2.65%	8.72%	8.13%	6.90%	6.57%	10.14%	10.80%	7.84%	9.40%	10.76%	7.71%	11.97%	9.43%	8.92%	8.58%	5.75%	8.10%	1.46%	4.90%	10.14%	6.29%	8.69%	8.03%	7.09%	8.22%	4.47%	8.95%	6.87%	8.35%	8.79%	8.75%	10.25%	7.74%	9.27%	10.29%	8.21%	8.71%	8.73%	11.04%	8.43%	7.94%	10.48%	8.33%	8.27%	8.77%	8.89%	10.46%	7.71%	8.46%	10.01%	8.15%	8.18%	5.52%	9.49%	8.34%	6.15%	9.24%	6.02%	14.67%	10.56%	9.07%	5.58%	11.73%	8.48%	4.87%	7.59%	4.83%	8.8%	7.34%	7.56%	6.36%	6.59%	7.12%	8.50%	6.85%	8.57%	8.75%	8.43%	8.29%	6.92%	6.78%	6.61%	8.88%	8.67%	5.62%	4.95%	3.39%	8.71%	8.10%	5.25%	5.77%	6.60%	6.73%	0.0%	3.59%	2.59%	1.76%	6.08%	4.44%	5.0%	3.46%	3.39%	4.07%	6.65%	4.60%	8.89%	6.38%	4.77%	0.90%	2.46%	1.87%	0.52%	4.70%	2.51%	4.69%	3.71%	7.05%	7.64%	4.12%	3.22%	4.98%	3.88%	5.78%	4.66%	6.73%	5.6%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	232	2	0	0	0	1	1	0	1	1	3	4	2	10	1	2	3	1	1	3	2	5	1	1	5	0	3	2	0	3	1	2	2	2	0	4	5	0	2	1	0	1	2	2	1	1	3	0	1	2	5	2	2	3	3	1	4	0	0	3	3	1	0	0	1	1	0	2	2	2	3	1	4	1	2	2	1	0	3	3	2	1	1	2	1	3	1	3	3	1	1	1	1	2	0	4	4	1	0	0	3	1	3	2	1	1	3	3	8	1	1	0	0	1	0	4	0	3	2	0	2	0	0	0	2	2	1	1	6	1	3					
		0.22%	0.19%	0.0%	0.0%	0.0%	0.13%	0.10%	0.0%	0.12%	0.08%	0.25%	0.48%	0.16%	0.69%	0.08%	0.13%	0.23%	0.10%	0.10%	0.29%	0.21%	0.47%	0.24%	0.10%	0.46%	0.0%	0.31%	0.25%	0.0%	0.32%	0.17%	0.17%	0.20%	0.21%	0.0%	0.42%	0.46%	0.0%	0.18%	0.07%	0.0%	0.08%	0.23%	0.18%	0.12%	0.10%	0.23%	0.0%	0.10%	0.17%	0.40%	0.23%	0.18%	0.35%	0.22%	0.14%	0.40%	0.0%	0.0%	0.28%	0.42%	0.14%	0.0%	0.0%	0.12%	0.08%	0.0%	0.20%	0.22%	0.25%	0.29%	0.13%	1.06%	0.14%	0.22%	0.28%	0.12%	0.0%	0.60%	0.30%	0.19%	0.10%	0.09%	0.16%	0.08%	0.29%	0.15%	0.36%	0.23%	0.17%	0.19%	0.18%	0.14%	0.33%	0.0%	0.30%	1.14%	0.19%	0.0%	0.0%	0.51%	0.35%	0.44%	0.30%	0.09%	0.14%	0.48%	0.48%	1.71%	0.65%	0.42%	0.0%	0.0%	0.90%	0.0%	2.5%	0.0%	0.67%	0.45%	0.0%	0.35%	0.0%	0.0%	0.0%	0.29%	0.38%	0.12%	0.14%	0.38%	0.16%	0.3%					
35	"18. ""ЛДПР"""	10908	99	92	89	95	37	102	72	114	142	108	89	129	190	162	217	196	115	102	129	91	122	11	74	89	48	109	79	121	101	72	150	103	91	108	121	118	115	119	116	87	102	66	113	83	62	122	83	66	92	145	81	143	65	118	80	128	84	58	105	105	67	78	137	109	114	94	103	90	87	93	82	48	90	111	83	103	63	66	91	93	80	98	74	95	74	83	115	123	90	61	65	72	81	92	128	42	71	7	18	56	24	103	61	97	68	75	67	62	15	21	26	15	7	2	11	55	31	20	21	68	13	19	5	71	34	30	49	129	65	92					
		10.34%	9.62%	8.99%	10.13%	9.81%	5.16%	11.12%	8.73%	13.80%	12.28%	9.12%	10.80%	10.87%	13.24%	13.41%	14.95%	15.14%	11.66%	10.46%	12.73%	9.69%	11.63%	2.68%	7.71%	8.35%	16.78%	11.55%	10.23%	12.27%	11.07%	12.39%	13.42%	10.57%	9.61%	11.30%	12.76%	10.90%	12.02%	10.81%	8.47%	9.15%	8.62%	7.68%	10.49%	10.0%	6.65%	9.62%	7.68%	7.18%	7.99%	11.73%	9.41%	13.45%	7.74%	9.02%	11.44%	12.92%	13.24%	6.40%	9.84%	15.02%	9.68%	14.68%	11.96%	13.39%	9.94%	9.20%	10.69%	10.18%	11.15%	9.29%	11.02%	12.8%	12.96%	12.34%	11.73%	12.57%	8.46%	13.36%	9.30%	9.27%	8.53%	9.60%	6.13%	7.65%	7.17%	13.07%	13.99%	9.78%	15.81%	12.07%	12.26%	10.63%	13.68%	9.48%	9.71%	12.06%	14.05%	6.60%	6.47%	9.68%	8.48%	15.28%	9.34%	9.32%	9.81%	12.11%	10.92%	13.30%	9.86%	8.89%	9.21%	5.51%	6.30%	2.46%	6.87%	14.32%	6.95%	4.56%	5.48%	12.01%	5.39%	6.31%	5.15%	10.41%	6.51%	3.76%	6.91%	8.23%	10.94%	9.2%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1285	12	14	7	13	11	8	3	11	18	8	13	14	21	23	18	14	20	10	9	14	18	2	5	7	4	18	0	11	16	4	14	15	11	13	9	17	14	14	15	4	16	18	20	11	7	6	0	10	10	14	16	11	13	12	10	22	5	13	11	12	13	12	16	7	12	9	12	10	10	16	9	10	8	11	3	14	16	5	5	11	15	10	6	0	10	16	16	11	6	6	4	11	7	8	13	10	7	0	5	4	2	13	10	20	8	11	7	5	2	5	4	4	2	0	0	7	4	3	10	8	3	4	1	15	7	5	4	11	10	17					
		1.21%	1.16%	1.36%	0.79%	1.34%	1.53%	0.87%	0.36%	1.33%	1.55%	0.67%	1.57%	1.18%	1.46%	1.90%	1.24%	1.08%	2.02%	1.02%	0.88%	1.49%	1.71%	0.48%	0.52%	0.65%	1.39%	1.90%	0.0%	1.11%	1.75%	0.68%	1.25%	1.54%	1.16%	1.36%	0.94%	1.57%	1.46%	1.27%	1.09%	0.42%	1.35%	2.09%	1.85%	1.32%	0.75%	0.47%	0.0%	1.08%	0.86%	1.13%	1.86%	1.03%	1.54%	0.91%	1.43%	2.22%	0.78%	1.43%	1.03%	1.71%	1.87%	2.25%	1.39%	0.85%	1.04%	0.88%	1.24%	1.13%	1.28%	1.59%	1.20%	2.66%	1.15%	1.22%	0.42%	1.70%	2.15%	1.01%	0.51%	1.09%	1.60%	0.98%	0.49%	0.0%	0.96%	2.51%	1.94%	0.87%	1.05%	1.18%	0.75%	1.62%	1.18%	0.82%	0.98%	2.87%	1.38%	0.0%	1.79%	0.69%	0.70%	1.92%	1.53%	1.92%	1.15%	1.77%	1.14%	1.07%	1.31%	2.11%	1.41%	1.47%	1.80%	0.0%	0.0%	1.82%	0.89%	0.68%	2.61%	1.41%	1.24%	1.32%	1.03%	2.19%	1.34%	0.62%	0.56%	0.70%	1.68%	1.7%					
37	"20. ""Политическая партия ""Единая Россия"""	37164	330	319	300	303	319	277	212	209	360	369	257	407	462	357	405	429	313	308	358	308	300	323	471	312	99	311	289	295	271	177	336	329	255	299	279	310	307	349	557	321	375	275	394	267	365	463	485	384	460	394	279	344	339	421	242	325	189	347	329	211	223	160	321	223	372	379	257	261	227	378	226	103	195	254	213	268	271	158	404	350	292	341	573	494	361	187	223	394	198	169	183	226	174	449	555	97	188	81	142	297	160	213	310	373	283	186	223	142	80	96	99	121	56	65	57	194	206	251	203	278	96	131	41	296	262	530	443	565	244	413					
