Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Псковская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86					
		0.13%	0.29%	0.09%	0.33%	0.29%	0.11%	0.0%	0.12%	0.22%	0.0%	0.43%	0.07%	0.12%	0.0%	0.46%	0.06%	0.12%	0.32%	0.0%	0.16%	0.10%	0.10%	0.0%	0.0%	0.21%	0.10%	0.09%	0.22%	0.38%	0.23%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.08%	0.27%	0.0%	0.0%	0.30%	0.0%	0.30%	0.37%	0.29%	0.07%	0.0%	0.08%	0.07%	0.22%	0.09%	0.0%	0.0%	0.06%	0.0%	0.0%	0.08%	0.41%	0.15%	0.06%	0.13%	0.15%	0.08%	0.0%	0.62%	0.09%	0.11%	0.08%	0.19%	0.0%	0.16%	0.39%	0.09%	0.15%	0.11%	0.09%	0.09%	0.10%	0.10%	0.2%	0.14%	0.0%	0.30%	0.34%	0.13%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	246	6	3	3	0	1	2	6	1	1	1	4	1	0	1	4	1	1	2	0	4	2	3	2	6	1	2	3	12	2	0	1	2	2	3	5	5	3	3	0	4	6	15	4	6	1	1	1	9	0	0	2	10	4	2	7	5	5	2	4	4	5	2	3	4	2	0	2	0	7	1	2	0	5	1	1	0	2	1	4	3	1	6	0	3	0	0					
		0.27%	0.87%	0.29%	0.25%	0.0%	0.11%	0.37%	0.38%	0.11%	0.10%	0.14%	0.30%	0.12%	0.0%	0.23%	0.25%	0.12%	0.32%	0.33%	0.0%	0.40%	0.21%	0.43%	0.15%	0.43%	0.10%	0.19%	0.33%	1.15%	0.15%	0.0%	0.13%	0.18%	0.21%	0.22%	0.5%	0.43%	0.27%	0.25%	0.0%	0.41%	0.55%	0.91%	0.29%	0.43%	0.07%	0.07%	0.08%	0.66%	0.0%	0.0%	0.13%	0.73%	0.27%	0.16%	0.56%	0.41%	0.41%	0.15%	0.27%	0.26%	0.38%	0.16%	0.25%	0.5%	0.19%	0.0%	0.17%	0.0%	0.53%	0.08%	0.19%	0.0%	0.39%	0.11%	0.09%	0.0%	0.20%	0.10%	0.4%	0.21%	0.11%	0.60%	0.0%	0.40%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	9811	49	124	133	132	101	72	191	105	74	66	142	87	51	44	187	79	23	37	120	123	90	73	130	140	104	92	78	66	119	89	83	132	97	142	83	115	99	109	121	132	107	105	108	214	165	209	178	187	192	114	156	150	171	159	135	154	154	122	155	155	137	107	102	71	115	101	102	25	133	142	109	107	182	93	135	122	80	123	114	146	70	94	160	87	12	18					
		10.80%	7.16%	12.15%	11.22%	13.03%	11.89%	13.33%	12.22%	12.02%	7.58%	9.67%	10.84%	10.87%	7.52%	10.25%	11.94%	9.50%	7.44%	6.25%	9.79%	12.37%	9.67%	10.70%	10.36%	10.19%	10.98%	8.96%	8.63%	6.33%	9.29%	11.09%	10.82%	12.21%	10.33%	10.47%	8.3%	10.07%	9.01%	9.34%	10.97%	13.62%	9.86%	6.43%	8.02%	15.66%	11.71%	15.60%	14.59%	13.90%	14.40%	10.44%	10.74%	11.02%	11.60%	13.48%	10.88%	12.65%	12.86%	9.75%	10.71%	10.32%	10.65%	8.88%	8.67%	8.87%	11.02%	11.66%	9.15%	4.82%	10.09%	11.66%	10.76%	10.08%	14.27%	10.82%	13.08%	12.16%	8.29%	12.60%	11.4%	10.33%	8.19%	9.43%	13.65%	11.74%	5.63%	7.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	174	0	0	2	1	1	0	4	0	6	0	0	1	2	1	3	4	0	5	3	4	2	0	2	4	2	1	3	5	4	1	4	3	1	1	6	1	4	1	4	2	2	12	3	0	4	2	0	2	1	3	1	5	5	2	2	0	2	2	2	0	2	0	2	3	4	2	1	1	0	1	1	1	1	1	3	0	2	1	1	1	1	0	2	2	0	3					
		0.19%	0.0%	0.0%	0.16%	0.09%	0.11%	0.0%	0.25%	0.0%	0.61%	0.0%	0.0%	0.12%	0.29%	0.23%	0.19%	0.48%	0.0%	0.84%	0.24%	0.40%	0.21%	0.0%	0.15%	0.29%	0.21%	0.09%	0.33%	0.47%	0.31%	0.12%	0.52%	0.27%	0.10%	0.07%	0.6%	0.08%	0.36%	0.08%	0.36%	0.20%	0.18%	0.73%	0.22%	0.0%	0.28%	0.14%	0.0%	0.14%	0.07%	0.27%	0.06%	0.36%	0.33%	0.16%	0.16%	0.0%	0.16%	0.15%	0.13%	0.0%	0.15%	0.0%	0.17%	0.37%	0.38%	0.23%	0.08%	0.19%	0.0%	0.08%	0.09%	0.09%	0.07%	0.11%	0.29%	0.0%	0.20%	0.10%	0.1%	0.07%	0.11%	0.0%	0.17%	0.26%	0.0%	1.26%					
35	"18. ""ЛДПР"""	7385	44	66	134	62	59	23	117	57	80	51	165	77	86	47	124	55	22	66	157	80	64	42	78	92	53	67	76	236	109	60	73	87	55	99	185	84	84	81	76	83	69	361	76	74	91	73	87	101	96	69	102	95	104	78	74	75	73	100	104	77	74	103	66	90	87	77	116	47	117	106	74	85	100	58	90	68	88	65	88	105	64	82	96	65	10	29					
		8.13%	6.43%	6.47%	11.30%	6.12%	6.94%	4.25%	7.49%	6.52%	8.20%	7.47%	12.60%	9.62%	12.68%	10.95%	7.91%	6.61%	7.11%	11.14%	12.81%	8.04%	6.88%	6.15%	6.22%	6.70%	5.59%	6.53%	8.41%	22.64%	8.51%	7.48%	9.51%	8.04%	5.85%	7.30%	18.5%	7.36%	7.65%	6.94%	6.89%	8.56%	6.35%	22.12%	5.64%	5.41%	6.46%	5.45%	7.13%	7.50%	7.20%	6.32%	7.02%	6.98%	7.05%	6.61%	5.96%	6.16%	6.09%	7.99%	7.19%	5.12%	5.75%	8.55%	5.61%	11.25%	8.34%	8.89%	10.41%	9.07%	8.88%	8.70%	7.30%	8.01%	7.84%	6.75%	8.72%	6.77%	9.11%	6.65%	8.8%	7.43%	7.49%	8.23%	8.19%	8.77%	4.69%	12.18%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	3554	33	53	46	27	34	23	65	28	25	34	49	35	35	18	66	33	13	23	35	35	37	27	49	46	33	40	33	24	70	32	37	43	52	54	14	64	49	56	45	39	28	42	50	36	51	70	44	39	54	31	55	50	75	57	51	50	47	43	46	53	44	40	60	35	25	30	47	19	54	38	64	52	47	41	34	22	48	27	40	60	51	47	42	34	12	15					
		3.91%	4.82%	5.19%	3.88%	2.66%	4.00%	4.25%	4.16%	3.20%	2.56%	4.98%	3.74%	4.37%	5.16%	4.19%	4.21%	3.97%	4.20%	3.88%	2.85%	3.52%	3.97%	3.95%	3.90%	3.35%	3.48%	3.89%	3.65%	2.30%	5.46%	3.99%	4.82%	3.97%	5.53%	3.98%	1.4%	5.60%	4.46%	4.80%	4.07%	4.02%	2.58%	2.57%	3.71%	2.63%	3.62%	5.22%	3.60%	2.89%	4.05%	2.84%	3.78%	3.67%	5.08%	4.83%	4.11%	4.10%	3.92%	3.43%	3.18%	3.53%	3.42%	3.32%	5.10%	4.37%	2.39%	3.46%	4.21%	3.66%	4.10%	3.12%	6.31%	4.90%	3.68%	4.77%	3.29%	2.19%	4.97%	2.76%	4.0%	4.24%	5.97%	4.71%	3.58%	4.58%	5.63%	6.30%					
37	"20. ""Политическая партия ""Единая Россия"""	30036	252	260	361	283	230	198	460	292	367	237	457	297	239	157	546	291	125	220	436	376	283	219	408	469	324	337	328	327	466	286	249	358	290	436	292	410	403	434	344	326	347	513	471	394	449	420	378	462	437	374	479	431	442	341	381	358	378	517	486	525	421	422	382	269	373	272	437	207	482	400	383	327	396	301	320	342	322	261	332	429	272	313	321	243	82	71					
		33.07%	36.84%	25.49%	30.46%	27.93%	27.09%	36.66%	29.44%	33.44%	37.64%	34.75%	34.91%	37.12%	35.25%	36.59%	34.86%	35.01%	40.45%	37.16%	35.59%	37.82%	30.43%	32.11%	32.53%	34.15%	34.21%	32.84%	36.32%	31.38%	36.40%	35.66%	32.46%	33.11%	30.88%	32.17%	29.2%	35.93%	36.70%	37.22%	31.18%	33.64%	31.98%	31.43%	34.99%	28.84%	31.88%	31.36%	30.98%	34.34%	32.78%	34.28%	32.98%	31.66%	29.98%	28.92%	30.72%	29.41%	31.57%	41.32%	33.60%	34.97%	32.73%	35.04%	32.48%	33.62%	35.76%	31.40%	39.22%	39.96%	36.59%	32.86%	37.80%	30.81%	31.05%	35.04%	31.00%	34.09%	33.36%	26.74%	33.2%	30.38%	31.85%	31.42%	27.38%	32.79%	38.49%	29.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	127	1	1	4	0	0	1	4	2	2	1	4	0	0	0	0	0	3	1	4	5	2	1	2	0	4	5	0	0	1	0	0	1	0	0	2	1	0	0	4	1	0	2	4	3	1	3	1	1	4	2	2	1	2	1	1	2	1	1	2	2	6	1	2	2	0	1	1	2	3	1	1	1	1	2	1	2	1	0	1	1	1	0	0	2	1	0					
		0.13%	0.14%	0.09%	0.33%	0.0%	0.0%	0.18%	0.25%	0.22%	0.20%	0.14%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.97%	0.16%	0.32%	0.50%	0.21%	0.14%	0.15%	0.0%	0.42%	0.48%	0.0%	0.0%	0.07%	0.0%	0.0%	0.09%	0.0%	0.0%	0.2%	0.08%	0.0%	0.0%	0.36%	0.10%	0.0%	0.12%	0.29%	0.21%	0.07%	0.22%	0.08%	0.07%	0.30%	0.18%	0.13%	0.07%	0.13%	0.08%	0.08%	0.16%	0.08%	0.07%	0.13%	0.13%	0.46%	0.08%	0.17%	0.25%	0.0%	0.11%	0.08%	0.38%	0.22%	0.08%	0.09%	0.09%	0.07%	0.23%	0.09%	0.19%	0.10%	0.0%	0.1%	0.07%	0.11%	0.0%	0.0%	0.26%	0.46%	0.0%					
39	"22. ""Развитие предпринимательства"""	251	0	2	1	1	1	2	1	3	0	1	4	3	4	1	7	0	0	1	6	3	2	4	6	3	1	3	2	5	7	1	0	2	4	2	1	2	1	4	5	2	3	13	5	5	4	4	3	5	5	2	1	4	0	4	7	5	4	3	0	5	6	2	3	2	3	3	6	0	3	3	2	3	2	2	0	7	4	1	3	1	3	4	2	3	3	0					
		0.27%	0.0%	0.19%	0.08%	0.09%	0.11%	0.37%	0.06%	0.34%	0.0%	0.14%	0.30%	0.37%	0.58%	0.23%	0.44%	0.0%	0.0%	0.16%	0.48%	0.30%	0.21%	0.58%	0.47%	0.21%	0.10%	0.29%	0.22%	0.47%	0.54%	0.12%	0.0%	0.18%	0.42%	0.14%	0.1%	0.17%	0.09%	0.34%	0.45%	0.20%	0.27%	0.79%	0.37%	0.36%	0.28%	0.29%	0.24%	0.37%	0.37%	0.18%	0.06%	0.29%	0.0%	0.33%	0.56%	0.41%	0.33%	0.23%	0.0%	0.33%	0.46%	0.16%	0.25%	0.25%	0.28%	0.34%	0.53%	0.0%	0.22%	0.24%	0.19%	0.28%	0.15%	0.23%	0.0%	0.69%	0.41%	0.10%	0.3%	0.07%	0.35%	0.40%	0.17%	0.40%	1.40%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	14079	118	197	172	207	167	90	269	152	147	119	143	120	76	61	196	138	42	81	117	122	167	94	241	248	174	197	147	102	215	149	145	150	179	214	124	160	171	182	161	152	182	81	248	196	226	160	179	182	164	147	208	221	247	208	191	212	176	168	210	240	238	155	186	104	154	131	141	90	215	194	162	233	202	140	181	174	169	182	164	263	149	151	165	102	41	41					
		15.50%	17.25%	19.31%	14.51%	20.43%	19.67%	16.66%	17.22%	17.41%	15.07%	17.44%	10.92%	15.0%	11.20%	14.21%	12.51%	16.60%	13.59%	13.68%	9.55%	12.27%	17.95%	13.78%	19.21%	18.06%	18.37%	19.20%	16.27%	9.78%	16.79%	18.57%	18.90%	13.87%	19.06%	15.79%	12.4%	14.02%	15.57%	15.60%	14.59%	15.68%	16.77%	4.96%	18.42%	14.34%	16.05%	11.94%	14.67%	13.53%	12.30%	13.47%	14.32%	16.23%	16.75%	17.64%	15.40%	17.41%	14.70%	13.42%	14.52%	15.98%	18.50%	12.87%	15.81%	13.0%	14.76%	15.12%	12.65%	17.37%	16.32%	15.94%	15.99%	21.96%	15.84%	16.29%	17.53%	17.34%	17.51%	18.64%	16.4%	18.62%	17.44%	15.16%	14.07%	13.76%	19.24%	17.22%					
																																																																																													
41	Против всех	4293	36	47	63	37	44	13	50	38	40	22	62	31	31	12	150	32	9	31	82	39	33	40	45	47	27	34	49	89	47	16	30	48	30	67	82	34	53	47	53	38	52	156	42	68	62	57	54	70	77	72	64	67	83	56	69	57	57	46	72	60	53	47	47	38	73	44	45	27	43	68	44	57	52	37	34	50	44	45	41	57	33	59	58	51	9	18					
		4.72%	5.26%	4.60%	5.31%	3.65%	5.18%	2.40%	3.20%	4.35%	4.10%	3.22%	4.73%	3.87%	4.57%	2.79%	9.57%	3.85%	2.91%	5.23%	6.69%	3.92%	3.54%	5.86%	3.58%	3.42%	2.85%	3.31%	5.42%	8.54%	3.67%	1.99%	3.91%	4.44%	3.19%	4.94%	8.2%	2.97%	4.82%	4.03%	4.80%	3.92%	4.79%	9.55%	3.12%	4.97%	4.40%	4.25%	4.42%	5.20%	5.77%	6.59%	4.40%	4.92%	5.63%	4.74%	5.56%	4.68%	4.76%	3.67%	4.97%	3.99%	4.12%	3.90%	3.99%	4.75%	6.99%	5.08%	4.03%	5.21%	3.26%	5.58%	4.34%	5.37%	4.07%	4.30%	3.29%	4.98%	4.55%	4.61%	4.1%	4.03%	3.86%	5.92%	4.94%	6.88%	4.22%	7.56%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
