Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																																						
																																																																																						
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																						
																																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																						
																																																																																						
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359					
		10.30%	8.38%	8.54%	10.24%	7.5%	8.91%	7.64%	9.53%	8.09%	8.95%	7.35%	5.86%	10.0%	9.57%	9.75%	11.59%	11.66%	7.25%	11.83%	9.58%	7.14%	9.58%	10.58%	14.46%	10.83%	13.78%	10.85%	12.30%	10.64%	10.94%	9.53%	10.57%	13.01%	9.04%	12.32%	12.21%	12.23%	11.77%	11.41%	8.62%	9.19%	7.75%	10.60%	11.74%	9.15%	11.26%	14.02%	12.5%	10.71%	12.81%	12.85%	10.52%	11.11%	10.59%	14.30%	11.30%	9.98%	11.94%	9.88%	7.98%	6.45%	8.89%	6.06%	8.29%	7.75%	6.03%	7.74%	9.58%	6.48%	5.92%	0.84%	7.69%	6.66%	5.88%	0.90%	9.16%	6.12%	2.32%	0.0%	0.57%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	187	2	2	4	2	3	4	2	3	2	2	4	0	2	2	2	2	3	3	2	0	3	2	2	1	0	2	4	1	3	4	3	5	2	1	0	1	4	1	6	3	8	1	2	2	4	2	1	1	0	2	2	6	2	0	6	6	1	5	4	1	7	1	4	0	0	1	4	2	1	1	0	3	0	4	1	1	1	2	4					
		0.25%	0.17%	0.19%	0.41%	0.41%	0.26%	0.38%	0.15%	0.23%	0.16%	0.24%	0.75%	0.0%	0.22%	0.17%	0.34%	0.15%	0.32%	0.33%	0.29%	0.0%	0.52%	0.16%	0.12%	0.07%	0.0%	0.27%	0.30%	0.07%	0.23%	0.32%	0.29%	0.34%	0.18%	0.10%	0.0%	0.08%	0.33%	0.15%	0.49%	0.22%	0.47%	0.06%	0.15%	0.13%	0.30%	0.11%	0.06%	0.06%	0.0%	0.12%	0.13%	0.56%	0.16%	0.0%	0.51%	0.38%	0.08%	0.55%	0.38%	0.80%	0.49%	1.01%	0.49%	0.0%	0.0%	0.32%	0.37%	0.38%	0.74%	0.42%	0.0%	1.66%	0.0%	3.60%	0.39%	2.04%	2.32%	0.81%	1.14%					
35	"18. ""ЛДПР"""	12426	264	201	144	101	183	195	205	237	284	178	127	118	147	202	83	196	138	139	128	40	122	203	262	195	143	95	161	207	219	193	169	247	186	119	214	194	162	99	206	234	318	323	219	250	213	273	226	300	205	225	216	151	166	86	185	297	246	159	197	44	283	14	154	45	29	80	227	104	19	7	10	22	10	7	35	9	14	32	86					
		16.86%	23.30%	19.74%	15.04%	21.04%	16.15%	18.64%	15.51%	18.27%	22.92%	21.47%	24.00%	15.73%	16.76%	17.27%	14.35%	15.14%	14.95%	15.37%	19.16%	12.42%	21.25%	17.05%	15.72%	15.41%	15.05%	12.89%	12.46%	15.51%	16.88%	15.85%	16.39%	16.91%	17.17%	12.53%	13.13%	16.37%	13.72%	15.27%	16.92%	17.20%	18.96%	20.02%	16.80%	16.71%	16.00%	16.29%	15.43%	18.58%	13.75%	13.90%	14.57%	14.33%	13.74%	12.30%	15.73%	18.89%	21.59%	17.66%	19.18%	35.48%	19.98%	14.14%	19.05%	19.39%	25.0%	25.80%	21.11%	19.84%	14.07%	2.95%	15.38%	12.22%	19.60%	6.30%	13.94%	18.36%	32.55%	13.11%	24.64%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1083	26	17	18	4	12	19	16	27	26	12	4	11	26	13	3	20	9	16	12	5	7	17	15	21	20	13	18	19	24	15	20	20	16	11	20	16	19	9	17	13	31	15	21	20	16	23	23	18	18	22	20	12	19	5	20	15	15	14	21	0	20	0	22	4	2	4	23	12	2	2	1	4	1	0	6	0	1	1	4					
		1.46%	2.29%	1.66%	1.88%	0.83%	1.05%	1.81%	1.21%	2.08%	2.09%	1.44%	0.75%	1.46%	2.96%	1.11%	0.51%	1.54%	0.97%	1.76%	1.79%	1.55%	1.21%	1.42%	0.90%	1.66%	2.10%	1.76%	1.39%	1.42%	1.85%	1.23%	1.93%	1.36%	1.47%	1.15%	1.22%	1.35%	1.61%	1.38%	1.39%	0.95%	1.84%	0.92%	1.61%	1.33%	1.20%	1.37%	1.57%	1.11%	1.20%	1.35%	1.34%	1.13%	1.57%	0.71%	1.70%	0.95%	1.31%	1.55%	2.04%	0.0%	1.41%	0.0%	2.72%	1.72%	1.72%	1.29%	2.13%	2.29%	1.48%	0.84%	1.53%	2.22%	1.96%	0.0%	2.39%	0.0%	2.32%	0.40%	1.14%					
37	"20. ""Политическая партия ""Единая Россия"""	21708	323	276	315	147	358	321	407	388	378	241	155	254	245	356	137	350	290	271	173	116	144	339	490	347	273	222	368	397	340	346	306	385	278	263	467	338	367	178	445	423	565	440	369	464	442	490	415	451	477	483	428	316	409	189	365	443	288	236	318	31	443	36	238	53	39	87	250	153	43	188	14	40	9	24	74	15	9	119	38					
		29.45%	28.50%	27.11%	32.91%	30.62%	31.59%	30.68%	30.80%	29.91%	30.50%	29.07%	29.30%	33.86%	27.93%	30.45%	23.70%	27.04%	31.41%	29.97%	25.89%	36.02%	25.08%	28.48%	29.41%	27.43%	28.73%	30.12%	28.48%	29.76%	26.21%	28.43%	29.67%	26.36%	25.66%	27.71%	28.66%	28.52%	31.10%	27.46%	36.56%	31.10%	33.69%	27.27%	28.31%	31.01%	33.20%	29.25%	28.34%	27.94%	32.01%	29.85%	28.87%	30.00%	33.85%	27.03%	31.03%	28.18%	25.28%	26.22%	30.96%	25.0%	31.28%	36.36%	29.45%	22.84%	33.62%	28.06%	23.25%	29.19%	31.85%	79.32%	21.53%	22.22%	17.64%	21.62%	29.48%	30.61%	20.93%	48.77%	10.88%					
38	"21. ""Российская Конституционно-демократическая партия"""	94	1	2	1	0	1	1	6	1	2	3	1	0	1	2	0	0	0	1	1	0	1	1	0	2	0	1	4	1	4	0	0	3	1	1	0	2	0	1	3	3	4	0	1	3	0	1	3	0	2	1	2	0	4	3	3	2	1	1	1	1	0	0	0	0	0	0	2	2	0	2	0	0	0	0	1	0	0	0	2					
		0.12%	0.08%	0.19%	0.10%	0.0%	0.08%	0.09%	0.45%	0.07%	0.16%	0.36%	0.18%	0.0%	0.11%	0.17%	0.0%	0.0%	0.0%	0.11%	0.14%	0.0%	0.17%	0.08%	0.0%	0.15%	0.0%	0.13%	0.30%	0.07%	0.30%	0.0%	0.0%	0.20%	0.09%	0.10%	0.0%	0.16%	0.0%	0.15%	0.24%	0.22%	0.23%	0.0%	0.07%	0.20%	0.0%	0.05%	0.20%	0.0%	0.13%	0.06%	0.13%	0.0%	0.33%	0.42%	0.25%	0.12%	0.08%	0.11%	0.09%	0.80%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.38%	0.0%	0.84%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.57%					
39	"22. ""Развитие предпринимательства"""	285	1	4	4	3	6	5	6	3	7	2	0	4	3	3	4	3	1	5	3	5	2	3	0	4	2	4	2	2	3	4	2	6	4	8	11	2	2	3	8	5	6	3	6	12	9	10	10	6	5	11	5	2	1	6	6	2	4	3	4	0	4	1	3	1	0	1	6	2	0	0	0	1	1	2	0	1	0	1	1					
		0.38%	0.08%	0.39%	0.41%	0.62%	0.52%	0.47%	0.45%	0.23%	0.56%	0.24%	0.0%	0.53%	0.34%	0.25%	0.69%	0.23%	0.10%	0.55%	0.44%	1.55%	0.34%	0.25%	0.0%	0.31%	0.21%	0.54%	0.15%	0.14%	0.23%	0.32%	0.19%	0.41%	0.36%	0.84%	0.67%	0.16%	0.16%	0.46%	0.65%	0.36%	0.35%	0.18%	0.46%	0.80%	0.67%	0.59%	0.68%	0.37%	0.33%	0.67%	0.33%	0.18%	0.08%	0.85%	0.51%	0.12%	0.35%	0.33%	0.38%	0.0%	0.28%	1.01%	0.37%	0.43%	0.0%	0.32%	0.55%	0.38%	0.0%	0.0%	0.0%	0.55%	1.96%	1.80%	0.0%	2.04%	0.0%	0.40%	0.28%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	8246	106	127	91	48	157	127	171	180	122	99	45	69	107	124	69	150	88	75	82	15	66	136	193	157	125	91	210	152	175	139	104	170	151	109	209	141	150	104	116	179	154	186	188	172	136	159	155	201	130	114	160	108	103	44	106	186	124	80	162	9	88	8	87	29	15	41	136	76	10	3	10	35	8	9	40	1	4	28	12					
		11.19%	9.35%	12.47%	9.50%	10.0%	13.85%	12.14%	12.94%	13.87%	9.84%	11.94%	8.50%	9.2%	12.20%	10.60%	11.93%	11.59%	9.53%	8.29%	12.27%	4.65%	11.49%	11.42%	11.58%	12.41%	13.15%	12.34%	16.25%	11.39%	13.49%	11.42%	10.08%	11.64%	13.94%	11.48%	12.82%	11.89%	12.71%	16.04%	9.53%	13.16%	9.18%	11.53%	14.42%	11.49%	10.21%	9.49%	10.58%	12.45%	8.72%	7.04%	10.79%	10.25%	8.52%	6.29%	9.01%	11.83%	10.88%	8.88%	15.77%	7.25%	6.21%	8.08%	10.76%	12.5%	12.93%	13.22%	12.65%	14.50%	7.40%	1.26%	15.38%	19.44%	15.68%	8.10%	15.93%	2.04%	9.30%	11.47%	3.43%					
																																																																																						
41	Против всех	3864	72	69	48	26	52	47	65	75	70	42	25	37	54	71	31	59	51	36	31	20	32	62	88	62	43	39	63	66	65	72	48	71	50	54	68	58	59	30	56	54	76	71	57	87	78	74	58	84	66	66	81	45	62	33	67	111	56	54	55	2	95	9	51	23	4	19	58	30	8	5	4	14	5	1	14	5	4	5	106					
		5.24%	6.35%	6.77%	5.01%	5.41%	4.58%	4.49%	4.92%	5.78%	5.64%	5.06%	4.72%	4.93%	6.15%	6.07%	5.36%	4.55%	5.52%	3.98%	4.64%	6.21%	5.57%	5.21%	5.28%	4.90%	4.52%	5.29%	4.87%	4.94%	5.01%	5.91%	4.65%	4.86%	4.61%	5.69%	4.17%	4.89%	5.0%	4.62%	4.60%	3.97%	4.53%	4.40%	4.37%	5.81%	5.86%	4.41%	3.96%	5.20%	4.42%	4.07%	5.46%	4.27%	5.13%	4.72%	5.69%	7.06%	4.91%	6.0%	5.35%	1.61%	6.70%	9.09%	6.31%	9.91%	3.44%	6.12%	5.39%	5.72%	5.92%	2.10%	6.15%	7.77%	9.80%	0.90%	5.57%	10.20%	9.30%	2.04%	30.37%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
