Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Щелковская																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №3078	УИК №3079	УИК №3080	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3086	УИК №3087	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3098	УИК №3099	УИК №3100	УИК №3101	УИК №3102	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3110	УИК №3111	УИК №3112	УИК №3113	УИК №3114	УИК №3115	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3124	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №3135	УИК №3136	УИК №3137	УИК №3138	УИК №3139	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160					
		0.32%	0.60%	0.37%	0.70%	0.0%	0.47%	0.33%	0.25%	0.35%	0.45%	0.21%	0.18%	0.42%	0.44%	0.31%	0.36%	0.34%	0.83%	0.0%	0.51%	0.11%	0.22%	0.21%	0.38%	0.31%	0.21%	0.19%	0.42%	0.25%	0.24%	0.40%	0.0%	0.38%	0.0%	0.09%	0.52%	0.28%	0.0%	0.57%	0.28%	0.15%	0.14%	0.14%	0.45%	0.14%	0.37%	0.38%	0.27%	0.42%	0.19%	0.18%	0.39%	0.12%	0.20%	0.16%	0.0%	0.42%	0.44%	0.45%	0.15%	0.0%	0.53%	0.11%	0.56%	0.0%	0.46%	0.45%	0.24%	0.0%	0.0%	0.25%	0.39%	0.0%	0.57%	0.54%	1.44%	0.0%	1.06%	0.0%	0.47%	0.72%	0.31%	0.0%	1.11%					
33	"16. ""Родина"" (народно-патриотический союз)"""	13526	282	258	192	96	145	182	149	174	237	135	191	140	189	44	162	151	112	103	117	154	148	161	237	147	253	178	89	129	219	218	44	29	9	200	273	364	414	333	349	305	274	231	246	308	323	340	294	300	354	167	187	115	166	217	118	145	98	118	82	73	191	163	134	105	28	27	180	49	65	137	340	45	119	20	38	52	58	37	27	59	147	22	15					
		18.04%	24.52%	19.36%	12.27%	15.84%	13.88%	15.46%	18.90%	15.42%	17.83%	14.31%	17.25%	14.76%	16.68%	13.75%	14.86%	17.27%	13.42%	14.12%	15.05%	16.96%	16.66%	17.03%	18.45%	15.67%	17.81%	17.48%	12.67%	16.68%	18.23%	17.51%	16.05%	11.06%	7.75%	18.48%	20.54%	25.56%	21.04%	21.26%	24.82%	22.98%	20.08%	16.30%	18.53%	22.93%	19.97%	22.03%	20.41%	21.09%	23.45%	15.16%	18.58%	14.81%	16.92%	18.20%	18.70%	15.39%	10.91%	13.36%	12.95%	18.25%	20.38%	18.11%	18.82%	21.0%	13.08%	12.32%	22.47%	16.44%	14.44%	17.38%	22.48%	21.22%	17.19%	10.81%	13.76%	18.63%	20.49%	14.68%	12.85%	14.18%	15.52%	10.28%	5.55%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	95	2	0	6	2	1	0	0	0	3	0	1	0	2	2	2	1	4	1	1	1	1	1	1	0	0	1	3	1	1	0	0	1	0	0	0	0	1	0	0	1	0	2	3	0	4	2	4	0	2	2	4	0	1	3	1	5	2	4	2	0	1	1	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	2	1	1	2	0	0					
		0.12%	0.17%	0.0%	0.38%	0.33%	0.09%	0.0%	0.0%	0.0%	0.22%	0.0%	0.09%	0.0%	0.17%	0.62%	0.18%	0.11%	0.47%	0.13%	0.12%	0.11%	0.11%	0.10%	0.07%	0.0%	0.0%	0.09%	0.42%	0.12%	0.08%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.0%	0.07%	0.0%	0.14%	0.22%	0.0%	0.24%	0.12%	0.27%	0.0%	0.13%	0.18%	0.39%	0.0%	0.10%	0.25%	0.15%	0.53%	0.22%	0.45%	0.31%	0.0%	0.10%	0.11%	0.0%	0.4%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.79%	0.47%	0.24%	0.21%	0.0%	0.0%					
35	"18. ""ЛДПР"""	7077	86	126	332	55	117	115	61	89	112	79	95	95	104	28	104	76	76	68	41	51	55	73	102	77	97	89	81	88	79	127	16	17	8	86	71	77	253	136	67	99	141	190	122	70	147	152	128	127	152	98	127	72	105	140	62	104	115	117	81	51	79	68	54	64	26	16	74	34	49	64	176	12	70	11	25	31	30	30	15	42	116	32	50					
		9.44%	7.47%	9.45%	21.22%	9.07%	11.20%	9.77%	7.74%	7.89%	8.42%	8.37%	8.58%	10.02%	9.17%	8.75%	9.54%	8.69%	9.11%	9.32%	5.27%	5.61%	6.19%	7.72%	7.94%	8.20%	6.83%	8.74%	11.53%	11.38%	6.57%	10.20%	5.83%	6.48%	6.89%	7.94%	5.34%	5.40%	12.86%	8.68%	4.76%	7.46%	10.33%	13.40%	9.19%	5.21%	9.09%	9.85%	8.88%	8.93%	10.07%	8.90%	12.62%	9.27%	10.70%	11.74%	9.82%	11.04%	12.80%	13.25%	12.79%	12.75%	8.43%	7.55%	7.58%	12.8%	12.14%	7.30%	9.23%	11.40%	10.88%	8.12%	11.64%	5.66%	10.11%	5.94%	9.05%	11.11%	10.60%	11.90%	7.14%	10.09%	12.24%	14.95%	18.51%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1166	9	15	14	16	13	19	13	15	13	15	18	19	26	3	15	18	7	13	15	19	12	12	22	28	18	18	16	16	15	15	5	4	2	15	10	4	15	20	13	15	14	26	15	27	49	22	12	18	15	17	12	12	32	45	8	16	31	15	10	5	18	11	11	6	5	5	11	9	17	14	13	17	14	2	2	5	4	5	7	4	7	2	6					
		1.55%	0.78%	1.12%	0.89%	2.64%	1.24%	1.61%	1.64%	1.32%	0.97%	1.59%	1.62%	2.00%	2.29%	0.93%	1.37%	2.05%	0.83%	1.78%	1.93%	2.09%	1.35%	1.26%	1.71%	2.98%	1.26%	1.76%	2.27%	2.06%	1.24%	1.20%	1.82%	1.52%	1.72%	1.38%	0.75%	0.28%	0.76%	1.27%	0.92%	1.13%	1.02%	1.83%	1.13%	2.01%	3.03%	1.42%	0.83%	1.26%	0.99%	1.54%	1.19%	1.54%	3.26%	3.77%	1.26%	1.69%	3.45%	1.69%	1.57%	1.25%	1.92%	1.22%	1.54%	1.2%	2.33%	2.28%	1.37%	3.02%	3.77%	1.77%	0.85%	8.01%	2.02%	1.08%	0.72%	1.79%	1.41%	1.98%	3.33%	0.96%	0.73%	0.93%	2.22%					
37	"20. ""Политическая партия ""Единая Россия"""	23155	311	376	389	183	369	395	269	381	411	283	356	341	358	95	396	310	267	253	237	298	329	306	389	315	467	326	240	253	383	421	93	98	34	311	365	354	493	479	407	346	462	465	462	291	415	425	394	385	405	326	289	237	326	342	193	318	326	321	214	125	285	277	213	138	75	87	236	96	128	272	495	62	191	81	116	93	62	111	68	155	324	73	109					
		30.89%	27.04%	28.22%	24.87%	30.19%	35.34%	33.55%	34.13%	33.77%	30.92%	30.01%	32.15%	35.97%	31.59%	29.68%	36.33%	35.46%	32.01%	34.70%	30.50%	32.81%	37.04%	32.38%	30.29%	33.58%	32.88%	32.02%	34.18%	32.72%	31.89%	33.81%	33.94%	37.40%	29.31%	28.74%	27.46%	24.85%	25.06%	30.58%	28.94%	26.07%	33.87%	32.81%	34.81%	21.66%	25.66%	27.54%	27.36%	27.07%	26.83%	29.60%	28.72%	30.54%	33.23%	28.69%	30.58%	33.75%	36.30%	36.35%	33.80%	31.25%	30.41%	30.77%	29.91%	27.6%	35.04%	39.72%	29.46%	32.21%	28.44%	34.51%	32.73%	29.24%	27.60%	43.78%	42.02%	33.33%	21.90%	44.04%	32.38%	37.25%	34.21%	34.11%	40.37%					
38	"21. ""Российская Конституционно-демократическая партия"""	121	3	1	1	3	2	2	3	2	3	2	0	2	3	0	3	1	4	3	0	4	0	1	1	3	1	2	2	1	6	2	0	0	0	0	0	0	1	0	1	1	2	5	1	1	3	2	3	2	0	0	1	0	0	6	1	2	2	3	2	1	0	2	0	3	0	0	1	3	0	2	3	0	0	0	1	1	0	0	1	0	2	0	1					
		0.16%	0.26%	0.07%	0.06%	0.49%	0.19%	0.16%	0.38%	0.17%	0.22%	0.21%	0.0%	0.21%	0.26%	0.0%	0.27%	0.11%	0.47%	0.41%	0.0%	0.44%	0.0%	0.10%	0.07%	0.31%	0.07%	0.19%	0.28%	0.12%	0.49%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.0%	0.07%	0.07%	0.14%	0.35%	0.07%	0.07%	0.18%	0.12%	0.20%	0.14%	0.0%	0.0%	0.09%	0.0%	0.0%	0.50%	0.15%	0.21%	0.22%	0.33%	0.31%	0.25%	0.0%	0.22%	0.0%	0.6%	0.0%	0.0%	0.12%	1.00%	0.0%	0.25%	0.19%	0.0%	0.0%	0.0%	0.36%	0.35%	0.0%	0.0%	0.47%	0.0%	0.21%	0.0%	0.37%					
39	"22. ""Развитие предпринимательства"""	221	4	2	7	3	2	6	1	3	3	1	3	3	2	1	2	0	8	3	2	3	1	5	7	4	2	6	1	2	6	1	1	1	0	1	9	1	7	8	6	3	1	2	3	5	6	9	7	4	4	6	5	4	2	2	0	3	3	4	0	0	0	1	2	1	0	0	1	0	0	0	2	1	1	0	0	3	0	0	2	1	4	0	1					
		0.29%	0.34%	0.15%	0.44%	0.49%	0.19%	0.50%	0.12%	0.26%	0.22%	0.10%	0.27%	0.31%	0.17%	0.31%	0.18%	0.0%	0.95%	0.41%	0.25%	0.33%	0.11%	0.52%	0.54%	0.42%	0.14%	0.58%	0.14%	0.25%	0.49%	0.08%	0.36%	0.38%	0.0%	0.09%	0.67%	0.07%	0.35%	0.51%	0.42%	0.22%	0.07%	0.14%	0.22%	0.37%	0.37%	0.58%	0.48%	0.28%	0.26%	0.54%	0.49%	0.51%	0.20%	0.16%	0.0%	0.31%	0.33%	0.45%	0.0%	0.0%	0.0%	0.11%	0.28%	0.2%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.13%	0.47%	0.14%	0.0%	0.0%	1.07%	0.0%	0.0%	0.95%	0.24%	0.42%	0.0%	0.37%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7719	128	166	91	65	99	113	72	102	131	121	134	100	113	55	90	89	79	74	85	82	93	119	138	106	148	96	59	62	136	144	26	44	19	134	219	185	214	154	111	167	102	116	96	239	137	179	178	156	213	104	96	95	90	94	52	74	86	68	55	52	65	91	64	46	14	22	71	34	34	80	120	12	101	20	25	27	21	13	17	45	117	20	15					
		10.30%	11.13%	12.46%	5.81%	10.72%	9.48%	9.60%	9.13%	9.04%	9.85%	12.83%	12.10%	10.54%	9.97%	17.18%	8.25%	10.18%	9.47%	10.15%	10.93%	9.03%	10.47%	12.59%	10.74%	11.30%	10.42%	9.43%	8.40%	8.02%	11.32%	11.56%	9.48%	16.79%	16.37%	12.38%	16.47%	12.99%	10.87%	9.83%	7.89%	12.58%	7.47%	8.18%	7.23%	17.79%	8.47%	11.60%	12.36%	10.97%	14.11%	9.44%	9.54%	12.24%	9.17%	7.88%	8.24%	7.85%	9.57%	7.70%	8.68%	13.0%	6.93%	10.11%	8.98%	9.2%	6.54%	10.04%	8.86%	11.40%	7.55%	10.15%	7.93%	5.66%	14.59%	10.81%	9.05%	9.67%	7.42%	5.15%	8.09%	10.81%	12.35%	9.34%	5.55%					
																																																																																										
41	Против всех	4740	71	98	178	43	67	71	46	64	81	56	87	46	68	20	68	40	36	47	59	44	37	59	87	48	75	59	28	48	67	73	15	13	13	65	67	83	141	85	93	57	84	84	100	66	150	102	89	104	103	99	64	51	50	95	31	51	53	64	37	22	72	57	61	28	27	8	53	9	42	44	88	9	48	18	16	13	11	6	11	25	57	7	28					
		6.32%	6.17%	7.35%	11.38%	7.09%	6.41%	6.03%	5.83%	5.67%	6.09%	5.93%	7.85%	4.85%	6.00%	6.25%	6.23%	4.57%	4.31%	6.44%	7.59%	4.84%	4.16%	6.24%	6.77%	5.11%	5.28%	5.79%	3.98%	6.20%	5.57%	5.86%	5.47%	4.96%	11.20%	6.00%	5.04%	5.82%	7.16%	5.42%	6.61%	4.29%	6.15%	5.92%	7.53%	4.91%	9.27%	6.61%	6.18%	7.31%	6.82%	8.99%	6.36%	6.57%	5.09%	7.96%	4.91%	5.41%	5.90%	7.24%	5.84%	5.5%	7.68%	6.33%	8.56%	5.6%	12.61%	3.65%	6.61%	3.02%	9.33%	5.58%	5.82%	4.24%	6.93%	9.72%	5.79%	4.65%	3.88%	2.38%	5.23%	6.00%	6.01%	3.27%	10.37%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
