Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																										
Дата голосования: 07.12.2003 0:00:00																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Новомосковская 																																																																																										
																																																																																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																										
																																																																																										
		Сумма	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №5081	УИК №5082	УИК №5083					
		0.14%	0.13%	0.84%	0.17%	0.29%	0.20%	0.08%	0.21%	0.0%	0.09%	0.09%	0.08%	0.13%	0.21%	0.13%	0.0%	0.07%	0.31%	0.29%	0.08%	0.22%	0.0%	0.0%	0.07%	0.24%	0.08%	0.09%	0.0%	0.23%	0.0%	0.26%	0.29%	0.12%	0.14%	0.31%	0.44%	0.28%	0.17%	0.18%	0.0%	0.0%	0.18%	0.0%	0.07%	0.0%	0.07%	0.0%	0.0%	0.14%	0.07%	0.0%	0.10%	0.0%	0.0%	0.72%	0.18%	0.26%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.0%	0.0%	0.39%	0.21%	0.37%	0.66%	0.14%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	8851	71	41	178	218	147	162	159	111	133	212	207	107	226	195	250	254	173	138	210	174	3	1	184	182	195	160	153	101	163	133	122	114	181	133	153	136	171	138	152	161	163	210	187	157	197	118	129	172	149	22	99	11	31	8	108	144	144	63	73	17	20	16	10	21	16	115	42	8	5	4	8	57	9	12	8	19	35	56	12	15	35	11	13					
		12.91%	9.80%	11.54%	15.30%	16.30%	15.18%	14.34%	17.33%	13.53%	12.85%	20.58%	16.92%	14.63%	15.82%	13.42%	15.46%	18.63%	13.57%	13.46%	18.66%	12.81%	3.89%	4.0%	14.34%	14.80%	17.41%	15.81%	13.93%	11.66%	13.34%	11.79%	12.13%	13.91%	13.11%	13.78%	13.58%	12.96%	15.11%	13.06%	11.71%	16.06%	15.19%	15.55%	14.20%	14.72%	15.47%	12.01%	12.92%	12.38%	10.74%	28.20%	10.56%	12.64%	8.33%	1.93%	9.84%	12.86%	12.43%	8.86%	11.06%	8.41%	12.90%	5.86%	5.49%	7.86%	12.30%	13.34%	4.22%	4.59%	2.70%	6.77%	4.12%	9.23%	4.89%	11.65%	5.29%	11.87%	6.95%	11.83%	4.46%	4.96%	2.55%	1.59%	2.14%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	190	4	2	4	0	5	0	1	4	3	2	2	0	2	5	1	3	3	1	6	3	0	1	5	0	2	1	3	4	1	2	6	3	4	0	7	5	2	2	0	4	3	3	5	7	1	2	4	6	6	0	1	0	1	5	3	3	1	2	1	1	0	3	1	0	0	3	1	1	0	0	0	1	1	2	3	3	3	3	4	1	1	1	0					
		0.27%	0.55%	0.56%	0.34%	0.0%	0.51%	0.0%	0.10%	0.48%	0.28%	0.19%	0.16%	0.0%	0.14%	0.34%	0.06%	0.22%	0.23%	0.09%	0.53%	0.22%	0.0%	4.0%	0.38%	0.0%	0.17%	0.09%	0.27%	0.46%	0.08%	0.17%	0.59%	0.36%	0.28%	0.0%	0.62%	0.47%	0.17%	0.18%	0.0%	0.39%	0.27%	0.22%	0.37%	0.65%	0.07%	0.20%	0.40%	0.43%	0.43%	0.0%	0.10%	0.0%	0.26%	1.21%	0.27%	0.26%	0.08%	0.28%	0.15%	0.49%	0.0%	1.09%	0.54%	0.0%	0.0%	0.34%	0.10%	0.57%	0.0%	0.0%	0.0%	0.16%	0.54%	1.94%	1.98%	1.87%	0.59%	0.63%	1.48%	0.33%	0.07%	0.14%	0.0%					
35	"18. ""ЛДПР"""	7230	90	26	106	109	120	82	85	75	106	76	119	58	119	182	131	135	134	107	137	157	6	3	135	110	86	95	132	87	130	148	113	107	154	123	135	116	101	122	146	106	144	138	176	97	147	138	136	174	146	1	129	12	46	133	109	82	140	79	106	23	13	44	28	40	22	106	88	14	23	3	23	66	28	15	23	18	49	67	24	26	19	14	12					
		10.54%	12.43%	7.32%	9.11%	8.15%	12.39%	7.26%	9.26%	9.14%	10.24%	7.37%	9.73%	7.93%	8.33%	12.52%	8.10%	9.90%	10.51%	10.43%	12.17%	11.56%	7.79%	12.0%	10.52%	8.95%	7.67%	9.38%	12.02%	10.04%	10.64%	13.12%	11.24%	13.06%	11.15%	12.74%	11.98%	11.05%	8.93%	11.55%	11.24%	10.57%	13.42%	10.22%	13.37%	9.09%	11.54%	14.05%	13.62%	12.52%	10.52%	1.28%	13.76%	13.79%	12.36%	32.20%	9.93%	7.32%	12.08%	11.11%	16.06%	11.38%	8.38%	16.11%	15.38%	14.98%	16.92%	12.29%	8.85%	8.04%	12.43%	5.08%	11.85%	10.69%	15.21%	14.56%	15.23%	11.25%	9.74%	14.16%	8.92%	8.60%	1.38%	2.03%	1.98%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	768	18	2	14	11	14	8	6	8	10	10	18	8	11	13	12	20	9	11	8	16	2	0	20	12	15	7	22	9	17	4	8	13	14	8	16	7	9	7	10	9	6	14	14	5	13	13	10	17	15	3	13	1	20	6	19	11	11	12	10	5	1	4	2	3	4	19	5	2	1	0	5	14	3	0	3	3	9	6	6	7	7	6	4					
		1.12%	2.48%	0.56%	1.20%	0.82%	1.44%	0.70%	0.65%	0.97%	0.96%	0.97%	1.47%	1.09%	0.77%	0.89%	0.74%	1.46%	0.70%	1.07%	0.71%	1.17%	2.59%	0.0%	1.55%	0.97%	1.33%	0.69%	2.00%	1.03%	1.39%	0.35%	0.79%	1.58%	1.01%	0.82%	1.42%	0.66%	0.79%	0.66%	0.77%	0.89%	0.55%	1.03%	1.06%	0.46%	1.02%	1.32%	1.00%	1.22%	1.08%	3.84%	1.38%	1.14%	5.37%	1.45%	1.73%	0.98%	0.94%	1.68%	1.51%	2.47%	0.64%	1.46%	1.09%	1.12%	3.07%	2.20%	0.50%	1.14%	0.54%	0.0%	2.57%	2.26%	1.63%	0.0%	1.98%	1.87%	1.78%	1.26%	2.23%	2.31%	0.51%	0.87%	0.66%					
37	"20. ""Политическая партия ""Единая Россия"""	19744	184	75	343	392	263	326	246	184	313	265	310	189	404	454	430	355	371	267	304	464	18	0	374	324	309	280	301	269	399	333	306	232	405	262	291	315	383	328	402	297	326	435	379	320	379	331	289	464	459	33	338	23	155	38	303	383	367	229	169	73	50	110	61	86	45	202	262	52	58	15	54	201	53	41	62	27	161	141	84	130	192	102	95					
		28.80%	25.41%	21.12%	29.49%	29.31%	27.16%	28.87%	26.82%	22.43%	30.24%	25.72%	25.34%	25.85%	28.29%	31.24%	26.59%	26.04%	29.12%	26.04%	27.02%	34.16%	23.37%	0.0%	29.15%	26.36%	27.58%	27.66%	27.41%	31.06%	32.67%	29.52%	30.44%	28.32%	29.34%	27.15%	25.84%	30.02%	33.86%	31.06%	30.97%	29.64%	30.38%	32.22%	28.79%	30.01%	29.77%	33.70%	28.95%	33.40%	33.09%	42.30%	36.07%	26.43%	41.66%	9.20%	27.62%	34.22%	31.69%	32.20%	25.60%	36.13%	32.25%	40.29%	33.51%	32.20%	34.61%	23.43%	26.35%	29.88%	31.35%	25.42%	27.83%	32.57%	28.80%	39.80%	41.05%	16.87%	32.00%	29.80%	31.22%	43.04%	13.99%	14.82%	15.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	127	3	0	1	1	3	1	1	0	3	2	1	0	2	1	6	0	0	1	1	2	0	0	2	0	2	1	3	2	3	3	1	2	3	1	5	2	5	3	2	1	1	2	3	2	0	5	1	3	9	0	3	1	2	0	0	1	0	2	1	1	0	1	1	0	0	1	0	1	1	0	1	1	1	0	1	0	2	3	2	2	1	0	1					
		0.18%	0.41%	0.0%	0.08%	0.07%	0.30%	0.08%	0.10%	0.0%	0.28%	0.19%	0.08%	0.0%	0.14%	0.06%	0.37%	0.0%	0.0%	0.09%	0.08%	0.14%	0.0%	0.0%	0.15%	0.0%	0.17%	0.09%	0.27%	0.23%	0.24%	0.26%	0.09%	0.24%	0.21%	0.10%	0.44%	0.19%	0.44%	0.28%	0.15%	0.09%	0.09%	0.14%	0.22%	0.18%	0.0%	0.50%	0.10%	0.21%	0.64%	0.0%	0.32%	1.14%	0.53%	0.0%	0.0%	0.08%	0.0%	0.28%	0.15%	0.49%	0.0%	0.36%	0.54%	0.0%	0.0%	0.11%	0.0%	0.57%	0.54%	0.0%	0.51%	0.16%	0.54%	0.0%	0.66%	0.0%	0.39%	0.63%	0.74%	0.66%	0.07%	0.0%	0.16%					
39	"22. ""Развитие предпринимательства"""	216	3	4	2	2	2	5	7	0	2	3	1	4	7	2	6	1	5	3	4	7	0	0	3	4	4	6	3	3	3	5	6	2	8	0	3	3	2	3	4	5	2	4	4	4	4	2	1	7	4	0	1	0	0	0	6	3	4	5	3	0	0	1	1	2	0	6	3	2	0	0	2	0	2	0	0	1	2	0	1	0	0	1	1					
		0.31%	0.41%	1.12%	0.17%	0.14%	0.20%	0.44%	0.76%	0.0%	0.19%	0.29%	0.08%	0.54%	0.49%	0.13%	0.37%	0.07%	0.39%	0.29%	0.35%	0.51%	0.0%	0.0%	0.23%	0.32%	0.35%	0.59%	0.27%	0.34%	0.24%	0.44%	0.59%	0.24%	0.57%	0.0%	0.26%	0.28%	0.17%	0.28%	0.30%	0.49%	0.18%	0.29%	0.30%	0.37%	0.31%	0.20%	0.10%	0.50%	0.28%	0.0%	0.10%	0.0%	0.0%	0.0%	0.54%	0.26%	0.34%	0.70%	0.45%	0.0%	0.0%	0.36%	0.54%	0.74%	0.0%	0.69%	0.30%	1.14%	0.0%	0.0%	1.03%	0.0%	1.08%	0.0%	0.0%	0.62%	0.39%	0.0%	0.37%	0.0%	0.0%	0.14%	0.16%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9147	152	73	177	189	120	192	167	147	154	135	184	88	220	199	226	183	139	146	135	142	15	3	165	152	182	170	169	118	162	170	137	78	138	107	130	135	137	139	166	125	132	148	113	150	149	88	108	196	236	6	98	13	43	15	252	168	174	142	143	18	37	20	25	60	10	120	211	44	33	8	35	63	29	11	10	12	66	49	12	41	48	19	26					
		13.34%	20.99%	20.56%	15.21%	14.13%	12.39%	17.00%	18.21%	17.92%	14.87%	13.10%	15.04%	12.03%	15.40%	13.69%	13.97%	13.42%	10.91%	14.24%	12.0%	10.45%	19.48%	12.0%	12.86%	12.36%	16.25%	16.79%	15.39%	13.62%	13.26%	15.07%	13.63%	9.52%	10.0%	11.08%	11.54%	12.86%	12.11%	13.16%	12.78%	12.47%	12.30%	10.96%	8.58%	14.07%	11.70%	8.96%	10.82%	14.11%	17.01%	7.69%	10.45%	14.94%	11.55%	3.63%	22.97%	15.01%	15.02%	19.97%	21.66%	8.91%	23.87%	7.32%	13.73%	22.47%	7.69%	13.92%	21.22%	25.28%	17.83%	13.55%	18.04%	10.21%	15.76%	10.67%	6.62%	7.5%	13.12%	10.35%	4.46%	13.57%	3.49%	2.76%	4.29%					
																																																																																										
41	Против всех	4661	52	24	69	78	57	55	52	69	69	75	87	59	97	82	107	88	116	84	78	82	3	5	94	90	76	56	68	60	79	61	75	55	106	80	95	83	82	67	101	75	70	126	108	78	101	61	81	94	59	3	61	7	15	110	77	75	83	34	40	11	6	20	13	8	11	87	95	8	9	6	13	44	6	7	7	11	32	22	22	14	21	6	8					
		6.80%	7.18%	6.76%	5.93%	5.83%	5.88%	4.87%	5.67%	8.41%	6.66%	7.28%	7.11%	8.07%	6.79%	5.64%	6.61%	6.45%	9.10%	8.19%	6.93%	6.03%	3.89%	20.0%	7.32%	7.32%	6.78%	5.53%	6.19%	6.92%	6.47%	5.40%	7.46%	6.71%	7.68%	8.29%	8.43%	7.91%	7.25%	6.34%	7.78%	7.48%	6.52%	9.33%	8.20%	7.31%	7.93%	6.21%	8.11%	6.76%	4.25%	3.84%	6.51%	8.04%	4.03%	26.63%	7.01%	6.70%	7.16%	4.78%	6.06%	5.44%	3.87%	7.32%	7.14%	2.99%	8.46%	10.09%	9.55%	4.59%	4.86%	10.16%	6.70%	7.13%	3.26%	6.79%	4.63%	6.87%	6.36%	4.65%	8.17%	4.63%	1.53%	0.87%	1.32%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
