Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																								
																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																								
																																																																																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																								
																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1310	УИК №1313	УИК №1316	УИК №1317	УИК №1319	УИК №1321	УИК №1322	УИК №1324	УИК №1326	УИК №1327	УИК №1328	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398					
		0.28%	0.0%	0.74%	0.52%	0.13%	0.21%	0.40%	2.85%	0.0%	0.0%	0.28%	0.19%	0.0%	0.59%	1.26%	2.77%	0.09%	0.09%	0.73%	0.0%	0.10%	0.14%	0.0%	0.45%	0.20%	0.0%	0.36%	0.28%	0.23%	0.52%	0.25%	0.13%	0.50%	0.64%	0.18%	0.32%	0.12%	0.61%	1.02%	0.20%	0.28%	0.0%	0.31%	0.0%	0.0%	0.14%	0.20%	0.0%	0.26%	0.08%	0.44%	0.0%	0.12%	0.19%	0.33%	0.51%	0.32%	0.35%	0.50%	0.19%	0.31%	0.30%	0.11%	0.46%	0.50%	0.42%	0.60%	0.0%	0.0%	2.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	696	0	6	17	11	13	6	2	1	13	13	14	7	4	3	4	14	17	4	3	8	9	8	9	6	10	9	7	3	13	6	6	27	11	14	7	9	26	1	2	5	13	12	12	13	6	12	7	14	12	12	14	10	17	2	10	13	11	8	9	11	11	16	7	12	13	15	4	3	0	0	1	5	1	1	1	3	0	1	0	1	0	4	1	1	3	1	0	0	1	0	0	1	1	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	5					
		1.32%	0.0%	4.47%	1.47%	1.45%	0.93%	1.20%	1.90%	0.48%	1.40%	1.86%	1.35%	2.12%	0.79%	1.26%	2.22%	1.27%	1.61%	0.98%	0.86%	0.86%	1.29%	1.73%	1.37%	1.21%	1.45%	1.08%	1.00%	0.34%	1.70%	0.77%	0.82%	1.71%	1.76%	1.26%	0.75%	1.16%	3.18%	1.02%	0.41%	0.71%	2.24%	1.88%	1.83%	1.16%	0.87%	1.21%	1.01%	1.23%	1.06%	1.07%	1.90%	1.22%	1.68%	0.22%	1.27%	1.42%	1.29%	0.80%	0.86%	1.14%	1.65%	1.85%	0.65%	2.02%	1.82%	1.50%	12.5%	3.70%	0.0%	0.0%	3.84%	5.68%	1.11%	1.21%	6.25%	3.44%	0.0%	1.26%	0.0%	5.26%	0.0%	20.0%	5.88%	5.55%	16.66%	5.55%	0.0%	0.0%	4.76%	0.0%	0.0%	3.84%	4.76%	4.0%	4.0%	0.0%	2.24%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.44%	15.78%	0.0%	2.63%	11.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	10.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	21.73%					
25	"8. ""Народно-республиканская партия России"""	50	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	1	1	0	0	0	1	5	0	0	0	4	2	0	0	1	3	0	0	0	0	2	1	0	2	0	2	2	2	1	0	0	2	2	1	0	0	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.08%	0.13%	0.07%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.09%	0.0%	0.28%	0.10%	0.0%	0.21%	0.15%	0.0%	0.0%	0.0%	0.14%	0.57%	0.0%	0.0%	0.0%	0.25%	0.32%	0.0%	0.0%	0.12%	0.36%	0.0%	0.0%	0.0%	0.0%	0.31%	0.15%	0.0%	0.29%	0.0%	0.28%	0.17%	0.17%	0.08%	0.0%	0.0%	0.19%	0.22%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.18%	0.0%	0.0%	0.10%	0.0%	0.0%	2.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	256	0	2	4	4	2	3	1	0	8	8	2	1	1	0	0	6	2	1	0	6	4	3	1	5	6	3	5	8	2	3	3	13	1	4	3	5	3	0	0	0	4	1	5	9	2	5	5	4	3	1	4	3	7	10	1	6	4	7	7	2	0	6	1	1	4	6	1	0	2	1	1	0	0	0	0	0	3	5	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.48%	0.0%	1.49%	0.34%	0.52%	0.14%	0.60%	0.95%	0.0%	0.86%	1.14%	0.19%	0.30%	0.19%	0.0%	0.0%	0.54%	0.18%	0.24%	0.0%	0.64%	0.57%	0.65%	0.15%	1.01%	0.87%	0.36%	0.72%	0.92%	0.26%	0.38%	0.41%	0.82%	0.16%	0.36%	0.32%	0.64%	0.36%	0.0%	0.0%	0.0%	0.69%	0.15%	0.76%	0.80%	0.29%	0.50%	0.72%	0.35%	0.26%	0.08%	0.54%	0.36%	0.69%	1.10%	0.12%	0.65%	0.47%	0.70%	0.67%	0.20%	0.0%	0.69%	0.09%	0.16%	0.56%	0.60%	3.12%	0.0%	4.16%	1.13%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	7.89%	6.32%	0.0%	0.0%	0.0%	0.0%	0.0%	5.55%	0.0%	11.11%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.0%	0.0%	0.0%	5.26%	0.0%	0.0%	5.88%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%					
27	"10. ""Аграрная партия России"""	1471	6	3	18	15	24	3	0	1	23	13	27	4	11	3	2	29	29	5	8	28	16	15	14	13	22	27	19	27	18	25	15	52	18	26	24	19	17	0	8	11	16	19	21	34	19	23	14	44	42	35	23	30	31	36	27	28	21	39	28	43	18	27	34	10	32	39	1	10	4	4	0	1	10	1	0	6	0	2	3	1	0	0	3	0	3	2	0	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	30	0	1	0	2	1	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	2	0					
		2.79%	2.46%	2.23%	1.56%	1.98%	1.72%	0.60%	0.0%	0.48%	2.47%	1.86%	2.62%	1.21%	2.19%	1.26%	1.11%	2.65%	2.75%	1.22%	2.29%	3.01%	2.30%	3.25%	2.14%	2.63%	3.20%	3.26%	2.73%	3.11%	2.35%	3.20%	2.06%	3.31%	2.88%	2.35%	2.59%	2.45%	2.08%	0.0%	1.67%	1.57%	2.76%	2.99%	3.21%	3.04%	2.76%	2.33%	2.02%	3.89%	3.72%	3.12%	3.12%	3.66%	3.07%	3.97%	3.44%	3.06%	2.47%	3.91%	2.70%	4.48%	2.70%	3.13%	3.18%	1.68%	4.50%	3.90%	3.12%	12.34%	8.33%	4.54%	0.0%	1.13%	11.11%	1.21%	0.0%	6.89%	0.0%	2.53%	16.66%	5.26%	0.0%	0.0%	17.64%	0.0%	16.66%	11.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	4.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	37.03%	0.0%	0.37%	0.0%	8.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	3.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.69%	0.0%					
28	"11. ""Истинные патриоты России"""	52	0	0	2	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	3	1	0	1	1	8	0	0	0	0	0	0	1	0	0	1	0	1	3	1	1	0	0	1	0	6	0	2	0	0	0	0	2	0	1	0	1	0	0	7	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.09%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.40%	0.0%	0.0%	0.43%	0.11%	0.0%	0.12%	0.13%	0.50%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.15%	0.0%	0.08%	0.43%	0.10%	0.14%	0.0%	0.0%	0.08%	0.0%	0.73%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.15%	0.0%	0.09%	0.0%	0.0%	0.70%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	6.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	316	3	5	7	6	11	0	1	5	7	5	11	3	1	1	1	6	2	6	2	2	6	3	1	3	6	3	5	6	6	1	2	17	2	3	9	4	5	2	3	6	4	4	3	6	7	5	5	3	7	7	8	2	1	0	7	3	11	3	7	4	5	4	4	5	6	10	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
		0.60%	1.23%	3.73%	0.60%	0.79%	0.79%	0.0%	0.95%	2.41%	0.75%	0.71%	1.06%	0.91%	0.19%	0.42%	0.55%	0.54%	0.18%	1.47%	0.57%	0.21%	0.86%	0.65%	0.15%	0.60%	0.87%	0.36%	0.72%	0.69%	0.78%	0.12%	0.27%	1.08%	0.32%	0.27%	0.97%	0.51%	0.61%	2.04%	0.62%	0.86%	0.69%	0.62%	0.45%	0.53%	1.01%	0.50%	0.72%	0.26%	0.62%	0.62%	1.08%	0.24%	0.09%	0.0%	0.89%	0.32%	1.29%	0.30%	0.67%	0.41%	0.75%	0.46%	0.37%	0.84%	0.84%	1.00%	0.0%	0.0%	0.0%	0.0%	0.0%	1.13%	1.11%	0.0%	0.0%	1.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	120	1	0	2	2	7	0	0	1	4	1	2	1	2	1	0	5	3	3	1	1	3	0	0	1	0	1	3	1	1	1	1	2	1	1	3	0	1	0	0	0	3	2	1	2	0	5	3	1	3	8	0	2	3	1	4	0	4	1	0	0	2	4	4	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.41%	0.0%	0.17%	0.26%	0.50%	0.0%	0.0%	0.48%	0.43%	0.14%	0.19%	0.30%	0.39%	0.42%	0.0%	0.45%	0.28%	0.73%	0.28%	0.10%	0.43%	0.0%	0.0%	0.20%	0.0%	0.12%	0.43%	0.11%	0.13%	0.12%	0.13%	0.12%	0.16%	0.09%	0.32%	0.0%	0.12%	0.0%	0.0%	0.0%	0.51%	0.31%	0.15%	0.17%	0.0%	0.50%	0.43%	0.08%	0.26%	0.71%	0.0%	0.24%	0.29%	0.11%	0.51%	0.0%	0.47%	0.10%	0.0%	0.0%	0.30%	0.46%	0.37%	0.67%	0.42%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	136	0	0	1	0	2	5	0	0	0	1	3	4	2	0	1	2	3	0	1	0	3	1	3	3	1	0	1	5	6	1	2	6	0	1	4	1	1	1	6	0	4	2	1	3	1	5	0	1	4	1	1	2	1	1	3	5	3	1	1	10	2	2	1	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.25%	0.0%	0.0%	0.08%	0.0%	0.14%	1.00%	0.0%	0.0%	0.0%	0.14%	0.29%	1.21%	0.39%	0.0%	0.55%	0.18%	0.28%	0.0%	0.28%	0.0%	0.43%	0.21%	0.45%	0.60%	0.14%	0.0%	0.14%	0.57%	0.78%	0.12%	0.27%	0.38%	0.0%	0.09%	0.43%	0.12%	0.12%	1.02%	1.25%	0.0%	0.69%	0.31%	0.15%	0.26%	0.14%	0.50%	0.0%	0.08%	0.35%	0.08%	0.13%	0.24%	0.09%	0.11%	0.38%	0.54%	0.35%	0.10%	0.09%	1.04%	0.30%	0.23%	0.09%	0.0%	0.28%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.55%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	66	1	0	1	2	1	2	0	0	0	1	1	1	0	1	1	0	3	0	0	1	3	0	1	1	0	0	1	0	1	0	2	1	0	0	1	0	1	0	0	0	1	0	0	2	0	1	6	3	0	2	0	0	0	1	1	2	2	4	2	0	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.12%	0.41%	0.0%	0.08%	0.26%	0.07%	0.40%	0.0%	0.0%	0.0%	0.14%	0.09%	0.30%	0.0%	0.42%	0.55%	0.0%	0.28%	0.0%	0.0%	0.10%	0.43%	0.0%	0.15%	0.20%	0.0%	0.0%	0.14%	0.0%	0.13%	0.0%	0.27%	0.06%	0.0%	0.0%	0.10%	0.0%	0.12%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.17%	0.0%	0.10%	0.86%	0.26%	0.0%	0.17%	0.0%	0.0%	0.0%	0.11%	0.12%	0.21%	0.23%	0.40%	0.19%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	1.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	21.42%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4711	2	8	91	74	75	42	4	9	106	71	105	14	24	17	13	89	89	40	35	80	67	37	55	58	53	69	77	96	51	65	97	92	63	130	93	91	62	5	43	84	48	69	79	135	61	117	76	133	106	104	70	64	97	117	76	120	92	100	65	104	77	90	107	54	55	35	0	0	0	1	0	9	1	3	0	2	0	1	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	1	18	22	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	0	1	0	1	0	0	3	0	0	0	0	1					
		8.96%	0.82%	5.97%	7.91%	9.78%	5.39%	8.41%	3.80%	4.34%	11.42%	10.20%	10.19%	4.25%	4.78%	7.14%	7.22%	8.13%	8.45%	9.82%	10.05%	8.61%	9.66%	8.02%	8.40%	11.76%	7.72%	8.35%	11.09%	11.07%	6.67%	8.34%	13.32%	5.85%	10.09%	11.75%	10.05%	11.74%	7.58%	5.10%	8.97%	12.05%	8.29%	10.86%	12.09%	12.09%	8.86%	11.85%	11.01%	11.75%	9.39%	9.29%	9.52%	7.82%	9.63%	12.92%	9.69%	13.14%	10.82%	10.04%	6.28%	10.84%	11.56%	10.45%	10.02%	9.12%	7.73%	3.50%	0.0%	0.0%	0.0%	1.13%	0.0%	10.22%	1.11%	3.65%	0.0%	2.29%	0.0%	1.26%	0.0%	0.0%	11.11%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.37%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	85.71%	75.86%	0.0%	13.33%	2.63%	0.0%	6.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	8.0%	0.0%	4.0%	0.0%	2.17%	0.0%	0.0%	0.0%	3.57%	0.0%	5.0%	0.0%	0.0%	8.82%	0.0%	0.0%	0.0%	0.0%	4.34%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	101	3	0	3	2	5	0	1	1	2	2	3	0	1	1	0	2	2	1	0	2	1	0	2	3	1	0	2	0	0	3	0	7	2	0	1	1	2	0	0	1	1	0	0	0	1	4	1	4	2	2	1	0	1	0	1	0	0	0	1	0	1	1	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.19%	1.23%	0.0%	0.26%	0.26%	0.35%	0.0%	0.95%	0.48%	0.21%	0.28%	0.29%	0.0%	0.19%	0.42%	0.0%	0.18%	0.18%	0.24%	0.0%	0.21%	0.14%	0.0%	0.30%	0.60%	0.14%	0.0%	0.28%	0.0%	0.0%	0.38%	0.0%	0.44%	0.32%	0.0%	0.10%	0.12%	0.24%	0.0%	0.0%	0.14%	0.17%	0.0%	0.0%	0.0%	0.14%	0.40%	0.14%	0.35%	0.17%	0.17%	0.13%	0.0%	0.09%	0.0%	0.12%	0.0%	0.0%	0.0%	0.09%	0.0%	0.15%	0.11%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	0.0%	0.0%	2.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	48.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	11988	49	28	276	201	296	121	23	62	200	137	193	73	125	68	32	252	266	112	91	251	147	118	183	109	169	207	151	189	163	196	184	348	156	221	187	201	216	20	113	158	173	115	119	245	195	189	125	222	245	238	177	227	266	206	151	193	200	241	241	218	166	217	282	145	154	326	0	23	10	18	14	20	24	26	1	12	1	36	8	5	8	4	8	1	4	2	0	5	4	8	3	6	2	6	1	4	28	0	0	4	0	0	0	0	0	0	4	3	0	0	0	4	7	10	5	3	11	0	10	21	0	2	0	0	0	2	0	0	0	2	0	0	3	0	4	0	2	1	3	8	4	1	4	2	8					
