Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																		
Дата голосования: 07.12.2003 0:00:00																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Всеволожская 																																																																																																		
																																																																																																		
Сводная таблица итогов голосования  по федеральному округу																																																																																																		
																																																																																																		
		Сумма	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222					
31	"14. ""Великая Россия - Евразийский Союз"""	129	4	0	1	1	1	2	2	2	2	0	0	0	0	1	2	0	4	0	1	0	1	0	3	0	1	0	1	0	1	1	2	0	1	2	2	0	0	1	4	2	0	1	3	1	1	0	1	1	1	0	1	1	1	1	6	0	3	4	6	0	3	5	3	0	1	4	6	1	3	2	1	1	1	1	1	1	3	2	0	0	0	1	0	2	2	1	2	1	3	1	0					
		0.23%	0.65%	0.0%	0.12%	0.11%	0.11%	0.19%	0.20%	0.21%	0.20%	0.0%	0.0%	0.0%	0.0%	0.09%	0.53%	0.0%	0.53%	0.0%	0.07%	0.0%	0.58%	0.0%	1.26%	0.0%	0.24%	0.0%	0.10%	0.0%	0.12%	0.13%	0.26%	0.0%	0.14%	0.30%	0.36%	0.0%	0.0%	0.12%	0.48%	0.22%	0.0%	0.17%	0.84%	0.56%	0.17%	0.0%	0.47%	0.17%	0.15%	0.0%	0.19%	0.29%	0.48%	0.14%	1.14%	0.0%	0.29%	0.49%	0.94%	0.0%	0.48%	0.49%	0.27%	0.0%	0.20%	0.69%	0.75%	0.30%	0.69%	0.26%	0.15%	0.16%	0.23%	0.14%	0.19%	0.45%	0.42%	0.30%	0.0%	0.0%	0.0%	0.35%	0.0%	0.33%	0.90%	0.33%	0.47%	0.33%	0.37%	0.13%	0.0%					
32	"15. ""Партия СЛОН"""	85	1	1	1	0	0	0	2	0	2	0	2	1	0	2	1	0	2	0	2	1	0	0	0	0	1	0	2	1	1	0	0	3	2	2	1	1	0	1	1	1	0	1	0	0	0	0	0	1	1	0	3	0	0	5	1	1	0	1	1	1	0	0	1	1	1	2	6	0	3	1	1	0	1	2	0	1	3	0	0	0	0	3	1	1	0	0	1	0	2	3	0					
		0.15%	0.16%	0.24%	0.12%	0.0%	0.0%	0.0%	0.20%	0.0%	0.20%	0.0%	0.23%	0.18%	0.0%	0.18%	0.26%	0.0%	0.26%	0.0%	0.15%	0.56%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.20%	0.31%	0.12%	0.0%	0.0%	0.37%	0.28%	0.30%	0.18%	0.17%	0.0%	0.12%	0.12%	0.11%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.15%	0.0%	0.59%	0.0%	0.0%	0.71%	0.19%	0.14%	0.0%	0.12%	0.15%	0.14%	0.0%	0.0%	0.09%	0.30%	0.20%	0.34%	0.75%	0.0%	0.69%	0.13%	0.15%	0.0%	0.23%	0.28%	0.0%	0.45%	0.42%	0.0%	0.0%	0.0%	0.0%	1.05%	0.18%	0.16%	0.0%	0.0%	0.23%	0.0%	0.24%	0.40%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	6279	85	57	109	132	91	127	128	136	188	151	127	60	131	150	43	59	99	61	289	20	5	8	19	33	33	39	91	18	85	80	83	83	65	59	42	42	18	88	62	99	34	39	17	14	52	76	12	35	47	72	94	42	9	99	69	91	171	106	78	84	66	140	133	54	28	76	86	18	30	71	44	32	76	74	93	18	48	16	67	47	41	16	84	106	7	31	40	17	75	103	6					
		11.55%	13.93%	13.93%	13.42%	14.58%	10.75%	12.09%	13.43%	14.87%	19.14%	16.11%	15.19%	10.92%	11.90%	13.63%	11.52%	13.43%	13.25%	14.45%	22.23%	11.23%	2.94%	4.90%	8.01%	8.57%	8.10%	8.12%	9.25%	5.67%	10.35%	10.56%	11.14%	10.38%	9.39%	9.07%	7.56%	7.32%	13.84%	11.29%	7.57%	10.93%	8.45%	6.87%	4.76%	7.90%	8.96%	16.06%	5.71%	6.11%	7.14%	11.41%	18.72%	12.28%	4.34%	14.08%	13.21%	13.0%	16.84%	13.15%	12.30%	12.35%	10.73%	13.97%	11.98%	16.46%	5.82%	13.19%	10.77%	5.45%	6.97%	9.54%	6.65%	5.19%	17.51%	10.37%	18.41%	8.10%	6.76%	2.40%	8.53%	12.60%	11.38%	5.63%	15.13%	17.93%	3.18%	10.33%	9.50%	5.72%	9.33%	13.78%	6.12%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	148	0	0	1	0	2	3	2	0	2	0	0	1	1	2	2	1	2	0	0	0	0	1	1	0	1	2	2	3	1	1	3	3	0	0	3	0	1	1	1	2	1	3	1	0	1	1	1	1	3	0	2	0	1	0	1	3	17	4	1	0	0	1	2	1	2	2	4	3	3	3	3	1	1	6	1	1	0	13	2	2	1	1	2	1	1	0	0	0	0	4	1					
		0.27%	0.0%	0.0%	0.12%	0.0%	0.23%	0.28%	0.20%	0.0%	0.20%	0.0%	0.0%	0.18%	0.09%	0.18%	0.53%	0.22%	0.26%	0.0%	0.0%	0.0%	0.0%	0.61%	0.42%	0.0%	0.24%	0.41%	0.20%	0.94%	0.12%	0.13%	0.40%	0.37%	0.0%	0.0%	0.54%	0.0%	0.76%	0.12%	0.12%	0.22%	0.24%	0.52%	0.28%	0.0%	0.17%	0.21%	0.47%	0.17%	0.45%	0.0%	0.39%	0.0%	0.48%	0.0%	0.19%	0.42%	1.67%	0.49%	0.15%	0.0%	0.0%	0.09%	0.18%	0.30%	0.41%	0.34%	0.50%	0.90%	0.69%	0.40%	0.45%	0.16%	0.23%	0.84%	0.19%	0.45%	0.0%	1.95%	0.25%	0.53%	0.27%	0.35%	0.36%	0.16%	0.45%	0.0%	0.0%	0.0%	0.0%	0.53%	1.02%					
35	"18. ""ЛДПР"""	5664	64	34	98	79	93	92	99	116	72	97	79	41	107	86	35	31	51	32	123	22	12	31	34	82	56	72	147	37	73	76	83	85	65	74	62	44	15	93	81	76	46	55	35	12	64	44	24	96	70	66	63	28	20	62	54	69	74	89	48	41	58	64	87	35	57	46	101	30	104	99	74	69	32	126	67	27	83	59	74	30	33	39	63	85	29	19	57	31	85	85	7					
		10.42%	10.49%	8.31%	12.06%	8.72%	10.99%	8.76%	10.38%	12.69%	7.33%	10.35%	9.44%	7.46%	9.72%	7.81%	9.38%	7.06%	6.82%	7.58%	9.46%	12.35%	7.05%	19.01%	14.34%	21.29%	13.75%	15.0%	14.95%	11.67%	8.89%	10.03%	11.14%	10.63%	9.39%	11.38%	11.17%	7.67%	11.53%	11.93%	9.89%	8.39%	11.44%	9.70%	9.80%	6.77%	11.03%	9.30%	11.42%	16.78%	10.63%	10.45%	12.54%	8.18%	9.66%	8.81%	10.34%	9.85%	7.29%	11.04%	7.57%	6.02%	9.43%	6.38%	7.83%	10.67%	11.85%	7.98%	12.65%	9.09%	24.18%	13.30%	11.19%	11.20%	7.37%	17.67%	13.26%	12.16%	11.69%	8.88%	9.42%	8.04%	9.16%	13.73%	11.35%	14.38%	13.18%	6.33%	13.53%	10.43%	10.58%	11.37%	7.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2449	54	19	58	48	43	65	55	31	42	39	38	31	52	44	6	14	31	12	42	5	44	4	11	5	26	28	31	12	49	20	39	25	29	28	11	14	2	22	23	74	10	13	13	8	11	16	9	32	31	19	20	21	7	25	13	21	47	20	25	23	19	35	59	12	14	14	23	13	9	36	24	19	21	24	13	5	13	22	151	18	19	17	43	28	19	15	29	67	33	23	2					
		4.50%	8.85%	4.64%	7.14%	5.30%	5.08%	6.19%	5.77%	3.39%	4.27%	4.16%	4.54%	5.64%	4.72%	4.0%	1.60%	3.18%	4.14%	2.84%	3.23%	2.80%	25.88%	2.45%	4.64%	1.29%	6.38%	5.83%	3.15%	3.78%	5.96%	2.64%	5.23%	3.12%	4.19%	4.30%	1.98%	2.44%	1.53%	2.82%	2.80%	8.17%	2.48%	2.29%	3.64%	4.51%	1.89%	3.38%	4.28%	5.59%	4.71%	3.01%	3.98%	6.14%	3.38%	3.55%	2.49%	3.0%	4.63%	2.48%	3.94%	3.38%	3.08%	3.49%	5.31%	3.65%	2.91%	2.43%	2.88%	3.93%	2.09%	4.83%	3.63%	3.08%	4.83%	3.36%	2.57%	2.25%	1.83%	3.31%	19.23%	4.82%	5.27%	5.98%	7.74%	4.73%	8.63%	5.0%	6.88%	22.55%	4.10%	3.07%	2.04%					
37	"20. ""Политическая партия ""Единая Россия"""	19472	192	125	239	314	300	371	303	294	272	298	309	191	376	364	130	165	256	160	378	68	73	57	79	109	139	206	377	130	300	302	243	304	223	231	209	226	48	335	401	337	141	189	131	72	245	170	84	237	293	279	171	124	91	213	168	230	298	295	218	217	223	356	386	91	177	254	308	129	123	247	275	261	166	215	163	94	310	370	258	168	126	118	172	179	96	104	141	96	309	224	33					
		35.83%	31.47%	30.56%	29.43%	34.69%	35.46%	35.33%	31.79%	32.16%	27.69%	31.80%	36.96%	34.79%	34.18%	33.09%	34.85%	37.58%	34.27%	37.91%	29.07%	38.20%	42.94%	34.96%	33.33%	28.31%	34.15%	42.91%	38.35%	41.00%	36.54%	39.89%	32.61%	38.04%	32.22%	35.53%	37.65%	39.44%	36.92%	43.00%	48.96%	37.23%	35.07%	33.33%	36.69%	40.67%	42.24%	35.94%	40.0%	41.43%	44.52%	44.21%	34.06%	36.25%	43.96%	30.29%	32.18%	32.85%	29.35%	36.60%	34.38%	31.91%	36.26%	35.52%	34.77%	27.74%	36.79%	44.09%	38.59%	39.09%	28.60%	33.19%	41.60%	42.37%	38.24%	30.15%	32.27%	42.34%	43.66%	55.72%	32.86%	45.04%	35.0%	41.54%	30.99%	30.28%	43.63%	34.66%	33.49%	32.32%	38.48%	29.98%	33.67%					
38	"21. ""Российская Конституционно-демократическая партия"""	102	0	0	0	1	2	2	0	0	2	0	2	1	1	0	2	2	0	0	3	0	1	1	1	1	1	0	0	0	0	2	3	0	1	0	2	2	0	3	3	4	2	0	0	1	1	0	0	2	2	0	0	0	0	2	2	4	1	1	0	2	3	2	3	4	1	2	1	0	2	1	0	1	1	0	0	2	1	2	1	3	0	0	4	2	0	1	0	0	1	1	0					
		0.18%	0.0%	0.0%	0.0%	0.11%	0.23%	0.19%	0.0%	0.0%	0.20%	0.0%	0.23%	0.18%	0.09%	0.0%	0.53%	0.45%	0.0%	0.0%	0.23%	0.0%	0.58%	0.61%	0.42%	0.25%	0.24%	0.0%	0.0%	0.0%	0.0%	0.26%	0.40%	0.0%	0.14%	0.0%	0.36%	0.34%	0.0%	0.38%	0.36%	0.44%	0.49%	0.0%	0.0%	0.56%	0.17%	0.0%	0.0%	0.34%	0.30%	0.0%	0.0%	0.0%	0.0%	0.28%	0.38%	0.57%	0.09%	0.12%	0.0%	0.29%	0.48%	0.19%	0.27%	1.21%	0.20%	0.34%	0.12%	0.0%	0.46%	0.13%	0.0%	0.16%	0.23%	0.0%	0.0%	0.90%	0.14%	0.30%	0.12%	0.80%	0.0%	0.0%	0.72%	0.33%	0.0%	0.33%	0.0%	0.0%	0.12%	0.13%	0.0%					
39	"22. ""Развитие предпринимательства"""	413	4	4	5	3	6	7	8	12	9	6	7	9	9	9	4	1	4	3	11	1	0	0	0	1	2	0	5	4	13	14	20	8	7	2	3	5	1	15	5	2	2	2	1	1	9	6	2	3	5	3	1	5	0	12	3	8	8	4	2	2	8	15	10	4	3	3	5	0	1	7	7	4	0	0	0	2	0	4	8	1	1	3	4	3	1	2	5	0	1	3	0					
		0.76%	0.65%	0.97%	0.61%	0.33%	0.70%	0.66%	0.83%	1.31%	0.91%	0.64%	0.83%	1.63%	0.81%	0.81%	1.07%	0.22%	0.53%	0.71%	0.84%	0.56%	0.0%	0.0%	0.0%	0.25%	0.49%	0.0%	0.50%	1.26%	1.58%	1.84%	2.68%	1.00%	1.01%	0.30%	0.54%	0.87%	0.76%	1.92%	0.61%	0.22%	0.49%	0.35%	0.28%	0.56%	1.55%	1.26%	0.95%	0.52%	0.75%	0.47%	0.19%	1.46%	0.0%	1.70%	0.57%	1.14%	0.78%	0.49%	0.31%	0.29%	1.30%	1.49%	0.90%	1.21%	0.62%	0.52%	0.62%	0.0%	0.23%	0.94%	1.05%	0.64%	0.0%	0.0%	0.0%	0.90%	0.0%	0.60%	1.01%	0.26%	0.27%	1.05%	0.72%	0.50%	0.45%	0.66%	1.18%	0.0%	0.12%	0.40%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4914	52	45	82	97	90	113	107	84	108	68	53	57	109	104	51	48	100	43	112	8	10	12	14	28	54	37	78	20	56	67	51	66	65	60	57	75	9	59	56	93	19	44	24	24	48	59	18	45	43	44	18	22	24	70	65	82	93	70	64	84	40	91	139	37	35	37	78	32	54	93	47	36	46	63	50	13	52	36	67	24	19	10	51	48	11	36	37	21	89	56	8					
		9.04%	8.52%	11.00%	10.09%	10.71%	10.63%	10.76%	11.22%	9.19%	10.99%	7.25%	6.33%	10.38%	9.90%	9.45%	13.67%	10.93%	13.38%	10.18%	8.61%	4.49%	5.88%	7.36%	5.90%	7.27%	13.26%	7.70%	7.93%	6.30%	6.82%	8.85%	6.84%	8.26%	9.39%	9.23%	10.27%	13.08%	6.92%	7.57%	6.83%	10.27%	4.72%	7.76%	6.72%	13.55%	8.27%	12.47%	8.57%	7.86%	6.53%	6.97%	3.58%	6.43%	11.59%	9.95%	12.45%	11.71%	9.16%	8.68%	10.09%	12.35%	6.50%	9.08%	12.52%	11.28%	7.27%	6.42%	9.77%	9.69%	12.55%	12.5%	7.11%	5.84%	10.59%	8.83%	9.90%	5.85%	7.32%	5.42%	8.53%	6.43%	5.27%	3.52%	9.18%	8.12%	5.0%	12.0%	8.78%	7.07%	11.08%	7.49%	8.16%					
																																																																																																		
41	Против всех	2088	17	7	22	30	33	36	32	24	39	33	24	21	34	35	9	9	27	13	50	5	3	13	5	34	8	12	44	10	42	18	33	45	39	26	25	16	7	17	28	15	8	28	16	3	29	15	5	12	33	25	32	15	12	18	27	34	42	33	32	22	19	31	29	10	41	16	28	12	9	35	23	11	13	64	25	14	53	24	15	19	9	16	25	36	13	13	10	5	31	56	2					
		3.84%	2.78%	1.71%	2.70%	3.31%	3.90%	3.42%	3.35%	2.62%	3.97%	3.52%	2.87%	3.82%	3.09%	3.18%	2.41%	2.05%	3.61%	3.08%	3.84%	2.80%	1.76%	7.97%	2.10%	8.83%	1.96%	2.5%	4.47%	3.15%	5.11%	2.37%	4.42%	5.63%	5.63%	4.0%	4.50%	2.79%	5.38%	2.18%	3.41%	1.65%	1.99%	4.93%	4.48%	1.69%	5.0%	3.17%	2.38%	2.09%	5.01%	3.96%	6.37%	4.38%	5.79%	2.56%	5.17%	4.85%	4.13%	4.09%	5.04%	3.23%	3.08%	3.09%	2.61%	3.04%	8.52%	2.77%	3.50%	3.63%	2.09%	4.70%	3.47%	1.78%	2.99%	8.97%	4.95%	6.30%	7.46%	3.61%	1.91%	5.09%	2.5%	5.63%	4.50%	6.09%	5.90%	4.33%	2.37%	1.68%	3.86%	7.49%	2.04%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
