Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																				
Дата голосования: 18.09.2016																																																																																																																				
																																																																																																																				
Наименование Избирательной комиссии:    Шахтинская городская																																																																																																																				
																																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																				
																																																																																																																				
		Сумма	УИК №2477	УИК №2478	УИК №2479	УИК №2480	УИК №2481	УИК №2482	УИК №2483	УИК №2484	УИК №2485	УИК №2486	УИК №2487	УИК №2488	УИК №2489	УИК №2490	УИК №2491	УИК №2492	УИК №2493	УИК №2494	УИК №2495	УИК №2496	УИК №2497	УИК №2498	УИК №2499	УИК №2500	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2582									
		0.09%	0.12%	0.24%	0.00%	0.00%	0.49%	0.00%	0.11%	0.16%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.71%	0.34%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.32%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.16%	0.00%	0.00%	0.27%	0.11%	0.19%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.53%	0.18%	0.00%	0.17%	0.00%	0.63%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.10%	0.13%	0.28%	0.00%	0.00%	0.00%	0.00%	0.20%	0.24%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.15%	0.15%	0.00%	0.00%	0.00%	0.00%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	572	3	4	3	3	2	0	6	8	12	9	24	18	5	17	16	19	13	8	7	10	1	9	4	4	6	0	0	4	7	5	3	4	6	3	6	0	6	6	3	1	1	3	2	3	5	7	12	6	10	10	2	25	2	14	0	8	11	1	2	2	4	1	3	3	7	3	8	1	3	3	3	4	6	5	3	0	3	2	0	3	2	6	2	6	8	8	2	5	1	2	2	0	2	3	7	14	6	8	6	17	6	0	0	3	0									
		0.89%	0.35%	0.49%	0.48%	0.79%	0.49%	0.00%	0.65%	1.32%	2.00%	1.67%	3.15%	2.60%	1.30%	3.64%	3.16%	3.36%	2.21%	1.07%	1.59%	2.46%	0.17%	1.89%	1.09%	0.68%	0.99%	0.00%	0.00%	0.64%	0.52%	0.90%	0.85%	1.08%	1.79%	0.23%	0.70%	0.00%	0.69%	0.77%	0.33%	0.16%	0.31%	0.52%	0.27%	0.32%	0.47%	1.21%	0.93%	0.85%	2.98%	3.24%	0.48%	3.32%	0.36%	2.72%	0.00%	1.88%	1.73%	0.15%	0.30%	0.38%	0.38%	0.13%	0.48%	0.56%	1.21%	0.28%	0.58%	0.35%	0.52%	0.53%	0.54%	0.65%	1.22%	0.99%	0.68%	0.00%	0.71%	0.65%	0.00%	0.76%	0.66%	0.77%	0.56%	0.61%	1.04%	1.14%	0.19%	0.47%	0.24%	0.36%	0.39%	0.00%	0.37%	0.77%	1.05%	1.85%	0.64%	1.27%	0.93%	2.50%	1.19%	0.00%	0.00%	0.67%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8577	58	101	119	68	75	41	86	99	107	100	150	121	65	99	86	96	126	101	91	68	33	68	70	77	95	61	47	86	115	68	41	48	56	85	85	100	89	68	84	70	43	56	81	91	46	83	236	77	57	63	81	160	52	93	28	56	93	119	83	44	92	81	108	83	96	201	89	41	77	73	64	73	73	94	92	44	35	43	34	81	58	99	71	148	137	124	97	110	66	51	66	46	87	50	141	119	100	106	127	111	84	7	19	32	2									
		13.30%	6.72%	12.30%	18.92%	17.94%	18.43%	5.43%	9.26%	16.28%	17.86%	18.59%	19.71%	17.49%	16.93%	21.20%	16.99%	16.99%	21.39%	13.54%	20.73%	16.71%	5.50%	14.29%	19.02%	13.07%	15.65%	9.85%	10.06%	13.76%	8.46%	12.19%	11.68%	12.94%	16.72%	6.48%	9.85%	16.37%	10.23%	8.74%	9.26%	10.89%	13.52%	9.71%	10.77%	9.77%	4.37%	14.31%	18.24%	10.89%	16.96%	20.39%	19.61%	21.22%	9.27%	18.09%	4.89%	13.15%	14.60%	18.14%	12.54%	8.45%	8.76%	10.21%	17.45%	15.57%	16.58%	18.86%	6.47%	14.49%	13.44%	13.01%	11.47%	11.85%	14.81%	18.54%	20.72%	8.73%	8.27%	14.01%	15.38%	20.40%	19.02%	12.71%	20.06%	15.09%	17.82%	17.61%	9.40%	10.40%	15.79%	9.29%	12.97%	11.06%	15.96%	12.79%	21.17%	15.70%	10.73%	16.85%	19.66%	16.30%	16.70%	9.72%	15.97%	7.11%	0.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	230	2	5	2	1	2	1	2	5	0	2	0	1	2	4	4	2	3	5	4	3	0	3	2	3	6	1	0	3	3	3	2	3	3	2	3	0	4	0	3	2	1	0	2	4	2	1	10	10	2	0	2	5	0	1	2	0	1	4	3	1	2	2	2	2	5	3	3	1	2	4	1	4	0	1	0	0	0	1	3	2	1	1	2	5	3	3	1	3	3	0	1	0	0	6	2	1	0	4	4	2	1	0	1	1	0									
		0.36%	0.23%	0.61%	0.32%	0.26%	0.49%	0.13%	0.22%	0.82%	0.00%	0.37%	0.00%	0.14%	0.52%	0.86%	0.79%	0.35%	0.51%	0.67%	0.91%	0.74%	0.00%	0.63%	0.54%	0.51%	0.99%	0.16%	0.00%	0.48%	0.22%	0.54%	0.57%	0.81%	0.90%	0.15%	0.35%	0.00%	0.46%	0.00%	0.33%	0.31%	0.31%	0.00%	0.27%	0.43%	0.19%	0.17%	0.77%	1.41%	0.60%	0.00%	0.48%	0.66%	0.00%	0.19%	0.35%	0.00%	0.16%	0.61%	0.45%	0.19%	0.19%	0.25%	0.32%	0.38%	0.86%	0.28%	0.22%	0.35%	0.35%	0.71%	0.18%	0.65%	0.00%	0.20%	0.00%	0.00%	0.00%	0.33%	1.36%	0.50%	0.33%	0.13%	0.56%	0.51%	0.39%	0.43%	0.10%	0.28%	0.72%	0.00%	0.20%	0.00%	0.00%	1.53%	0.30%	0.13%	0.00%	0.64%	0.62%	0.29%	0.20%	0.00%	0.84%	0.22%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2948	12	21	39	22	18	18	24	33	50	37	62	28	15	28	31	29	18	33	27	22	11	30	19	18	35	25	24	26	39	31	10	10	12	36	37	45	38	20	36	17	1	12	34	37	11	24	44	44	14	11	22	51	18	20	13	31	24	25	22	18	34	19	34	26	44	80	42	23	17	51	13	21	14	25	33	18	21	11	11	27	10	45	36	70	52	36	9	26	21	13	18	31	34	27	60	49	36	53	45	69	55	4	6	9	8									
		4.57%	1.39%	2.56%	6.20%	5.80%	4.42%	2.38%	2.58%	5.43%	8.35%	6.88%	8.15%	4.05%	3.91%	5.99%	6.13%	5.13%	3.06%	4.42%	6.15%	5.41%	1.83%	6.30%	5.16%	3.06%	5.77%	4.04%	5.14%	4.16%	2.87%	5.56%	2.85%	2.70%	3.58%	2.74%	4.29%	7.36%	4.37%	2.57%	3.97%	2.64%	0.31%	2.08%	4.52%	3.97%	1.04%	4.14%	3.40%	6.22%	4.17%	3.56%	5.33%	6.76%	3.21%	3.89%	2.27%	7.28%	3.77%	3.81%	3.32%	3.45%	3.24%	2.40%	5.49%	4.88%	7.60%	7.50%	3.05%	8.13%	2.97%	9.09%	2.33%	3.41%	2.84%	4.93%	7.43%	3.57%	4.96%	3.58%	4.98%	6.80%	3.28%	5.78%	10.17%	7.14%	6.76%	5.11%	0.87%	2.46%	5.02%	2.37%	3.54%	7.45%	6.24%	6.91%	9.01%	6.46%	3.86%	8.43%	6.97%	10.13%	10.93%	5.56%	5.04%	2.00%	2.33%									
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
																																																																																																																				
