Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																													
Дата голосования: 07.12.2003 0:00:00																																																																																													
																																																																																													
Наименование Избирательной комиссии:    Сургутская городская																																																																																													
																																																																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																													
																																																																																													
		Сумма	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
		0.27%	0.41%	0.13%	0.21%	0.08%	0.16%	0.11%	0.33%	0.40%	0.0%	0.0%	0.48%	0.0%	0.27%	0.22%	0.35%	0.23%	0.26%	0.25%	0.54%	0.32%	0.23%	0.16%	0.80%	0.35%	0.10%	0.42%	0.38%	1.02%	0.34%	0.21%	0.16%	0.29%	0.17%	0.31%	0.49%	0.41%	0.32%	0.21%	0.0%	0.77%	0.26%	0.40%	0.52%	0.44%	0.50%	0.38%	0.76%	0.46%	0.19%	0.07%	0.34%	0.28%	0.18%	0.43%	0.08%	0.33%	0.21%	0.08%	0.19%	0.0%	0.27%	0.17%	0.26%	0.15%	0.37%	0.06%	0.17%	0.06%	0.19%	0.11%	0.23%	0.23%	0.38%	0.43%	0.56%	0.17%	0.23%	0.23%	0.21%	0.24%	0.07%	0.0%	0.16%	0.10%	0.18%	0.25%					
32	"15. ""Партия СЛОН"""	300	0	0	5	5	1	2	2	2	1	0	1	1	5	2	3	5	3	5	2	1	5	1	1	3	3	2	4	5	2	9	4	4	1	4	1	0	3	3	0	3	3	6	2	1	10	8	6	4	2	5	3	10	3	4	6	6	6	7	3	3	1	4	2	7	4	5	5	3	4	1	7	5	10	5	3	2	1	5	5	5	2	3	4	1	4	0					
		0.31%	0.0%	0.0%	1.06%	0.44%	0.08%	0.23%	0.16%	0.16%	0.25%	0.0%	0.16%	0.34%	0.34%	0.15%	0.21%	0.38%	0.26%	0.42%	0.21%	0.08%	0.39%	0.08%	0.20%	0.26%	0.32%	0.14%	0.38%	0.72%	0.13%	0.65%	0.32%	0.38%	0.08%	0.31%	0.12%	0.0%	0.24%	0.21%	0.0%	0.21%	0.19%	0.40%	0.15%	0.07%	0.83%	0.76%	0.51%	0.31%	0.19%	0.39%	0.34%	0.94%	0.54%	0.35%	0.48%	0.50%	0.43%	0.60%	0.29%	0.30%	0.06%	0.34%	0.17%	0.54%	0.29%	0.34%	0.44%	0.20%	0.25%	0.11%	0.53%	0.39%	0.77%	0.36%	0.24%	0.17%	0.07%	0.39%	0.35%	0.40%	0.14%	0.28%	0.32%	0.10%	0.75%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3929	8	27	9	41	33	24	38	39	19	9	21	10	51	37	42	37	51	64	30	47	48	41	14	59	28	66	38	23	59	55	60	32	50	50	35	59	33	81	56	58	83	73	50	62	34	35	49	49	34	56	43	50	16	37	72	61	58	45	45	50	71	57	38	63	62	80	48	78	81	22	66	47	61	40	53	55	58	44	62	57	48	39	44	28	25	18					
		4.09%	3.34%	3.51%	1.91%	3.64%	2.75%	2.87%	3.22%	3.15%	4.79%	1.93%	3.40%	3.40%	3.47%	2.80%	2.94%	2.85%	4.50%	5.47%	3.26%	3.80%	3.78%	3.45%	2.81%	5.22%	2.99%	4.63%	3.69%	3.35%	4.11%	4.02%	4.86%	3.11%	4.43%	3.97%	4.33%	4.92%	2.70%	5.78%	6.08%	4.06%	5.46%	4.90%	3.75%	4.58%	2.85%	3.36%	4.17%	3.80%	3.29%	4.38%	4.88%	4.71%	2.89%	3.25%	5.76%	5.09%	4.24%	3.88%	4.39%	5.05%	4.85%	4.91%	3.32%	4.89%	4.59%	5.48%	4.23%	5.20%	5.26%	2.46%	5.08%	3.68%	4.74%	2.89%	4.28%	4.81%	4.56%	3.47%	4.41%	4.56%	3.57%	3.72%	3.61%	2.87%	4.73%	4.62%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	131	0	1	1	3	2	1	3	2	0	1	1	0	2	0	2	2	0	2	0	2	3	1	0	0	3	1	2	0	0	0	3	1	3	3	2	1	4	2	1	1	0	4	2	1	0	0	0	4	2	3	2	3	0	1	4	2	0	2	1	1	1	2	1	2	1	4	2	3	2	0	2	2	3	1	0	1	2	1	4	1	3	3	1	0	1	0					
		0.13%	0.0%	0.13%	0.21%	0.26%	0.16%	0.11%	0.25%	0.16%	0.0%	0.21%	0.16%	0.0%	0.13%	0.0%	0.14%	0.15%	0.0%	0.17%	0.0%	0.16%	0.23%	0.08%	0.0%	0.0%	0.32%	0.07%	0.19%	0.0%	0.0%	0.0%	0.24%	0.09%	0.26%	0.23%	0.24%	0.08%	0.32%	0.14%	0.10%	0.07%	0.0%	0.26%	0.15%	0.07%	0.0%	0.0%	0.0%	0.31%	0.19%	0.23%	0.22%	0.28%	0.0%	0.08%	0.32%	0.16%	0.0%	0.17%	0.09%	0.10%	0.06%	0.17%	0.08%	0.15%	0.07%	0.27%	0.17%	0.20%	0.12%	0.0%	0.15%	0.15%	0.23%	0.07%	0.0%	0.08%	0.15%	0.07%	0.28%	0.08%	0.22%	0.28%	0.08%	0.0%	0.18%	0.0%					
35	"18. ""ЛДПР"""	19980	50	195	131	294	251	180	277	282	86	152	195	93	273	285	272	226	194	242	204	238	280	247	73	185	228	231	172	116	281	259	240	219	211	256	176	223	273	233	152	262	295	290	266	296	266	255	252	278	238	258	211	254	131	267	232	211	304	235	158	201	273	183	238	244	293	250	224	260	277	224	275	266	234	287	295	254	320	311	326	273	257	228	252	312	171	118					
		20.83%	20.92%	25.39%	27.87%	26.11%	20.91%	21.53%	23.49%	22.83%	21.71%	32.75%	31.60%	31.63%	18.58%	21.64%	19.10%	17.46%	17.12%	20.71%	22.19%	19.28%	22.08%	20.79%	14.68%	16.38%	24.38%	16.23%	16.71%	16.90%	19.60%	18.93%	19.46%	21.32%	18.72%	20.34%	21.78%	18.61%	22.39%	16.65%	16.52%	18.37%	19.40%	19.50%	19.95%	21.89%	22.31%	24.49%	21.46%	21.58%	23.08%	20.20%	23.97%	23.96%	23.68%	23.46%	18.56%	17.62%	22.23%	20.27%	15.41%	20.32%	18.67%	15.78%	20.82%	18.94%	21.73%	17.13%	19.77%	17.35%	17.99%	25.11%	21.18%	20.86%	18.19%	20.79%	23.82%	22.24%	25.19%	24.52%	23.21%	21.85%	19.12%	21.75%	20.70%	32.03%	32.38%	30.33%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1039	5	9	10	18	17	10	12	12	2	8	9	5	13	13	22	12	9	11	14	21	11	17	7	13	9	15	18	9	9	11	11	9	9	14	6	12	8	12	5	25	16	12	11	12	14	15	10	19	16	14	10	13	2	16	7	9	14	9	11	11	15	10	10	23	16	12	16	12	13	12	11	18	8	20	19	10	10	19	9	9	16	8	17	10	6	7					
		1.08%	2.09%	1.17%	2.12%	1.59%	1.41%	1.19%	1.01%	0.97%	0.50%	1.72%	1.45%	1.70%	0.88%	0.98%	1.54%	0.92%	0.79%	0.94%	1.52%	1.70%	0.86%	1.43%	1.40%	1.15%	0.96%	1.05%	1.74%	1.31%	0.62%	0.80%	0.89%	0.87%	0.79%	1.11%	0.74%	1.00%	0.65%	0.85%	0.54%	1.75%	1.05%	0.80%	0.82%	0.88%	1.17%	1.44%	0.85%	1.47%	1.55%	1.09%	1.13%	1.22%	0.36%	1.40%	0.56%	0.75%	1.02%	0.77%	1.07%	1.11%	1.02%	0.86%	0.87%	1.78%	1.18%	0.82%	1.41%	0.80%	0.84%	1.34%	0.84%	1.41%	0.62%	1.44%	1.53%	0.87%	0.78%	1.49%	0.64%	0.72%	1.19%	0.76%	1.39%	1.02%	1.13%	1.79%					
37	"20. ""Политическая партия ""Единая Россия"""	38854	87	284	162	427	519	356	495	531	142	161	207	116	620	556	575	561	467	449	342	482	532	490	207	449	354	588	427	278	600	548	515	441	445	529	321	529	462	604	373	609	605	606	569	508	507	426	450	503	433	528	342	432	215	420	542	491	549	490	449	401	619	491	479	516	525	593	462	614	609	334	551	531	545	575	412	440	504	503	557	528	585	439	499	337	181	119					
		40.51%	36.40%	36.97%	34.46%	37.92%	43.25%	42.58%	41.98%	42.99%	35.85%	34.69%	33.54%	39.45%	42.20%	42.21%	40.37%	43.35%	41.21%	38.44%	37.21%	39.05%	41.95%	41.24%	41.64%	39.76%	37.86%	41.32%	41.49%	40.52%	41.87%	40.05%	41.76%	42.94%	39.48%	42.05%	39.72%	44.15%	37.89%	43.17%	40.54%	42.70%	39.80%	40.75%	42.68%	37.57%	42.53%	40.92%	38.33%	39.05%	41.99%	41.34%	38.86%	40.75%	38.87%	36.90%	43.36%	41.01%	40.16%	42.27%	43.80%	40.54%	42.33%	42.36%	41.90%	40.06%	38.94%	40.64%	40.77%	40.98%	39.57%	37.44%	42.44%	41.64%	42.37%	41.66%	33.27%	38.52%	39.68%	39.66%	39.67%	42.27%	43.52%	41.88%	41.00%	34.59%	34.28%	30.59%					
38	"21. ""Российская Конституционно-демократическая партия"""	129	0	0	3	0	2	0	2	3	0	1	0	0	3	1	1	3	2	2	1	2	2	1	2	3	1	1	0	2	3	2	2	1	0	0	1	4	2	0	2	1	1	1	1	3	2	0	0	2	4	2	2	0	0	1	1	0	4	3	2	0	1	1	3	3	2	2	3	4	1	2	1	3	1	0	0	0	2	2	2	1	2	2	3	2	0	1					
		0.13%	0.0%	0.0%	0.63%	0.0%	0.16%	0.0%	0.16%	0.24%	0.0%	0.21%	0.0%	0.0%	0.20%	0.07%	0.07%	0.23%	0.17%	0.17%	0.10%	0.16%	0.15%	0.08%	0.40%	0.26%	0.10%	0.07%	0.0%	0.29%	0.20%	0.14%	0.16%	0.09%	0.0%	0.0%	0.12%	0.33%	0.16%	0.0%	0.21%	0.07%	0.06%	0.06%	0.07%	0.22%	0.16%	0.0%	0.0%	0.15%	0.38%	0.15%	0.22%	0.0%	0.0%	0.08%	0.08%	0.0%	0.29%	0.25%	0.19%	0.0%	0.06%	0.08%	0.26%	0.23%	0.14%	0.13%	0.26%	0.26%	0.06%	0.22%	0.07%	0.23%	0.07%	0.0%	0.0%	0.0%	0.15%	0.15%	0.14%	0.08%	0.14%	0.19%	0.24%	0.20%	0.0%	0.25%					
39	"22. ""Развитие предпринимательства"""	395	1	2	1	11	10	3	0	9	2	1	1	0	15	4	6	2	5	3	6	0	4	7	1	7	6	6	2	4	1	2	4	4	6	8	3	4	4	3	3	4	8	6	8	7	5	4	2	7	9	6	1	3	7	5	9	5	4	4	7	2	7	3	4	5	4	6	5	6	10	1	1	5	9	4	6	10	2	1	5	3	10	4	2	3	2	3					
		0.41%	0.41%	0.26%	0.21%	0.97%	0.83%	0.35%	0.0%	0.72%	0.50%	0.21%	0.16%	0.0%	1.02%	0.30%	0.42%	0.15%	0.44%	0.25%	0.65%	0.0%	0.31%	0.58%	0.20%	0.62%	0.64%	0.42%	0.19%	0.58%	0.06%	0.14%	0.32%	0.38%	0.53%	0.63%	0.37%	0.33%	0.32%	0.21%	0.32%	0.28%	0.52%	0.40%	0.60%	0.51%	0.41%	0.38%	0.17%	0.54%	0.87%	0.46%	0.11%	0.28%	1.26%	0.43%	0.72%	0.41%	0.29%	0.34%	0.68%	0.20%	0.47%	0.25%	0.34%	0.38%	0.29%	0.41%	0.44%	0.40%	0.64%	0.11%	0.07%	0.39%	0.69%	0.28%	0.48%	0.87%	0.15%	0.07%	0.35%	0.24%	0.74%	0.38%	0.16%	0.30%	0.37%	0.77%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6647	17	67	32	71	76	70	69	93	31	27	44	23	117	87	97	113	76	98	63	102	77	71	44	92	63	118	70	57	89	111	90	69	96	89	35	83	105	95	65	104	103	98	85	88	72	69	89	99	47	90	74	65	41	98	71	82	80	68	77	65	73	75	60	84	87	109	85	106	99	80	88	99	85	93	71	67	85	83	92	89	85	72	83	75	42	23					
		6.93%	7.11%	8.72%	6.80%	6.30%	6.33%	8.37%	5.85%	7.53%	7.82%	5.81%	7.13%	7.82%	7.96%	6.60%	6.81%	8.73%	6.70%	8.39%	6.85%	8.26%	6.07%	5.97%	8.85%	8.14%	6.73%	8.29%	6.80%	8.30%	6.21%	8.11%	7.29%	6.71%	8.51%	7.07%	4.33%	6.92%	8.61%	6.79%	7.06%	7.29%	6.77%	6.59%	6.37%	6.50%	6.04%	6.62%	7.58%	7.68%	4.55%	7.04%	8.40%	6.13%	7.41%	8.61%	5.68%	6.85%	5.85%	5.86%	7.51%	6.57%	4.99%	6.47%	5.24%	6.52%	6.45%	7.47%	7.50%	7.07%	6.43%	8.96%	6.77%	7.76%	6.60%	6.73%	5.73%	5.86%	6.69%	6.54%	6.55%	7.12%	6.32%	6.87%	6.82%	7.70%	7.95%	5.91%					
																																																																																													
41	Против всех	6226	11	37	32	51	62	53	72	56	37	18	38	11	87	78	102	95	79	74	65	78	76	87	40	74	60	80	68	46	78	86	64	64	77	58	49	77	73	101	61	105	103	104	78	104	90	64	82	92	75	81	58	60	43	92	70	71	72	78	80	63	100	73	82	72	88	102	67	105	134	46	93	106	84	79	97	77	70	96	102	74	92	70	81	48	33	35					
		6.49%	4.60%	4.81%	6.80%	4.52%	5.16%	6.33%	6.10%	4.53%	9.34%	3.87%	6.15%	3.74%	5.92%	5.92%	7.16%	7.34%	6.97%	6.33%	7.07%	6.32%	5.99%	7.32%	8.04%	6.55%	6.41%	5.62%	6.60%	6.70%	5.44%	6.28%	5.19%	6.23%	6.83%	4.61%	6.06%	6.42%	5.98%	7.21%	6.63%	7.36%	6.77%	6.99%	5.85%	7.69%	7.55%	6.14%	6.98%	7.14%	7.27%	6.34%	6.59%	5.66%	7.77%	8.08%	5.6%	5.93%	5.26%	6.72%	7.80%	6.37%	6.83%	6.29%	7.17%	5.59%	6.52%	6.99%	5.91%	7.00%	8.70%	5.15%	7.16%	8.31%	6.53%	5.72%	7.83%	6.74%	5.51%	7.57%	7.26%	5.92%	6.84%	6.67%	6.65%	4.92%	6.25%	8.99%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
