Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Вольская																																																																																												
																																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																												
																																																																																												
		Сумма	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205					
		0.08%	0.24%	0.0%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.10%	0.0%	0.0%	0.12%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.14%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%	0.22%	0.0%	0.24%	0.0%	0.0%	0.0%	0.23%	0.05%	0.71%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2027	0	13	5	65	26	4	4	4	16	28	24	31	16	20	0	67	18	19	54	68	79	30	104	32	68	1	27	46	53	33	54	55	27	17	18	0	10	23	33	82	14	3	27	6	0	9	146	36	2	20	0	1	2	6	5	7	2	0	0	2	1	9	0	2	5	2	14	13	2	0	3	6	118	164	4	4	24	2	20	5	3	3	39	22	0					
		3.98%	0.0%	2.71%	1.08%	4.78%	3.73%	2.16%	2.20%	2.36%	3.99%	3.76%	4.50%	5.60%	5.97%	3.26%	0.0%	7.59%	1.96%	5.53%	5.42%	7.24%	8.43%	3.83%	4.42%	2.39%	6.88%	0.26%	3.32%	4.63%	3.81%	4.74%	6.39%	7.32%	5.46%	4.18%	4.85%	0.0%	3.80%	4.33%	4.86%	5.28%	4.56%	1.53%	5.36%	4.37%	0.0%	2.47%	8.03%	2.89%	1.70%	2.91%	0.0%	0.68%	0.65%	0.91%	1.32%	1.54%	0.29%	0.0%	0.0%	0.54%	0.40%	1.70%	0.0%	1.10%	2.80%	0.45%	1.63%	3.17%	0.59%	0.0%	2.83%	1.43%	6.93%	9.72%	1.11%	1.03%	3.81%	0.43%	6.55%	2.53%	2.77%	1.53%	1.99%	4.11%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	102	1	0	0	4	3	1	1	0	0	1	1	1	2	0	1	2	2	1	1	2	0	1	12	2	0	1	3	2	5	2	1	0	1	2	0	0	5	2	4	1	2	1	1	1	0	5	4	4	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	1	3					
		0.20%	0.06%	0.0%	0.0%	0.29%	0.43%	0.54%	0.55%	0.0%	0.0%	0.13%	0.18%	0.18%	0.74%	0.0%	2.56%	0.22%	0.21%	0.29%	0.10%	0.21%	0.0%	0.12%	0.51%	0.14%	0.0%	0.26%	0.36%	0.20%	0.35%	0.28%	0.11%	0.0%	0.20%	0.49%	0.0%	0.0%	1.90%	0.37%	0.58%	0.06%	0.65%	0.51%	0.19%	0.72%	0.0%	1.37%	0.22%	0.32%	0.0%	0.14%	0.0%	2.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.56%	0.0%	0.11%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.05%	0.18%	1.55%					
35	"18. ""ЛДПР"""	3702	112	33	13	105	68	16	20	17	28	77	38	39	36	31	3	72	76	34	70	62	75	69	333	55	94	8	98	72	105	39	69	40	52	51	31	2	19	38	81	144	21	9	53	8	0	47	234	229	8	36	7	4	3	29	8	25	22	6	0	16	2	29	7	3	1	15	20	25	15	3	1	20	24	105	2	9	49	24	19	9	1	18	63	34	14					
		7.27%	6.88%	6.88%	2.83%	7.73%	9.77%	8.64%	11.04%	10.05%	6.98%	10.36%	7.12%	7.05%	13.43%	5.06%	7.69%	8.16%	8.27%	9.91%	7.02%	6.60%	8.00%	8.82%	14.18%	4.11%	9.51%	2.09%	12.06%	7.25%	7.55%	5.61%	8.16%	5.32%	10.52%	12.56%	8.35%	4.16%	7.22%	7.15%	11.94%	9.27%	6.84%	4.59%	10.53%	5.83%	0.0%	12.94%	12.87%	18.39%	6.83%	5.24%	1.37%	2.75%	0.97%	4.41%	2.12%	5.51%	3.26%	4.22%	0.0%	4.39%	0.81%	5.48%	5.64%	1.65%	0.56%	3.39%	2.33%	6.11%	4.47%	2.05%	0.94%	4.78%	1.41%	6.22%	0.55%	2.33%	7.79%	5.21%	6.22%	4.56%	0.92%	9.23%	3.22%	6.35%	7.25%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	421	15	2	1	7	5	1	0	0	0	9	5	2	0	2	0	6	0	4	12	11	5	12	8	6	10	1	11	7	15	8	10	10	11	4	8	0	3	5	19	13	3	0	14	3	0	2	16	11	0	7	4	3	0	5	2	0	5	0	0	0	1	6	0	0	0	4	5	2	0	0	0	5	23	20	2	0	6	4	1	3	0	1	9	6	0					
		0.82%	0.92%	0.41%	0.21%	0.51%	0.71%	0.54%	0.0%	0.0%	0.0%	1.21%	0.93%	0.36%	0.0%	0.32%	0.0%	0.68%	0.0%	1.16%	1.20%	1.17%	0.53%	1.53%	0.34%	0.44%	1.01%	0.26%	1.35%	0.70%	1.07%	1.15%	1.18%	1.33%	2.22%	0.98%	2.15%	0.0%	1.14%	0.94%	2.80%	0.83%	0.97%	0.0%	2.78%	2.18%	0.0%	0.55%	0.88%	0.88%	0.0%	1.02%	0.78%	2.06%	0.0%	0.76%	0.53%	0.0%	0.74%	0.0%	0.0%	0.0%	0.40%	1.13%	0.0%	0.0%	0.0%	0.90%	0.58%	0.48%	0.0%	0.0%	0.0%	1.19%	1.35%	1.18%	0.55%	0.0%	0.95%	0.86%	0.32%	1.52%	0.0%	0.51%	0.46%	1.12%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	32357	1176	354	373	791	409	134	99	98	274	448	292	276	136	344	31	418	651	167	536	515	494	411	1368	888	539	318	434	618	861	453	466	377	269	220	226	42	168	242	297	747	191	98	260	85	188	194	883	651	95	481	461	119	270	484	255	357	554	121	49	314	219	410	110	161	160	400	732	275	266	124	84	278	1125	966	327	335	437	330	202	158	84	141	1459	367	137					
		63.57%	72.32%	73.90%	81.26%	58.24%	58.76%	72.43%	54.69%	57.98%	68.32%	60.29%	54.78%	49.90%	50.74%	56.20%	79.48%	47.39%	70.91%	48.68%	53.81%	54.84%	52.72%	52.55%	58.26%	66.51%	54.55%	83.46%	53.44%	62.29%	61.94%	65.17%	55.14%	50.19%	54.45%	54.18%	60.91%	87.5%	63.87%	45.57%	43.80%	48.13%	62.21%	50.0%	51.68%	62.04%	100.0%	53.44%	48.56%	52.28%	81.19%	70.11%	90.39%	82.06%	87.94%	73.66%	67.63%	78.80%	82.19%	85.21%	90.74%	86.26%	89.75%	77.50%	88.70%	88.95%	89.88%	90.49%	85.61%	67.23%	79.40%	84.93%	79.24%	66.50%	66.09%	57.29%	91.34%	87.01%	69.47%	71.73%	66.22%	80.20%	77.77%	72.30%	74.70%	68.59%	70.98%					
38	"21. ""Российская Конституционно-демократическая партия"""	80	3	0	0	1	0	0	0	0	0	1	0	1	1	1	0	1	1	0	2	2	1	0	2	1	2	0	2	1	3	0	1	1	3	1	0	1	0	0	1	2	0	1	2	0	0	0	2	0	0	1	0	0	0	4	7	0	2	1	0	1	0	0	0	0	2	0	1	1	0	0	0	1	6	5	0	3	0	1	0	0	0	0	2	0	1					
		0.15%	0.18%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.18%	0.37%	0.16%	0.0%	0.11%	0.10%	0.0%	0.20%	0.21%	0.10%	0.0%	0.08%	0.07%	0.20%	0.0%	0.24%	0.10%	0.21%	0.0%	0.11%	0.13%	0.60%	0.24%	0.0%	2.08%	0.0%	0.0%	0.14%	0.12%	0.0%	0.51%	0.39%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.60%	1.85%	0.0%	0.29%	0.70%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	1.12%	0.0%	0.11%	0.24%	0.0%	0.0%	0.0%	0.23%	0.35%	0.29%	0.0%	0.77%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.51%					
39	"22. ""Развитие предпринимательства"""	84	1	1	0	2	3	1	0	1	0	3	1	0	0	1	0	1	3	1	0	0	1	3	14	0	2	0	0	2	0	1	0	1	0	3	0	0	0	0	0	0	0	1	2	1	0	1	6	2	0	2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	6	0	0	1	0	0	0	0	1	3	1	0					
		0.16%	0.06%	0.20%	0.0%	0.14%	0.43%	0.54%	0.0%	0.59%	0.0%	0.40%	0.18%	0.0%	0.0%	0.16%	0.0%	0.11%	0.32%	0.29%	0.0%	0.0%	0.10%	0.38%	0.59%	0.0%	0.20%	0.0%	0.0%	0.20%	0.0%	0.14%	0.0%	0.13%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.39%	0.72%	0.0%	0.27%	0.33%	0.16%	0.0%	0.29%	0.0%	0.0%	0.0%	0.30%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.41%	0.35%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.51%	0.15%	0.18%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5757	116	40	41	193	70	13	39	23	37	99	85	121	40	112	0	189	84	70	184	163	162	137	163	194	134	10	114	143	177	88	131	145	69	54	49	1	25	130	122	334	52	38	83	22	0	27	174	70	0	66	9	5	5	68	37	18	45	11	0	6	8	39	2	3	2	5	38	34	22	7	5	59	194	117	8	12	47	44	21	9	7	7	170	45	15					
		11.31%	7.13%	8.35%	8.93%	14.21%	10.05%	7.02%	21.54%	13.60%	9.22%	13.32%	15.94%	21.88%	14.92%	18.30%	0.0%	21.42%	9.15%	20.40%	18.47%	17.35%	17.28%	17.51%	6.94%	14.53%	13.56%	2.62%	14.03%	14.41%	12.73%	12.66%	15.50%	19.30%	13.96%	13.30%	13.20%	2.08%	9.50%	24.48%	17.99%	21.52%	16.93%	19.38%	16.50%	16.05%	0.0%	7.43%	9.57%	5.62%	0.0%	9.62%	1.76%	3.44%	1.62%	10.35%	9.81%	3.97%	6.67%	7.74%	0.0%	1.64%	3.27%	7.37%	1.61%	1.65%	1.12%	1.13%	4.44%	8.31%	6.56%	4.79%	4.71%	14.11%	11.39%	6.93%	2.23%	3.11%	7.47%	9.56%	6.88%	4.56%	6.48%	3.58%	8.70%	8.41%	7.77%					
																																																																																												
41	Против всех	1329	48	11	4	41	17	2	2	3	11	13	14	11	10	24	1	25	23	13	21	33	26	24	104	45	40	4	27	24	31	6	18	22	10	14	4	1	3	16	27	64	5	11	6	0	0	34	114	86	1	10	5	1	4	7	2	8	7	1	0	5	2	5	1	2	1	2	4	5	4	3	4	7	30	61	2	4	10	5	1	1	0	4	19	5	3					
		2.61%	2.95%	2.29%	0.87%	3.01%	2.44%	1.08%	1.10%	1.77%	2.74%	1.74%	2.62%	1.98%	3.73%	3.92%	2.56%	2.83%	2.50%	3.79%	2.10%	3.51%	2.77%	3.06%	4.42%	3.37%	4.04%	1.04%	3.32%	2.41%	2.23%	0.86%	2.13%	2.92%	2.02%	3.44%	1.07%	2.08%	1.14%	3.01%	3.98%	4.12%	1.62%	5.61%	1.19%	0.0%	0.0%	9.36%	6.27%	6.90%	0.85%	1.45%	0.98%	0.68%	1.30%	1.06%	0.53%	1.76%	1.03%	0.70%	0.0%	1.37%	0.81%	0.94%	0.80%	1.10%	0.56%	0.45%	0.46%	1.22%	1.19%	2.05%	3.77%	1.67%	1.76%	3.61%	0.55%	1.03%	1.58%	1.08%	0.32%	0.50%	0.0%	2.05%	0.97%	0.93%	1.55%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
