Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №368	УИК №369	УИК №370	УИК №381	УИК №382	УИК №383	УИК №8179	УИК №8180	УИК №8181	УИК №8182									
		0.78%	1.59%	0.59%	0.00%	0.94%	0.92%	0.15%	1.08%	1.30%	0.47%	0.24%	1.24%	1.22%	0.33%	0.34%	0.94%	1.07%	0.69%	0.59%	0.00%	0.00%	0.44%	0.99%	1.34%	1.69%	0.18%	0.24%	0.90%	0.60%	0.70%	1.18%	1.27%	1.38%	1.07%	0.89%	0.65%	0.22%	0.95%	0.55%	0.86%	0.32%	0.86%	1.01%	1.02%	1.13%	1.39%	0.51%	0.79%	0.51%	0.94%	0.73%	0.60%	0.33%	1.05%	0.84%	0.32%	0.71%	0.72%	0.71%	0.61%	1.16%	0.80%	1.64%	0.22%	1.15%	0.00%	0.72%	0.27%	0.00%	0.00%	1.03%	0.00%	3.77%	0.00%	0.00%	0.00%	0.00%	0.42%	0.63%	1.40%	2.56%	1.76%	0.72%	1.31%	2.37%	1.03%	3.57%	0.41%	0.29%	0.65%	0.43%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2133	32	22	15	8	20	20	20	18	26	16	24	15	29	30	8	32	13	45	4	8	9	35	29	32	36	21	19	39	42	41	33	22	24	51	40	34	28	7	19	33	48	59	30	26	27	30	34	80	46	35	98	46	32	18	32	36	36	10	24	15	15	3	15	4	2	5	10	11	5	3	5	7	4	3	1	3	16	6	10	14	11	23	28	35	19	1	27	33	26	27									
		4.17%	4.63%	4.31%	3.58%	3.77%	3.06%	3.04%	3.60%	3.35%	4.09%	3.86%	5.97%	4.59%	4.78%	5.08%	2.52%	4.89%	4.50%	5.35%	3.74%	3.79%	3.96%	4.99%	3.88%	4.50%	6.45%	4.96%	3.42%	5.83%	5.87%	6.04%	6.00%	4.32%	5.15%	5.66%	4.34%	7.41%	4.42%	3.85%	4.09%	3.57%	4.56%	5.97%	6.10%	3.69%	3.76%	5.11%	5.41%	8.11%	5.40%	4.28%	9.81%	7.63%	4.79%	3.79%	5.14%	6.38%	5.22%	2.38%	3.67%	2.91%	6.02%	4.92%	3.28%	2.30%	3.03%	3.60%	2.70%	3.43%	6.94%	1.55%	2.58%	4.40%	5.71%	5.45%	2.08%	1.82%	2.25%	1.89%	4.65%	3.59%	3.23%	5.54%	7.31%	3.07%	3.91%	3.57%	1.24%	1.06%	2.84%	1.30%									
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
