Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Миллеровская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  246	УИК  247	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  2480	УИК  2550	УИК  2551	УИК  2552	УИК  2553	УИК  2554					
		18.26%	6.17%	17.78%	21.08%	16.41%	23.68%	16.72%	17.57%	15.03%	20.40%	21.30%	21.67%	15.65%	22.08%	27.45%	11.22%	17.96%	9.72%	11.50%	16.23%	13.04%	10.13%	13.73%	17.01%	21.72%	25.37%	15.11%	20.99%	12.43%	14.49%	18.66%	14.43%	20.89%	21.47%	26.84%	26.31%	21.48%	18.80%	20.20%	7.61%	13.08%	15.26%	15.03%	30.61%	21.68%	20.93%	23.19%	13.50%	9.41%	20.18%	21.42%	26.05%	9.87%	14.49%	16.21%	17.61%	4.83%	3.59%	9.42%	24.55%	11.21%					
																																																																			
41	Против всех	1165	2	19	28	24	55	7	27	48	92	26	30	48	23	38	120	26	7	9	4	18	20	4	11	8	28	9	17	6	4	30	17	9	21	11	11	12	39	13	4	4	8	4	18	23	3	15	10	9	0	78	6	15	7	5	9	5	1	7	3	10					
		3.75%	2.46%	2.56%	3.22%	2.14%	5.16%	2.60%	2.62%	5.04%	6.23%	3.39%	5.11%	3.79%	2.76%	4.01%	8.68%	3.67%	1.94%	2.11%	2.59%	4.60%	6.99%	0.85%	2.56%	3.27%	3.86%	5.23%	4.00%	3.10%	0.59%	6.43%	3.55%	4.47%	2.81%	4.28%	2.06%	3.06%	2.76%	6.56%	2.03%	2.09%	2.03%	3.00%	4.44%	4.12%	0.73%	4.70%	1.87%	1.88%	0.0%	5.60%	2.29%	3.89%	5.07%	1.35%	5.11%	4.03%	0.71%	2.53%	1.79%	4.67%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
