Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Томская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №369	УИК №370	УИК №387	УИК №388	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670					
33	"16. ""Родина"" (народно-патриотический союз)"""	1572	3	1	0	24	50	3	3	18	14	15	3	13	13	0	5	8	30	24	15	28	72	78	15	36	12	0	11	7	14	13	3	2	12	7	17	3	36	12	9	51	16	14	52	39	21	5	58	11	15	8	7	2	6	42	3	6	4	21	4	5	23	56	65	3	6	15	10	28	5	11	11	39	38	57	19	81	35	6	4	13	1	27					
		4.35%	3.12%	2.17%	0.0%	4.02%	6.57%	4.83%	2.12%	8.91%	4.84%	8.47%	3.37%	3.22%	1.87%	0.0%	1.17%	3.04%	3.69%	2.93%	1.94%	2.70%	5.98%	6.51%	5.68%	5.30%	3.24%	0.0%	3.06%	6.03%	2.73%	7.38%	2.05%	1.63%	2.47%	6.36%	4.85%	1.50%	4.97%	2.56%	2.83%	4.30%	4.14%	3.28%	9.17%	4.36%	3.38%	4.67%	7.10%	2.27%	4.38%	3.29%	3.95%	1.01%	2.97%	5.14%	3.19%	5.45%	3.07%	4.04%	1.32%	3.49%	4.33%	7.33%	8.31%	3.44%	1.55%	2.50%	3.20%	4.78%	2.67%	6.47%	4.95%	4.90%	6.07%	4.44%	4.61%	5.91%	5.36%	4.54%	1.23%	3.70%	0.53%	3.06%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	155	0	0	0	0	1	0	2	1	0	0	0	4	6	0	2	3	4	3	2	6	8	5	3	1	2	0	2	1	5	0	1	1	2	0	2	0	4	5	0	3	2	4	2	3	1	1	4	6	5	4	0	0	0	5	0	0	0	3	0	3	1	3	2	1	1	2	0	2	0	2	1	1	0	5	2	0	3	0	1	4	1	1					
		0.42%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	1.41%	0.49%	0.0%	0.0%	0.0%	0.99%	0.86%	0.0%	0.47%	1.14%	0.49%	0.36%	0.25%	0.57%	0.66%	0.41%	1.13%	0.14%	0.54%	0.0%	0.55%	0.86%	0.97%	0.0%	0.68%	0.81%	0.41%	0.0%	0.57%	0.0%	0.55%	1.06%	0.0%	0.25%	0.51%	0.93%	0.35%	0.33%	0.16%	0.93%	0.49%	1.24%	1.46%	1.64%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.57%	0.0%	2.09%	0.18%	0.39%	0.25%	1.14%	0.25%	0.33%	0.0%	0.34%	0.0%	1.17%	0.45%	0.12%	0.0%	0.39%	0.48%	0.0%	0.46%	0.0%	0.30%	1.13%	0.53%	0.11%					
35	"18. ""ЛДПР"""	5270	8	9	11	127	98	11	29	42	43	26	16	52	89	10	54	34	88	144	94	194	222	179	33	69	52	14	62	9	75	23	13	16	100	43	58	35	114	52	27	161	101	86	87	138	82	14	113	100	54	37	15	13	29	123	8	12	11	69	23	20	64	93	102	10	68	84	46	104	35	20	28	91	103	154	58	188	98	28	60	45	21	99					
		14.58%	8.33%	19.56%	18.96%	21.30%	12.87%	17.74%	20.56%	20.79%	14.87%	14.68%	17.97%	12.90%	12.84%	10.86%	12.70%	12.92%	10.82%	17.58%	12.19%	18.74%	18.45%	14.94%	12.5%	10.17%	14.05%	13.72%	17.27%	7.75%	14.67%	13.06%	8.90%	13.11%	20.61%	39.09%	16.57%	17.58%	15.74%	11.11%	8.51%	13.57%	26.16%	20.18%	15.34%	15.43%	13.20%	13.08%	13.84%	20.70%	15.78%	15.22%	8.47%	6.56%	14.35%	15.07%	8.51%	10.90%	8.46%	13.29%	7.61%	13.98%	12.05%	12.18%	13.04%	11.49%	17.66%	14.02%	14.74%	17.77%	18.71%	11.76%	12.61%	11.44%	16.45%	12.02%	14.07%	13.72%	15.03%	21.21%	18.46%	12.82%	11.29%	11.24%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	765	1	0	1	14	12	1	0	3	5	0	2	17	17	1	19	13	12	11	19	34	32	16	6	22	9	2	8	3	14	4	3	2	7	2	1	6	14	6	4	17	7	19	10	11	15	1	24	15	9	4	2	0	7	19	4	0	3	13	3	3	19	21	17	1	6	8	8	10	3	5	0	14	11	26	5	31	12	3	2	9	4	21					
		2.11%	1.04%	0.0%	1.72%	2.34%	1.57%	1.61%	0.0%	1.48%	1.73%	0.0%	2.24%	4.21%	2.45%	1.08%	4.47%	4.94%	1.47%	1.34%	2.46%	3.28%	2.66%	1.33%	2.27%	3.24%	2.43%	1.96%	2.22%	2.58%	2.73%	2.27%	2.05%	1.63%	1.44%	1.81%	0.28%	3.01%	1.93%	1.28%	1.26%	1.43%	1.81%	4.46%	1.76%	1.23%	2.41%	0.93%	2.94%	3.10%	2.63%	1.64%	1.12%	0.0%	3.46%	2.32%	4.25%	0.0%	2.30%	2.50%	0.99%	2.09%	3.57%	2.75%	2.17%	1.14%	1.55%	1.33%	2.56%	1.70%	1.60%	2.94%	0.0%	1.76%	1.75%	2.02%	1.21%	2.26%	1.84%	2.27%	0.61%	2.56%	2.15%	2.38%					
37	"20. ""Политическая партия ""Единая Россия"""	13259	46	29	21	195	257	35	44	52	115	59	36	153	294	60	239	108	349	286	274	314	361	424	105	272	134	57	125	53	197	79	72	65	241	31	177	50	202	161	138	441	122	125	205	281	191	56	289	156	125	71	53	149	73	302	25	36	75	167	204	41	162	242	280	28	180	318	114	222	80	47	66	229	193	443	179	442	180	61	122	151	98	325					
		36.70%	47.91%	63.04%	36.20%	32.71%	33.77%	56.45%	31.20%	25.74%	39.79%	33.33%	40.44%	37.96%	42.42%	65.21%	56.23%	41.06%	42.92%	34.92%	35.53%	30.33%	30.00%	35.39%	39.77%	40.11%	36.21%	55.88%	34.81%	45.68%	38.55%	44.88%	49.31%	53.27%	49.69%	28.18%	50.57%	25.12%	27.90%	34.40%	43.53%	37.18%	31.60%	29.34%	36.15%	31.43%	30.75%	52.33%	35.41%	32.29%	36.54%	29.21%	29.94%	75.25%	36.13%	37.00%	26.59%	32.72%	57.69%	32.17%	67.54%	28.67%	30.50%	31.71%	35.80%	32.18%	46.75%	53.08%	36.53%	37.94%	42.78%	27.64%	29.72%	28.80%	30.83%	34.58%	43.44%	32.26%	27.60%	46.21%	37.53%	43.01%	52.68%	36.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	106	0	0	0	2	1	0	3	0	0	0	1	2	0	0	1	2	1	3	5	3	4	4	1	2	2	1	1	0	0	0	0	0	1	0	0	2	1	0	0	5	0	0	0	0	0	3	1	1	1	0	2	0	5	2	0	1	0	1	0	1	2	1	4	1	2	0	0	0	2	1	2	1	0	4	1	3	4	0	3	1	1	7					
		0.29%	0.0%	0.0%	0.0%	0.33%	0.13%	0.0%	2.12%	0.0%	0.0%	0.0%	1.12%	0.49%	0.0%	0.0%	0.23%	0.76%	0.12%	0.36%	0.64%	0.28%	0.33%	0.33%	0.37%	0.29%	0.54%	0.98%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	1.00%	0.13%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%	2.80%	0.12%	0.20%	0.29%	0.0%	1.12%	0.0%	2.47%	0.24%	0.0%	0.90%	0.0%	0.19%	0.0%	0.69%	0.37%	0.13%	0.51%	1.14%	0.51%	0.0%	0.0%	0.0%	1.06%	0.58%	0.90%	0.12%	0.0%	0.31%	0.24%	0.21%	0.61%	0.0%	0.92%	0.28%	0.53%	0.79%					
39	"22. ""Развитие предпринимательства"""	112	0	0	0	1	3	0	0	1	1	0	0	1	0	0	1	6	3	0	1	1	9	5	5	2	2	0	3	0	1	0	0	0	2	0	0	0	2	0	1	9	0	0	2	0	2	0	3	0	0	1	3	1	0	4	0	1	0	0	2	0	4	2	0	0	0	0	0	4	0	0	0	5	2	4	0	5	1	0	1	0	0	5					
		0.31%	0.0%	0.0%	0.0%	0.16%	0.39%	0.0%	0.0%	0.49%	0.34%	0.0%	0.0%	0.24%	0.0%	0.0%	0.23%	2.28%	0.36%	0.0%	0.12%	0.09%	0.74%	0.41%	1.89%	0.29%	0.54%	0.0%	0.83%	0.0%	0.19%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.27%	0.0%	0.31%	0.75%	0.0%	0.0%	0.35%	0.0%	0.32%	0.0%	0.36%	0.0%	0.0%	0.41%	1.69%	0.50%	0.0%	0.49%	0.0%	0.90%	0.0%	0.0%	0.66%	0.0%	0.75%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.62%	0.31%	0.31%	0.0%	0.36%	0.15%	0.0%	0.30%	0.0%	0.0%	0.56%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	4601	8	2	5	56	145	6	12	15	37	23	2	41	109	8	36	30	84	84	107	148	159	156	24	85	51	7	41	9	59	10	24	11	29	10	24	47	139	54	58	125	46	52	52	145	105	5	121	40	38	59	43	20	27	92	15	26	1	84	11	11	63	113	104	21	29	50	39	50	17	24	53	170	78	190	44	140	94	8	38	40	27	136					
		12.73%	8.33%	4.34%	8.62%	9.39%	19.05%	9.67%	8.51%	7.42%	12.80%	12.99%	2.24%	10.17%	15.72%	8.69%	8.47%	11.40%	10.33%	10.25%	13.87%	14.29%	13.21%	13.02%	9.09%	12.53%	13.78%	6.86%	11.42%	7.75%	11.54%	5.68%	16.43%	9.01%	5.97%	9.09%	6.85%	23.61%	19.19%	11.53%	18.29%	10.53%	11.91%	12.20%	9.17%	16.21%	16.90%	4.67%	14.82%	8.28%	11.11%	24.27%	24.29%	10.10%	13.36%	11.27%	15.95%	23.63%	0.76%	16.18%	3.64%	7.69%	11.86%	14.80%	13.29%	24.13%	7.53%	8.34%	12.5%	8.54%	9.09%	14.11%	23.87%	21.38%	12.46%	14.83%	10.67%	10.21%	14.41%	6.06%	11.69%	11.39%	14.51%	15.45%					
																																																																																									
41	Против всех	1945	5	2	1	32	37	2	4	25	19	9	5	24	23	5	20	9	36	55	49	80	67	60	16	45	19	5	24	4	21	9	2	3	4	4	7	16	34	25	3	70	23	23	30	54	32	2	24	19	24	11	17	2	4	53	5	4	15	26	9	17	21	55	29	11	13	32	13	35	13	23	9	36	42	73	13	101	49	3	7	17	5	71					
		5.38%	5.20%	4.34%	1.72%	5.36%	4.86%	3.22%	2.83%	12.37%	6.57%	5.08%	5.61%	5.95%	3.31%	5.43%	4.70%	3.42%	4.42%	6.71%	6.35%	7.72%	5.56%	5.00%	6.06%	6.63%	5.13%	4.90%	6.68%	3.44%	4.10%	5.11%	1.36%	2.45%	0.82%	3.63%	2.0%	8.04%	4.69%	5.34%	0.94%	5.90%	5.95%	5.39%	5.29%	6.04%	5.15%	1.86%	2.94%	3.93%	7.01%	4.52%	9.60%	1.01%	1.98%	6.49%	5.31%	3.63%	11.53%	5.00%	2.98%	11.88%	3.95%	7.20%	3.70%	12.64%	3.37%	5.34%	4.16%	5.98%	6.95%	13.52%	4.05%	4.52%	6.70%	5.69%	3.15%	7.37%	7.51%	2.27%	2.15%	4.84%	2.68%	8.06%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
