Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Куртамышская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК  562					
		26.02%	23.42%	30.60%	28.47%	27.98%	26.32%	29.90%	27.74%	32.49%	21.91%	20.82%	28.61%	25.67%	31.06%	24.39%	31.21%	37.49%	30.80%	45.83%	15.61%	11.11%	20.64%	25.60%	8.82%	28.65%	31.18%	16.32%	24.40%	30.29%	13.20%	23.65%	16.41%	7.31%	33.99%	26.28%	43.83%	14.19%	25.19%	22.22%	20.92%	25.30%	32.95%	26.42%	13.12%	23.61%	32.76%	16.84%	27.27%	9.35%	25.28%	17.72%	10.34%	8.64%	12.65%	32.93%	47.05%	24.46%	25.74%	38.18%	20.27%	23.07%					
																																																																			
41	Против всех	695	38	34	16	14	44	32	43	13	34	16	9	16	17	16	14	5	10	5	12	3	14	4	6	18	8	6	12	18	2	17	5	0	10	2	1	5	6	1	7	1	22	5	2	12	6	3	2	19	7	3	0	10	25	22	6	7	3	1	5	1					
		4.03%	3.78%	3.71%	2.74%	3.40%	7.06%	4.51%	4.45%	2.52%	4.71%	2.43%	2.71%	6.13%	12.87%	3.54%	3.86%	4.46%	4.73%	5.20%	4.46%	3.33%	4.98%	4.87%	5.88%	5.26%	8.60%	12.24%	9.44%	5.29%	3.77%	7.05%	7.46%	0.0%	3.30%	1.14%	0.68%	3.22%	1.57%	1.23%	2.92%	1.20%	3.58%	2.03%	1.25%	6.03%	1.70%	3.15%	1.13%	5.55%	1.60%	1.89%	0.0%	12.34%	6.20%	3.73%	7.05%	7.44%	2.97%	0.90%	6.75%	2.56%					
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
