Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																								
Дата голосования: 07.12.2003 0:00:00																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Муромская																																																																																								
																																																																																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																								
																																																																																								
		Сумма	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891	УИК №892	УИК №893	УИК №894	УИК №895	УИК №896	УИК №897	УИК №898	УИК №899	УИК №900	УИК №901	УИК №902	УИК №903					
33	"16. ""Родина"" (народно-патриотический союз)"""	6353	49	69	85	108	136	188	154	63	81	76	131	112	141	142	93	121	125	120	152	103	126	74	34	99	107	81	145	102	175	153	102	123	226	139	147	153	151	116	130	96	112	131	115	116	123	93	132	51	8	32	30	7	11	101	75	94	4	51	20	14	16	13	16	17	25	5	6	13	11	27	31	7	10	26	25	7	28	6	4	12	0					
		10.72%	9.70%	10.11%	9.13%	12.76%	11.35%	15.05%	12.91%	12.32%	11.37%	9.79%	12.68%	12.51%	12.03%	10.93%	9.16%	10.09%	11.90%	13.49%	12.06%	10.86%	12.30%	9.81%	8.76%	11.18%	9.09%	9.55%	12.17%	11.29%	13.28%	14.44%	11.24%	10.74%	15.70%	11.19%	13.48%	13.48%	14.28%	11.30%	11.45%	12.43%	12.52%	11.82%	10.55%	9.50%	10.55%	10.62%	10.13%	7.42%	4.46%	9.46%	6.56%	3.76%	5.69%	9.56%	10.74%	10.58%	2.87%	6.52%	7.01%	6.19%	12.5%	5.50%	3.78%	4.67%	4.78%	3.84%	4.10%	5.13%	4.38%	9.89%	8.13%	3.34%	7.69%	7.34%	3.64%	5.51%	11.15%	2.12%	2.5%	6.12%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	135	0	1	2	0	0	2	3	2	1	1	3	0	5	1	2	2	1	3	3	3	0	1	0	1	1	0	2	0	1	2	1	2	3	2	0	5	1	1	2	4	1	2	2	2	2	1	3	4	0	6	3	0	0	5	0	8	1	3	1	3	0	0	1	5	4	0	1	3	0	1	0	0	0	2	2	1	1	0	1	0	2					
		0.22%	0.0%	0.14%	0.21%	0.0%	0.0%	0.16%	0.25%	0.39%	0.14%	0.12%	0.29%	0.0%	0.42%	0.07%	0.19%	0.16%	0.09%	0.33%	0.23%	0.31%	0.0%	0.13%	0.0%	0.11%	0.08%	0.0%	0.16%	0.0%	0.07%	0.18%	0.11%	0.17%	0.20%	0.16%	0.0%	0.44%	0.09%	0.09%	0.17%	0.51%	0.11%	0.18%	0.18%	0.16%	0.17%	0.11%	0.23%	0.58%	0.0%	1.77%	0.65%	0.0%	0.0%	0.47%	0.0%	0.90%	0.71%	0.38%	0.35%	1.32%	0.0%	0.0%	0.23%	1.37%	0.76%	0.0%	0.68%	1.18%	0.0%	0.36%	0.0%	0.0%	0.0%	0.56%	0.29%	0.78%	0.39%	0.0%	0.62%	0.0%	1.66%					
35	"18. ""ЛДПР"""	8109	84	130	143	105	124	154	177	45	86	133	149	124	173	163	137	165	98	136	172	119	145	116	74	86	134	131	166	130	185	141	118	127	193	160	141	147	132	164	194	128	155	177	117	173	151	131	182	81	19	36	62	24	23	147	71	108	11	154	36	28	16	36	78	48	59	11	18	33	37	26	63	31	20	47	94	22	27	33	38	32	25					
		13.68%	16.63%	19.06%	15.37%	12.41%	10.35%	12.32%	14.84%	8.80%	12.07%	17.13%	14.42%	13.85%	14.76%	12.55%	13.49%	13.76%	9.33%	15.29%	13.65%	12.55%	14.16%	15.38%	19.07%	9.71%	11.39%	15.44%	13.93%	14.39%	14.04%	13.31%	13.00%	11.09%	13.41%	12.88%	12.93%	12.95%	12.48%	15.98%	17.09%	16.58%	17.33%	15.97%	10.73%	14.18%	12.96%	14.97%	13.97%	11.79%	10.61%	10.65%	13.56%	12.90%	11.91%	13.92%	10.17%	12.16%	7.91%	19.69%	12.63%	12.38%	12.5%	15.25%	18.43%	13.18%	11.30%	8.46%	12.32%	13.04%	14.74%	9.52%	16.53%	14.83%	15.38%	13.27%	13.70%	17.32%	10.75%	11.70%	23.75%	16.32%	20.83%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1251	11	12	23	17	21	31	29	9	15	13	24	9	28	27	23	26	19	32	22	21	21	15	5	27	27	24	31	28	34	14	18	22	23	35	20	22	11	29	19	24	20	18	29	12	18	29	21	16	2	5	9	8	5	30	20	17	2	12	4	5	4	3	7	4	4	0	5	4	4	3	8	7	1	7	16	2	4	12	3	8	2					
		2.11%	2.17%	1.75%	2.47%	2.00%	1.75%	2.48%	2.43%	1.76%	2.10%	1.67%	2.32%	1.00%	2.38%	2.08%	2.26%	2.16%	1.80%	3.59%	1.74%	2.21%	2.05%	1.98%	1.28%	3.05%	2.29%	2.83%	2.60%	3.10%	2.58%	1.32%	1.98%	1.92%	1.59%	2.81%	1.83%	1.93%	1.04%	2.82%	1.67%	3.10%	2.23%	1.62%	2.66%	0.98%	1.54%	3.31%	1.61%	2.32%	1.11%	1.47%	1.96%	4.30%	2.59%	2.84%	2.86%	1.91%	1.43%	1.53%	1.40%	2.21%	3.12%	1.27%	1.65%	1.09%	0.76%	0.0%	3.42%	1.58%	1.59%	1.09%	2.09%	3.34%	0.76%	1.97%	2.33%	1.57%	1.59%	4.25%	1.87%	4.08%	1.66%					
37	"20. ""Политическая партия ""Единая Россия"""	17922	168	207	303	242	339	333	316	139	219	231	305	239	313	339	349	394	297	239	376	290	288	215	103	238	361	243	326	290	354	322	279	378	406	356	342	311	312	309	351	222	241	325	320	309	397	248	343	247	66	116	133	61	94	334	213	284	65	227	92	88	52	116	146	166	233	58	43	95	112	88	131	54	28	103	259	40	91	105	47	53	55					
		30.25%	33.26%	30.35%	32.58%	28.60%	28.29%	26.66%	26.51%	27.20%	30.75%	29.76%	29.52%	26.70%	26.70%	26.11%	34.38%	32.86%	28.28%	26.88%	29.84%	30.59%	28.12%	28.51%	26.54%	26.89%	30.69%	28.65%	27.37%	32.11%	26.87%	30.40%	30.76%	33.01%	28.21%	28.66%	31.37%	27.40%	29.51%	30.11%	30.92%	28.75%	26.95%	29.33%	29.35%	25.32%	34.07%	28.34%	26.34%	35.95%	36.87%	34.31%	29.10%	32.79%	48.70%	31.62%	30.51%	31.98%	46.76%	29.02%	32.28%	38.93%	40.62%	49.15%	34.51%	45.60%	44.63%	44.61%	29.45%	37.54%	44.62%	32.23%	34.38%	25.83%	21.53%	29.09%	37.75%	31.49%	36.25%	37.23%	29.37%	27.04%	45.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	100	1	3	4	2	0	0	3	2	2	1	2	0	0	2	4	3	1	3	3	1	3	1	3	1	2	1	4	1	1	1	1	2	2	1	0	4	2	2	1	0	3	1	2	0	0	0	2	1	0	1	0	0	1	1	1	0	0	0	4	0	0	0	1	2	0	0	0	1	0	0	1	1	1	2	1	0	1	0	0	0	2					
		0.16%	0.19%	0.43%	0.43%	0.23%	0.0%	0.0%	0.25%	0.39%	0.28%	0.12%	0.19%	0.0%	0.0%	0.15%	0.39%	0.25%	0.09%	0.33%	0.23%	0.10%	0.29%	0.13%	0.77%	0.11%	0.17%	0.11%	0.33%	0.11%	0.07%	0.09%	0.11%	0.17%	0.13%	0.08%	0.0%	0.35%	0.18%	0.19%	0.08%	0.0%	0.33%	0.09%	0.18%	0.0%	0.0%	0.0%	0.15%	0.14%	0.0%	0.29%	0.0%	0.0%	0.51%	0.09%	0.14%	0.0%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	0.23%	0.54%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.26%	0.47%	0.76%	0.56%	0.14%	0.0%	0.39%	0.0%	0.0%	0.0%	1.66%					
39	"22. ""Развитие предпринимательства"""	193	0	6	4	2	7	1	2	1	1	5	3	3	2	2	1	2	8	4	2	6	4	1	2	4	2	5	8	2	8	5	1	4	3	2	6	4	4	3	10	1	3	5	1	7	7	0	2	3	1	1	2	0	0	3	0	2	0	2	0	0	0	0	0	0	1	0	0	1	0	5	0	0	0	2	1	0	2	1	0	0	0					
		0.32%	0.0%	0.87%	0.43%	0.23%	0.58%	0.08%	0.16%	0.19%	0.14%	0.64%	0.29%	0.33%	0.17%	0.15%	0.09%	0.16%	0.76%	0.44%	0.15%	0.63%	0.39%	0.13%	0.51%	0.45%	0.17%	0.58%	0.67%	0.22%	0.60%	0.47%	0.11%	0.34%	0.20%	0.16%	0.55%	0.35%	0.37%	0.29%	0.88%	0.12%	0.33%	0.45%	0.09%	0.57%	0.60%	0.0%	0.15%	0.43%	0.55%	0.29%	0.43%	0.0%	0.0%	0.28%	0.0%	0.22%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.39%	0.0%	1.83%	0.0%	0.0%	0.0%	0.56%	0.14%	0.0%	0.79%	0.35%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	10597	71	81	143	155	292	235	218	110	141	115	161	185	247	256	173	205	231	134	222	137	172	137	62	209	217	158	214	159	224	162	148	184	222	233	176	199	191	155	175	97	109	215	253	293	224	193	286	91	39	47	85	46	16	183	137	144	22	95	56	33	17	38	78	31	75	12	44	35	35	46	61	65	36	78	155	15	25	82	26	55	15					
		17.88%	14.05%	11.87%	15.37%	18.32%	24.37%	18.81%	18.28%	21.52%	19.80%	14.81%	15.58%	20.67%	21.07%	19.72%	17.04%	17.09%	22.0%	15.07%	17.61%	14.45%	16.79%	18.16%	15.97%	23.61%	18.45%	18.63%	17.96%	17.60%	17.00%	15.29%	16.31%	16.06%	15.42%	18.76%	16.14%	17.53%	18.07%	15.10%	15.41%	12.56%	12.19%	19.40%	23.21%	24.01%	19.22%	22.05%	21.96%	13.24%	21.78%	13.90%	18.59%	24.73%	8.29%	17.32%	19.62%	16.21%	15.82%	12.14%	19.64%	14.60%	13.28%	16.10%	18.43%	8.51%	14.36%	9.23%	30.13%	13.83%	13.94%	16.84%	16.01%	31.10%	27.69%	22.03%	22.59%	11.81%	9.96%	29.07%	16.25%	28.06%	12.5%					
																																																																																								
41	Против всех	2897	21	41	31	35	47	70	68	25	36	47	54	49	56	82	44	49	37	43	58	52	45	38	30	43	49	42	33	45	57	42	43	76	56	73	57	48	41	40	43	32	70	66	59	60	59	44	93	40	11	13	21	14	6	45	53	46	7	63	11	10	1	8	16	23	15	6	8	14	10	7	23	5	5	8	15	14	19	11	8	6	6					
		4.89%	4.15%	6.01%	3.33%	4.13%	3.92%	5.60%	5.70%	4.89%	5.05%	6.05%	5.22%	5.47%	4.77%	6.31%	4.33%	4.08%	3.52%	4.83%	4.60%	5.48%	4.39%	5.03%	7.73%	4.85%	4.16%	4.95%	2.77%	4.98%	4.32%	3.96%	4.74%	6.63%	3.89%	5.87%	5.22%	4.22%	3.87%	3.89%	3.78%	4.14%	7.82%	5.95%	5.41%	4.91%	5.06%	5.02%	7.14%	5.82%	6.14%	3.84%	4.59%	7.52%	3.10%	4.26%	7.59%	5.18%	5.03%	8.05%	3.85%	4.42%	0.78%	3.38%	3.78%	6.31%	2.87%	4.61%	5.47%	5.53%	3.98%	2.56%	6.03%	2.39%	3.84%	2.25%	2.18%	11.02%	7.56%	3.90%	5.0%	3.06%	5.0%					
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
																																																																																								
