Выборы Президента Российской Федерации																																																																																																																																																																				
																																																																																																																																																																				
"Наименование Избирательной комиссии:    Владивосток, Первомайская"																																																																																																																																																																				
																																																																																																																																																																				
Итоги голосования 																																																																																																																																																																				
																																																																																																																																																																				
		Сумма	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1583	УИК №1584	УИК №1587	УИК №1590	УИК №1591	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626					
		7.31%	7.82%	6.22%	7.04%	7.16%	8.65%	8.43%	9.25%	9.11%	7.70%	7.59%	6.47%	9.16%	6.02%	5.80%	7.03%	7.88%	6.64%	6.92%	7.33%	7.97%	7.65%	8.33%	5.47%	6.65%	7.61%	9.59%	9.02%	12.01%	8.39%	8.56%	6.88%	7.56%	6.00%	8.04%	7.66%	7.90%	5.60%	7.16%	10.26%	5.89%	7.70%	8.40%	8.68%	6.86%	10.25%	8.97%	3.85%	3.72%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	0.00%	3.45%	10.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.56%	8.11%	5.41%	2.70%	0.00%	0.00%	0.00%	4.60%	0.00%	5.49%	1.49%	1.56%	1.59%	5.26%	0.00%	4.55%	4.49%	8.22%	6.90%	0.00%	0.00%	2.30%	0.00%	1.15%	6.45%	11.43%	5.88%	0.00%	4.17%	3.90%	0.00%	13.33%	4.76%	0.00%	3.57%	4.88%	4.35%	0.00%	0.00%	0.00%	2.63%	0.67%	4.17%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	5.26%	0.00%	0.00%	0.00%	7.84%	14.29%	0.00%	2.38%	3.85%	1.92%	0.00%	1.22%	2.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	8324	238	117	184	196	96	226	217	152	186	228	122	230	219	105	141	209	283	257	230	215	250	226	201	104	132	154	173	165	186	133	191	86	216	130	144	178	147	168	157	158	69	111	161	201	219	191	63	67	2	0	1	0	0	1	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	4	9	7	2	0	5	2	0	0	0	0	0	1	0	4	5	0	2	3	0	1	0	0	1	0	0	0	1	0	2	2	0	1	1	1	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	1	0	0	0	1	0	0	3	0	0	0	1	0	1	0	0	1	1	0	0					
		12.68%	18.61%	12.54%	13.50%	14.94%	12.58%	17.02%	16.05%	10.03%	14.05%	13.96%	13.38%	14.24%	18.05%	12.18%	15.48%	14.97%	17.73%	15.07%	14.53%	13.50%	15.56%	15.19%	11.57%	10.17%	13.04%	13.68%	15.00%	11.46%	14.58%	10.44%	17.30%	12.27%	14.90%	7.07%	15.32%	11.53%	13.28%	13.07%	10.46%	10.00%	9.84%	10.84%	11.09%	13.79%	15.80%	13.49%	9.69%	35.64%	10.53%	0.00%	3.33%	0.00%	0.00%	3.33%	3.45%	0.00%	10.00%	0.00%	0.00%	5.26%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	3.30%	0.00%	1.25%	2.86%	36.84%	11.11%	0.00%	5.62%	2.74%	0.00%	0.00%	0.00%	0.00%	0.00%	1.15%	0.00%	11.43%	14.71%	0.00%	2.78%	3.90%	0.00%	6.67%	0.00%	0.00%	1.19%	0.00%	0.00%	0.00%	6.67%	0.00%	5.26%	1.34%	0.00%	3.57%	4.00%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	2.45%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.49%	0.00%	0.00%	4.00%	5.26%	0.00%	0.00%	0.00%	1.96%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	1.22%	0.00%	2.50%	0.00%	0.00%	5.56%	5.88%	0.00%	0.00%					
																																																																																																																																																																				
24	Против всех	4740	92	57	119	75	49	96	83	135	89	113	78	131	108	65	53	93	117	103	102	110	119	111	112	57	65	54	76	141	81	102	83	55	86	119	54	113	78	105	120	125	52	73	134	101	100	88	24	8	5	0	3	5	0	1	3	7	13	0	0	0	4	0	0	0	5	0	2	3	10	12	4	1	6	1	5	0	2	10	8	10	7	1	2	1	21	23	4	0	0	1	0	0	3	3	8	4	13	7	8	2	2	3	9	0	2	0	3	6	11	18	4	3	5	5	2	6	0	0	0	24	0	0	0	0	2	3	7	1	0	0	0	0	10	8	0	2	9	4	1	1	1	13	4	6	12	2	2	2	1	3	3	2	0	0	6	0	0					
		7.22%	7.19%	6.11%	8.73%	5.72%	6.42%	7.23%	6.14%	8.91%	6.72%	6.92%	8.55%	8.11%	8.90%	7.54%	5.82%	6.66%	7.33%	6.04%	6.44%	6.91%	7.41%	7.46%	6.45%	5.57%	6.42%	4.80%	6.59%	9.79%	6.35%	8.01%	7.52%	7.85%	5.93%	6.47%	5.74%	7.32%	7.05%	8.17%	7.99%	7.91%	7.42%	7.13%	9.23%	6.93%	7.22%	6.21%	3.69%	4.26%	26.32%	0.00%	10.00%	16.67%	0.00%	3.33%	10.34%	24.14%	43.33%	0.00%	0.00%	0.00%	16.00%	0.00%	0.00%	0.00%	29.41%	0.00%	12.50%	14.29%	25.64%	32.43%	10.81%	2.70%	15.79%	4.55%	22.73%	0.00%	2.11%	10.99%	11.94%	3.12%	2.22%	5.26%	11.11%	4.55%	23.60%	31.51%	13.79%	0.00%	0.00%	1.15%	0.00%	0.00%	9.68%	8.57%	23.53%	16.00%	18.06%	9.09%	57.14%	13.33%	9.52%	15.79%	10.71%	0.00%	8.70%	0.00%	20.00%	13.33%	28.95%	12.08%	16.67%	10.71%	20.00%	19.23%	8.70%	27.27%	0.00%	0.00%	0.00%	7.36%	0.00%	0.00%	0.00%	0.00%	9.52%	21.43%	26.92%	2.78%	0.00%	0.00%	0.00%	0.00%	25.64%	8.99%	0.00%	20.00%	18.00%	21.05%	5.26%	5.00%	5.88%	25.49%	19.05%	30.00%	14.29%	3.85%	3.85%	12.50%	1.22%	3.45%	7.50%	5.00%	0.00%	0.00%	35.29%	0.00%	0.00%					
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
																																																																																																																																																																				
