Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Киров, Октябрьская"																																																																																				
																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																				
																																																																																				
		Сумма	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	202	1	4	1	3	2	3	1	2	3	3	4	2	3	2	1	3	4	3	1	5	3	5	3	5	6	2	3	0	3	1	4	3	1	3	3	0	3	4	17	3	7	2	1	0	1	1	3	6	3	3	0	2	4	1	1	0	2	8	0	2	1	6	5	3	2	0	3	7	0	0	0	1	0	1	3	0	0					
		0.24%	0.10%	0.30%	0.06%	0.20%	0.14%	0.27%	0.07%	0.14%	0.22%	0.47%	0.27%	0.20%	0.31%	0.11%	0.18%	0.19%	0.40%	0.21%	0.10%	0.48%	0.26%	0.39%	0.36%	0.39%	0.59%	0.26%	0.22%	0.0%	0.23%	0.06%	0.37%	0.24%	0.07%	0.21%	0.19%	0.0%	0.21%	0.31%	1.12%	0.22%	0.42%	0.12%	0.08%	0.0%	0.07%	0.07%	0.25%	0.6%	0.22%	0.23%	0.0%	0.16%	0.38%	0.11%	0.07%	0.0%	0.13%	0.69%	0.0%	0.19%	0.07%	0.60%	0.52%	0.35%	0.24%	0.0%	0.23%	0.98%	0.0%	0.0%	0.0%	3.70%	0.0%	1.07%	1.39%	0.0%	0.0%					
35	"18. ""ЛДПР"""	12378	145	176	288	245	227	145	203	205	178	125	200	119	121	268	90	272	149	214	144	141	153	191	130	152	170	136	195	119	82	208	112	127	185	217	214	237	195	190	381	221	252	222	199	142	210	207	201	146	246	187	97	217	123	124	216	226	205	189	205	174	270	173	134	137	138	56	196	124	7	20	5	3	4	21	22	3	7					
		15.23%	15.16%	13.40%	17.96%	16.49%	16.78%	13.45%	15.35%	14.74%	13.31%	19.93%	13.89%	12.48%	12.65%	15.83%	16.91%	17.96%	14.94%	15.22%	15.58%	13.64%	13.62%	15.00%	16.00%	12.02%	16.93%	17.82%	14.60%	11.37%	6.39%	13.01%	10.59%	10.21%	14.14%	15.54%	14.04%	14.34%	13.73%	15.16%	25.16%	16.44%	15.44%	13.91%	16.04%	13.77%	15.98%	14.63%	17.03%	14.6%	18.24%	14.75%	15.74%	17.90%	11.72%	14.74%	17.19%	19.26%	14.22%	16.40%	15.04%	17.02%	19.34%	17.52%	14.16%	16.34%	16.74%	19.04%	15.38%	17.51%	9.85%	13.33%	11.36%	11.11%	6.45%	22.58%	10.23%	8.82%	18.42%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2063	15	31	40	39	21	35	43	27	33	28	42	26	22	76	16	38	29	48	11	27	30	27	23	25	36	21	38	45	28	39	26	34	38	25	29	32	50	34	29	35	39	34	27	31	34	30	37	24	21	27	10	45	24	18	32	24	35	27	29	24	31	21	31	13	28	7	31	17	1	6	0	2	0	2	7	1	2					
		2.53%	1.56%	2.36%	2.49%	2.62%	1.55%	3.24%	3.25%	1.94%	2.46%	4.46%	2.91%	2.72%	2.30%	4.49%	3.00%	2.50%	2.90%	3.41%	1.19%	2.61%	2.67%	2.12%	2.83%	1.97%	3.58%	2.75%	2.84%	4.30%	2.18%	2.44%	2.45%	2.73%	2.90%	1.79%	1.90%	1.93%	3.52%	2.71%	1.91%	2.60%	2.38%	2.13%	2.17%	3.00%	2.58%	2.12%	3.13%	2.4%	1.55%	2.13%	1.62%	3.71%	2.28%	2.14%	2.54%	2.04%	2.42%	2.34%	2.12%	2.34%	2.22%	2.12%	3.27%	1.55%	3.39%	2.38%	2.43%	2.40%	1.40%	4.0%	0.0%	7.40%	0.0%	2.15%	3.25%	2.94%	5.26%					
37	"20. ""Политическая партия ""Единая Россия"""	26357	276	434	505	482	425	323	419	434	389	182	377	272	264	579	157	486	338	456	310	392	382	393	262	434	333	229	383	332	398	474	332	391	437	426	510	520	438	450	427	441	529	500	460	355	394	509	389	338	433	436	209	364	344	289	410	397	486	426	447	341	413	395	382	323	292	85	468	250	22	40	14	11	19	38	41	8	8					
		32.43%	28.87%	33.05%	31.50%	32.45%	31.43%	29.96%	31.69%	31.22%	29.09%	29.02%	26.19%	28.54%	27.61%	34.21%	29.51%	32.10%	33.90%	32.43%	33.54%	37.94%	34.01%	30.87%	32.26%	34.33%	33.16%	30.01%	28.68%	31.73%	31.04%	29.66%	31.40%	31.45%	33.40%	30.51%	33.46%	31.47%	30.84%	35.91%	28.20%	32.81%	32.41%	31.34%	37.09%	34.43%	29.98%	35.99%	32.96%	33.8%	32.12%	34.41%	33.92%	30.03%	32.79%	34.36%	32.64%	33.84%	33.72%	36.97%	32.79%	33.36%	29.58%	40.02%	40.38%	38.54%	35.43%	28.91%	36.73%	35.31%	30.98%	26.66%	31.81%	40.74%	30.64%	40.86%	19.06%	23.52%	21.05%					
38	"21. ""Российская Конституционно-демократическая партия"""	125	1	0	1	3	4	3	1	3	1	2	0	0	1	3	2	2	0	1	1	2	3	0	2	1	1	1	4	4	2	0	4	0	2	1	3	2	1	0	5	4	5	2	1	1	0	2	3	3	1	0	1	4	4	2	1	0	1	4	1	2	0	4	1	1	4	0	2	2	0	0	0	0	0	0	2	0	0					
		0.15%	0.10%	0.0%	0.06%	0.20%	0.29%	0.27%	0.07%	0.21%	0.07%	0.31%	0.0%	0.0%	0.10%	0.17%	0.37%	0.13%	0.0%	0.07%	0.10%	0.19%	0.26%	0.0%	0.24%	0.07%	0.09%	0.13%	0.29%	0.38%	0.15%	0.0%	0.37%	0.0%	0.15%	0.07%	0.19%	0.12%	0.07%	0.0%	0.33%	0.29%	0.30%	0.12%	0.08%	0.09%	0.0%	0.14%	0.25%	0.3%	0.07%	0.0%	0.16%	0.33%	0.38%	0.23%	0.07%	0.0%	0.06%	0.34%	0.07%	0.19%	0.0%	0.40%	0.10%	0.11%	0.48%	0.0%	0.15%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	312	3	3	5	6	10	1	4	3	3	3	5	3	0	2	1	7	2	5	7	4	7	2	3	5	3	3	4	7	10	5	4	7	10	6	5	6	3	2	9	4	4	8	6	7	6	8	2	5	5	4	1	1	2	4	8	6	7	6	6	5	6	0	6	3	1	2	5	1	0	0	1	0	0	0	3	0	1					
		0.38%	0.31%	0.22%	0.31%	0.40%	0.73%	0.09%	0.30%	0.21%	0.22%	0.47%	0.34%	0.31%	0.0%	0.11%	0.18%	0.46%	0.20%	0.35%	0.75%	0.38%	0.62%	0.15%	0.36%	0.39%	0.29%	0.39%	0.29%	0.66%	0.78%	0.31%	0.37%	0.56%	0.76%	0.42%	0.32%	0.36%	0.21%	0.15%	0.59%	0.29%	0.24%	0.50%	0.48%	0.67%	0.45%	0.56%	0.16%	0.5%	0.37%	0.31%	0.16%	0.08%	0.19%	0.47%	0.63%	0.51%	0.48%	0.52%	0.44%	0.48%	0.42%	0.0%	0.63%	0.35%	0.12%	0.68%	0.39%	0.14%	0.0%	0.0%	2.27%	0.0%	0.0%	0.0%	1.39%	0.0%	2.63%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	7080	82	128	131	146	151	135	140	131	168	58	200	125	123	141	41	107	87	99	86	93	94	106	94	123	78	62	135	89	129	140	129	122	146	135	133	164	137	85	95	88	132	141	83	60	95	125	106	84	128	121	55	105	113	67	81	85	109	46	77	60	94	60	54	53	63	18	83	45	12	23	5	0	7	5	17	4	8					
		8.71%	8.57%	9.74%	8.17%	9.83%	11.16%	12.52%	10.59%	9.42%	12.56%	9.25%	13.89%	13.11%	12.86%	8.33%	7.70%	7.06%	8.72%	7.04%	9.30%	9.00%	8.37%	8.32%	11.57%	9.73%	7.76%	8.12%	10.11%	8.50%	10.06%	8.76%	12.20%	9.81%	11.16%	9.67%	8.72%	9.92%	9.64%	6.78%	6.27%	6.54%	8.08%	8.84%	6.69%	5.81%	7.22%	8.84%	8.98%	8.4%	9.49%	9.55%	8.92%	8.66%	10.77%	7.96%	6.44%	7.24%	7.56%	3.99%	5.64%	5.87%	6.73%	6.07%	5.70%	6.32%	7.64%	6.12%	6.51%	6.35%	16.90%	15.33%	11.36%	0.0%	11.29%	5.37%	7.90%	11.76%	21.05%					
																																																																																				
41	Против всех	3414	42	71	68	63	61	34	57	61	73	29	54	45	37	69	23	69	45	53	48	44	45	70	23	41	44	22	56	43	71	65	36	50	44	72	55	68	59	57	78	68	54	55	35	42	71	63	43	38	35	53	28	61	38	32	49	47	70	45	63	47	65	35	32	52	28	11	38	21	7	11	2	4	9	5	10	2	0					
		4.20%	4.39%	5.40%	4.24%	4.24%	4.51%	3.15%	4.31%	4.38%	5.45%	4.62%	3.75%	4.72%	3.87%	4.07%	4.32%	4.55%	4.51%	3.76%	5.19%	4.25%	4.00%	5.49%	2.83%	3.24%	4.38%	2.88%	4.19%	4.11%	5.53%	4.06%	3.40%	4.02%	3.36%	5.15%	3.60%	4.11%	4.15%	4.54%	5.15%	5.05%	3.30%	3.44%	2.82%	4.07%	5.40%	4.45%	3.64%	3.8%	2.59%	4.18%	4.54%	5.03%	3.62%	3.80%	3.90%	4.00%	4.85%	3.90%	4.62%	4.59%	4.65%	3.54%	3.38%	6.20%	3.39%	3.74%	2.98%	2.96%	9.85%	7.33%	4.54%	14.81%	14.51%	5.37%	4.65%	5.88%	0.0%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
