Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																																																									
																																																																																																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №3																																																																																																																																																									
																																																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																									
																																																																																																																																																									
		Сумма	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №645	УИК №646	УИК №647	УИК №648	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №732	УИК №733									
		0.21%	0.17%	0.17%	0.73%	0.18%	0.16%	0.17%	0.00%	0.16%	0.00%	0.34%	0.00%	0.17%	0.16%	0.19%	0.34%	0.00%	0.23%	0.13%	0.20%	0.23%	0.00%	0.16%	0.27%	0.23%	0.00%	0.23%	0.00%	0.27%	0.34%	0.00%	0.00%	0.00%	0.44%	0.19%	0.29%	0.41%	0.00%	0.00%	0.22%	0.13%	0.14%	0.00%	0.13%	0.52%	0.00%	0.15%	0.00%	0.00%	0.47%	0.00%	0.38%	0.55%	0.15%	0.17%	0.68%	0.24%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	10.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4040	79	65	57	57	72	74	56	78	76	55	58	85	96	71	38	87	36	74	48	52	44	64	63	50	50	46	48	60	68	53	73	51	49	63	55	59	64	59	37	86	111	85	84	89	62	73	91	75	96	59	59	89	76	64	67	87	17	1	2	1	0	5	2	1	1	0	3	1	4	1	1	4	3	2	4	4	3	5	1	0	3	1	5	3	3	1	4	5	1	3	2	2	4	1	4	2	3	1	4	3	3	0	2	4	2	1	2	4	2	7	2	5	1	2	7	3	4	2	1	3	8	4	4	3	3	1	7	11	7	14	4	5	19	2	2	6	1	7	11	8	5	7									
		11.97%	13.81%	11.28%	13.94%	10.40%	11.78%	12.33%	11.86%	12.66%	13.64%	9.40%	13.88%	14.10%	15.74%	13.35%	12.75%	13.85%	8.41%	9.61%	9.78%	11.85%	7.75%	10.39%	8.55%	11.26%	13.12%	10.67%	10.28%	8.22%	11.66%	9.78%	15.53%	10.65%	10.84%	11.75%	7.91%	12.11%	11.99%	11.59%	7.97%	11.13%	15.12%	13.84%	11.23%	11.63%	12.02%	11.25%	16.25%	11.74%	15.19%	10.87%	11.13%	12.14%	11.53%	10.65%	9.05%	10.44%	15.74%	9.09%	20.00%	10.00%	0.00%	41.67%	16.67%	10.00%	7.14%	0.00%	27.27%	9.09%	36.36%	9.09%	9.09%	33.33%	25.00%	18.18%	36.36%	36.36%	30.00%	50.00%	8.33%	0.00%	25.00%	9.09%	38.46%	30.00%	30.00%	10.00%	36.36%	50.00%	10.00%	33.33%	18.18%	20.00%	40.00%	11.11%	40.00%	20.00%	30.00%	10.00%	36.36%	25.00%	25.00%	0.00%	16.67%	36.36%	18.18%	9.09%	15.38%	40.00%	18.18%	58.33%	20.00%	45.45%	8.33%	7.69%	23.33%	11.54%	17.39%	10.53%	4.76%	12.00%	30.77%	16.67%	18.18%	15.00%	13.04%	5.00%	31.82%	30.56%	16.67%	41.18%	9.09%	22.73%	11.66%	40.00%	6.67%	21.43%	5.56%	26.92%	39.29%	28.57%	23.81%	26.92%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	740	18	18	7	14	18	17	10	14	14	17	16	4	17	7	6	13	12	14	8	10	12	14	21	7	6	16	6	24	20	12	13	13	9	21	17	12	5	18	10	16	10	14	19	15	12	14	10	11	11	7	9	11	13	10	17	11	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0									
		2.19%	3.15%	3.13%	1.71%	2.55%	2.95%	2.83%	2.12%	2.27%	2.51%	2.91%	3.83%	0.66%	2.79%	1.32%	2.01%	2.07%	2.80%	1.82%	1.63%	2.28%	2.11%	2.27%	2.85%	1.58%	1.57%	3.71%	1.28%	3.29%	3.43%	2.21%	2.77%	2.71%	1.99%	3.92%	2.45%	2.46%	0.94%	3.54%	2.16%	2.07%	1.36%	2.28%	2.54%	1.96%	2.33%	2.16%	1.79%	1.72%	1.74%	1.29%	1.70%	1.50%	1.97%	1.66%	2.30%	1.32%	0.00%	9.09%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	9.09%	0.00%	0.00%	27.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.33%	11.54%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3149	51	46	30	61	74	64	41	43	48	45	26	59	52	36	20	37	40	80	44	50	91	70	99	50	62	61	30	79	57	63	40	42	55	57	61	39	43	47	46	86	56	42	71	90	43	71	47	61	50	60	62	59	64	55	98	55	8	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	2	1	1	0	0	0	3	0	1	3	0	0	0	0	0	0	0	0	0	6	0	1	1	0	0	1	0	0	1									
		9.33%	8.92%	7.99%	7.33%	11.13%	12.11%	10.67%	8.69%	6.98%	8.62%	7.69%	6.22%	9.78%	8.52%	6.77%	6.71%	5.89%	9.35%	10.39%	8.96%	11.39%	16.02%	11.36%	13.43%	11.26%	16.27%	14.15%	6.42%	10.82%	9.78%	11.62%	8.51%	8.77%	12.17%	10.63%	8.78%	8.01%	8.05%	9.23%	9.91%	11.13%	7.63%	6.84%	9.49%	11.76%	8.33%	10.94%	8.39%	9.55%	7.91%	11.05%	11.70%	8.05%	9.71%	9.15%	13.24%	6.60%	7.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	20.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	20.00%	9.09%	0.00%	7.69%	3.33%	3.85%	0.00%	0.00%	0.00%	12.00%	0.00%	4.17%	13.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.68%	0.00%	3.33%	3.57%	0.00%	0.00%	3.57%	0.00%	0.00%	3.85%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	154	0	2	1	1	3	0	0	1	4	2	0	4	0	1	0	2	2	4	3	1	2	2	1	1	1	1	2	0	1	0	0	1	2	1	0	0	2	2	1	2	2	1	5	6	1	1	1	1	2	3	59	0	1	2	1	6	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0									
		0.46%	0.00%	0.35%	0.24%	0.18%	0.49%	0.00%	0.00%	0.16%	0.72%	0.34%	0.00%	0.66%	0.00%	0.19%	0.00%	0.32%	0.47%	0.52%	0.61%	0.23%	0.35%	0.32%	0.14%	0.23%	0.26%	0.23%	0.43%	0.00%	0.17%	0.00%	0.00%	0.21%	0.44%	0.19%	0.00%	0.00%	0.37%	0.39%	0.22%	0.26%	0.27%	0.16%	0.67%	0.78%	0.19%	0.15%	0.18%	0.16%	0.32%	0.55%	11.13%	0.00%	0.15%	0.33%	0.14%	0.72%	0.00%	0.00%	0.00%	20.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	3.85%	0.00%	0.00%	0.00%	0.00%	5.00%	0.00%	0.00%	2.38%	0.00%	2.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3122	59	49	29	41	61	61	31	61	40	59	42	52	44	32	17	34	55	88	69	53	69	61	75	66	48	63	44	86	67	67	38	35	41	53	64	37	52	52	56	82	41	72	75	81	45	53	44	56	61	48	58	53	44	66	74	79	3	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	2	0	0	1	0	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0	0	3	0	0	0	0	0	0	1	0	9	0	0	2	0	0	0	0	0	0									
		9.25%	10.31%	8.51%	7.09%	7.48%	9.98%	10.17%	6.57%	9.90%	7.18%	10.09%	10.05%	8.62%	7.21%	6.02%	5.70%	5.41%	12.85%	11.43%	14.05%	12.07%	12.15%	9.90%	10.18%	14.86%	12.60%	14.62%	9.42%	11.78%	11.49%	12.36%	8.09%	7.31%	9.07%	9.89%	9.21%	7.60%	9.74%	10.22%	12.07%	10.61%	5.59%	11.73%	10.03%	10.59%	8.72%	8.17%	7.86%	8.76%	9.65%	8.84%	10.94%	7.23%	6.68%	10.98%	10.00%	9.48%	2.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	0.00%	8.33%	16.67%	0.00%	0.00%	9.09%	0.00%	0.00%	8.33%	8.33%	8.33%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	0.00%	3.85%	3.33%	0.00%	4.35%	5.26%	4.76%	0.00%	0.00%	0.00%	0.00%	15.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.27%	0.00%	5.52%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3873	73	81	65	53	68	78	46	71	53	59	62	87	74	5	44	86	63	102	64	53	69	67	84	41	43	40	65	75	69	55	50	51	59	39	70	60	53	60	74	86	82	51	86	86	69	93	71	76	66	72	1	82	79	82	99	114	10	1	2	1	3	2	1	0	5	2	1	2	0	3	3	0	0	4	1	1	0	0	0	1	5	0	1	0	1	3	0	1	0	1	0	0	1	0	0	2	1	0	1	1	2	0	0	1	4	7	4	2	1	0	1	0	1	2	1	2	1	4	12	1	5	1	2	2	2	2	0	1	4	1	5	1	7	1	1	3	6	4	3	1	3	5									
		11.47%	12.76%	14.06%	15.89%	9.67%	11.13%	13.00%	9.75%	11.53%	9.52%	10.09%	14.83%	14.43%	12.13%	0.94%	14.77%	13.69%	14.72%	13.25%	13.03%	12.07%	12.15%	10.88%	11.40%	9.23%	11.29%	9.28%	13.92%	10.27%	11.84%	10.15%	10.64%	10.65%	13.05%	7.28%	10.07%	12.32%	9.93%	11.79%	15.95%	11.13%	11.17%	8.31%	11.50%	11.24%	13.37%	14.33%	12.68%	11.89%	10.44%	13.26%	0.19%	11.19%	11.99%	13.64%	13.38%	13.69%	9.26%	9.09%	20.00%	10.00%	25.00%	16.67%	8.33%	0.00%	35.71%	20.00%	9.09%	18.18%	0.00%	27.27%	27.27%	0.00%	0.00%	36.36%	9.09%	9.09%	0.00%	0.00%	0.00%	8.33%	41.67%	0.00%	7.69%	0.00%	10.00%	30.00%	0.00%	10.00%	0.00%	11.11%	0.00%	0.00%	10.00%	0.00%	0.00%	20.00%	10.00%	0.00%	9.09%	8.33%	16.67%	0.00%	0.00%	9.09%	36.36%	63.64%	30.77%	20.00%	9.09%	0.00%	10.00%	0.00%	8.33%	7.69%	3.33%	7.69%	4.35%	21.05%	57.14%	4.00%	19.23%	4.17%	9.09%	10.00%	8.70%	10.00%	0.00%	2.78%	9.52%	2.94%	11.36%	4.55%	4.29%	20.00%	3.33%	10.71%	33.33%	15.38%	10.71%	3.57%	14.29%	19.23%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	186	1	0	3	2	5	2	1	0	4	1	3	2	5	3	2	5	3	5	1	2	0	0	3	1	5	2	1	2	5	1	2	2	1	3	2	1	1	2	0	3	4	2	4	5	1	4	3	2	0	2	48	2	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	2	1	1	1	4	0	0	0	0	0	0	0	0	0									
		0.55%	0.17%	0.00%	0.73%	0.36%	0.82%	0.33%	0.21%	0.00%	0.72%	0.17%	0.72%	0.33%	0.82%	0.56%	0.67%	0.80%	0.70%	0.65%	0.20%	0.46%	0.00%	0.00%	0.41%	0.23%	1.31%	0.46%	0.21%	0.27%	0.86%	0.18%	0.43%	0.42%	0.22%	0.56%	0.29%	0.21%	0.19%	0.39%	0.00%	0.39%	0.54%	0.33%	0.53%	0.65%	0.19%	0.62%	0.54%	0.31%	0.00%	0.37%	9.06%	0.27%	0.15%	0.17%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	5.00%	4.35%	0.00%	0.00%	0.00%	4.76%	2.94%	2.27%	4.55%	2.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2606	31	26	26	37	24	45	32	42	32	41	22	38	44	51	20	44	26	88	53	45	51	66	75	40	22	32	57	96	47	64	41	58	45	66	41	29	29	44	43	59	43	60	58	52	38	50	44	54	42	31	0	56	50	59	57	71	5	1	0	1	0	0	0	1	0	0	0	1	0	1	2	0	1	0	0	0	0	0	0	4	0	0	1	0	1	0	1	1	2	0	0	0	1	1	0	0	1	1	0	0	1	0	2	0	0	0	1	0	1	0	1	1	0	0	2	1	0	2	0	1	0	0	1	0	3	0	1	1	4	3	0	1	7	0	1	2	2	2	0	0	1	0									
		7.72%	5.42%	4.51%	6.36%	6.75%	3.93%	7.50%	6.78%	6.82%	5.75%	7.01%	5.26%	6.30%	7.21%	9.59%	6.71%	7.01%	6.07%	11.43%	10.79%	10.25%	8.98%	10.71%	10.18%	9.01%	5.77%	7.42%	12.21%	13.15%	8.06%	11.81%	8.72%	12.11%	9.96%	12.31%	5.90%	5.95%	5.43%	8.64%	9.27%	7.63%	5.86%	9.77%	7.75%	6.80%	7.36%	7.70%	7.86%	8.45%	6.65%	5.71%	0.00%	7.64%	7.59%	9.82%	7.70%	8.52%	4.63%	9.09%	0.00%	10.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	9.09%	0.00%	9.09%	18.18%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	33.33%	0.00%	0.00%	7.69%	0.00%	10.00%	0.00%	9.09%	10.00%	20.00%	0.00%	0.00%	0.00%	10.00%	11.11%	0.00%	0.00%	10.00%	10.00%	0.00%	0.00%	8.33%	0.00%	16.67%	0.00%	0.00%	0.00%	7.69%	0.00%	9.09%	0.00%	10.00%	9.09%	0.00%	0.00%	6.67%	3.85%	0.00%	10.53%	0.00%	4.00%	0.00%	0.00%	4.55%	0.00%	13.04%	0.00%	4.55%	2.78%	9.52%	8.82%	0.00%	4.55%	4.29%	0.00%	3.33%	7.14%	11.11%	7.69%	0.00%	0.00%	4.76%	0.00%									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
																																																																																																																																																									
