Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																	
Дата голосования: 18.09.2016																																																																																																																	
																																																																																																																	
Наименование Избирательной комиссии:    Нальчикская городская																																																																																																																	
																																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																	
																																																																																																																	
		Сумма	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	46	0	0	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	2	0	1	0	2	0	2	0	1	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	2	0	1	0	3	0	0	1	0	2	0	0	0	0	1	0	1	0	0	2	0	0	2	0	1	0	0	0	2	0	1	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0									
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.10%	0.00%	0.00%	0.22%	0.00%	0.06%	0.00%	0.13%	0.00%	0.15%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.19%	0.00%	0.00%	0.10%	0.00%	0.10%	0.00%	0.00%	0.06%	0.00%	0.00%	0.07%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.17%	0.00%	0.11%	0.00%	0.47%	0.00%	0.00%	0.09%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.07%	0.00%	0.00%	0.18%	0.00%	0.00%	0.21%	0.00%	0.05%	0.00%	0.00%	0.00%	0.15%	0.00%	0.06%	0.08%	0.00%	0.00%	0.00%	0.06%	0.10%	0.00%	0.00%	0.09%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	27713	401	151	223	234	224	127	212	292	224	216	334	315	345	347	339	352	230	160	246	301	229	291	276	267	192	225	234	263	352	98	343	239	374	147	156	386	197	291	202	398	311	349	251	332	273	350	368	424	378	440	227	280	134	234	279	234	227	404	175	235	121	222	217	213	244	321	277	219	241	392	235	448	277	124	228	214	187	183	183	418	422	265	397	177	261	315	323	231	313	231	285	346	199	396	255	223	308	339	276	369	238	242									
		19.11%	17.25%	13.88%	15.92%	17.12%	18.20%	17.84%	18.78%	16.98%	18.42%	19.05%	15.34%	19.28%	19.03%	16.97%	16.10%	18.99%	18.82%	17.70%	19.45%	18.41%	19.44%	19.62%	19.02%	19.65%	19.22%	19.08%	19.95%	19.41%	19.40%	19.88%	19.88%	18.98%	19.63%	14.13%	19.26%	19.48%	18.91%	19.56%	19.39%	19.54%	19.66%	19.70%	19.76%	19.81%	19.44%	19.80%	19.77%	19.87%	19.83%	19.78%	19.29%	19.30%	19.31%	19.12%	19.25%	19.10%	19.24%	19.78%	19.25%	19.28%	19.03%	20.40%	19.17%	19.60%	19.85%	19.72%	19.13%	19.30%	19.63%	20.14%	19.97%	19.33%	19.18%	19.56%	20.12%	19.60%	19.62%	21.03%	19.10%	20.00%	20.19%	19.41%	19.38%	18.34%	19.25%	19.22%	19.82%	19.63%	19.17%	19.64%	19.55%	19.09%	19.13%	19.87%	19.38%	19.51%	19.99%	19.14%	19.60%	19.31%	19.52%	20.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	342	4	2	5	4	3	2	2	3	7	2	4	2	5	6	6	2	1	8	2	1	2	4	6	2	4	3	2	3	3	0	5	2	4	1	7	3	2	1	3	6	3	2	3	5	2	5	4	3	7	1	2	4	1	3	4	1	2	3	8	4	3	2	2	7	2	4	2	3	5	3	5	2	6	1	2	1	1	1	2	2	1	3	4	2	5	3	7	1	2	5	1	8	2	6	3	4	1	5	7	8	4	3									
		0.24%	0.17%	0.18%	0.36%	0.29%	0.24%	0.28%	0.18%	0.17%	0.58%	0.18%	0.18%	0.12%	0.28%	0.29%	0.29%	0.11%	0.08%	0.88%	0.16%	0.06%	0.17%	0.27%	0.41%	0.15%	0.40%	0.25%	0.17%	0.22%	0.17%	0.00%	0.29%	0.16%	0.21%	0.10%	0.86%	0.15%	0.19%	0.07%	0.29%	0.29%	0.19%	0.11%	0.24%	0.30%	0.14%	0.28%	0.21%	0.14%	0.37%	0.04%	0.17%	0.28%	0.14%	0.25%	0.28%	0.08%	0.17%	0.15%	0.88%	0.33%	0.47%	0.18%	0.18%	0.64%	0.16%	0.25%	0.14%	0.26%	0.41%	0.15%	0.42%	0.09%	0.42%	0.16%	0.18%	0.09%	0.10%	0.11%	0.21%	0.10%	0.05%	0.22%	0.20%	0.21%	0.37%	0.18%	0.43%	0.08%	0.12%	0.43%	0.07%	0.44%	0.19%	0.30%	0.23%	0.35%	0.06%	0.28%	0.50%	0.42%	0.33%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3091	47	29	28	30	25	24	23	37	25	22	48	32	41	27	28	39	29	23	35	28	25	28	32	30	21	25	19	29	38	12	38	27	39	21	18	41	22	32	27	43	35	37	30	36	35	41	38	41	37	41	24	36	14	27	31	25	28	47	19	28	16	20	18	26	21	28	36	29	23	33	28	47	30	16	24	24	21	18	32	41	26	28	42	23	30	34	38	27	35	29	39	42	24	48	38	26	31	43	27	41	27	25									
		2.13%	2.02%	2.67%	1.99%	2.19%	2.03%	3.37%	2.04%	2.15%	2.06%	1.94%	2.20%	1.96%	2.26%	1.32%	1.33%	2.10%	2.37%	2.54%	2.77%	1.71%	2.12%	1.89%	2.21%	2.21%	2.10%	2.12%	1.62%	2.14%	2.09%	2.43%	2.20%	2.14%	2.05%	2.02%	2.22%	2.07%	2.11%	2.15%	2.59%	2.11%	2.21%	2.09%	2.36%	2.15%	2.49%	2.32%	2.04%	1.92%	1.94%	1.84%	2.04%	2.48%	2.02%	2.21%	2.14%	2.04%	2.37%	2.30%	2.09%	2.30%	2.52%	1.84%	1.59%	2.39%	1.71%	1.72%	2.49%	2.56%	1.87%	1.70%	2.38%	2.03%	2.08%	2.52%	2.12%	2.20%	2.20%	2.07%	3.34%	1.96%	1.24%	2.05%	2.05%	2.38%	2.21%	2.07%	2.33%	2.29%	2.14%	2.47%	2.67%	2.32%	2.31%	2.41%	2.89%	2.27%	2.01%	2.43%	1.92%	2.15%	2.21%	2.12%									
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
																																																																																																																	
