Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																						
Дата голосования: 18.09.2016																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Петропавловск-Камчатская городская (судовая)																																																																																																																						
																																																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																						
																																																																																																																						
		Сумма	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №305	УИК №306	УИК №307	УИК №308	УИК №310									
		0.23%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.86%	0.00%	0.00%	2.08%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.76%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	6	0	5	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.58%	0.00%	2.90%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	0.00%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	17.86%	0.00%	5.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.23%	0.00%	0.00%	0.00%	3.57%	0.00%	0.00%	0.00%	0.00%	0.00%	5.17%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	5.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	268	7	9	13	4	9	1	4	3	0	3	1	6	7	2	5	4	5	1	4	3	3	0	0	0	0	3	1	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	4	1	0	5	4	4	4	1	5	1	2	2	1	9	2	4	1	5	6	0	5	2	8	2	6	0	0	4	0	3	0	0	1	6	7	1	1	0	4	2	2	0	0	2	1	5	4	1	0	5	8	3	2	0	1	1	0	7	6	0	2	2									
		6.25%	13.73%	13.04%	19.12%	9.52%	7.20%	4.55%	14.81%	11.11%	0.00%	13.64%	4.55%	8.33%	13.73%	2.86%	7.14%	16.67%	21.74%	2.08%	9.30%	10.71%	10.34%	0.00%	0.00%	0.00%	0.00%	3.23%	1.06%	1.08%	0.00%	1.09%	0.00%	1.37%	0.00%	0.00%	1.08%	0.00%	0.00%	0.00%	4.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.65%	7.14%	0.00%	16.13%	4.35%	16.00%	6.78%	3.57%	16.67%	3.33%	8.00%	16.67%	10.00%	15.52%	11.76%	28.57%	1.85%	29.41%	27.27%	0.00%	4.10%	2.60%	29.63%	2.38%	6.74%	0.00%	0.00%	21.05%	0.00%	15.00%	0.00%	0.00%	5.26%	31.58%	15.56%	6.25%	6.25%	0.00%	19.05%	40.00%	13.33%	0.00%	0.00%	12.50%	6.67%	23.81%	22.22%	5.26%	0.00%	22.73%	17.78%	6.82%	3.51%	0.00%	5.88%	3.70%	0.00%	15.22%	60.00%	0.00%	20.00%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0									
		0.33%	0.00%	0.00%	0.00%	2.38%	0.00%	0.00%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	2.17%	0.00%	1.69%	0.00%	0.00%	0.00%	4.00%	8.33%	0.00%	1.72%	0.00%	0.00%	0.00%	5.88%	4.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	98	3	2	3	4	2	2	3	0	1	4	0	1	1	2	1	1	0	5	0	3	2	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	2	3	2	1	1	1	0	4	0	0	0	1	0	0	1	1	2	0	0	2	0	2	0	1	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	2	0	0	0	2	0	2	0	0	1	1	2	0	0	5	3									
		2.29%	5.88%	2.90%	4.41%	9.52%	1.60%	9.09%	11.11%	0.00%	4.35%	18.18%	0.00%	1.39%	1.96%	2.86%	1.43%	4.17%	0.00%	10.42%	0.00%	10.71%	6.90%	5.00%	2.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.81%	0.00%	15.38%	9.68%	2.17%	4.00%	1.69%	3.57%	0.00%	13.33%	0.00%	0.00%	0.00%	1.72%	0.00%	0.00%	1.85%	5.88%	9.09%	0.00%	0.00%	2.60%	0.00%	2.38%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.44%	0.00%	0.00%	0.00%	19.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	11.11%	0.00%	0.00%	0.00%	4.44%	0.00%	3.51%	0.00%	0.00%	3.70%	3.70%	4.35%	0.00%	0.00%	50.00%	21.43%									
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
