Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																																																																																								
																																																																																																																																																																																																								
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																																																																																																																								
																																																																																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																																																																																								
																																																																																																																																																																																																								
		Сумма	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545	УИК №2546	УИК №2547	УИК №2548	УИК №2549	УИК №2550	УИК №2551	УИК №2552	УИК №2553	УИК №2554	УИК №2555	УИК №2556	УИК №2557	УИК №2558	УИК №2559	УИК №2560	УИК №2561	УИК №2562	УИК №2563	УИК №2564	УИК №2565	УИК №2566	УИК №2567	УИК №2568	УИК №2569	УИК №2570	УИК №2571	УИК №2572	УИК №2573	УИК №2574	УИК №2575	УИК №2576	УИК №2577	УИК №2578	УИК №2579	УИК №2580	УИК №2581	УИК №2582	УИК №2583	УИК №2584	УИК №2585	УИК №2586	УИК №2587	УИК №2588	УИК №2589	УИК №2590	УИК №2591	УИК №2592	УИК №2593	УИК №2594	УИК №3000	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055	УИК №3056	УИК №3057	УИК №3058	УИК №3059	УИК №3060	УИК №3061	УИК №3062	УИК №3063	УИК №3064	УИК №3065	УИК №3066	УИК №3067	УИК №3068	УИК №3069	УИК №3070	УИК №3071	УИК №3072	УИК №3073	УИК №3074	УИК №3075	УИК №3076	УИК №3077	УИК №3078	УИК №3079	УИК №3081	УИК №3082	УИК №3083	УИК №3084	УИК №3085	УИК №3088	УИК №3089	УИК №3090	УИК №3091	УИК №3092	УИК №3093	УИК №3094	УИК №3095	УИК №3096	УИК №3097	УИК №3099	УИК №3101	УИК №3103	УИК №3104	УИК №3105	УИК №3106	УИК №3107	УИК №3108	УИК №3109	УИК №3111	УИК №3113	УИК №3114	УИК №3116	УИК №3117	УИК №3118	УИК №3119	УИК №3120	УИК №3121	УИК №3122	УИК №3123	УИК №3125	УИК №3126	УИК №3127	УИК №3128	УИК №3129	УИК №3130	УИК №3131	УИК №3132	УИК №3133	УИК №3134	УИК №8026	УИК №8027	УИК №8031	УИК №8032	УИК №8033	УИК №8034									
		2.37%	1.53%	2.35%	1.06%	1.60%	1.69%	3.20%	2.52%	2.70%	1.59%	2.90%	3.44%	1.40%	2.58%	2.77%	2.26%	3.93%	2.96%	1.86%	1.76%	2.57%	1.02%	2.34%	2.77%	3.78%	2.74%	2.54%	3.13%	2.64%	2.38%	3.54%	3.30%	1.85%	2.28%	3.73%	1.65%	3.03%	3.73%	1.81%	1.81%	1.86%	3.29%	2.20%	2.04%	3.18%	1.82%	6.13%	2.56%	2.01%	2.33%	1.72%	1.89%	1.83%	2.06%	1.78%	2.66%	3.08%	2.86%	3.26%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	9.09%	8.33%	0.00%	0.00%	0.00%	40.00%	0.00%	0.00%	10.00%	0.00%	8.33%	0.00%	0.00%	0.00%	9.09%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	0.00%	15.38%	0.00%	0.00%	0.00%	15.38%	0.00%	0.00%	0.00%	0.00%	15.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	25.00%	8.33%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	2.41%	3.06%	1.96%	1.33%	0.86%	1.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16079	201	204	246	159	187	218	109	148	249	214	130	62	200	93	178	139	103	186	208	240	281	235	113	203	151	164	190	247	197	159	278	292	199	106	339	267	698	215	231	73	225	448	249	254	238	115	228	213	111	164	254	275	270	281	214	80	190	148	8	1	3	6	2	4	4	2	1	2	2	9	7	5	2	2	3	3	4	0	6	5	5	6	2	2	9	0	4	12	1	8	10	3	9	6	3	7	6	5	2	4	4	4	7	4	5	6	6	6	5	1	8	7	3	8	6	2	1	1	4	6	7	6	2	5	7	5	1	9	6	6	5	4	3	6	6	9	1	4	4	2	3	1	2	4	1	0	8	6	6	8	0	5	2	7	7	6	2	6	8	8	1	12	9	9	6	5	7	6	5	1	6	5	0	5	9	1	2	1	2	3	1	0	3	821	561	259	660	725	418									
		40.22%	38.51%	31.92%	32.54%	36.30%	35.15%	38.79%	39.21%	33.33%	39.52%	32.67%	29.82%	28.84%	32.31%	36.76%	36.55%	34.15%	30.47%	34.57%	30.50%	32.52%	41.02%	30.56%	28.46%	30.66%	34.47%	32.09%	37.18%	34.31%	29.36%	31.24%	34.03%	38.68%	34.97%	39.55%	46.50%	40.39%	50.99%	38.81%	38.06%	45.34%	35.21%	49.18%	36.30%	38.48%	39.40%	32.03%	36.48%	35.74%	37.00%	25.59%	36.92%	38.68%	34.79%	35.71%	35.55%	30.77%	49.35%	43.92%	66.67%	8.33%	23.08%	46.15%	16.67%	40.00%	30.77%	20.00%	8.33%	20.00%	18.18%	75.00%	63.64%	45.45%	18.18%	18.18%	25.00%	27.27%	33.33%	0.00%	50.00%	41.67%	45.45%	50.00%	18.18%	16.67%	75.00%	0.00%	33.33%	100.00%	10.00%	66.67%	83.33%	25.00%	75.00%	50.00%	27.27%	53.85%	50.00%	41.67%	16.67%	33.33%	33.33%	30.77%	70.00%	36.36%	55.56%	60.00%	50.00%	66.67%	55.56%	11.11%	88.89%	77.78%	27.27%	88.89%	66.67%	14.29%	10.00%	6.67%	33.33%	50.00%	77.78%	46.15%	15.38%	41.67%	53.85%	45.45%	8.33%	69.23%	46.15%	50.00%	45.45%	40.00%	23.08%	46.15%	50.00%	100.00%	25.00%	33.33%	33.33%	25.00%	25.00%	20.00%	18.18%	33.33%	8.33%	0.00%	66.67%	50.00%	50.00%	66.67%	0.00%	41.67%	16.67%	63.64%	58.33%	50.00%	16.67%	50.00%	66.67%	66.67%	11.11%	92.31%	81.82%	69.23%	60.00%	41.67%	53.85%	60.00%	45.45%	8.33%	50.00%	41.67%	0.00%	41.67%	64.29%	12.50%	25.00%	12.50%	25.00%	33.33%	10.00%	0.00%	27.27%	61.78%	57.19%	72.35%	67.42%	62.07%	64.01%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	495	7	7	5	8	6	7	3	5	13	7	10	5	7	4	4	15	7	13	13	13	5	14	4	5	9	14	4	6	6	9	18	5	9	2	10	7	10	12	10	2	3	4	0	7	6	7	6	2	2	1	9	3	14	5	12	2	4	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	22	13	0	13	11	8									
		1.24%	1.34%	1.10%	0.66%	1.83%	1.13%	1.25%	1.08%	1.13%	2.06%	1.07%	2.29%	2.33%	1.13%	1.58%	0.82%	3.69%	2.07%	2.42%	1.91%	1.76%	0.73%	1.82%	1.01%	0.76%	2.05%	2.74%	0.78%	0.83%	0.89%	1.77%	2.20%	0.66%	1.58%	0.75%	1.37%	1.06%	0.73%	2.17%	1.65%	1.24%	0.47%	0.44%	0.00%	1.06%	0.99%	1.95%	0.96%	0.34%	0.67%	0.16%	1.31%	0.42%	1.80%	0.64%	1.99%	0.77%	1.04%	1.19%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	8.33%	0.00%	0.00%	8.33%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	7.69%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	12.50%	12.50%	0.00%	0.00%	0.00%	0.00%	1.66%	1.33%	0.00%	1.33%	0.94%	1.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	91	2	3	1	1	3	3	2	1	0	2	4	1	0	0	2	3	2	2	0	2	0	0	1	2	1	3	3	2	2	3	1	1	1	0	2	0	2	0	4	1	1	2	0	1	0	0	0	2	0	0	2	1	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	5	1									
		0.23%	0.38%	0.47%	0.13%	0.23%	0.56%	0.53%	0.72%	0.23%	0.00%	0.31%	0.92%	0.47%	0.00%	0.00%	0.41%	0.74%	0.59%	0.37%	0.00%	0.27%	0.00%	0.00%	0.25%	0.30%	0.23%	0.59%	0.59%	0.28%	0.30%	0.59%	0.12%	0.13%	0.18%	0.00%	0.27%	0.00%	0.15%	0.00%	0.66%	0.62%	0.16%	0.22%	0.00%	0.15%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.29%	0.14%	0.26%	0.13%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	25.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.10%	0.43%	0.15%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5091	54	50	82	41	53	49	25	52	67	61	37	27	67	43	47	48	36	50	73	64	58	70	40	63	52	57	59	77	82	58	79	78	65	41	77	63	256	68	72	21	72	86	61	77	74	35	92	84	37	100	97	89	91	134	72	42	37	44	4	11	6	6	8	2	5	5	7	7	6	0	2	1	9	8	1	4	1	12	6	1	2	2	6	4	3	0	8	0	6	2	0	8	2	3	6	1	0	4	0	5	7	7	2	3	3	2	3	3	4	3	1	1	4	0	0	5	6	8	6	3	0	6	9	4	2	2	10	2	3	4	3	5	8	3	3	0	1	0	3	5	3	4	6	5	2	0	4	4	4	2	8	6	10	3	4	3	5	5	1	3	7	0	1	3	2	4	2	1	4	4	1	3	1	3	3	1	3	1	4	5	3	0	6	89	182	12	173	254	133									
		12.74%	10.34%	7.82%	10.85%	9.36%	9.96%	8.72%	8.99%	11.71%	10.63%	9.31%	8.49%	12.56%	10.82%	16.99%	9.65%	11.79%	10.65%	9.29%	10.70%	8.67%	8.47%	9.10%	10.08%	9.52%	11.87%	11.15%	11.55%	10.69%	12.22%	11.39%	9.67%	10.33%	11.42%	15.30%	10.56%	9.53%	18.70%	12.27%	11.86%	13.04%	11.27%	9.44%	8.89%	11.67%	12.25%	9.75%	14.72%	14.09%	12.33%	15.60%	14.10%	12.52%	11.73%	17.03%	11.96%	16.15%	9.61%	13.06%	33.33%	91.67%	46.15%	46.15%	66.67%	20.00%	38.46%	50.00%	58.33%	70.00%	54.55%	0.00%	18.18%	9.09%	81.82%	72.73%	8.33%	36.36%	8.33%	100.00%	50.00%	8.33%	18.18%	16.67%	54.55%	33.33%	25.00%	0.00%	66.67%	0.00%	60.00%	16.67%	0.00%	66.67%	16.67%	25.00%	54.55%	7.69%	0.00%	33.33%	0.00%	41.67%	58.33%	53.85%	20.00%	27.27%	33.33%	20.00%	25.00%	33.33%	44.44%	33.33%	11.11%	11.11%	36.36%	0.00%	0.00%	35.71%	60.00%	53.33%	50.00%	25.00%	0.00%	46.15%	69.23%	33.33%	15.38%	18.18%	83.33%	15.38%	23.08%	33.33%	27.27%	50.00%	61.54%	23.08%	25.00%	0.00%	25.00%	0.00%	25.00%	62.50%	25.00%	80.00%	54.55%	41.67%	16.67%	0.00%	33.33%	33.33%	33.33%	16.67%	66.67%	50.00%	83.33%	27.27%	33.33%	25.00%	41.67%	41.67%	8.33%	25.00%	77.78%	0.00%	9.09%	23.08%	20.00%	33.33%	15.38%	10.00%	36.36%	33.33%	8.33%	25.00%	8.33%	25.00%	21.43%	12.50%	37.50%	12.50%	50.00%	55.56%	30.00%	0.00%	54.55%	6.70%	18.55%	3.35%	17.67%	21.75%	20.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	861	24	16	19	21	17	18	15	5	19	18	14	4	11	9	22	16	16	11	18	18	14	19	21	19	6	15	7	15	14	10	22	11	18	5	19	19	12	15	16	5	14	10	16	5	5	14	13	8	9	23	9	23	15	20	18	7	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	24	2	2	2	9	6									
		2.15%	4.60%	2.50%	2.51%	4.79%	3.20%	3.20%	5.40%	1.13%	3.02%	2.75%	3.21%	1.86%	1.78%	3.56%	4.52%	3.93%	4.73%	2.04%	2.64%	2.44%	2.04%	2.47%	5.29%	2.87%	1.37%	2.94%	1.37%	2.08%	2.09%	1.96%	2.69%	1.46%	3.16%	1.87%	2.61%	2.87%	0.88%	2.71%	2.64%	3.11%	2.19%	1.10%	2.33%	0.76%	0.83%	3.90%	2.08%	1.34%	3.00%	3.59%	1.31%	3.23%	1.93%	2.54%	2.99%	2.69%	0.52%	0.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	9.09%	8.33%	0.00%	0.00%	0.00%	0.00%	16.67%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.81%	0.20%	0.56%	0.20%	0.77%	0.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1285	33	31	30	18	23	30	18	15	30	31	20	2	29	6	15	16	18	29	34	40	34	28	24	34	21	25	18	23	21	11	19	17	18	1	20	24	15	28	40	3	14	31	25	16	18	7	18	10	14	19	31	20	40	37	21	12	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	20	1	2	6	5	4									
		3.21%	6.32%	4.85%	3.97%	4.11%	4.32%	5.34%	6.47%	3.38%	4.76%	4.73%	4.59%	0.93%	4.68%	2.37%	3.08%	3.93%	5.33%	5.39%	4.99%	5.42%	4.96%	3.64%	6.05%	5.14%	4.79%	4.89%	3.52%	3.19%	3.13%	2.16%	2.33%	2.25%	3.16%	0.37%	2.74%	3.63%	1.10%	5.05%	6.59%	1.86%	2.19%	3.40%	3.64%	2.42%	2.98%	1.95%	2.88%	1.68%	4.67%	2.96%	4.51%	2.81%	5.15%	4.70%	3.49%	4.62%	0.78%	2.97%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	11.11%	0.00%	0.00%	9.09%	0.00%	11.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	15.38%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.50%	0.10%	0.56%	0.61%	0.43%	0.61%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	74	2	0	0	0	0	1	3	1	0	2	1	0	1	2	1	1	0	0	2	5	0	2	1	2	1	1	1	0	0	1	0	1	3	0	0	0	2	0	0	1	0	1	3	1	0	1	2	1	1	1	4	0	0	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	6	1									
		0.19%	0.38%	0.00%	0.00%	0.00%	0.00%	0.18%	1.08%	0.23%	0.00%	0.31%	0.23%	0.00%	0.16%	0.79%	0.21%	0.25%	0.00%	0.00%	0.29%	0.68%	0.00%	0.26%	0.25%	0.30%	0.23%	0.20%	0.20%	0.00%	0.00%	0.20%	0.00%	0.13%	0.53%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.62%	0.00%	0.11%	0.44%	0.15%	0.00%	0.28%	0.32%	0.17%	0.33%	0.16%	0.58%	0.00%	0.00%	0.38%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.10%	0.51%	0.15%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2120	45	58	63	43	43	43	18	20	50	53	39	12	42	11	47	33	35	39	67	73	42	71	48	68	35	20	33	29	27	28	35	30	32	14	37	28	24	48	56	5	27	35	34	28	22	9	25	17	20	26	20	32	58	40	46	31	7	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	50	5	5	6	7	10									
		5.30%	8.62%	9.08%	8.33%	9.82%	8.08%	7.65%	6.47%	4.50%	7.94%	8.09%	8.94%	5.58%	6.79%	4.35%	9.65%	8.11%	10.36%	7.25%	9.82%	9.89%	6.13%	9.23%	12.09%	10.27%	7.99%	3.91%	6.46%	4.03%	4.02%	5.50%	4.28%	3.97%	5.62%	5.22%	5.08%	4.24%	1.75%	8.66%	9.23%	3.11%	4.23%	3.84%	4.96%	4.24%	3.64%	2.51%	4.00%	2.85%	6.67%	4.06%	2.91%	4.50%	7.47%	5.08%	7.64%	11.92%	1.82%	1.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	16.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	3.76%	0.51%	1.40%	0.61%	0.60%	1.53%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6358	64	160	172	80	98	92	30	95	86	115	74	37	144	43	80	39	51	100	142	135	130	140	69	135	75	88	79	164	123	98	191	145	119	46	108	107	169	67	88	25	130	132	143	130	114	50	118	125	48	135	125	123	130	133	100	38	84	54	0	0	2	1	0	2	2	0	1	0	2	0	0	2	0	0	0	4	0	0	0	2	0	1	3	4	0	2	0	0	2	2	0	0	0	1	1	0	3	2	4	1	0	0	1	4	1	0	0	0	0	1	0	1	1	1	1	6	0	5	0	1	1	0	1	1	1	4	1	1	2	1	2	1	2	0	2	0	0	2	0	0	3	0	2	1	8	0	0	1	0	0	0	1	0	0	1	0	3	0	3	0	0	0	1	0	1	0	0	2	0	0	1	3	0	2	0	4	2	1	0	0	0	0	0	111	72	25	33	51	22									
