Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Благовещенская городская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																	
																																																																																																	
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217					
31	"14. ""Великая Россия - Евразийский Союз"""	250	1	3	1	0	1	0	2	4	7	3	5	3	2	0	4	2	3	0	0	3	1	0	3	0	0	3	7	2	3	3	6	3	2	0	3	6	7	0	0	0	4	3	5	3	1	1	1	2	5	3	1	3	3	0	5	6	3	1	6	5	2	8	3	3	8	1	2	1	3	4	2	3	1	2	0	0	3	4	6	4	6	2	9	0	4	5	2	5	2	1					
		0.31%	0.12%	0.26%	0.07%	0.0%	0.09%	0.0%	0.16%	0.32%	0.57%	0.46%	0.42%	0.37%	0.34%	0.0%	0.37%	0.19%	0.38%	0.0%	0.0%	0.64%	0.11%	0.0%	0.28%	0.0%	0.0%	0.22%	0.74%	0.18%	0.20%	0.23%	0.58%	0.41%	0.14%	0.0%	0.26%	0.98%	0.82%	0.0%	0.0%	0.0%	0.51%	0.19%	0.75%	0.24%	0.06%	0.17%	0.26%	0.80%	0.44%	0.61%	0.18%	0.25%	0.28%	0.0%	0.50%	0.45%	0.48%	0.07%	0.45%	0.49%	0.43%	0.63%	0.26%	0.38%	0.64%	0.11%	0.18%	0.15%	0.24%	0.34%	0.22%	0.35%	0.19%	0.39%	0.0%	0.0%	0.56%	0.69%	0.49%	0.32%	1.06%	0.19%	0.64%	0.0%	0.27%	0.53%	0.30%	0.44%	0.14%	0.15%					
32	"15. ""Партия СЛОН"""	161	1	3	4	2	1	0	1	2	0	0	2	0	3	0	3	2	1	1	1	0	0	1	1	0	0	3	1	1	1	1	3	0	4	0	2	0	1	0	0	0	1	7	5	1	10	0	0	0	0	0	0	6	0	0	4	6	0	3	2	9	2	6	1	1	6	1	2	2	2	3	1	0	0	2	0	0	0	1	3	1	4	6	5	3	3	2	0	1	3	0					
		0.20%	0.12%	0.26%	0.29%	0.47%	0.09%	0.0%	0.08%	0.16%	0.0%	0.0%	0.16%	0.0%	0.51%	0.0%	0.28%	0.19%	0.12%	0.12%	0.26%	0.0%	0.0%	0.17%	0.09%	0.0%	0.0%	0.22%	0.10%	0.09%	0.06%	0.07%	0.29%	0.0%	0.29%	0.0%	0.17%	0.0%	0.11%	0.0%	0.0%	0.0%	0.12%	0.46%	0.75%	0.08%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.40%	0.45%	0.0%	0.22%	0.15%	0.88%	0.43%	0.47%	0.08%	0.12%	0.48%	0.11%	0.18%	0.30%	0.16%	0.26%	0.11%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.17%	0.24%	0.08%	0.70%	0.58%	0.35%	0.38%	0.20%	0.21%	0.0%	0.08%	0.21%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5096	46	91	91	28	75	25	99	91	104	73	97	54	38	9	61	67	44	48	26	30	46	38	68	53	61	97	64	63	101	85	76	41	110	41	66	34	18	4	3	1	51	107	50	129	31	31	13	17	77	13	30	59	70	3	52	91	52	89	87	57	42	91	88	41	82	35	45	43	68	64	61	52	32	23	20	14	22	26	71	127	30	65	103	33	110	55	60	83	103	31					
		6.51%	5.80%	8.02%	6.73%	6.63%	7.38%	6.44%	8.06%	7.33%	8.58%	11.23%	8.20%	6.83%	6.49%	3.38%	5.77%	6.39%	5.61%	6.17%	6.91%	6.42%	5.43%	6.60%	6.38%	7.92%	6.74%	7.32%	6.81%	5.68%	6.85%	6.73%	7.45%	5.66%	8.07%	7.97%	5.72%	5.57%	2.13%	5.63%	1.58%	2.43%	6.62%	7.04%	7.58%	10.53%	2.02%	5.46%	3.45%	6.88%	6.86%	2.64%	5.59%	4.96%	6.74%	3.06%	5.27%	6.88%	8.41%	6.68%	6.62%	5.63%	9.17%	7.17%	7.67%	5.26%	6.62%	4.19%	4.26%	6.47%	5.65%	5.58%	6.95%	6.23%	6.23%	4.53%	3.66%	4.40%	4.13%	4.52%	5.90%	10.32%	5.31%	6.29%	7.41%	4.28%	7.51%	5.85%	9.27%	7.46%	7.54%	4.65%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	200	2	2	5	1	4	1	4	3	1	0	4	3	0	1	3	2	2	1	1	2	1	3	0	1	2	3	0	1	1	5	4	5	1	0	3	4	12	1	1	0	3	3	1	3	8	0	1	0	0	0	1	0	9	0	0	3	3	2	3	3	1	2	3	0	10	1	8	1	2	2	3	1	1	3	2	1	2	0	1	3	2	1	2	0	3	3	0	2	2	5					
		0.25%	0.25%	0.17%	0.37%	0.23%	0.39%	0.25%	0.32%	0.24%	0.08%	0.0%	0.33%	0.37%	0.0%	0.37%	0.28%	0.19%	0.25%	0.12%	0.26%	0.42%	0.11%	0.52%	0.0%	0.14%	0.22%	0.22%	0.0%	0.09%	0.06%	0.39%	0.39%	0.69%	0.07%	0.0%	0.26%	0.65%	1.42%	1.40%	0.52%	0.0%	0.38%	0.19%	0.15%	0.24%	0.52%	0.0%	0.26%	0.0%	0.0%	0.0%	0.18%	0.0%	0.86%	0.0%	0.0%	0.22%	0.48%	0.15%	0.22%	0.29%	0.21%	0.15%	0.26%	0.0%	0.80%	0.11%	0.75%	0.15%	0.16%	0.17%	0.34%	0.11%	0.19%	0.59%	0.36%	0.31%	0.37%	0.0%	0.08%	0.24%	0.35%	0.09%	0.14%	0.0%	0.20%	0.31%	0.0%	0.17%	0.14%	0.75%					
35	"18. ""ЛДПР"""	14204	120	165	234	64	124	87	198	202	154	69	203	127	100	62	221	182	111	154	76	90	190	144	228	140	155	249	162	233	262	207	173	111	218	78	240	103	424	4	14	10	174	235	110	199	366	109	86	44	225	129	77	128	172	25	225	165	95	187	192	166	71	171	206	128	250	223	273	122	254	275	184	154	100	100	151	82	123	131	220	194	74	195	179	140	225	160	84	149	237	152					
		18.14%	15.15%	14.55%	17.32%	15.16%	12.21%	22.42%	16.13%	16.29%	12.70%	10.61%	17.17%	16.07%	17.09%	23.30%	20.92%	17.38%	14.15%	19.81%	20.21%	19.27%	22.43%	25.04%	21.40%	20.92%	17.12%	18.80%	17.25%	21.00%	17.78%	16.40%	16.96%	15.33%	15.99%	15.17%	20.81%	16.88%	50.17%	5.63%	7.40%	24.39%	22.59%	15.48%	16.69%	16.25%	23.93%	19.22%	22.87%	17.81%	20.07%	26.27%	14.36%	10.76%	16.57%	25.51%	22.84%	12.49%	15.37%	14.04%	14.61%	16.40%	15.50%	13.48%	17.97%	16.43%	20.19%	26.70%	25.90%	18.37%	21.13%	24.01%	20.98%	18.46%	19.49%	19.72%	27.65%	25.78%	23.12%	22.78%	18.28%	15.77%	13.12%	18.87%	12.87%	18.18%	15.37%	17.03%	12.98%	13.39%	17.36%	22.82%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1576	10	20	31	10	10	8	24	25	11	17	31	9	11	6	21	18	17	10	6	7	21	10	21	10	19	17	17	19	21	19	26	28	21	10	18	7	4	0	4	0	14	32	13	32	12	19	2	8	17	9	13	21	19	1	17	43	16	27	27	28	14	18	37	15	17	10	18	10	39	33	21	35	9	7	15	5	13	7	22	28	14	38	32	19	35	26	19	16	34	6					
		2.01%	1.26%	1.76%	2.29%	2.36%	0.98%	2.06%	1.95%	2.01%	0.90%	2.61%	2.62%	1.13%	1.88%	2.25%	1.98%	1.71%	2.16%	1.28%	1.59%	1.49%	2.47%	1.73%	1.97%	1.49%	2.09%	1.28%	1.81%	1.71%	1.42%	1.50%	2.54%	3.86%	1.54%	1.94%	1.56%	1.14%	0.47%	0.0%	2.11%	0.0%	1.81%	2.10%	1.97%	2.61%	0.78%	3.35%	0.53%	3.23%	1.51%	1.83%	2.42%	1.76%	1.83%	1.02%	1.72%	3.25%	2.58%	2.02%	2.05%	2.76%	3.05%	1.41%	3.22%	1.92%	1.37%	1.19%	1.70%	1.50%	3.24%	2.88%	2.39%	4.19%	1.75%	1.38%	2.74%	1.57%	2.44%	1.21%	1.82%	2.27%	2.48%	3.67%	2.30%	2.46%	2.39%	2.76%	2.93%	1.43%	2.49%	0.90%					
37	"20. ""Политическая партия ""Единая Россия"""	22807	206	318	409	93	275	114	387	380	315	183	348	236	185	62	311	307	264	236	126	127	259	147	295	157	287	379	254	349	460	374	289	236	462	140	343	161	59	9	36	19	210	419	151	322	667	175	121	61	322	150	172	541	314	23	291	349	136	366	342	243	112	339	312	242	375	249	286	214	358	349	273	233	139	159	154	88	146	178	355	378	174	302	378	323	396	249	192	327	343	212					
		29.13%	26.01%	28.04%	30.27%	22.03%	27.09%	29.38%	31.54%	30.64%	25.99%	28.15%	29.44%	29.87%	31.62%	23.30%	29.45%	29.32%	33.67%	30.37%	33.51%	27.19%	30.57%	25.56%	27.69%	23.46%	31.71%	28.62%	27.05%	31.46%	31.22%	29.63%	28.33%	32.59%	33.89%	27.23%	29.74%	26.39%	6.98%	12.67%	19.04%	46.34%	27.27%	27.60%	22.91%	26.30%	43.62%	30.86%	32.18%	24.69%	28.72%	30.54%	32.08%	45.50%	30.25%	23.46%	29.54%	26.41%	22.00%	27.49%	26.02%	24.01%	24.45%	26.73%	27.22%	31.06%	30.29%	29.82%	27.13%	32.22%	29.78%	30.48%	31.12%	27.93%	27.09%	31.36%	28.20%	27.67%	27.44%	30.95%	29.50%	30.73%	30.85%	29.23%	27.19%	41.94%	27.06%	26.51%	29.67%	29.40%	25.12%	31.83%					
38	"21. ""Российская Конституционно-демократическая партия"""	189	0	1	1	1	1	1	6	6	3	2	3	1	1	0	2	3	3	1	0	1	3	4	2	1	4	2	4	2	5	2	3	2	1	1	1	2	6	0	1	1	1	7	0	3	6	3	2	0	5	0	0	2	1	2	1	0	0	5	4	1	1	4	5	2	1	1	9	0	1	1	1	1	1	2	0	0	2	1	3	4	1	0	5	0	5	4	0	2	4	1					
		0.24%	0.0%	0.08%	0.07%	0.23%	0.09%	0.25%	0.48%	0.48%	0.24%	0.30%	0.25%	0.12%	0.17%	0.0%	0.18%	0.28%	0.38%	0.12%	0.0%	0.21%	0.35%	0.69%	0.18%	0.14%	0.44%	0.15%	0.42%	0.18%	0.33%	0.15%	0.29%	0.27%	0.07%	0.19%	0.08%	0.32%	0.71%	0.0%	0.52%	2.43%	0.12%	0.46%	0.0%	0.24%	0.39%	0.52%	0.53%	0.0%	0.44%	0.0%	0.0%	0.16%	0.09%	2.04%	0.10%	0.0%	0.0%	0.37%	0.30%	0.09%	0.21%	0.31%	0.43%	0.25%	0.08%	0.11%	0.85%	0.0%	0.08%	0.08%	0.11%	0.11%	0.19%	0.39%	0.0%	0.0%	0.37%	0.17%	0.24%	0.32%	0.17%	0.0%	0.35%	0.0%	0.34%	0.42%	0.0%	0.17%	0.29%	0.15%					
39	"22. ""Развитие предпринимательства"""	268	2	7	6	1	6	1	0	5	4	1	2	2	1	0	3	2	7	0	1	3	2	3	7	1	5	4	4	6	3	2	5	1	0	2	7	3	3	0	0	0	1	4	2	6	3	2	1	1	0	1	2	10	1	0	4	3	1	6	4	4	0	6	3	0	3	2	3	6	2	3	4	4	1	2	3	0	1	0	2	14	0	5	8	5	6	4	2	1	7	3					
		0.34%	0.25%	0.61%	0.44%	0.23%	0.59%	0.25%	0.0%	0.40%	0.33%	0.15%	0.16%	0.25%	0.17%	0.0%	0.28%	0.19%	0.89%	0.0%	0.26%	0.64%	0.23%	0.52%	0.65%	0.14%	0.55%	0.30%	0.42%	0.54%	0.20%	0.15%	0.49%	0.13%	0.0%	0.38%	0.60%	0.49%	0.35%	0.0%	0.0%	0.0%	0.12%	0.26%	0.30%	0.49%	0.19%	0.35%	0.26%	0.40%	0.0%	0.20%	0.37%	0.84%	0.09%	0.0%	0.40%	0.22%	0.16%	0.45%	0.30%	0.39%	0.0%	0.47%	0.26%	0.0%	0.24%	0.23%	0.28%	0.90%	0.16%	0.26%	0.45%	0.47%	0.19%	0.39%	0.54%	0.0%	0.18%	0.0%	0.16%	1.13%	0.0%	0.48%	0.57%	0.64%	0.41%	0.42%	0.30%	0.08%	0.51%	0.45%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	12146	186	176	166	102	235	65	177	167	274	126	157	92	89	53	133	177	118	123	48	80	109	69	151	126	118	202	157	158	221	243	164	111	153	78	118	98	16	35	24	2	134	280	151	232	100	71	56	44	128	71	122	86	152	13	131	287	128	241	269	173	104	286	191	202	129	98	92	103	188	142	131	141	74	82	65	50	78	86	158	146	108	179	256	45	246	169	110	190	239	92					
		15.51%	23.48%	15.52%	12.28%	24.17%	23.15%	16.75%	14.42%	13.46%	22.60%	19.38%	13.28%	11.64%	15.21%	19.92%	12.59%	16.90%	15.05%	15.83%	12.76%	17.13%	12.86%	12.0%	14.17%	18.83%	13.03%	15.25%	16.71%	14.24%	15.00%	19.25%	16.07%	15.33%	11.22%	15.17%	10.23%	16.06%	1.89%	49.29%	12.69%	4.87%	17.40%	18.44%	22.91%	18.95%	6.54%	12.52%	14.89%	17.81%	11.41%	14.46%	22.76%	7.23%	14.64%	13.26%	13.29%	21.72%	20.71%	18.10%	20.47%	17.09%	22.70%	22.55%	16.66%	25.93%	10.42%	11.73%	8.72%	15.51%	15.64%	12.40%	14.93%	16.90%	14.42%	16.17%	11.90%	15.72%	14.66%	14.95%	13.13%	11.86%	19.14%	17.32%	18.41%	5.84%	16.81%	17.99%	17.00%	17.08%	17.50%	13.81%					
																																																																																																	
41	Против всех	5249	65	58	89	34	60	16	94	93	68	35	86	65	46	11	76	60	45	54	14	35	50	49	84	43	64	95	51	66	105	74	64	38	105	33	111	50	128	0	8	4	58	89	44	65	122	51	26	15	81	22	25	63	71	9	80	83	38	75	75	82	20	82	52	54	99	77	85	51	76	77	56	54	37	28	34	10	34	35	79	94	35	64	73	47	100	63	37	75	75	46					
		6.70%	8.20%	5.11%	6.58%	8.05%	5.91%	4.12%	7.66%	7.5%	5.61%	5.38%	7.27%	8.22%	7.86%	4.13%	7.19%	5.73%	5.73%	6.94%	3.72%	7.49%	5.90%	8.52%	7.88%	6.42%	7.07%	7.17%	5.43%	5.95%	7.12%	5.86%	6.27%	5.24%	7.70%	6.42%	9.62%	8.19%	15.14%	0.0%	4.23%	9.75%	7.53%	5.86%	6.67%	5.31%	7.97%	8.99%	6.91%	6.07%	7.22%	4.48%	4.66%	5.29%	6.84%	9.18%	8.12%	6.28%	6.14%	5.63%	5.70%	8.10%	4.36%	6.46%	4.53%	6.93%	7.99%	9.22%	8.06%	7.68%	6.32%	6.72%	6.38%	6.47%	7.21%	5.52%	6.22%	3.14%	6.39%	6.08%	6.56%	7.64%	6.20%	6.19%	5.25%	6.10%	6.83%	6.70%	5.71%	6.74%	5.49%	6.90%					
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
