Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																														
Дата голосования: 18.09.2016																																																																																																																														
																																																																																																																														
"Наименование Избирательной комиссии:    Саратов, Ленинская"																																																																																																																														
																																																																																																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																														
																																																																																																																														
		Сумма	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	1237	10	72	9	10	8	2	8	13	11	8	13	12	12	11	13	12	10	12	13	0	11	12	11	9	11	11	13	9	19	9	13	4	12	15	25	10	9	11	11	0	11	12	7	13	12	10	12	7	13	12	0	8	1	10	13	18	13	11	13	11	9	12	4	9	8	9	9	8	11	14	13	8	9	7	2	13	14	13	12	9	4	11	11	9	12	10	3	12	5	11	11	11	10	9	10	9	15	13	7	12	10	11	13	10	8	9	11	8	13	10	10	10	13	10	12									
		0.90%	0.89%	8.83%	0.90%	0.94%	0.73%	0.15%	0.46%	0.91%	0.84%	0.94%	0.88%	0.85%	0.92%	0.88%	0.88%	0.90%	0.83%	0.92%	0.88%	0.00%	0.89%	0.88%	0.90%	0.94%	0.93%	0.92%	0.92%	0.89%	3.65%	0.92%	0.88%	0.29%	2.40%	0.87%	1.50%	0.90%	0.81%	0.94%	0.92%	0.00%	0.90%	0.89%	0.48%	0.90%	0.92%	0.80%	0.90%	0.49%	0.90%	0.86%	0.00%	0.89%	0.08%	0.87%	0.90%	1.23%	0.88%	0.88%	0.84%	0.86%	0.95%	0.93%	0.31%	0.91%	0.86%	0.91%	0.91%	0.86%	0.87%	0.89%	0.92%	0.85%	0.88%	0.62%	1.08%	0.92%	0.91%	0.90%	0.94%	0.86%	1.31%	0.88%	0.88%	0.95%	0.90%	0.86%	0.31%	0.89%	0.39%	0.84%	0.92%	0.88%	0.85%	0.86%	0.93%	0.87%	0.76%	0.93%	0.74%	0.88%	0.90%	0.88%	0.93%	1.08%	0.91%	0.86%	0.88%	0.84%	0.93%	0.89%	0.89%	0.89%	0.91%	0.90%	0.93%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	555	6	0	5	0	0	2	4	7	6	0	7	7	7	6	7	7	6	7	7	0	6	7	6	5	6	6	7	0	0	5	7	2	1	9	8	5	5	0	6	0	5	7	0	7	6	6	7	0	7	7	0	4	0	0	7	2	8	6	0	6	5	0	0	10	5	5	3	5	6	0	7	5	5	5	1	7	8	7	6	5	0	6	6	5	6	6	0	7	2	6	6	0	6	1	5	16	8	7	4	7	6	6	7	7	4	5	6	5	7	6	6	6	7	6	5									
		0.40%	0.53%	0.00%	0.50%	0.00%	0.00%	0.15%	0.23%	0.49%	0.46%	0.00%	0.47%	0.50%	0.53%	0.48%	0.47%	0.53%	0.50%	0.54%	0.48%	0.00%	0.49%	0.51%	0.49%	0.52%	0.51%	0.50%	0.50%	0.00%	0.00%	0.51%	0.48%	0.14%	0.20%	0.52%	0.48%	0.45%	0.45%	0.00%	0.50%	0.00%	0.41%	0.52%	0.00%	0.48%	0.46%	0.48%	0.52%	0.00%	0.48%	0.50%	0.00%	0.44%	0.00%	0.00%	0.49%	0.14%	0.54%	0.48%	0.00%	0.47%	0.53%	0.00%	0.00%	1.01%	0.54%	0.51%	0.30%	0.54%	0.47%	0.00%	0.50%	0.53%	0.49%	0.44%	0.54%	0.50%	0.52%	0.48%	0.47%	0.48%	0.00%	0.48%	0.48%	0.53%	0.45%	0.52%	0.00%	0.52%	0.16%	0.46%	0.50%	0.00%	0.51%	0.10%	0.46%	1.54%	0.40%	0.50%	0.42%	0.52%	0.54%	0.48%	0.50%	0.76%	0.45%	0.48%	0.48%	0.52%	0.50%	0.53%	0.53%	0.54%	0.49%	0.54%	0.39%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1481	11	67	10	12	56	13	12	14	23	10	15	18	13	13	15	13	12	13	15	0	12	14	24	10	12	11	14	5	5	9	15	28	11	17	17	11	10	12	12	5	12	13	10	15	13	13	13	8	15	13	1	5	9	12	14	11	15	11	13	13	9	13	17	10	9	10	10	9	13	15	14	9	10	19	2	14	15	15	13	10	5	12	12	9	14	12	2	13	20	13	12	12	12	10	11	10	17	14	9	14	11	13	15	9	9	10	12	10	14	11	11	11	14	11	13									
		1.07%	0.98%	8.22%	0.99%	1.13%	5.12%	0.97%	0.69%	0.98%	1.75%	1.18%	1.01%	1.27%	0.99%	1.04%	1.02%	0.98%	0.99%	0.99%	1.02%	0.00%	0.97%	1.02%	1.97%	1.04%	1.01%	0.92%	0.99%	0.50%	0.96%	0.92%	1.02%	1.99%	2.20%	0.99%	1.02%	0.99%	0.90%	1.03%	1.01%	0.97%	0.98%	0.97%	0.68%	1.03%	0.99%	1.04%	0.97%	0.56%	1.03%	0.93%	0.07%	0.56%	0.74%	1.04%	0.97%	0.75%	1.01%	0.88%	0.84%	1.02%	0.95%	1.00%	1.30%	1.01%	0.97%	1.01%	1.01%	0.97%	1.02%	0.96%	0.99%	0.96%	0.97%	1.67%	1.08%	0.99%	0.98%	1.03%	1.02%	0.96%	1.63%	0.96%	0.96%	0.95%	1.05%	1.03%	0.21%	0.97%	1.57%	0.99%	0.99%	0.96%	1.01%	0.95%	1.02%	0.97%	0.86%	0.99%	0.95%	1.03%	0.99%	1.04%	1.07%	0.97%	1.02%	0.96%	0.96%	1.05%	1.01%	0.98%	0.97%	0.98%	0.98%	0.99%	1.01%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	15648	133	72	118	123	131	158	175	169	160	43	175	165	154	147	174	157	142	152	173	7	145	161	138	113	140	141	166	120	133	115	174	198	87	193	190	131	107	130	142	6	145	158	130	172	153	148	158	165	171	166	160	106	143	136	170	115	175	146	181	150	112	153	94	80	109	112	116	110	150	183	166	110	123	87	22	166	181	171	153	124	37	143	147	112	157	137	95	157	116	155	134	112	139	54	127	122	198	166	112	160	127	148	153	110	104	124	147	113	164	133	133	132	169	130	153									
		11.34%	11.83%	8.83%	11.78%	11.54%	11.99%	11.78%	10.07%	11.81%	12.19%	5.06%	11.79%	11.69%	11.76%	11.77%	11.80%	11.79%	11.79%	11.66%	11.76%	1.17%	11.74%	11.76%	11.33%	11.81%	11.81%	11.82%	11.81%	11.92%	25.53%	11.73%	11.83%	14.12%	17.43%	11.21%	11.42%	11.78%	9.61%	11.14%	11.91%	1.17%	11.84%	11.76%	8.87%	11.85%	11.74%	11.84%	11.80%	11.57%	11.78%	11.89%	11.78%	11.78%	11.72%	11.81%	11.83%	7.83%	11.78%	11.73%	11.69%	11.77%	11.80%	11.80%	7.20%	8.11%	11.75%	11.34%	11.76%	11.80%	11.80%	11.69%	11.77%	11.75%	11.96%	7.64%	11.83%	11.79%	11.80%	11.79%	11.95%	11.91%	12.09%	11.48%	11.78%	11.78%	11.77%	11.78%	9.95%	11.66%	9.13%	11.80%	11.16%	8.99%	11.75%	5.14%	11.80%	11.78%	9.97%	11.82%	11.85%	11.78%	11.40%	11.79%	10.90%	11.87%	11.80%	11.84%	11.80%	11.86%	11.79%	11.79%	11.78%	11.78%	11.81%	11.76%	11.83%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1709	17	7	15	3	3	5	21	21	17	6	22	21	20	19	22	19	18	20	22	0	18	20	15	14	18	17	22	13	2	14	22	21	1	26	22	17	16	18	18	0	9	20	3	22	20	19	20	13	22	20	0	13	1	0	21	5	22	18	0	19	14	0	0	15	14	14	15	14	19	23	21	14	15	4	3	21	23	22	18	15	0	19	19	14	20	17	3	20	1	21	18	16	18	4	16	5	25	22	9	20	17	19	22	10	13	16	19	14	21	17	17	17	21	17	19									
		1.24%	1.51%	0.86%	1.50%	0.28%	0.27%	0.37%	1.21%	1.47%	1.29%	0.71%	1.48%	1.49%	1.53%	1.52%	1.49%	1.43%	1.50%	1.53%	1.50%	0.00%	1.46%	1.46%	1.23%	1.46%	1.52%	1.42%	1.56%	1.29%	0.38%	1.43%	1.50%	1.50%	0.20%	1.51%	1.32%	1.53%	1.44%	1.54%	1.51%	0.00%	0.73%	1.49%	0.20%	1.52%	1.53%	1.52%	1.49%	0.91%	1.52%	1.43%	0.00%	1.44%	0.08%	0.00%	1.46%	0.34%	1.48%	1.45%	0.00%	1.49%	1.48%	0.00%	0.00%	1.52%	1.51%	1.42%	1.52%	1.50%	1.49%	1.47%	1.49%	1.50%	1.46%	0.35%	1.61%	1.49%	1.50%	1.52%	1.41%	1.44%	0.00%	1.52%	1.52%	1.47%	1.50%	1.46%	0.31%	1.48%	0.08%	1.60%	1.50%	1.29%	1.52%	0.38%	1.49%	0.48%	1.26%	1.57%	0.95%	1.47%	1.53%	1.51%	1.57%	1.08%	1.48%	1.53%	1.52%	1.47%	1.51%	1.51%	1.51%	1.52%	1.47%	1.54%	1.47%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	8293	69	47	61	45	65	82	108	87	78	53	91	87	80	76	90	81	73	78	90	1	75	83	71	58	72	73	86	62	31	60	90	87	24	95	102	68	67	72	73	0	75	82	92	89	79	76	82	59	89	86	82	60	74	70	87	110	91	74	90	78	58	79	79	60	57	57	60	56	77	120	86	57	63	59	11	86	94	78	79	65	23	73	76	58	81	71	25	81	148	80	74	75	72	34	66	63	103	86	58	83	69	77	90	53	54	64	76	59	85	69	69	68	87	67	79									
		6.01%	6.14%	5.77%	6.09%	4.22%	5.95%	6.11%	6.21%	6.08%	5.94%	6.24%	6.13%	6.16%	6.11%	6.08%	6.10%	6.08%	6.06%	5.98%	6.12%	0.17%	6.07%	6.06%	5.83%	6.06%	6.08%	6.12%	6.12%	6.16%	5.95%	6.12%	6.12%	6.21%	4.81%	5.52%	6.13%	6.12%	6.01%	6.17%	6.12%	0.00%	6.12%	6.10%	6.28%	6.13%	6.06%	6.08%	6.12%	4.14%	6.13%	6.16%	6.04%	6.67%	6.07%	6.08%	6.05%	7.49%	6.13%	5.94%	5.81%	6.12%	6.11%	6.09%	6.05%	6.08%	6.14%	5.77%	6.09%	6.01%	6.06%	7.67%	6.10%	6.09%	6.13%	5.18%	5.91%	6.11%	6.13%	5.38%	6.17%	6.24%	7.52%	5.86%	6.09%	6.10%	6.07%	6.10%	2.62%	6.01%	11.64%	6.09%	6.16%	6.02%	6.09%	3.24%	6.13%	6.08%	5.19%	6.13%	6.14%	6.11%	6.19%	6.14%	6.41%	5.72%	6.13%	6.11%	6.10%	6.19%	6.11%	6.12%	6.11%	6.07%	6.08%	6.06%	6.11%									
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
																																																																																																																														
