Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																																																																																																																																							
																																																																																																																																																																																																							
Наименование Избирательной комиссии:    Кировская №3																																																																																																																																																																																																							
																																																																																																																																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																																																																																																							
																																																																																																																																																																																																							
		Сумма	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1835	УИК №1836	УИК №1837	УИК №1838	УИК №1839	УИК №1840	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1849	УИК №1850	УИК №1851	УИК №1852	УИК №1854	УИК №1855	УИК №1856	УИК №1857	УИК №1858	УИК №1859	УИК №1860	УИК №1861	УИК №1862	УИК №1864	УИК №1865	УИК №1866	УИК №1867	УИК №1869	УИК №1870	УИК №1871	УИК №1872	УИК №1873	УИК №1874	УИК №1875	УИК №1876	УИК №1877	УИК №1878	УИК №1879	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917					
		3.36%	2.90%	3.85%	6.18%	1.70%	3.62%	4.37%	4.51%	3.78%	2.92%	0.39%	1.98%	3.96%	3.19%	4.12%	3.03%	3.03%	3.15%	2.79%	4.50%	5.20%	4.00%	4.10%	2.68%	3.60%	1.99%	3.19%	3.20%	1.94%	3.44%	4.41%	2.16%	2.95%	4.02%	4.07%	4.57%	2.77%	2.26%	3.61%	1.78%	2.40%	3.71%	4.69%	2.02%	3.32%	2.43%	4.70%	3.19%	3.02%	2.21%	2.38%	3.21%	3.48%	2.12%	3.32%	4.23%	3.10%	4.87%	3.21%	3.65%	1.82%	3.18%	2.97%	2.51%	4.39%	2.38%	4.68%	2.95%	3.98%	2.97%	3.25%	4.26%	3.93%	4.40%	4.61%	2.70%	3.54%	5.01%	3.31%	3.70%	3.94%	4.25%	3.31%	3.16%	0.82%	13.33%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	10.0%	0.0%	0.0%	10.0%	30.0%	20.0%	0.0%	0.0%	0.0%	0.0%	0.0%	12.5%	0.0%	9.09%	8.33%	0.0%	0.0%	0.0%	18.18%	0.0%	8.33%	10.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	9.09%	10.0%	0.0%	0.0%	0.0%	0.0%	20.0%	25.0%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	14.28%	0.0%	0.0%	22.22%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	10.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	5.0%	0.0%	7.01%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	5834	39	36	43	28	28	49	39	32	36	35	7	38	43	53	49	30	59	65	92	58	76	26	55	36	40	67	84	83	88	85	77	70	56	54	41	70	60	25	98	74	115	67	113	74	82	59	85	95	70	90	71	76	59	96	78	50	42	90	68	124	105	58	97	65	63	73	103	85	104	117	102	53	108	69	82	99	115	78	119	102	104	51	75	5	0	0	1	0	2	1	1	0	0	0	3	0	0	0	0	0	0	1	1	0	1	1	0	2	0	0	0	3	0	0	0	1	0	0	1	0	1	0	1	0	1	0	4	1	1	1	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	1	0	1	0	0	0	0	1	5	2	0	0	3	0	1	0	0	1	4	1	1	9	0					
		8.79%	5.96%	6.60%	11.55%	6.81%	5.63%	7.94%	7.03%	6.37%	7.51%	4.55%	3.46%	7.93%	6.86%	8.41%	7.07%	7.57%	10.33%	10.69%	11.19%	8.63%	8.96%	7.62%	6.72%	5.40%	7.96%	7.92%	12.24%	8.47%	10.45%	8.71%	9.79%	8.61%	9.01%	9.16%	8.93%	9.70%	8.48%	6.94%	11.63%	9.36%	12.20%	9.53%	13.43%	9.84%	11.11%	9.24%	11.30%	11.96%	8.62%	9.77%	8.78%	10.17%	7.37%	9.11%	9.43%	6.45%	6.60%	9.97%	6.53%	12.57%	9.04%	7.51%	8.70%	7.31%	6.84%	7.96%	9.51%	11.67%	9.68%	10.01%	11.46%	6.94%	10.82%	6.92%	9.64%	7.98%	9.00%	7.37%	9.17%	11.48%	10.54%	5.62%	6.78%	4.13%	0.0%	0.0%	10.0%	0.0%	18.18%	10.0%	10.0%	0.0%	0.0%	0.0%	30.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	9.09%	0.0%	12.5%	9.09%	0.0%	16.66%	0.0%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	9.09%	0.0%	6.25%	0.0%	9.09%	0.0%	9.09%	0.0%	36.36%	9.09%	10.0%	9.09%	9.09%	0.0%	18.18%	0.0%	25.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	8.33%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	18.18%	0.0%	0.0%	0.0%	11.11%	9.09%	7.69%	0.0%	10.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	8.33%	7.57%	15.38%	0.0%	0.0%	12.0%	0.0%	4.16%	0.0%	0.0%	10.0%	19.04%	5.0%	14.28%	15.78%	0.0%					
22	"5. ""За Русь Святую"""	332	5	5	2	4	0	5	5	3	2	2	0	2	3	5	3	3	2	6	2	3	4	2	5	3	2	3	2	3	3	8	1	5	4	5	0	0	3	2	4	3	6	4	1	5	5	5	2	8	3	1	7	4	7	3	5	9	3	8	5	3	8	2	5	2	1	13	3	4	6	5	2	7	3	4	4	9	5	3	7	3	6	1	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	0					
		0.50%	0.76%	0.91%	0.53%	0.97%	0.0%	0.81%	0.90%	0.59%	0.41%	0.26%	0.0%	0.41%	0.47%	0.79%	0.43%	0.75%	0.35%	0.98%	0.24%	0.44%	0.47%	0.58%	0.61%	0.45%	0.39%	0.35%	0.29%	0.30%	0.35%	0.82%	0.12%	0.61%	0.64%	0.84%	0.0%	0.0%	0.42%	0.55%	0.47%	0.37%	0.63%	0.56%	0.11%	0.66%	0.67%	0.78%	0.26%	1.00%	0.36%	0.10%	0.86%	0.53%	0.87%	0.28%	0.60%	1.16%	0.47%	0.88%	0.48%	0.30%	0.68%	0.25%	0.44%	0.22%	0.10%	1.41%	0.27%	0.54%	0.55%	0.42%	0.22%	0.91%	0.30%	0.40%	0.47%	0.72%	0.39%	0.28%	0.53%	0.33%	0.60%	0.11%	0.27%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	3.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	14.28%	1.75%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	131	1	1	1	1	2	2	1	1	0	4	0	1	0	1	2	1	2	2	2	2	1	0	3	0	2	2	0	1	1	3	1	0	0	1	0	0	2	1	1	0	1	2	2	2	3	3	0	1	1	0	1	3	0	4	3	0	5	4	1	2	0	0	1	1	2	4	2	2	1	3	1	3	0	4	1	2	2	2	3	3	0	1	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.19%	0.15%	0.18%	0.26%	0.24%	0.40%	0.32%	0.18%	0.19%	0.0%	0.52%	0.0%	0.20%	0.0%	0.15%	0.28%	0.25%	0.35%	0.32%	0.24%	0.29%	0.11%	0.0%	0.36%	0.0%	0.39%	0.23%	0.0%	0.10%	0.11%	0.30%	0.12%	0.0%	0.0%	0.16%	0.0%	0.0%	0.28%	0.27%	0.11%	0.0%	0.10%	0.28%	0.23%	0.26%	0.40%	0.47%	0.0%	0.12%	0.12%	0.0%	0.12%	0.40%	0.0%	0.37%	0.36%	0.0%	0.78%	0.44%	0.09%	0.20%	0.0%	0.0%	0.08%	0.11%	0.21%	0.43%	0.18%	0.27%	0.09%	0.25%	0.11%	0.39%	0.0%	0.40%	0.11%	0.16%	0.15%	0.18%	0.23%	0.33%	0.0%	0.11%	0.81%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	540	7	4	1	3	3	8	4	8	3	28	0	6	8	1	9	1	5	5	5	3	4	2	7	10	4	5	4	8	1	7	4	7	3	6	2	6	3	4	3	7	10	3	11	5	3	6	5	8	11	7	6	2	8	9	5	7	1	8	6	4	7	10	6	2	12	2	7	5	7	10	7	7	11	9	9	6	12	5	9	7	5	11	7	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	1	0	4	0					
		0.81%	1.07%	0.73%	0.26%	0.72%	0.60%	1.29%	0.72%	1.59%	0.62%	3.64%	0.0%	1.25%	1.27%	0.15%	1.29%	0.25%	0.87%	0.82%	0.60%	0.44%	0.47%	0.58%	0.85%	1.50%	0.79%	0.59%	0.58%	0.81%	0.11%	0.71%	0.50%	0.86%	0.48%	1.01%	0.43%	0.83%	0.42%	1.11%	0.35%	0.88%	1.06%	0.42%	1.30%	0.66%	0.40%	0.94%	0.66%	1.00%	1.35%	0.76%	0.74%	0.26%	1.0%	0.85%	0.60%	0.90%	0.15%	0.88%	0.57%	0.40%	0.60%	1.29%	0.53%	0.22%	1.30%	0.21%	0.64%	0.68%	0.65%	0.85%	0.78%	0.91%	1.10%	0.90%	1.05%	0.48%	0.93%	0.47%	0.69%	0.78%	0.50%	1.21%	0.63%	0.0%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	40.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	12.5%	0.0%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	12.5%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	18.18%	9.09%	18.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	3.03%	0.0%	0.0%	4.54%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	7.01%	0.0%					
25	"8. ""Народно-республиканская партия России"""	48	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	0	8	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	1	3	1	0	2	0	1	1	0	0	0	0	0	0	1	2	0	1	1	0	0	1	0	2	0	0	0	0	1	1	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.20%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.14%	0.0%	0.0%	0.0%	0.12%	0.0%	0.11%	0.29%	0.0%	0.0%	0.19%	0.0%	1.16%	0.0%	0.0%	0.10%	0.0%	0.12%	0.16%	0.16%	0.21%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.11%	0.39%	0.13%	0.0%	0.26%	0.0%	0.12%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.22%	0.0%	0.10%	0.08%	0.0%	0.0%	0.11%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.11%	0.13%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.11%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	426	1	5	1	7	0	2	2	2	12	15	1	4	0	8	4	1	1	3	5	5	7	1	10	5	3	0	3	3	6	5	2	3	3	2	3	6	3	2	7	5	6	9	4	3	4	6	4	11	1	4	5	5	3	8	4	3	2	6	6	8	6	5	8	5	9	6	3	3	7	7	4	7	4	7	10	6	13	5	8	4	6	2	9	3	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	3	0					
		0.64%	0.15%	0.91%	0.26%	1.70%	0.0%	0.32%	0.36%	0.39%	2.50%	1.95%	0.49%	0.83%	0.0%	1.26%	0.57%	0.25%	0.17%	0.49%	0.60%	0.74%	0.82%	0.29%	1.22%	0.75%	0.59%	0.0%	0.43%	0.30%	0.71%	0.51%	0.25%	0.36%	0.48%	0.33%	0.65%	0.83%	0.42%	0.55%	0.83%	0.63%	0.63%	1.28%	0.47%	0.39%	0.54%	0.94%	0.53%	1.38%	0.12%	0.43%	0.61%	0.66%	0.37%	0.75%	0.48%	0.38%	0.31%	0.66%	0.57%	0.81%	0.51%	0.64%	0.71%	0.56%	0.97%	0.65%	0.27%	0.41%	0.65%	0.59%	0.44%	0.91%	0.40%	0.70%	1.17%	0.48%	1.01%	0.47%	0.61%	0.45%	0.60%	0.22%	0.81%	2.47%	0.0%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	8.33%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	40.0%	25.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	27.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	14.28%	5.26%	0.0%					
27	"10. ""Аграрная партия России"""	914	8	7	3	4	8	9	8	6	6	7	0	7	9	9	5	6	7	4	9	11	13	9	13	10	8	21	8	16	10	13	10	10	10	7	7	11	13	6	14	8	19	12	4	8	11	12	8	6	9	11	8	8	7	13	9	12	3	12	17	18	20	10	12	13	12	9	14	9	15	24	12	17	9	18	16	20	19	21	27	8	7	13	18	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0					
		1.37%	1.22%	1.28%	0.80%	0.97%	1.60%	1.45%	1.44%	1.19%	1.25%	0.91%	0.0%	1.46%	1.43%	1.42%	0.72%	1.51%	1.22%	0.65%	1.09%	1.63%	1.53%	2.63%	1.58%	1.50%	1.59%	2.48%	1.16%	1.63%	1.18%	1.33%	1.27%	1.23%	1.61%	1.18%	1.52%	1.52%	1.83%	1.66%	1.66%	1.01%	2.01%	1.70%	0.47%	1.06%	1.49%	1.88%	1.06%	0.75%	1.10%	1.19%	0.99%	1.07%	0.87%	1.23%	1.08%	1.55%	0.47%	1.33%	1.63%	1.82%	1.72%	1.29%	1.07%	1.46%	1.30%	0.98%	1.29%	1.23%	1.39%	2.05%	1.34%	2.22%	0.90%	1.80%	1.88%	1.61%	1.48%	1.98%	2.08%	0.90%	0.70%	1.43%	1.62%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	20.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	0.0%	15.38%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	0.0%	0.0%	9.09%	0.0%	0.0%	12.5%	0.0%	8.33%	0.0%	0.0%	5.88%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	20.0%	0.0%	0.0%	0.0%	1.75%	0.0%					
28	"11. ""Истинные патриоты России"""	49	1	2	0	0	0	0	2	0	2	2	1	0	0	0	0	0	0	1	1	0	2	0	1	2	1	0	0	0	0	1	0	2	0	0	1	0	2	4	0	0	1	0	1	0	1	1	0	1	2	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.07%	0.15%	0.36%	0.0%	0.0%	0.0%	0.0%	0.36%	0.0%	0.41%	0.26%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.12%	0.0%	0.23%	0.0%	0.12%	0.30%	0.19%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.24%	0.0%	0.0%	0.21%	0.0%	0.28%	1.11%	0.0%	0.0%	0.10%	0.0%	0.11%	0.0%	0.13%	0.15%	0.0%	0.12%	0.24%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.08%	0.0%	0.13%	0.0%	0.0%	0.0%	0.08%	0.07%	0.0%	0.0%	0.0%	0.0%	0.11%	0.18%	0.82%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	10.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.75%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	745	9	8	3	7	6	3	11	3	3	11	3	4	6	6	11	4	4	5	12	5	14	2	12	8	5	12	4	13	3	10	7	10	5	5	4	6	12	2	8	6	11	7	5	9	19	8	15	9	13	8	11	12	10	13	3	7	4	13	5	7	22	9	9	9	5	17	7	6	19	11	9	6	11	5	15	34	14	15	10	10	11	13	9	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
