Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Наро-Фоминская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																				
																																																																																																				
		Сумма	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613					
30	"13. ""Демократическая партия России"""	188	1	1	1	2	3	1	1	0	3	0	1	3	3	3	3	1	0	1	2	2	5	2	5	7	7	4	3	0	1	0	1	3	2	1	0	2	2	5	5	4	1	5	1	2	1	2	2	3	3	2	2	1	1	3	4	0	1	1	1	0	0	3	3	2	2	0	1	1	0	1	2	0	9	1	2	0	1	0	6	3	2	6	2	4	2	5	0	1	0	1	1	0	0					
		0.23%	0.09%	0.10%	0.09%	0.23%	0.26%	0.07%	0.17%	0.0%	0.31%	0.0%	0.13%	0.32%	0.38%	0.19%	0.3%	0.14%	0.0%	0.22%	0.12%	0.17%	0.31%	0.10%	0.34%	0.36%	0.40%	0.32%	0.28%	0.0%	0.14%	0.0%	0.08%	0.43%	0.21%	0.11%	0.0%	0.80%	0.18%	0.63%	0.37%	0.26%	0.07%	0.33%	0.06%	0.82%	0.08%	0.16%	0.29%	0.29%	0.34%	0.32%	0.19%	0.30%	0.09%	0.37%	0.90%	0.0%	0.12%	0.12%	0.14%	0.0%	0.0%	0.48%	0.43%	0.33%	0.36%	0.0%	0.08%	0.13%	0.0%	0.32%	0.16%	0.0%	1.11%	0.16%	0.29%	0.0%	0.15%	0.0%	0.26%	0.17%	0.17%	0.39%	0.21%	0.37%	0.21%	0.35%	0.0%	0.53%	0.0%	0.49%	0.19%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	189	3	0	2	1	4	1	1	2	0	0	0	2	0	4	1	4	2	1	1	1	1	1	6	12	5	5	15	0	0	3	3	0	2	0	1	0	1	1	4	2	3	3	16	0	3	0	1	3	4	0	3	0	1	0	0	1	2	4	2	0	1	4	0	0	3	0	1	1	1	1	3	0	0	0	1	1	0	0	10	8	1	5	1	2	1	3	0	0	0	0	1	2	0					
		0.23%	0.28%	0.0%	0.18%	0.11%	0.35%	0.07%	0.17%	0.17%	0.0%	0.0%	0.0%	0.21%	0.0%	0.25%	0.1%	0.56%	0.68%	0.22%	0.06%	0.08%	0.06%	0.05%	0.41%	0.62%	0.28%	0.40%	1.43%	0.0%	0.0%	0.32%	0.24%	0.0%	0.21%	0.0%	0.19%	0.0%	0.09%	0.12%	0.29%	0.13%	0.22%	0.20%	0.98%	0.0%	0.24%	0.0%	0.14%	0.29%	0.46%	0.0%	0.29%	0.0%	0.09%	0.0%	0.0%	0.28%	0.24%	0.51%	0.29%	0.0%	0.16%	0.64%	0.0%	0.0%	0.55%	0.0%	0.08%	0.13%	0.42%	0.32%	0.25%	0.0%	0.0%	0.0%	0.14%	0.37%	0.0%	0.0%	0.43%	0.45%	0.08%	0.32%	0.10%	0.18%	0.10%	0.21%	0.0%	0.0%	0.0%	0.0%	0.19%	2.27%	0.0%					
32	"15. ""Партия СЛОН"""	227	2	0	0	2	6	1	1	2	1	5	1	2	1	2	2	1	1	0	7	9	6	19	2	15	15	14	1	0	1	1	0	1	1	2	1	1	2	2	3	2	3	8	2	1	4	3	0	3	1	0	2	0	0	0	1	1	3	2	0	0	1	0	0	1	1	0	2	4	0	2	4	1	0	1	3	0	1	0	8	10	2	11	1	0	1	3	0	1	0	0	0	0	0					
		0.28%	0.19%	0.0%	0.0%	0.23%	0.52%	0.07%	0.17%	0.17%	0.10%	0.47%	0.13%	0.21%	0.12%	0.12%	0.2%	0.14%	0.34%	0.0%	0.44%	0.79%	0.38%	0.96%	0.13%	0.78%	0.86%	1.12%	0.09%	0.0%	0.14%	0.10%	0.0%	0.14%	0.10%	0.23%	0.19%	0.40%	0.18%	0.25%	0.22%	0.13%	0.22%	0.54%	0.12%	0.41%	0.32%	0.24%	0.0%	0.29%	0.11%	0.0%	0.19%	0.0%	0.0%	0.0%	0.22%	0.28%	0.37%	0.25%	0.0%	0.0%	0.16%	0.0%	0.0%	0.16%	0.18%	0.0%	0.17%	0.54%	0.0%	0.64%	0.33%	0.24%	0.0%	0.16%	0.44%	0.0%	0.15%	0.0%	0.34%	0.56%	0.17%	0.71%	0.10%	0.0%	0.10%	0.21%	0.0%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	15822	223	192	275	191	246	281	100	283	235	273	165	225	149	324	204	131	58	94	363	187	319	217	356	203	186	262	178	45	119	127	236	118	195	183	138	58	212	201	296	325	309	360	342	52	213	204	114	230	173	148	239	61	181	175	69	105	109	74	116	73	130	109	120	115	94	5	186	183	49	78	318	104	209	150	97	78	135	36	255	173	264	233	148	272	225	226	15	26	30	58	107	23	51					
		19.56%	21.31%	19.89%	25.46%	22.90%	21.56%	20.57%	17.36%	24.82%	24.65%	25.68%	21.85%	24.45%	19.27%	21.02%	20.4%	18.42%	19.86%	21.60%	23.01%	16.50%	20.27%	11.00%	24.68%	10.64%	10.71%	21.14%	17.04%	20.54%	17.04%	13.80%	19.65%	17.25%	20.59%	21.88%	26.95%	23.48%	19.15%	25.37%	21.94%	21.33%	23.67%	24.34%	21.02%	21.57%	17.21%	16.95%	16.61%	22.93%	19.93%	23.87%	23.68%	18.76%	17.02%	21.60%	15.61%	30.43%	13.50%	9.54%	17.33%	23.17%	21.34%	17.55%	17.56%	19.29%	17.24%	5.05%	16.46%	24.86%	21.03%	25.16%	26.72%	25.67%	25.99%	25.46%	14.52%	29.43%	21.36%	27.90%	11.09%	9.84%	22.81%	15.21%	16.08%	25.70%	24.72%	16.17%	17.04%	13.97%	27.77%	28.85%	20.73%	26.13%	15.50%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	192	2	0	0	0	3	2	1	2	1	2	1	2	1	0	4	5	0	0	3	2	5	3	2	7	9	5	0	1	0	3	2	5	1	2	0	1	1	2	1	2	1	4	2	0	2	2	2	0	0	0	2	3	4	0	1	1	0	1	1	0	0	3	0	3	2	0	1	1	0	0	3	3	1	4	3	1	1	1	19	10	4	13	3	0	0	5	0	1	0	0	1	0	0					
		0.23%	0.19%	0.0%	0.0%	0.0%	0.26%	0.14%	0.17%	0.17%	0.10%	0.18%	0.13%	0.21%	0.12%	0.0%	0.4%	0.70%	0.0%	0.0%	0.19%	0.17%	0.31%	0.15%	0.13%	0.36%	0.51%	0.40%	0.0%	0.45%	0.0%	0.32%	0.16%	0.73%	0.10%	0.23%	0.0%	0.40%	0.09%	0.25%	0.07%	0.13%	0.07%	0.27%	0.12%	0.0%	0.16%	0.16%	0.29%	0.0%	0.0%	0.0%	0.19%	0.92%	0.37%	0.0%	0.22%	0.28%	0.0%	0.12%	0.14%	0.0%	0.0%	0.48%	0.0%	0.50%	0.36%	0.0%	0.08%	0.13%	0.0%	0.0%	0.25%	0.74%	0.12%	0.67%	0.44%	0.37%	0.15%	0.77%	0.82%	0.56%	0.34%	0.84%	0.32%	0.0%	0.0%	0.35%	0.0%	0.53%	0.0%	0.0%	0.19%	0.0%	0.0%					
35	"18. ""ЛДПР"""	9341	133	102	125	99	114	110	75	93	89	103	64	78	91	140	98	76	36	34	226	165	212	438	114	371	288	253	151	11	63	104	111	54	56	60	34	14	95	74	157	126	108	108	140	33	146	175	75	77	80	45	70	34	111	97	47	34	73	77	70	31	59	61	72	52	82	19	130	70	38	66	106	63	73	53	121	21	57	17	356	310	115	246	136	116	105	177	13	24	12	14	57	5	27					
		11.55%	12.71%	10.56%	11.57%	11.87%	9.99%	8.05%	13.02%	8.15%	9.33%	9.68%	8.47%	8.47%	11.77%	9.08%	9.8%	10.68%	12.32%	7.81%	14.33%	14.56%	13.47%	22.21%	7.90%	19.45%	16.58%	20.41%	14.46%	5.02%	9.02%	11.30%	9.24%	7.89%	5.91%	7.17%	6.64%	5.66%	8.58%	9.34%	11.63%	8.27%	8.27%	7.30%	8.60%	13.69%	11.80%	14.54%	10.93%	7.67%	9.21%	7.25%	6.93%	10.46%	10.44%	11.97%	10.63%	9.85%	9.04%	9.93%	10.46%	9.84%	9.68%	9.82%	10.54%	8.72%	15.04%	19.19%	11.50%	9.51%	16.30%	21.29%	8.90%	15.55%	9.07%	8.99%	18.11%	7.92%	9.01%	13.17%	15.48%	17.64%	9.93%	16.06%	14.78%	10.96%	11.53%	12.67%	14.77%	12.90%	11.11%	6.96%	11.04%	5.68%	8.20%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	962	11	13	3	11	7	11	10	13	16	14	9	13	16	22	16	8	1	6	16	9	21	11	16	7	11	8	8	0	13	17	17	13	9	15	5	3	17	12	18	5	11	13	12	6	22	18	10	23	9	13	17	11	18	6	7	1	22	16	11	7	9	10	8	13	6	1	8	8	2	4	9	4	8	5	3	6	9	4	12	12	7	16	5	14	17	30	1	4	3	5	7	3	5					
		1.18%	1.05%	1.34%	0.27%	1.31%	0.61%	0.80%	1.73%	1.14%	1.67%	1.31%	1.19%	1.41%	2.06%	1.42%	1.6%	1.12%	0.34%	1.37%	1.01%	0.79%	1.33%	0.55%	1.10%	0.36%	0.63%	0.64%	0.76%	0.0%	1.86%	1.84%	1.41%	1.90%	0.95%	1.79%	0.97%	1.21%	1.53%	1.51%	1.33%	0.32%	0.84%	0.87%	0.73%	2.48%	1.77%	1.49%	1.45%	2.29%	1.03%	2.09%	1.68%	3.38%	1.69%	0.74%	1.58%	0.28%	2.72%	2.06%	1.64%	2.22%	1.47%	1.61%	1.17%	2.18%	1.10%	1.01%	0.70%	1.08%	0.85%	1.29%	0.75%	0.98%	0.99%	0.84%	0.44%	2.26%	1.42%	3.10%	0.52%	0.68%	0.60%	1.04%	0.54%	1.32%	1.86%	2.14%	1.13%	2.15%	2.77%	2.48%	1.35%	3.40%	1.51%					
37	"20. ""Политическая партия ""Единая Россия"""	26159	320	323	345	268	290	467	199	327	292	308	237	279	244	480	326	243	92	161	485	391	499	640	446	748	671	263	374	72	240	329	384	197	306	222	143	71	344	235	392	453	413	391	467	70	421	450	218	296	263	168	314	120	390	300	170	104	379	223	243	84	187	175	253	226	142	32	413	240	78	68	325	115	221	151	237	68	217	36	939	669	369	508	327	330	285	434	34	58	41	62	182	29	118					
		32.34%	30.59%	33.47%	31.94%	32.13%	25.41%	34.18%	34.54%	28.68%	30.64%	28.97%	31.39%	30.32%	31.56%	31.14%	32.6%	34.17%	31.50%	37.01%	30.75%	34.51%	31.72%	32.45%	30.92%	39.22%	38.65%	21.22%	35.82%	32.87%	34.38%	35.76%	31.97%	28.80%	32.31%	26.55%	27.92%	28.74%	31.07%	29.67%	29.05%	29.74%	31.64%	26.43%	28.70%	29.04%	34.03%	37.40%	31.77%	29.51%	30.29%	27.09%	31.11%	36.92%	36.68%	37.03%	38.46%	30.14%	46.96%	28.77%	36.32%	26.66%	30.70%	28.18%	37.04%	37.91%	26.05%	32.32%	36.54%	32.60%	33.47%	21.93%	27.31%	28.39%	27.48%	25.63%	35.47%	25.66%	34.33%	27.90%	40.84%	38.07%	31.89%	33.18%	35.54%	31.19%	31.31%	31.06%	38.63%	31.18%	37.96%	30.84%	35.27%	32.95%	35.86%					
38	"21. ""Российская Конституционно-демократическая партия"""	112	1	0	0	1	2	2	2	3	1	0	0	3	1	0	2	1	1	1	2	1	3	1	2	4	0	0	2	1	0	2	3	0	0	1	3	0	2	2	3	1	2	1	2	1	1	0	0	0	0	0	1	1	4	1	1	0	1	0	2	0	1	0	2	0	0	1	3	0	0	1	1	0	3	0	2	0	1	0	7	5	2	4	1	0	0	1	1	0	0	0	2	0	2					
		0.13%	0.09%	0.0%	0.0%	0.11%	0.17%	0.14%	0.34%	0.26%	0.10%	0.0%	0.0%	0.32%	0.12%	0.0%	0.2%	0.14%	0.34%	0.22%	0.12%	0.08%	0.19%	0.05%	0.13%	0.20%	0.0%	0.0%	0.19%	0.45%	0.0%	0.21%	0.24%	0.0%	0.0%	0.11%	0.58%	0.0%	0.18%	0.25%	0.22%	0.06%	0.15%	0.06%	0.12%	0.41%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.30%	0.37%	0.12%	0.22%	0.0%	0.12%	0.0%	0.29%	0.0%	0.16%	0.0%	0.29%	0.0%	0.0%	1.01%	0.26%	0.0%	0.0%	0.32%	0.08%	0.0%	0.37%	0.0%	0.29%	0.0%	0.15%	0.0%	0.30%	0.28%	0.17%	0.26%	0.10%	0.0%	0.0%	0.07%	1.13%	0.0%	0.0%	0.0%	0.38%	0.0%	0.60%					
39	"22. ""Развитие предпринимательства"""	264	6	2	2	4	2	7	0	6	3	3	6	5	2	5	2	2	1	2	9	1	5	10	4	6	7	6	5	0	3	0	4	2	3	5	3	0	4	1	3	3	2	5	13	2	3	4	4	1	4	2	0	0	4	3	1	2	3	1	1	0	2	3	0	0	5	0	0	1	1	0	4	1	0	1	1	1	1	0	10	4	3	7	2	1	4	10	0	0	0	1	1	0	1					
		0.32%	0.57%	0.20%	0.18%	0.47%	0.17%	0.51%	0.0%	0.52%	0.31%	0.28%	0.79%	0.54%	0.25%	0.32%	0.2%	0.28%	0.34%	0.45%	0.57%	0.08%	0.31%	0.50%	0.27%	0.31%	0.40%	0.48%	0.47%	0.0%	0.42%	0.0%	0.33%	0.29%	0.31%	0.59%	0.58%	0.0%	0.36%	0.12%	0.22%	0.19%	0.15%	0.33%	0.79%	0.82%	0.24%	0.33%	0.58%	0.09%	0.46%	0.32%	0.0%	0.0%	0.37%	0.37%	0.22%	0.57%	0.37%	0.12%	0.14%	0.0%	0.32%	0.48%	0.0%	0.0%	0.91%	0.0%	0.0%	0.13%	0.42%	0.0%	0.33%	0.24%	0.0%	0.16%	0.14%	0.37%	0.15%	0.0%	0.43%	0.22%	0.25%	0.45%	0.21%	0.09%	0.43%	0.71%	0.0%	0.0%	0.0%	0.49%	0.19%	0.0%	0.30%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6684	110	103	94	78	78	103	46	99	90	106	70	98	85	163	90	47	22	36	145	73	148	110	183	96	94	47	77	25	58	93	97	85	75	77	63	26	107	73	158	122	103	156	137	20	95	78	72	97	85	59	80	24	93	46	35	21	56	69	32	36	48	45	44	42	58	8	114	55	12	8	179	28	87	46	35	19	43	10	116	77	120	86	71	70	64	116	7	17	3	15	50	4	43					
		8.26%	10.51%	10.67%	8.70%	9.35%	6.83%	7.54%	7.98%	8.68%	9.44%	9.97%	9.27%	10.65%	10.99%	10.57%	9.0%	6.61%	7.53%	8.27%	9.19%	6.44%	9.40%	5.57%	12.69%	5.03%	5.41%	3.79%	7.37%	11.41%	8.30%	10.10%	8.07%	12.42%	7.91%	9.21%	12.30%	10.52%	9.66%	9.21%	11.71%	8.01%	7.89%	10.54%	8.42%	8.29%	7.67%	6.48%	10.49%	9.67%	9.79%	9.51%	7.92%	7.38%	8.74%	5.67%	7.91%	6.08%	6.93%	8.90%	4.78%	11.42%	7.88%	7.24%	6.44%	7.04%	10.64%	8.08%	10.08%	7.47%	5.15%	2.58%	15.04%	6.91%	10.82%	7.80%	5.23%	7.16%	6.80%	7.75%	5.04%	4.38%	10.37%	5.61%	7.71%	6.61%	7.03%	8.30%	7.95%	9.13%	2.77%	7.46%	9.68%	4.54%	13.06%					
																																																																																																				
41	Против всех	4942	54	41	45	37	175	59	32	53	39	51	33	36	49	66	50	47	16	18	93	63	96	196	71	150	200	112	80	12	57	55	64	44	60	43	18	15	57	28	65	86	66	96	113	10	77	77	48	55	51	34	48	9	43	39	13	13	34	34	41	20	40	42	27	25	43	7	61	30	10	18	59	20	42	44	46	14	27	3	146	203	80	131	57	59	50	110	4	10	2	11	15	2	17					
		6.11%	5.16%	4.24%	4.16%	4.43%	15.33%	4.31%	5.55%	4.64%	4.09%	4.79%	4.37%	3.91%	6.33%	4.28%	5.0%	6.61%	5.47%	4.13%	5.89%	5.56%	6.10%	9.93%	4.92%	7.86%	11.52%	9.03%	7.66%	5.47%	8.16%	5.97%	5.32%	6.43%	6.33%	5.14%	3.51%	6.07%	5.14%	3.53%	4.81%	5.64%	5.05%	6.49%	6.94%	4.14%	6.22%	6.40%	6.99%	5.48%	5.87%	5.48%	4.75%	2.76%	4.04%	4.81%	2.94%	3.76%	4.21%	4.38%	6.12%	6.34%	6.56%	6.76%	3.95%	4.19%	7.88%	7.07%	5.39%	4.07%	4.29%	5.80%	4.95%	4.93%	5.22%	7.47%	6.88%	5.28%	4.27%	2.32%	6.35%	11.55%	6.91%	8.55%	6.19%	5.57%	5.49%	7.87%	4.54%	5.37%	1.85%	5.47%	2.90%	2.27%	5.16%					
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
																																																																																																				
