Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																	
Дата голосования: 07.12.2003 0:00:00																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Норильская городская																																																																																	
																																																																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																	
																																																																																	
		Сумма	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665					
35	"18. ""ЛДПР"""	8850	97	148	169	115	118	101	157	98	128	144	168	160	137	127	161	102	104	141	145	112	88	125	144	78	127	101	101	112	127	105	115	114	102	118	132	107	50	168	170	164	84	104	169	49	95	79	115	85	90	138	116	95	99	97	106	102	99	161	112	137	105	122	121	119	112	118	115	179	162	131	151	177	109	17					
		16.06%	11.43%	15.72%	18.96%	14.37%	14.33%	13.52%	13.75%	12.18%	14.69%	14.98%	17.02%	13.88%	14.39%	15.20%	18.61%	13.52%	17.93%	16.39%	16.74%	15.34%	15.65%	15.45%	16.64%	14.18%	19.35%	16.77%	15.32%	16.84%	18.45%	14.44%	14.78%	15.34%	17.02%	14.28%	16.01%	16.53%	15.33%	16.40%	17.41%	19.80%	18.10%	15.09%	16.37%	9.68%	17.05%	16.42%	17.42%	17.41%	18.86%	15.95%	20.71%	14.28%	14.60%	15.34%	15.58%	16.08%	15.86%	21.81%	16.74%	17.86%	18.45%	15.84%	17.74%	15.93%	18.98%	18.29%	18.57%	16.76%	14.62%	16.15%	17.04%	14.61%	16.10%	19.54%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	551	5	4	7	8	6	8	14	11	3	8	11	16	13	12	1	6	7	14	10	9	15	5	5	5	8	8	7	8	8	9	8	8	10	4	4	9	5	8	7	11	7	16	8	5	10	4	11	7	2	9	4	6	10	8	4	6	5	7	8	6	7	3	6	3	5	10	5	8	7	7	5	10	6	1					
		1.00%	0.58%	0.42%	0.78%	1.0%	0.72%	1.07%	1.22%	1.36%	0.34%	0.83%	1.11%	1.38%	1.36%	1.43%	0.11%	0.79%	1.20%	1.62%	1.15%	1.23%	2.66%	0.61%	0.57%	0.90%	1.21%	1.32%	1.06%	1.20%	1.16%	1.23%	1.02%	1.07%	1.66%	0.48%	0.48%	1.39%	1.53%	0.78%	0.71%	1.32%	1.50%	2.32%	0.77%	0.98%	1.79%	0.83%	1.66%	1.43%	0.41%	1.04%	0.71%	0.90%	1.47%	1.26%	0.58%	0.94%	0.80%	0.94%	1.19%	0.78%	1.23%	0.38%	0.87%	0.40%	0.84%	1.55%	0.80%	0.74%	0.63%	0.86%	0.56%	0.82%	0.88%	1.14%					
37	"20. ""Политическая партия ""Единая Россия"""	24313	404	389	312	317	341	339	521	361	355	398	408	495	413	354	345	343	226	364	369	310	245	366	376	236	276	245	282	276	263	290	345	297	267	379	343	287	130	420	442	363	193	298	460	224	252	226	309	230	225	420	255	297	327	292	335	286	277	334	309	344	279	371	312	368	292	306	289	493	526	384	373	589	310	36					
		44.12%	47.64%	41.33%	35.01%	39.62%	41.43%	45.38%	45.66%	44.90%	40.75%	41.41%	41.33%	42.96%	43.38%	42.39%	39.88%	45.49%	38.96%	42.32%	42.60%	42.46%	43.59%	45.24%	43.46%	42.90%	42.07%	40.69%	42.79%	41.50%	38.22%	39.88%	44.34%	39.97%	44.57%	45.88%	41.62%	44.35%	39.87%	41.01%	45.28%	43.84%	41.59%	43.25%	44.57%	44.26%	45.24%	46.98%	46.81%	47.13%	47.16%	48.55%	45.53%	44.66%	48.23%	46.20%	49.26%	45.11%	44.39%	45.25%	46.18%	44.85%	49.03%	48.18%	45.74%	49.26%	49.49%	47.44%	46.68%	46.16%	47.47%	47.34%	42.09%	48.63%	45.79%	41.37%					
38	"21. ""Российская Конституционно-демократическая партия"""	63	1	1	1	0	1	0	2	1	1	1	0	2	2	1	1	0	1	3	1	1	0	1	0	3	0	1	0	2	1	0	0	0	0	1	2	0	0	1	1	0	0	2	1	1	3	0	1	1	2	0	1	1	0	1	0	1	0	0	2	0	0	1	1	0	0	1	1	0	4	0	2	2	0	0					
		0.11%	0.11%	0.10%	0.11%	0.0%	0.12%	0.0%	0.17%	0.12%	0.11%	0.10%	0.0%	0.17%	0.21%	0.11%	0.11%	0.0%	0.17%	0.34%	0.11%	0.13%	0.0%	0.12%	0.0%	0.54%	0.0%	0.16%	0.0%	0.30%	0.14%	0.0%	0.0%	0.0%	0.0%	0.12%	0.24%	0.0%	0.0%	0.09%	0.10%	0.0%	0.0%	0.29%	0.09%	0.19%	0.53%	0.0%	0.15%	0.20%	0.41%	0.0%	0.17%	0.15%	0.0%	0.15%	0.0%	0.15%	0.0%	0.0%	0.29%	0.0%	0.0%	0.12%	0.14%	0.0%	0.0%	0.15%	0.16%	0.0%	0.36%	0.0%	0.22%	0.16%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	106	0	3	1	2	1	2	1	0	1	1	1	4	1	1	1	3	1	1	6	1	0	2	2	1	3	3	0	1	1	2	0	2	1	3	3	0	1	3	4	1	1	1	1	0	0	4	2	2	2	0	0	1	2	3	2	0	0	2	1	1	0	1	1	1	1	1	1	1	2	1	1	4	1	0					
		0.19%	0.0%	0.31%	0.11%	0.25%	0.12%	0.26%	0.08%	0.0%	0.11%	0.10%	0.10%	0.34%	0.10%	0.11%	0.11%	0.39%	0.17%	0.11%	0.69%	0.13%	0.0%	0.24%	0.23%	0.18%	0.45%	0.49%	0.0%	0.15%	0.14%	0.27%	0.0%	0.26%	0.16%	0.36%	0.36%	0.0%	0.30%	0.29%	0.40%	0.12%	0.21%	0.14%	0.09%	0.0%	0.0%	0.83%	0.30%	0.40%	0.41%	0.0%	0.0%	0.15%	0.29%	0.47%	0.29%	0.0%	0.0%	0.27%	0.14%	0.13%	0.0%	0.12%	0.14%	0.13%	0.16%	0.15%	0.16%	0.09%	0.18%	0.12%	0.11%	0.33%	0.14%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2944	55	47	38	57	40	40	55	54	56	58	71	66	37	43	40	43	29	55	43	46	21	46	54	28	27	27	44	40	35	38	58	44	32	37	47	41	26	46	41	48	22	32	57	31	32	36	40	27	26	40	29	36	38	30	33	22	31	42	32	36	30	36	24	36	19	34	30	49	53	37	62	71	30	8					
		5.34%	6.48%	4.99%	4.26%	7.12%	4.86%	5.35%	4.82%	6.71%	6.42%	6.03%	7.19%	5.72%	3.88%	5.14%	4.62%	5.70%	5.0%	6.39%	4.96%	6.30%	3.73%	5.68%	6.24%	5.09%	4.11%	4.48%	6.67%	6.01%	5.08%	5.22%	7.45%	5.92%	5.34%	4.47%	5.70%	6.33%	7.97%	4.49%	4.20%	5.79%	4.74%	4.64%	5.52%	6.12%	5.74%	7.48%	6.06%	5.53%	5.45%	4.62%	5.17%	5.41%	5.60%	4.74%	4.85%	3.47%	4.96%	5.69%	4.78%	4.69%	5.27%	4.67%	3.51%	4.81%	3.22%	5.27%	4.84%	4.58%	4.78%	4.56%	6.99%	5.86%	4.43%	9.19%					
																																																																																	
41	Против всех	3773	57	59	87	49	54	44	89	52	63	66	59	84	84	56	78	57	48	59	63	52	44	52	51	33	46	48	55	40	51	60	48	42	34	73	75	39	14	89	67	58	32	53	72	40	34	29	50	17	18	49	33	45	46	41	45	45	44	35	44	54	25	62	49	47	28	48	30	70	75	48	61	78	45	2					
		6.84%	6.72%	6.26%	9.76%	6.12%	6.56%	5.89%	7.80%	6.46%	7.23%	6.86%	5.97%	7.29%	8.82%	6.70%	9.01%	7.55%	8.27%	6.86%	7.27%	7.12%	7.82%	6.42%	5.89%	6.0%	7.01%	7.97%	8.34%	6.01%	7.41%	8.25%	6.16%	5.65%	5.67%	8.83%	9.10%	6.02%	4.29%	8.69%	6.86%	7.00%	6.89%	7.69%	6.97%	7.90%	6.10%	6.02%	7.57%	3.48%	3.77%	5.66%	5.89%	6.76%	6.78%	6.48%	6.61%	7.09%	7.05%	4.74%	6.57%	7.04%	4.39%	8.05%	7.18%	6.29%	4.74%	7.44%	4.84%	6.55%	6.76%	5.91%	6.88%	6.44%	6.64%	2.29%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
