Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																									
Дата голосования: 07.12.2003 0:00:00																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Белорецкая городская																																																																																									
																																																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																									
																																																																																									
		Сумма	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647					
33	"16. ""Родина"" (народно-патриотический союз)"""	3273	66	92	77	85	118	96	77	88	89	113	107	90	99	91	105	118	88	84	67	69	98	100	80	49	45	67	78	56	40	70	39	67	49	27	34	45	24	11	18	1	4	0	24	17	2	44	26	21	40	46	11	6	4	4	2	14	6	4	0	1	4	5	0	8	3	12	8	37	1	1	9	24	8	16	2	2	21	3	3	11	2	0					
		5.65%	5.5%	7.52%	5.19%	7.37%	9.02%	6.88%	5.98%	6.96%	7.06%	9.84%	8.30%	8.30%	7.96%	7.08%	8.33%	9.45%	6.71%	7.95%	5.19%	6.64%	8.10%	7.27%	6.53%	3.81%	4.74%	6.47%	5.50%	4.99%	5.46%	7.55%	5.28%	6.00%	4.25%	5.10%	5.45%	4.97%	4.81%	2.61%	4.23%	0.31%	2.40%	0.0%	6.06%	4.26%	2.63%	7.39%	4.20%	3.88%	7.95%	5.96%	1.43%	2.76%	2.15%	1.42%	0.97%	3.61%	1.53%	1.52%	0.0%	0.81%	0.73%	1.06%	0.0%	3.03%	1.57%	3.62%	2.33%	5.95%	0.39%	0.44%	3.93%	2.56%	4.51%	3.25%	2.29%	0.99%	2.88%	0.91%	0.83%	2.85%	0.83%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	329	5	4	4	3	10	5	2	7	3	1	4	6	5	6	5	5	1	4	7	5	4	8	6	15	1	7	3	0	1	7	5	5	4	7	1	7	3	6	2	2	3	2	2	4	1	4	6	3	1	2	14	1	0	9	3	2	8	4	2	0	3	8	0	3	1	6	4	5	2	6	0	6	4	4	0	4	2	5	3	4	2	0					
		0.56%	0.41%	0.32%	0.26%	0.26%	0.76%	0.35%	0.15%	0.55%	0.23%	0.08%	0.31%	0.55%	0.40%	0.46%	0.39%	0.40%	0.07%	0.37%	0.54%	0.48%	0.33%	0.58%	0.48%	1.16%	0.10%	0.67%	0.21%	0.0%	0.13%	0.75%	0.67%	0.44%	0.34%	1.32%	0.16%	0.77%	0.60%	1.42%	0.47%	0.62%	1.80%	1.04%	0.50%	1.00%	1.31%	0.67%	0.96%	0.55%	0.19%	0.25%	1.82%	0.46%	0.0%	3.20%	1.45%	0.51%	2.05%	1.52%	1.73%	0.0%	0.55%	1.69%	0.0%	1.13%	0.52%	1.81%	1.16%	0.80%	0.79%	2.69%	0.0%	0.64%	2.25%	0.81%	0.0%	1.98%	0.27%	1.51%	0.83%	1.03%	0.83%	0.0%					
35	"18. ""ЛДПР"""	7674	184	178	211	157	197	226	249	191	188	166	174	165	216	210	220	164	187	187	248	170	207	232	196	177	131	143	266	179	160	182	128	137	296	62	74	71	33	26	26	3	5	3	40	36	4	77	60	95	101	80	17	9	3	2	2	35	5	0	0	5	21	7	1	5	4	40	40	80	14	0	7	37	2	37	11	1	113	8	12	25	11	2					
		13.26%	15.33%	14.56%	14.23%	13.62%	15.06%	16.21%	19.36%	15.12%	14.93%	14.45%	13.50%	15.22%	17.37%	16.34%	17.47%	13.14%	14.27%	17.70%	19.23%	16.37%	17.12%	16.87%	16.0%	13.78%	13.81%	13.82%	18.78%	15.98%	21.85%	19.65%	17.34%	12.27%	25.71%	11.72%	11.87%	7.84%	6.62%	6.19%	6.11%	0.93%	3.01%	1.56%	10.10%	9.02%	5.26%	12.94%	9.69%	17.59%	20.07%	10.37%	2.21%	4.14%	1.61%	0.71%	0.97%	9.04%	1.28%	0.0%	0.0%	4.09%	3.88%	1.48%	0.37%	1.89%	2.10%	12.08%	11.69%	12.88%	5.55%	0.0%	3.05%	3.95%	1.12%	7.53%	12.64%	0.49%	15.54%	2.43%	3.32%	6.49%	4.58%	1.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1408	25	26	44	42	40	59	25	38	38	29	40	29	33	36	25	47	40	32	35	24	30	38	23	28	20	29	36	43	14	27	27	25	20	19	13	24	10	8	17	4	1	2	12	10	0	20	13	20	8	15	9	2	1	3	2	4	6	2	1	1	11	6	2	1	1	13	12	11	4	0	2	19	0	10	1	4	8	0	4	4	1	0					
		2.43%	2.08%	2.12%	2.96%	3.64%	3.05%	4.23%	1.94%	3.00%	3.01%	2.52%	3.10%	2.67%	2.65%	2.80%	1.98%	3.76%	3.05%	3.03%	2.71%	2.31%	2.48%	2.76%	1.87%	2.18%	2.10%	2.80%	2.54%	3.83%	1.91%	2.91%	3.65%	2.24%	1.73%	3.59%	2.08%	2.65%	2.00%	1.90%	4.0%	1.25%	0.60%	1.04%	3.03%	2.50%	0.0%	3.36%	2.10%	3.70%	1.59%	1.94%	1.17%	0.92%	0.53%	1.06%	0.97%	1.03%	1.53%	0.76%	0.86%	0.81%	2.03%	1.27%	0.75%	0.37%	0.52%	3.92%	3.50%	1.77%	1.58%	0.0%	0.87%	2.03%	0.0%	2.03%	1.14%	1.98%	1.10%	0.0%	1.10%	1.03%	0.41%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	23575	409	412	590	450	427	516	465	428	449	356	430	327	423	434	491	382	441	310	440	333	452	520	423	403	364	377	518	444	223	329	235	499	346	200	277	458	293	242	237	261	83	148	135	166	23	251	302	197	198	329	397	111	120	123	130	191	271	205	103	90	287	298	253	184	153	124	131	274	138	179	146	460	95	227	39	128	353	204	250	192	166	107					
		40.76%	34.08%	33.71%	39.81%	39.06%	32.64%	37.01%	36.15%	33.88%	35.66%	31.01%	33.38%	30.16%	34.03%	33.77%	38.99%	30.60%	33.66%	29.35%	34.13%	32.08%	37.38%	37.81%	34.53%	31.38%	38.39%	36.46%	36.58%	39.64%	30.46%	35.52%	31.84%	44.71%	30.06%	37.80%	44.46%	50.60%	58.83%	57.61%	55.76%	81.56%	49.99%	77.08%	34.09%	41.60%	30.26%	42.18%	48.78%	36.48%	39.36%	42.67%	51.76%	51.15%	64.51%	43.77%	63.10%	49.35%	69.48%	77.94%	89.56%	73.77%	53.04%	63.26%	95.11%	69.69%	80.52%	37.46%	38.30%	44.12%	54.76%	80.26%	63.75%	49.19%	53.67%	46.23%	44.82%	63.36%	48.55%	62.00%	69.25%	49.87%	69.16%	62.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	245	0	4	5	4	3	2	0	2	3	2	1	1	2	4	1	2	3	1	5	2	0	5	3	6	2	6	8	2	2	3	1	3	0	0	102	1	0	3	1	5	1	0	1	2	1	2	3	1	1	1	1	1	0	0	2	0	7	2	0	0	3	3	0	1	3	1	0	0	0	0	1	2	0	1	0	0	2	0	2	0	0	0					
		0.42%	0.0%	0.32%	0.33%	0.34%	0.22%	0.14%	0.0%	0.15%	0.23%	0.17%	0.07%	0.09%	0.16%	0.31%	0.07%	0.16%	0.22%	0.09%	0.38%	0.19%	0.0%	0.36%	0.24%	0.46%	0.21%	0.58%	0.56%	0.17%	0.27%	0.32%	0.13%	0.26%	0.0%	0.0%	16.37%	0.11%	0.0%	0.71%	0.23%	1.56%	0.60%	0.0%	0.25%	0.50%	1.31%	0.33%	0.48%	0.18%	0.19%	0.12%	0.13%	0.46%	0.0%	0.0%	0.97%	0.0%	1.79%	0.76%	0.0%	0.0%	0.55%	0.63%	0.0%	0.37%	1.57%	0.30%	0.0%	0.0%	0.0%	0.0%	0.43%	0.21%	0.0%	0.20%	0.0%	0.0%	0.27%	0.0%	0.55%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	264	6	5	13	8	9	7	8	8	10	4	4	6	5	8	7	7	6	3	6	7	11	8	11	13	3	1	8	2	4	1	5	4	7	2	0	4	0	2	1	0	0	0	0	1	0	6	2	2	4	1	4	0	2	0	0	0	1	0	0	0	3	0	0	1	1	1	1	0	0	0	1	2	0	1	2	1	0	1	1	0	1	0					
		0.45%	0.5%	0.40%	0.87%	0.69%	0.68%	0.50%	0.62%	0.63%	0.79%	0.34%	0.31%	0.55%	0.40%	0.62%	0.55%	0.56%	0.45%	0.28%	0.46%	0.67%	0.90%	0.58%	0.89%	1.01%	0.31%	0.09%	0.56%	0.17%	0.54%	0.10%	0.67%	0.35%	0.60%	0.37%	0.0%	0.44%	0.0%	0.47%	0.23%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	1.00%	0.32%	0.37%	0.79%	0.12%	0.52%	0.0%	1.07%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.37%	0.52%	0.30%	0.29%	0.0%	0.0%	0.0%	0.43%	0.21%	0.0%	0.20%	2.29%	0.49%	0.0%	0.30%	0.27%	0.0%	0.41%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6365	139	110	184	115	129	131	145	155	145	123	158	112	171	127	126	155	148	121	150	146	29	147	143	189	102	147	142	117	67	78	99	132	175	81	0	91	59	54	28	17	28	12	68	39	5	71	91	68	60	119	77	24	24	45	22	40	22	7	1	14	60	36	6	20	11	64	67	70	38	16	9	138	22	52	3	18	59	46	32	51	7	16					
		11.00%	11.58%	9.00%	12.41%	9.98%	9.86%	9.39%	11.27%	12.27%	11.51%	10.71%	12.26%	10.33%	13.75%	9.88%	10.00%	12.41%	11.29%	11.45%	11.63%	14.06%	2.39%	10.69%	11.67%	14.71%	10.75%	14.21%	10.02%	10.44%	9.15%	8.42%	13.41%	11.82%	15.20%	15.31%	0.0%	10.05%	11.84%	12.85%	6.58%	5.31%	16.86%	6.25%	17.17%	9.77%	6.57%	11.93%	14.70%	12.59%	11.92%	15.43%	10.03%	11.05%	12.90%	16.01%	10.67%	10.33%	5.64%	2.66%	0.86%	11.47%	11.09%	7.64%	2.25%	7.57%	5.78%	19.33%	19.59%	11.27%	15.07%	7.17%	3.93%	14.75%	12.42%	10.59%	3.44%	8.91%	8.11%	13.98%	8.86%	13.24%	2.91%	9.35%					
																																																																																									
41	Против всех	1579	38	46	54	35	50	44	39	28	46	37	34	49	33	39	32	46	45	31	37	24	28	27	35	58	26	20	38	35	25	40	22	32	23	10	5	31	13	3	11	6	10	0	4	12	4	6	13	5	7	17	29	6	3	12	2	6	4	4	5	2	8	6	3	3	0	6	14	6	9	1	6	27	2	20	1	2	11	3	4	14	4	3					
		2.73%	3.16%	3.76%	3.64%	3.03%	3.82%	3.15%	3.03%	2.21%	3.65%	3.22%	2.63%	4.52%	2.65%	3.03%	2.54%	3.68%	3.43%	2.93%	2.87%	2.31%	2.31%	1.96%	2.85%	4.51%	2.74%	1.93%	2.68%	3.12%	3.41%	4.31%	2.98%	2.86%	1.99%	1.89%	0.80%	3.42%	2.61%	0.71%	2.58%	1.87%	6.02%	0.0%	1.01%	3.00%	5.26%	1.00%	2.10%	0.92%	1.39%	2.20%	3.78%	2.76%	1.61%	4.27%	0.97%	1.55%	1.02%	1.52%	4.34%	1.63%	1.47%	1.27%	1.12%	1.13%	0.0%	1.81%	4.09%	0.96%	3.57%	0.44%	2.62%	2.88%	1.12%	4.07%	1.14%	0.99%	1.51%	0.91%	1.10%	3.63%	1.66%	1.75%					
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
