Выборы Президента Российской Федерации																																																																																																																																													
																																																																																																																																													
"Наименование Избирательной комиссии:    Тольятти, Автозаводская"																																																																																																																																													
																																																																																																																																													
Итоги голосования 																																																																																																																																													
																																																																																																																																													
		Сумма	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572	УИК №1573	УИК №1574	УИК №1575	УИК №1576	УИК №1577	УИК №1578	УИК №1579	УИК №1580	УИК №1581	УИК №1582	УИК №1583	УИК №1584	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640					
		4.75%	4.05%	3.34%	3.92%	4.23%	4.77%	5.06%	3.75%	5.03%	5.39%	4.86%	4.34%	4.18%	4.11%	4.18%	4.72%	4.01%	5.02%	3.98%	3.19%	4.27%	5.59%	4.17%	3.71%	6.36%	4.07%	4.80%	6.51%	6.00%	8.33%	4.18%	4.20%	4.19%	4.20%	3.61%	4.36%	3.92%	3.88%	5.09%	4.01%	4.10%	4.41%	5.13%	3.34%	2.88%	5.26%	4.33%	4.99%	3.54%	3.25%	4.67%	4.05%	3.97%	2.98%	5.91%	5.34%	5.33%	5.18%	5.11%	3.74%	4.96%	4.48%	4.36%	3.56%	4.37%	3.99%	4.91%	3.64%	5.35%	4.17%	4.53%	4.42%	4.85%	3.48%	3.44%	5.62%	4.34%	4.78%	4.49%	5.29%	5.11%	4.18%	5.23%	5.54%	5.04%	4.44%	4.55%	4.36%	4.13%	5.89%	5.03%	4.41%	5.33%	5.06%	5.14%	4.73%	5.10%	5.89%	5.99%	4.97%	4.66%	4.45%	5.48%	4.34%	4.49%	4.71%	4.40%	5.49%	6.29%	4.83%	5.88%	5.66%	4.94%	5.98%	4.91%	5.03%	7.67%	5.02%	5.54%	5.21%	4.72%	4.99%	4.72%	4.95%	5.68%	4.82%	5.48%	5.20%	4.64%	7.62%	5.94%	11.01%	7.45%	5.36%	5.28%					
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
																																																																																																																																													
