Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																			
Дата голосования: 18.09.2016																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Уссурийская городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																			
																																																																																																																			
		Сумма	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2846	УИК №2847	УИК №2848	УИК №2849	УИК №2850	УИК №2851	УИК №2852	УИК №2853	УИК №2854	УИК №2855	УИК №2857	УИК №2858	УИК №2859	УИК №2860	УИК №2861	УИК №2862	УИК №2863	УИК №2864	УИК №2866	УИК №2867	УИК №2868	УИК №2869	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №3801	УИК №3802	УИК №3803	УИК №3804	УИК №3805	УИК №3806	УИК №3807	УИК №3808	УИК №3809	УИК №3810	УИК №3811	УИК №3812	УИК №3813	УИК №3814	УИК №3815	УИК №3816	УИК №3817	УИК №3818	УИК №3819	УИК №3820	УИК №3821	УИК №3822	УИК №3823	УИК №3824	УИК №3825	УИК №3826	УИК №3827	УИК №3828	УИК №3829	УИК №3830	УИК №3831									
		0.15%	0.21%	0.00%	0.21%	0.14%	0.00%	0.00%	0.15%	0.18%	0.11%	0.21%	0.74%	0.00%	0.13%	0.00%	0.10%	0.30%	0.00%	0.10%	0.21%	0.00%	0.00%	0.00%	0.32%	0.31%	0.00%	0.24%	0.27%	0.00%	0.16%	0.00%	0.24%	0.27%	0.42%	0.00%	0.49%	0.28%	0.00%	0.36%	0.22%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.12%	0.12%	0.06%	0.00%	0.20%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.28%	0.00%	0.11%	0.48%	0.00%	0.17%	0.15%	0.00%	0.00%	0.00%	0.92%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.38%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	595	6	4	17	3	0	4	15	17	1	10	10	12	16	3	9	17	12	12	21	0	14	1	9	18	1	12	6	1	3	2	9	6	4	5	26	24	0	17	3	3	7	6	3	2	5	2	5	4	0	12	2	3	4	3	5	7	10	13	2	5	7	5	8	19	4	6	14	1	0	0	3	3	12	1	0	1	1	1	1	0	6	1	2	4	1	0	8	7	3	1	0	2	0	0	0	0	2	2	2	3	0	2	9	0									
		0.97%	0.63%	0.37%	1.81%	0.41%	0.00%	1.77%	2.28%	2.99%	0.11%	0.71%	1.48%	1.71%	2.08%	0.76%	0.91%	2.53%	1.49%	1.24%	1.49%	0.00%	2.47%	0.18%	1.44%	0.79%	1.45%	1.41%	1.60%	0.23%	0.25%	0.25%	2.13%	0.81%	0.85%	1.36%	3.21%	2.26%	0.00%	2.02%	0.33%	0.51%	0.58%	0.94%	1.26%	0.60%	1.32%	0.38%	0.32%	1.59%	0.00%	1.31%	1.00%	0.37%	0.46%	0.19%	0.56%	1.43%	2.58%	1.50%	0.39%	1.23%	0.70%	1.10%	1.48%	2.13%	0.61%	1.07%	1.96%	0.76%	0.00%	0.00%	0.68%	0.75%	0.82%	0.20%	0.00%	0.95%	0.43%	0.59%	0.72%	0.00%	1.13%	0.28%	1.32%	0.43%	0.16%	0.00%	1.37%	1.02%	0.49%	0.68%	0.00%	1.83%	0.00%	0.00%	0.00%	0.00%	1.61%	2.60%	0.56%	0.63%	0.00%	0.77%	0.86%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8740	189	118	170	155	20	26	145	169	92	84	131	124	127	97	228	132	198	209	105	106	135	99	113	94	19	85	75	48	63	5	108	154	88	65	151	208	13	25	177	104	201	142	53	58	91	130	148	44	97	130	33	123	121	163	78	110	87	203	95	60	126	109	93	205	77	107	154	16	16	3	20	9	21	14	16	26	24	8	12	0	51	25	14	60	91	48	128	97	108	16	9	12	10	3	19	20	15	10	38	31	16	44	110	88									
		14.29%	19.85%	10.94%	18.09%	21.41%	13.42%	11.50%	22.07%	29.70%	9.88%	5.94%	19.41%	17.64%	16.54%	24.68%	23.12%	19.64%	24.60%	21.68%	7.45%	20.46%	23.81%	17.93%	18.14%	4.15%	27.54%	9.99%	19.95%	10.88%	5.17%	0.63%	25.53%	20.84%	18.60%	17.66%	18.62%	19.57%	18.06%	2.97%	19.71%	17.54%	16.65%	22.22%	22.18%	17.26%	24.07%	24.62%	9.62%	17.46%	7.78%	14.21%	16.50%	15.20%	13.94%	10.40%	8.69%	22.49%	22.48%	23.47%	18.38%	14.81%	12.55%	23.90%	17.22%	22.96%	11.65%	19.01%	21.60%	12.12%	18.39%	30.00%	4.50%	2.26%	1.43%	2.80%	15.53%	24.76%	10.26%	4.73%	8.63%	0.00%	9.59%	7.02%	9.21%	6.45%	14.42%	13.37%	21.92%	14.12%	17.48%	10.88%	12.33%	11.01%	5.43%	3.75%	13.19%	15.15%	12.10%	12.99%	10.73%	6.55%	17.20%	16.86%	10.53%	18.33%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	256	0	3	3	6	1	4	3	4	3	5	6	5	1	1	6	3	4	6	2	0	4	2	4	13	0	5	2	3	2	10	1	1	2	2	7	7	0	4	2	2	5	1	1	4	0	1	1	1	0	2	1	3	1	6	4	2	0	0	1	4	2	1	3	5	1	2	7	0	0	0	1	3	4	0	0	0	2	1	2	0	4	4	0	7	2	0	5	3	3	0	0	0	0	1	1	0	0	2	0	3	0	4	4	2									
		0.42%	0.00%	0.28%	0.32%	0.83%	0.67%	1.77%	0.46%	0.70%	0.32%	0.35%	0.89%	0.71%	0.13%	0.25%	0.61%	0.45%	0.50%	0.62%	0.14%	0.00%	0.71%	0.36%	0.64%	0.57%	0.00%	0.59%	0.53%	0.68%	0.16%	1.27%	0.24%	0.14%	0.42%	0.54%	0.86%	0.66%	0.00%	0.48%	0.22%	0.34%	0.41%	0.16%	0.42%	1.19%	0.00%	0.19%	0.06%	0.40%	0.00%	0.22%	0.50%	0.37%	0.12%	0.38%	0.45%	0.41%	0.00%	0.00%	0.19%	0.99%	0.20%	0.22%	0.56%	0.56%	0.15%	0.36%	0.98%	0.00%	0.00%	0.00%	0.23%	0.75%	0.27%	0.00%	0.00%	0.00%	0.85%	0.59%	1.44%	0.00%	0.75%	1.12%	0.00%	0.75%	0.32%	0.00%	0.86%	0.44%	0.49%	0.00%	0.00%	0.00%	0.00%	1.25%	0.69%	0.00%	0.00%	2.60%	0.00%	0.63%	0.00%	1.53%	0.38%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2501	10	34	53	20	7	10	35	32	41	39	36	39	52	17	69	41	61	67	61	26	24	18	37	42	2	25	17	10	21	150	39	44	16	7	65	75	2	56	11	29	59	17	18	13	20	25	30	5	23	31	4	29	4	37	25	24	24	79	15	19	31	25	40	79	9	32	54	6	5	0	8	5	26	5	2	0	3	3	5	0	15	7	6	27	14	4	29	19	6	2	5	3	3	1	6	2	4	5	7	4	2	13	25	13									
		4.09%	1.05%	3.15%	5.64%	2.76%	4.70%	4.42%	5.33%	5.62%	4.40%	2.76%	5.33%	5.55%	6.77%	4.33%	6.99%	6.10%	7.58%	6.95%	4.33%	5.02%	4.23%	3.26%	5.94%	1.85%	2.90%	2.94%	4.52%	2.27%	1.72%	19.04%	9.22%	5.95%	3.38%	1.90%	8.01%	7.06%	2.78%	6.66%	1.22%	4.89%	4.89%	2.66%	7.53%	3.87%	5.29%	4.73%	1.95%	1.98%	1.84%	3.39%	2.00%	3.58%	0.46%	2.36%	2.78%	4.91%	6.20%	9.13%	2.90%	4.69%	3.09%	5.48%	7.41%	8.85%	1.36%	5.68%	7.57%	4.55%	5.75%	0.00%	1.80%	1.25%	1.77%	1.00%	1.94%	0.00%	1.28%	1.78%	3.60%	0.00%	2.82%	1.97%	3.95%	2.90%	2.22%	1.11%	4.97%	2.77%	0.97%	1.36%	6.85%	2.75%	1.63%	1.25%	4.17%	1.52%	3.23%	6.49%	1.98%	0.85%	2.15%	4.98%	2.39%	2.71%									
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
