Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
"Наименование Избирательной комиссии:    Киров, Ленинская"																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402					
30	"13. ""Демократическая партия России"""	240	0	0	2	0	0	0	1	1	0	0	2	2	0	1	5	0	0	3	3	4	1	1	4	0	0	4	4	4	0	4	3	7	2	0	4	2	1	3	3	3	4	8	3	1	4	2	2	1	2	0	1	6	0	1	5	1	6	1	2	5	3	0	4	4	2	4	4	2	1	6	3	3	7	1	2	6	3	2	8	3	4	4	3	3	5	4	5	9	1	0	3	2	0	0					
		0.23%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	3.44%	1.63%	0.0%	0.0%	0.14%	0.22%	0.0%	0.14%	0.38%	0.0%	0.0%	0.20%	0.19%	0.28%	0.08%	0.05%	0.31%	0.0%	0.0%	0.61%	0.25%	1.16%	0.0%	0.24%	0.16%	0.58%	0.17%	0.0%	0.32%	0.17%	0.09%	0.25%	0.26%	0.17%	0.25%	0.53%	0.25%	0.06%	0.24%	0.21%	0.13%	0.07%	0.19%	0.0%	0.07%	0.35%	0.0%	0.06%	0.30%	0.06%	0.43%	0.08%	0.25%	0.29%	0.29%	0.0%	0.23%	0.26%	0.11%	0.25%	0.23%	0.11%	0.06%	0.37%	0.22%	0.19%	0.54%	0.06%	0.12%	0.44%	0.18%	0.14%	0.51%	0.20%	0.31%	0.29%	0.38%	0.32%	0.47%	0.40%	0.32%	1.01%	0.10%	0.0%	0.3%	0.54%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	196	0	1	0	0	0	1	0	0	0	0	2	0	0	1	3	2	0	3	0	3	5	2	3	1	2	2	5	1	0	2	3	7	1	3	0	2	2	1	4	2	2	5	2	1	3	1	3	3	1	5	1	3	1	4	4	2	0	5	2	3	0	1	1	4	2	6	1	8	0	4	3	4	2	3	1	3	3	3	2	2	0	0	2	1	3	4	5	3	2	1	2	3	1	1					
		0.19%	0.0%	0.74%	0.0%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.14%	0.23%	0.13%	0.0%	0.20%	0.0%	0.21%	0.41%	0.11%	0.23%	0.22%	0.37%	0.30%	0.31%	0.29%	0.0%	0.12%	0.16%	0.58%	0.08%	0.32%	0.0%	0.17%	0.19%	0.08%	0.34%	0.11%	0.12%	0.33%	0.16%	0.06%	0.18%	0.10%	0.19%	0.23%	0.09%	0.37%	0.07%	0.17%	0.13%	0.27%	0.24%	0.13%	0.0%	0.41%	0.25%	0.17%	0.0%	0.85%	0.05%	0.26%	0.11%	0.37%	0.05%	0.47%	0.0%	0.25%	0.22%	0.25%	0.15%	0.18%	0.06%	0.22%	0.18%	0.21%	0.12%	0.13%	0.0%	0.0%	0.25%	0.10%	0.28%	0.40%	0.32%	0.33%	0.21%	0.18%	0.2%	0.81%	0.16%	0.23%					
32	"15. ""Партия СЛОН"""	206	0	0	1	0	0	0	0	0	0	0	2	1	1	2	0	0	0	4	3	0	0	2	3	1	1	0	0	0	0	3	5	4	3	4	2	1	2	4	3	5	1	3	0	7	2	3	2	2	1	2	2	2	1	4	2	3	1	2	3	2	2	0	7	5	5	4	3	5	4	6	3	3	1	1	2	2	2	3	5	4	1	4	4	2	7	5	5	4	1	1	2	0	1	0					
		0.20%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.11%	0.16%	0.29%	0.0%	0.0%	0.0%	0.27%	0.19%	0.0%	0.0%	0.11%	0.23%	0.22%	0.18%	0.0%	0.0%	0.0%	0.0%	0.18%	0.27%	0.33%	0.26%	0.43%	0.16%	0.08%	0.19%	0.34%	0.26%	0.29%	0.06%	0.20%	0.0%	0.46%	0.12%	0.32%	0.13%	0.15%	0.09%	0.14%	0.14%	0.11%	0.13%	0.27%	0.12%	0.20%	0.07%	0.16%	0.38%	0.11%	0.19%	0.0%	0.41%	0.32%	0.27%	0.25%	0.17%	0.29%	0.26%	0.37%	0.22%	0.19%	0.07%	0.06%	0.12%	0.14%	0.12%	0.21%	0.32%	0.27%	0.07%	0.29%	0.50%	0.21%	0.66%	0.50%	0.32%	0.45%	0.10%	0.18%	0.2%	0.0%	0.16%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	10499	2	8	29	13	2	11	3	6	4	1	143	144	90	103	127	207	3	196	182	200	139	210	128	38	41	35	170	13	15	167	227	122	121	60	126	108	125	108	127	157	174	167	152	155	156	87	177	107	107	116	144	193	75	137	149	145	86	115	60	154	102	6	187	151	213	193	211	219	159	175	133	150	143	142	146	149	152	146	151	150	116	139	123	41	108	72	97	72	57	41	60	36	67	25					
		10.26%	5.26%	5.97%	8.70%	13.97%	4.25%	15.71%	10.34%	9.83%	10.81%	7.14%	10.19%	15.87%	14.90%	15.28%	9.78%	13.47%	1.14%	13.67%	12.08%	14.31%	11.46%	12.55%	10.19%	8.59%	7.62%	5.35%	10.67%	3.80%	6.49%	10.35%	12.38%	10.22%	10.78%	6.57%	10.34%	9.48%	11.98%	9.35%	11.03%	9.28%	10.99%	11.20%	12.80%	10.22%	9.53%	9.39%	11.53%	8.47%	10.49%	8.64%	10.10%	11.57%	9.85%	9.54%	9.07%	9.89%	6.17%	9.62%	7.63%	9.19%	9.94%	5.12%	11.09%	9.81%	11.91%	12.14%	12.56%	12.91%	10.71%	11.03%	10.06%	9.57%	11.16%	8.78%	9.17%	11.11%	9.58%	10.60%	9.72%	10.12%	9.25%	10.38%	15.58%	4.50%	10.23%	7.28%	6.33%	8.10%	6.18%	7.62%	6.0%	9.80%	11.29%	5.92%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	181	0	2	1	1	0	0	0	0	0	0	1	0	0	0	1	4	2	2	2	0	4	2	3	0	0	1	1	1	0	0	2	2	1	0	2	1	2	2	1	3	4	5	1	1	3	3	3	0	3	4	2	3	0	4	7	4	5	2	5	4	2	0	3	4	3	5	1	1	1	2	3	0	2	3	1	2	1	6	1	1	2	1	1	2	2	4	6	2	2	0	5	1	2	2					
		0.17%	0.0%	1.49%	0.30%	1.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.07%	0.26%	0.76%	0.13%	0.13%	0.0%	0.33%	0.11%	0.23%	0.0%	0.0%	0.15%	0.06%	0.29%	0.0%	0.0%	0.10%	0.16%	0.08%	0.0%	0.16%	0.08%	0.19%	0.17%	0.08%	0.17%	0.25%	0.33%	0.08%	0.06%	0.18%	0.32%	0.19%	0.0%	0.29%	0.29%	0.14%	0.17%	0.0%	0.27%	0.42%	0.27%	0.35%	0.16%	0.63%	0.23%	0.19%	0.0%	0.17%	0.26%	0.16%	0.31%	0.05%	0.05%	0.06%	0.12%	0.22%	0.0%	0.15%	0.18%	0.06%	0.14%	0.06%	0.43%	0.06%	0.06%	0.15%	0.07%	0.12%	0.21%	0.18%	0.40%	0.39%	0.22%	0.21%	0.0%	0.5%	0.27%	0.33%	0.47%					
35	"18. ""ЛДПР"""	15211	9	13	48	9	2	7	6	10	6	1	206	118	63	77	154	169	124	165	190	179	138	227	192	109	134	152	240	69	43	258	239	175	172	140	204	181	104	140	154	233	235	193	158	208	229	117	180	163	148	246	214	295	90	241	264	231	232	183	127	256	152	18	235	244	280	224	239	236	232	237	153	205	195	246	272	196	250	236	235	222	228	194	71	193	140	156	257	145	135	131	151	63	86	84					
		14.86%	23.68%	9.70%	14.41%	9.67%	4.25%	9.99%	20.68%	16.39%	16.21%	7.14%	14.69%	13.00%	10.43%	11.42%	11.86%	11.00%	47.50%	11.51%	12.61%	12.81%	11.38%	13.57%	15.28%	24.66%	24.90%	23.27%	15.06%	20.17%	18.61%	15.99%	13.03%	14.66%	15.32%	15.35%	16.74%	15.89%	9.97%	12.12%	13.37%	13.78%	14.85%	12.95%	13.31%	13.72%	13.99%	12.63%	11.73%	12.90%	14.50%	18.33%	15.01%	17.69%	11.82%	16.79%	16.08%	15.76%	16.66%	15.31%	16.15%	15.29%	14.81%	15.38%	13.93%	15.86%	15.66%	14.09%	14.23%	13.91%	15.63%	14.94%	11.58%	13.08%	15.22%	15.21%	17.09%	14.61%	15.77%	17.13%	15.14%	14.98%	18.19%	14.48%	8.99%	21.18%	13.27%	15.78%	16.77%	16.32%	14.64%	24.34%	15.1%	17.16%	14.50%	19.90%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2601	2	8	4	1	0	3	0	1	1	0	37	23	19	30	28	40	2	34	30	27	36	34	35	20	10	18	34	4	8	29	41	22	29	13	32	40	27	32	28	41	48	40	41	44	42	30	39	36	35	37	42	41	11	29	49	32	34	20	25	38	28	2	52	43	36	49	40	30	44	35	52	47	39	42	28	26	34	36	54	54	30	31	19	29	15	21	31	23	0	12	47	8	19	9					
		2.54%	5.26%	5.97%	1.20%	1.07%	0.0%	4.28%	0.0%	1.63%	2.70%	0.0%	2.63%	2.53%	3.14%	4.45%	2.15%	2.60%	0.76%	2.37%	1.99%	1.93%	2.97%	2.03%	2.78%	4.52%	1.85%	2.75%	2.13%	1.16%	3.46%	1.79%	2.23%	1.84%	2.58%	1.42%	2.62%	3.51%	2.58%	2.77%	2.43%	2.42%	3.03%	2.68%	3.45%	2.90%	2.56%	3.23%	2.54%	2.85%	3.43%	2.75%	2.94%	2.45%	1.44%	2.02%	2.98%	2.18%	2.44%	1.67%	3.18%	2.27%	2.72%	1.70%	3.08%	2.79%	2.01%	3.08%	2.38%	1.76%	2.96%	2.20%	3.93%	2.99%	3.04%	2.59%	1.75%	1.93%	2.14%	2.61%	3.47%	3.64%	2.39%	2.31%	2.40%	3.18%	1.42%	2.12%	2.02%	2.59%	0.0%	2.23%	4.7%	2.17%	3.20%	2.13%					
37	"20. ""Политическая партия ""Единая Россия"""	32074	7	33	92	16	21	18	7	25	4	6	442	234	159	178	338	380	21	400	466	400	345	540	407	108	146	206	496	131	72	510	524	387	330	337	361	352	277	341	342	560	443	428	369	435	565	311	468	422	309	439	393	479	247	445	572	441	440	389	225	565	344	50	549	513	523	492	513	547	459	544	460	497	419	507	539	406	547	450	500	456	415	475	177	384	353	356	628	289	396	174	351	96	147	114					
		31.34%	18.42%	24.62%	27.62%	17.20%	44.68%	25.71%	24.13%	40.98%	10.81%	42.85%	31.52%	25.79%	26.32%	26.40%	26.04%	24.73%	8.04%	27.91%	30.94%	28.63%	28.46%	32.29%	32.40%	24.43%	27.13%	31.54%	31.13%	38.30%	31.16%	31.61%	28.58%	32.43%	29.41%	36.95%	29.63%	30.90%	26.55%	29.52%	29.71%	33.13%	28.00%	28.72%	31.08%	28.69%	34.53%	33.58%	30.50%	33.41%	30.29%	32.71%	27.57%	28.73%	32.45%	31.01%	34.85%	30.10%	31.60%	32.55%	28.62%	33.75%	33.52%	42.73%	32.56%	33.35%	29.26%	30.96%	30.55%	32.25%	30.92%	34.30%	34.82%	31.71%	32.70%	31.35%	33.87%	30.27%	34.51%	32.67%	32.21%	30.79%	33.12%	35.47%	22.43%	42.15%	33.45%	36.03%	40.99%	32.54%	42.95%	32.34%	35.1%	26.15%	24.78%	27.01%					
38	"21. ""Российская Конституционно-демократическая партия"""	148	0	1	1	0	0	0	0	0	0	0	2	0	1	3	2	6	0	2	1	0	1	0	2	1	1	2	3	1	0	0	1	0	0	0	4	1	3	3	3	1	2	3	2	2	0	0	2	3	2	3	3	3	1	2	1	1	8	2	0	1	1	0	3	3	3	3	2	2	3	4	0	3	1	7	1	0	1	1	1	2	2	3	0	0	3	2	1	2	1	0	4	1	1	0					
		0.14%	0.0%	0.74%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.16%	0.44%	0.15%	0.39%	0.0%	0.13%	0.06%	0.0%	0.08%	0.0%	0.15%	0.22%	0.18%	0.30%	0.18%	0.29%	0.0%	0.0%	0.05%	0.0%	0.0%	0.0%	0.32%	0.08%	0.28%	0.25%	0.26%	0.05%	0.12%	0.20%	0.16%	0.13%	0.0%	0.0%	0.13%	0.23%	0.19%	0.22%	0.21%	0.17%	0.13%	0.13%	0.06%	0.06%	0.57%	0.16%	0.0%	0.05%	0.09%	0.0%	0.17%	0.19%	0.16%	0.18%	0.11%	0.11%	0.20%	0.25%	0.0%	0.19%	0.07%	0.43%	0.06%	0.0%	0.06%	0.07%	0.06%	0.13%	0.15%	0.22%	0.0%	0.0%	0.28%	0.20%	0.06%	0.22%	0.10%	0.0%	0.4%	0.27%	0.16%	0.0%					
39	"22. ""Развитие предпринимательства"""	373	0	0	4	0	0	1	0	0	0	0	8	5	5	3	7	4	1	10	9	4	7	5	6	0	6	2	8	1	1	7	8	7	4	4	4	4	4	1	3	2	4	4	4	2	5	2	2	2	7	6	10	7	1	5	4	5	6	2	7	7	3	1	3	0	8	10	5	9	4	4	2	0	4	5	7	2	6	3	5	3	2	7	5	3	2	8	6	4	4	1	5	0	0	5					
		0.36%	0.0%	0.0%	1.20%	0.0%	0.0%	1.42%	0.0%	0.0%	0.0%	0.0%	0.57%	0.55%	0.82%	0.44%	0.53%	0.26%	0.38%	0.69%	0.59%	0.28%	0.57%	0.29%	0.47%	0.0%	1.11%	0.30%	0.50%	0.29%	0.43%	0.43%	0.43%	0.58%	0.35%	0.43%	0.32%	0.35%	0.38%	0.08%	0.26%	0.11%	0.25%	0.26%	0.33%	0.13%	0.30%	0.21%	0.13%	0.15%	0.68%	0.44%	0.70%	0.41%	0.13%	0.34%	0.24%	0.34%	0.43%	0.16%	0.89%	0.41%	0.29%	0.85%	0.17%	0.0%	0.44%	0.62%	0.29%	0.53%	0.26%	0.25%	0.15%	0.0%	0.31%	0.30%	0.43%	0.14%	0.37%	0.21%	0.32%	0.20%	0.15%	0.52%	0.63%	0.32%	0.18%	0.80%	0.39%	0.45%	0.43%	0.18%	0.5%	0.0%	0.0%	1.18%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9226	3	17	44	28	8	9	0	7	7	2	130	97	71	53	154	218	3	136	140	161	172	154	114	28	31	53	136	16	16	115	178	84	106	75	105	100	148	138	85	158	147	152	94	149	151	78	160	137	128	107	136	129	91	133	138	151	136	86	79	178	89	8	134	91	168	150	129	124	129	108	124	152	85	139	100	94	133	104	133	154	72	83	105	48	105	94	129	88	71	35	56	33	53	46					
		9.01%	7.89%	12.68%	13.21%	30.10%	17.02%	12.85%	0.0%	11.47%	18.91%	14.28%	9.27%	10.69%	11.75%	7.86%	11.86%	14.19%	1.14%	9.49%	9.29%	11.52%	14.19%	9.21%	9.07%	6.33%	5.76%	8.11%	8.53%	4.67%	6.92%	7.12%	9.71%	7.04%	9.44%	8.22%	8.62%	8.77%	14.18%	11.94%	7.38%	9.34%	9.29%	10.20%	7.91%	9.82%	9.22%	8.42%	10.43%	10.84%	12.54%	7.97%	9.54%	7.73%	11.95%	9.26%	8.40%	10.30%	9.77%	7.19%	10.05%	10.63%	8.67%	6.83%	7.94%	5.91%	9.40%	9.43%	7.68%	7.31%	8.69%	6.80%	9.38%	9.70%	6.63%	8.59%	6.28%	7.00%	8.39%	7.55%	8.56%	10.39%	5.74%	6.19%	13.30%	5.26%	9.95%	9.51%	8.42%	9.90%	7.70%	6.50%	5.6%	8.99%	8.93%	10.90%					
																																																																																																					
41	Против всех	4294	4	8	27	5	2	4	3	3	1	1	50	69	18	28	55	67	52	51	54	58	57	68	53	21	22	17	84	20	12	74	89	39	42	40	51	58	37	49	43	64	63	71	51	64	73	31	60	41	39	53	66	61	27	59	64	59	51	42	38	62	40	4	67	83	82	53	69	59	63	69	64	77	64	81	73	58	64	70	67	62	50	47	23	36	39	33	49	22	23	18	32	21	35	22					
		4.19%	10.52%	5.97%	8.10%	5.37%	4.25%	5.71%	10.34%	4.91%	2.70%	7.14%	3.56%	7.60%	2.98%	4.15%	4.23%	4.36%	19.92%	3.55%	3.58%	4.15%	4.70%	4.06%	4.21%	4.75%	4.08%	2.60%	5.27%	5.84%	5.19%	4.58%	4.85%	3.26%	3.74%	4.38%	4.18%	5.09%	3.54%	4.24%	3.73%	3.78%	3.98%	4.76%	4.29%	4.22%	4.46%	3.34%	3.91%	3.24%	3.82%	3.94%	4.63%	3.65%	3.54%	4.11%	3.90%	4.02%	3.66%	3.51%	4.83%	3.70%	3.89%	3.41%	3.97%	5.39%	4.58%	3.33%	4.10%	3.47%	4.24%	4.35%	4.84%	4.91%	4.99%	5.00%	4.58%	4.32%	4.03%	5.08%	4.31%	4.18%	3.99%	3.51%	2.91%	3.95%	3.69%	3.34%	3.19%	2.47%	2.49%	3.34%	3.2%	5.72%	5.90%	5.21%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
