Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																																								
Дата голосования: 18.09.2016																																																																																																																																								
																																																																																																																																								
Наименование Избирательной комиссии:    Сергиево-Посадская																																																																																																																																								
																																																																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																																								
																																																																																																																																								
		Сумма	УИК №2722	УИК №2723	УИК №2724	УИК №2725	УИК №2726	УИК №2727	УИК №2728	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2735	УИК №2736	УИК №2737	УИК №2738	УИК №2739	УИК №2740	УИК №2741	УИК №2742	УИК №2743	УИК №2744	УИК №2745	УИК №2746	УИК №2747	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №2752	УИК №2753	УИК №2754	УИК №2755	УИК №2756	УИК №2757	УИК №2758	УИК №2759	УИК №2760	УИК №2761	УИК №2762	УИК №2763	УИК №2764	УИК №2765	УИК №2766	УИК №2767	УИК №2768	УИК №2769	УИК №2770	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №2778	УИК №2779	УИК №2780	УИК №2781	УИК №2782	УИК №2783	УИК №2784	УИК №2785	УИК №2786	УИК №2787	УИК №2788	УИК №2789	УИК №2790	УИК №2791	УИК №2792	УИК №2793	УИК №2794	УИК №2795	УИК №2796	УИК №2797	УИК №2798	УИК №2799	УИК №2800	УИК №2801	УИК №2802	УИК №2803	УИК №2804	УИК №2805	УИК №2806	УИК №2807	УИК №2808	УИК №2809	УИК №2810	УИК №2811	УИК №2812	УИК №2813	УИК №2814	УИК №2815	УИК №2816	УИК №2817	УИК №2818	УИК №2819	УИК №2820	УИК №2821	УИК №2822	УИК №2823	УИК №2824	УИК №2825	УИК №2826	УИК №2827	УИК №2828	УИК №2829	УИК №2830	УИК №2831	УИК №2832	УИК №2833	УИК №2834	УИК №2835	УИК №2836	УИК №2837	УИК №2838	УИК №2839	УИК №2840	УИК №2841	УИК №2842	УИК №2843	УИК №2844	УИК №2845	УИК №2864									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	768	11	8	7	14	5	6	5	12	13	4	2	1	10	9	3	7	19	7	9	3	7	1	4	2	7	14	6	15	14	9	5	2	9	1	8	11	8	8	6	7	8	2	3	5	8	9	2	4	3	5	10	7	12	12	8	2	7	9	4	8	8	8	7	6	9	78	1	5	4	3	2	8	5	9	8	1	3	2	0	1	3	12	6	5	9	5	6	5	6	7	9	0	3	13	5	0	5	7	2	4	4	0	0	9	6	1	3	5	2	5	0	0	2	2	2	1	2	6	3	3	0	0	0	1	4									
		1.21%	1.62%	0.88%	1.20%	1.93%	0.80%	0.72%	0.69%	1.91%	2.42%	1.32%	0.78%	0.75%	2.60%	1.49%	0.48%	0.72%	1.72%	0.83%	1.03%	0.64%	1.34%	0.26%	1.59%	0.98%	1.50%	2.23%	0.90%	2.12%	2.85%	2.03%	0.91%	0.41%	1.81%	0.95%	1.19%	1.54%	1.37%	1.36%	0.92%	1.39%	1.22%	1.23%	0.55%	0.99%	1.72%	1.24%	1.29%	0.90%	0.92%	1.18%	2.44%	1.43%	1.99%	1.82%	0.73%	0.30%	1.00%	1.71%	1.17%	1.43%	1.01%	1.38%	1.06%	0.99%	1.58%	13.36%	0.27%	1.40%	0.77%	1.10%	0.64%	1.30%	0.75%	1.33%	1.36%	0.17%	0.40%	0.83%	0.00%	0.35%	0.39%	1.46%	1.10%	1.74%	1.62%	0.74%	0.94%	1.02%	1.20%	1.11%	2.03%	0.00%	0.81%	1.90%	0.67%	0.00%	1.22%	0.89%	0.48%	0.89%	1.04%	0.00%	0.00%	2.05%	1.97%	0.67%	0.45%	0.89%	1.12%	1.56%	0.00%	0.00%	0.40%	0.41%	0.57%	0.35%	0.18%	0.92%	0.61%	1.61%	0.00%	0.00%	0.00%	0.33%	1.15%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	980	11	13	5	3	13	5	8	2	15	4	5	1	5	6	9	28	34	29	18	10	8	7	9	2	17	22	17	10	13	7	12	9	10	3	13	19	6	18	16	12	12	6	6	4	14	11	1	15	2	16	9	7	11	11	15	10	9	8	5	7	25	10	16	9	7	0	4	0	8	3	3	7	8	8	7	3	9	3	1	6	7	10	7	2	18	5	8	3	11	18	13	3	4	5	7	0	5	6	3	5	10	0	0	5	3	1	4	5	5	6	1	1	4	7	1	1	0	5	4	1	0	2	3	0	1									
		1.55%	1.62%	1.44%	0.86%	0.41%	2.08%	0.60%	1.11%	0.32%	2.79%	1.32%	1.94%	0.75%	1.30%	0.99%	1.45%	2.88%	3.08%	3.44%	2.05%	2.12%	1.54%	1.84%	3.57%	0.98%	3.64%	3.50%	2.54%	1.42%	2.64%	1.58%	2.19%	1.84%	2.01%	2.86%	1.93%	2.67%	1.03%	3.06%	2.46%	2.39%	1.83%	3.70%	1.10%	0.80%	3.00%	1.52%	0.65%	3.39%	0.61%	3.76%	2.20%	1.43%	1.82%	1.67%	1.38%	1.51%	1.29%	1.52%	1.46%	1.25%	3.16%	1.72%	2.43%	1.49%	1.23%	0.00%	1.09%	0.00%	1.53%	1.10%	0.96%	1.14%	1.20%	1.19%	1.19%	0.51%	1.20%	1.25%	0.78%	2.09%	0.92%	1.22%	1.29%	0.70%	3.25%	0.74%	1.25%	0.61%	2.19%	2.86%	2.93%	2.11%	1.08%	0.73%	0.94%	0.00%	1.22%	0.76%	0.72%	1.11%	2.59%	0.00%	0.00%	1.14%	0.99%	0.67%	0.61%	0.89%	2.79%	1.87%	0.60%	1.39%	0.81%	1.45%	0.28%	0.35%	0.00%	0.77%	0.81%	0.54%	0.00%	0.73%	1.28%	0.00%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	108	1	1	0	0	0	0	1	7	1	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	1	1	0	0	1	0	2	0	1	3	1	1	1	1	2	15	0	0	1	0	1	0	0	1	1	0	1	2	0	0	1	1	1	1	0	0	0	0	0	0	0	2	0	0	1	6	0	2	0	0	0	0	0	1	1	1	0	2	1	1	0	0	0	0	0	2	1	2	1	1	0	0	1	0	0	0	1	1	0	1	0	2	0	0	0	2	0	3	3	2	1	1	1	0	1	1	2									
		0.17%	0.15%	0.11%	0.00%	0.00%	0.00%	0.00%	0.14%	1.11%	0.19%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.45%	0.14%	0.20%	0.23%	0.00%	0.00%	0.20%	0.00%	0.30%	0.00%	0.17%	0.51%	0.15%	0.20%	0.15%	0.62%	0.37%	2.98%	0.00%	0.00%	0.65%	0.00%	0.31%	0.00%	0.00%	0.20%	0.17%	0.00%	0.09%	0.30%	0.00%	0.00%	0.29%	0.18%	0.13%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.00%	0.15%	0.89%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.18%	0.35%	0.00%	0.30%	0.16%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.13%	0.51%	0.24%	0.13%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.33%	0.67%	0.00%	0.18%	0.00%	0.62%	0.00%	0.00%	0.00%	0.41%	0.00%	1.04%	0.27%	0.31%	0.20%	0.54%	0.45%	0.00%	0.43%	0.33%	0.58%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2274	44	38	25	15	18	24	18	40	23	5	5	9	15	34	24	42	58	28	36	25	22	14	9	6	31	34	49	34	16	25	34	16	16	5	19	26	23	38	25	23	28	13	14	27	29	42	0	22	3	25	18	23	32	38	26	35	36	9	9	26	40	21	33	15	22	3	5	5	18	11	1	19	18	25	24	6	36	4	4	7	15	30	38	12	30	29	11	8	9	18	13	2	10	17	6	6	8	16	9	13	10	3	1	4	2	3	10	25	4	14	1	2	14	7	6	3	53	13	16	4	5	2	2	2	5									
		3.59%	6.50%	4.20%	4.30%	2.07%	2.88%	2.88%	2.50%	6.36%	4.28%	1.64%	1.94%	6.77%	3.90%	5.61%	3.86%	4.32%	5.25%	3.32%	4.10%	5.31%	4.22%	3.67%	3.57%	2.94%	6.64%	5.41%	7.32%	4.82%	3.25%	5.64%	6.20%	3.27%	3.21%	4.76%	2.83%	3.65%	3.95%	6.46%	3.84%	4.57%	4.28%	8.02%	2.58%	5.37%	6.22%	5.81%	0.00%	4.97%	0.92%	5.88%	4.40%	4.69%	5.30%	5.78%	2.39%	5.27%	5.14%	1.71%	2.62%	4.65%	5.05%	3.61%	5.02%	2.48%	3.87%	0.51%	1.37%	1.40%	3.45%	4.03%	0.32%	3.09%	2.71%	3.70%	4.08%	1.03%	4.81%	1.67%	3.13%	2.44%	1.97%	3.65%	6.99%	4.18%	5.42%	4.29%	1.72%	1.63%	1.79%	2.86%	2.93%	1.41%	2.71%	2.49%	0.81%	1.54%	1.95%	2.04%	2.15%	2.89%	2.59%	0.85%	3.45%	0.91%	0.66%	2.01%	1.51%	4.43%	2.23%	4.36%	0.60%	2.78%	2.82%	1.45%	1.70%	1.04%	4.69%	1.99%	3.25%	2.15%	2.27%	0.73%	0.85%	0.65%	1.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9407	67	93	114	53	81	45	59	55	105	81	49	24	62	111	80	209	203	185	156	113	89	68	38	37	62	116	131	114	69	76	93	53	103	22	102	152	103	101	138	72	87	19	29	0	82	173	10	48	44	62	78	99	112	113	129	107	117	101	56	107	155	92	113	91	103	156	56	44	80	42	37	102	120	12	90	39	101	28	12	33	54	102	78	32	80	108	46	71	69	84	72	21	49	97	48	67	63	128	80	114	73	47	5	70	40	14	88	82	28	39	27	13	64	58	53	45	1	87	77	48	39	37	39	46	61									
		14.85%	9.90%	10.29%	19.59%	7.32%	12.94%	5.40%	8.18%	8.74%	19.52%	26.64%	18.99%	18.05%	16.10%	18.32%	12.88%	21.48%	18.37%	21.92%	17.77%	23.99%	17.08%	17.85%	15.08%	18.14%	13.28%	18.44%	19.58%	16.15%	14.02%	17.16%	16.97%	10.84%	20.68%	20.95%	15.18%	21.35%	17.70%	17.18%	21.20%	14.31%	13.30%	11.73%	5.34%	0.00%	17.60%	23.93%	6.45%	10.84%	13.46%	14.59%	19.07%	20.20%	18.54%	17.17%	11.85%	16.11%	16.71%	19.20%	16.33%	19.14%	19.57%	15.83%	17.17%	15.02%	18.10%	26.71%	15.30%	12.32%	15.33%	15.38%	11.78%	16.61%	18.05%	1.78%	15.31%	6.68%	13.48%	11.67%	9.38%	11.50%	7.11%	12.41%	14.34%	11.15%	14.44%	15.98%	7.18%	14.43%	13.75%	13.33%	16.25%	14.79%	13.28%	14.18%	6.47%	17.18%	15.37%	16.31%	19.09%	25.33%	18.91%	13.35%	17.24%	15.98%	13.16%	9.40%	13.31%	14.54%	15.64%	12.15%	16.07%	18.06%	12.90%	11.98%	15.06%	15.57%	0.09%	13.34%	15.65%	25.81%	17.73%	13.50%	16.67%	14.98%	17.58%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	321	3	2	2	3	5	3	1	5	1	1	1	1	0	3	4	10	9	4	3	6	3	2	1	2	4	3	3	3	4	0	1	0	3	0	6	3	1	6	2	1	2	1	2	15	2	1	1	3	2	2	2	2	4	4	5	5	7	3	2	3	3	3	5	2	2	0	1	0	4	3	1	3	4	7	4	1	0	0	0	0	0	6	0	2	4	5	0	1	2	5	3	2	1	5	2	0	6	2	1	5	5	2	0	2	1	1	1	0	2	1	0	0	1	2	3	2	11	1	3	0	2	1	1	0	1									
		0.51%	0.44%	0.22%	0.34%	0.41%	0.80%	0.36%	0.14%	0.79%	0.19%	0.33%	0.39%	0.75%	0.00%	0.50%	0.64%	1.03%	0.81%	0.47%	0.34%	1.27%	0.58%	0.52%	0.40%	0.98%	0.86%	0.48%	0.45%	0.42%	0.81%	0.00%	0.18%	0.00%	0.60%	0.00%	0.89%	0.42%	0.17%	1.02%	0.31%	0.20%	0.31%	0.62%	0.37%	2.98%	0.43%	0.14%	0.65%	0.68%	0.61%	0.47%	0.49%	0.41%	0.66%	0.61%	0.46%	0.75%	1.00%	0.57%	0.58%	0.54%	0.38%	0.52%	0.76%	0.33%	0.35%	0.00%	0.27%	0.00%	0.77%	1.10%	0.32%	0.49%	0.60%	1.04%	0.68%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.73%	0.00%	0.70%	0.72%	0.74%	0.00%	0.20%	0.40%	0.79%	0.68%	1.41%	0.27%	0.73%	0.27%	0.00%	1.46%	0.25%	0.24%	1.11%	1.30%	0.57%	0.00%	0.46%	0.33%	0.67%	0.15%	0.00%	1.12%	0.31%	0.00%	0.00%	0.20%	0.41%	0.85%	0.69%	0.97%	0.15%	0.61%	0.00%	0.91%	0.36%	0.43%	0.00%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2594	36	40	38	20	30	15	9	6	28	16	9	11	12	54	46	55	67	41	41	33	30	9	8	10	27	33	51	46	26	28	28	16	41	9	29	27	22	32	29	17	17	6	13	0	33	50	4	30	20	15	22	32	43	33	51	23	38	20	16	20	42	26	38	17	26	38	14	3	29	10	8	15	30	23	17	10	26	1	2	3	8	22	19	9	18	29	10	17	16	35	19	3	15	27	18	14	15	41	17	11	13	10	0	12	18	7	22	36	4	6	3	2	8	11	5	5	0	20	21	2	4	8	11	6	8									
		4.09%	5.32%	4.42%	6.53%	2.76%	4.79%	1.80%	1.25%	0.95%	5.20%	5.26%	3.49%	8.27%	3.12%	8.91%	7.41%	5.65%	6.06%	4.86%	4.67%	7.01%	5.76%	2.36%	3.17%	4.90%	5.78%	5.25%	7.62%	6.52%	5.28%	6.32%	5.11%	3.27%	8.23%	8.57%	4.32%	3.79%	3.78%	5.44%	4.45%	3.38%	2.60%	3.70%	2.39%	0.00%	7.08%	6.92%	2.58%	6.77%	6.12%	3.53%	5.38%	6.53%	7.12%	5.02%	4.68%	3.46%	5.43%	3.80%	4.66%	3.58%	5.30%	4.48%	5.78%	2.81%	4.57%	6.51%	3.83%	0.84%	5.56%	3.66%	2.55%	2.44%	4.51%	3.41%	2.89%	1.71%	3.47%	0.42%	1.56%	1.05%	1.05%	2.68%	3.49%	3.14%	3.25%	4.29%	1.56%	3.46%	3.19%	5.56%	4.29%	2.11%	4.07%	3.95%	2.43%	3.59%	3.66%	5.22%	4.06%	2.44%	3.37%	2.84%	0.00%	2.74%	5.92%	4.70%	3.33%	6.38%	2.23%	1.87%	1.79%	2.78%	1.61%	2.27%	1.42%	1.73%	0.00%	3.07%	4.27%	1.08%	1.82%	2.92%	4.70%	1.95%	2.31%									
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
																																																																																																																																								
