Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																															
Дата голосования: 07.12.2003 0:00:00																																																																																																															
																																																																																																															
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																															
																																																																																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																															
																																																																																																															
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1619	УИК №1620	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1628	УИК №1630	УИК №1631	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1680	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1703	УИК №1712	УИК №1713	УИК №1714					
		0.09%	0.0%	0.0%	0.0%	0.09%	0.11%	0.23%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.20%	0.09%	0.0%	0.82%	0.18%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	3.70%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	115	5	3	5	5	4	1	3	3	1	3	0	1	1	14	2	8	6	8	4	6	2	1	9	4	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0					
		0.52%	0.70%	0.24%	0.51%	0.48%	0.46%	0.07%	0.39%	0.50%	0.16%	0.67%	0.0%	0.12%	0.13%	1.15%	0.20%	0.76%	0.51%	0.68%	0.41%	0.55%	0.76%	0.82%	1.64%	0.37%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	4.65%	0.0%	0.0%	NaN%	0.0%	0.0%	4.16%	0.0%	4.16%	0.0%	15.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	4.34%	2.85%	0.0%	NaN%	0.0%	0.0%	4.16%	3.03%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	7.40%	0.0%	0.0%	3.44%	0.0%	0.0%	NaN%	0.0%					
30	"13. ""Демократическая партия России"""	60	0	0	3	4	2	1	3	4	2	1	1	4	2	3	0	2	3	2	2	4	0	0	6	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.27%	0.0%	0.0%	0.30%	0.38%	0.23%	0.07%	0.39%	0.66%	0.33%	0.22%	0.23%	0.50%	0.27%	0.24%	0.0%	0.19%	0.25%	0.17%	0.20%	0.37%	0.0%	0.0%	1.09%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	5.0%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	9.09%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	2.04%					
31	"14. ""Великая Россия - Евразийский Союз"""	49	3	2	3	1	0	4	2	0	1	3	1	1	1	3	1	2	2	3	1	1	0	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0					
		0.22%	0.42%	0.16%	0.30%	0.09%	0.0%	0.31%	0.26%	0.0%	0.16%	0.67%	0.23%	0.12%	0.13%	0.24%	0.10%	0.19%	0.17%	0.25%	0.10%	0.09%	0.0%	0.82%	0.54%	0.09%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	4.34%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	5.26%	0.0%	0.0%	3.03%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	4.34%	3.84%	0.0%	NaN%	7.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.78%	NaN%	0.0%					
32	"15. ""Партия СЛОН"""	50	2	2	2	3	0	4	2	0	2	1	0	2	2	3	7	3	1	0	2	3	2	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.22%	0.28%	0.16%	0.20%	0.29%	0.0%	0.31%	0.26%	0.0%	0.33%	0.22%	0.0%	0.25%	0.27%	0.24%	0.72%	0.28%	0.08%	0.0%	0.20%	0.27%	0.76%	0.0%	0.54%	0.09%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	3.70%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2281	68	121	85	81	68	203	105	78	83	34	45	110	66	189	120	137	149	124	121	139	11	12	29	36	10	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	4	1	0	2	0	3	2	1	2	0	0	1	2	2	0	0	0	0	0	1	1	0	0	2	2	1	1	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	1	0	4	0	0	0	2	0	4	0	0					
		10.32%	9.64%	9.75%	8.73%	7.89%	7.86%	16.13%	13.83%	13.02%	13.71%	7.67%	10.73%	13.85%	9.17%	15.63%	12.34%	13.06%	12.74%	10.55%	12.42%	12.88%	4.19%	9.91%	5.30%	3.37%	3.54%	4.54%	0.0%	0.0%	0.0%	0.0%	44.44%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	0.0%	5.0%	4.0%	0.0%	0.0%	0.0%	0.0%	16.66%	4.76%	0.0%	7.40%	NaN%	10.34%	9.52%	4.34%	5.71%	0.0%	NaN%	5.26%	8.69%	8.33%	0.0%	NaN%	0.0%	0.0%	0.0%	3.57%	4.54%	0.0%	0.0%	9.52%	9.52%	4.54%	4.34%	NaN%	4.34%	0.0%	3.84%	0.0%	3.84%	0.0%	NaN%	3.70%	0.0%	0.0%	8.33%	0.0%	0.0%	0.0%	4.54%	0.0%	16.0%	0.0%	0.0%	0.0%	6.89%	0.0%	7.14%	NaN%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	46	1	3	2	2	0	1	0	1	2	2	1	0	0	1	2	1	0	3	2	0	0	0	4	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0					
		0.20%	0.14%	0.24%	0.20%	0.19%	0.0%	0.07%	0.0%	0.16%	0.33%	0.45%	0.23%	0.0%	0.0%	0.08%	0.20%	0.09%	0.0%	0.25%	0.20%	0.0%	0.0%	0.0%	0.73%	0.18%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	2.32%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	NaN%	3.44%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	3.84%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	25.92%	0.0%	0.0%	0.0%	NaN%	0.0%					
35	"18. ""ЛДПР"""	3117	104	203	158	201	115	105	78	82	60	74	57	106	86	175	115	120	123	154	128	146	50	21	102	204	25	5	7	10	7	1	1	0	4	6	5	7	0	11	3	2	3	1	2	2	9	3	3	2	7	4	2	6	3	6	3	0	3	1	0	7	4	0	0	4	6	6	0	9	1	3	8	8	11	4	2	1	3	1	0	5	5	3	2	1	1	0	12	5	7	6	3	5	2	7	4	2	3	17	0	5	5	14	0	4					
		14.11%	14.75%	16.37%	16.23%	19.59%	13.29%	8.34%	10.27%	13.68%	9.91%	16.70%	13.60%	13.35%	11.96%	14.47%	11.83%	11.43%	10.52%	13.10%	13.14%	13.53%	19.08%	17.35%	18.64%	19.13%	8.86%	22.72%	29.16%	43.47%	35.0%	4.54%	5.55%	NaN%	17.39%	13.95%	26.31%	29.16%	NaN%	42.30%	11.53%	8.33%	13.63%	4.16%	7.69%	10.0%	37.5%	15.0%	12.0%	9.52%	30.43%	17.39%	8.33%	25.0%	14.28%	25.0%	11.11%	NaN%	10.34%	4.76%	0.0%	19.99%	18.18%	NaN%	0.0%	17.39%	25.0%	18.18%	NaN%	37.5%	3.84%	12.0%	28.57%	36.36%	50.0%	14.81%	9.52%	4.76%	13.63%	4.34%	NaN%	21.73%	21.73%	11.53%	8.69%	3.84%	5.0%	NaN%	44.44%	21.73%	30.43%	25.0%	12.5%	21.73%	8.69%	31.81%	16.0%	8.0%	11.11%	53.12%	0.0%	17.24%	23.80%	24.99%	NaN%	8.16%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	276	9	15	9	13	11	10	6	7	11	5	2	21	8	17	21	14	15	8	13	21	0	2	5	11	2	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	1	0	0					
		1.24%	1.27%	1.20%	0.92%	1.26%	1.27%	0.79%	0.79%	1.16%	1.81%	1.12%	0.47%	2.64%	1.11%	1.40%	2.16%	1.33%	1.28%	0.68%	1.33%	1.94%	0.0%	1.65%	0.91%	1.03%	0.70%	0.0%	0.0%	0.0%	0.0%	4.54%	5.55%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	3.84%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.0%	0.0%	0.0%	4.34%	0.0%	0.0%	4.76%	0.0%	0.0%	NaN%	0.0%	0.0%	4.34%	2.85%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	4.0%	0.0%	0.0%	0.0%	3.70%	0.0%	0.0%	0.0%	4.34%	NaN%	0.0%	0.0%	0.0%	0.0%	3.84%	5.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.70%	6.25%	0.0%	6.89%	0.0%	1.78%	NaN%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	4883	157	254	232	231	193	239	144	166	112	69	95	164	171	227	183	162	242	246	192	230	80	45	152	542	206	3	3	2	2	0	0	0	3	6	0	0	0	4	0	2	4	1	4	0	2	1	9	1	1	4	2	2	0	4	1	0	1	0	2	1	4	0	1	4	3	0	0	6	2	1	3	1	3	0	3	1	1	3	0	2	2	1	1	1	1	0	0	1	2	3	2	1	0	4	5	4	1	2	1	4	9	1	0	0					
		22.11%	22.26%	20.48%	23.84%	22.51%	22.31%	18.99%	18.97%	27.71%	18.51%	15.57%	22.67%	20.65%	23.78%	18.77%	18.82%	15.44%	20.70%	20.93%	19.71%	21.31%	30.53%	37.19%	27.78%	50.84%	73.04%	13.63%	12.5%	8.69%	10.0%	0.0%	0.0%	NaN%	13.04%	13.95%	0.0%	0.0%	NaN%	15.38%	0.0%	8.33%	18.18%	4.16%	15.38%	0.0%	8.33%	5.0%	36.0%	4.76%	4.34%	17.39%	8.33%	8.33%	0.0%	16.66%	3.70%	NaN%	3.44%	0.0%	8.69%	2.85%	18.18%	NaN%	5.26%	17.39%	12.5%	0.0%	NaN%	25.0%	7.69%	4.0%	10.71%	4.54%	13.63%	0.0%	14.28%	4.76%	4.54%	13.04%	NaN%	8.69%	8.69%	3.84%	4.34%	3.84%	5.0%	NaN%	0.0%	4.34%	8.69%	12.5%	8.33%	4.34%	0.0%	18.18%	20.0%	16.0%	3.70%	6.25%	3.70%	13.79%	42.85%	1.78%	NaN%	0.0%					
38	"21. ""Российская Конституционно-демократическая партия"""	32	1	0	3	1	0	2	2	1	0	2	2	1	0	1	0	1	1	0	0	2	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
		0.14%	0.14%	0.0%	0.30%	0.09%	0.0%	0.15%	0.26%	0.16%	0.0%	0.45%	0.47%	0.12%	0.0%	0.08%	0.0%	0.09%	0.08%	0.0%	0.0%	0.18%	0.38%	0.82%	0.0%	0.09%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	3.84%	0.0%	0.0%	0.0%	0.0%	0.0%	5.0%	0.0%	5.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	4.76%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	8.69%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	4.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	3.12%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%					
39	"22. ""Развитие предпринимательства"""	76	1	5	3	2	3	2	4	3	2	4	3	1	3	3	4	3	3	1	3	2	2	0	4	4	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	0					
		0.34%	0.14%	0.40%	0.30%	0.19%	0.34%	0.15%	0.52%	0.50%	0.33%	0.90%	0.71%	0.12%	0.41%	0.24%	0.41%	0.28%	0.25%	0.08%	0.30%	0.18%	0.76%	0.0%	0.73%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	4.54%	5.55%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	4.34%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	NaN%	0.0%	0.0%	3.84%	0.0%	0.0%	5.0%	NaN%	0.0%	0.0%	0.0%	0.0%	0.0%	4.34%	4.34%	0.0%	0.0%	4.0%	3.70%	0.0%	0.0%	0.0%	4.76%	1.78%	NaN%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	2552	74	160	93	122	83	169	108	81	86	63	62	110	67	145	128	149	163	133	145	132	14	10	60	54	3	1	1	0	2	2	0	0	3	0	0	0	0	0	3	0	2	6	4	0	1	2	1	2	4	1	0	2	1	2	4	0	5	8	0	6	2	0	2	2	1	3	0	1	3	2	2	1	0	2	2	1	1	3	0	3	1	2	1	1	1	0	2	0	2	0	0	0	3	1	4	2	2	0	6	0	1	12	0	3					
		11.55%	10.49%	12.90%	9.55%	11.89%	9.59%	13.43%	14.22%	13.52%	14.21%	14.22%	14.79%	13.85%	9.31%	11.99%	13.16%	14.20%	13.94%	11.31%	14.88%	12.23%	5.34%	8.26%	10.96%	5.06%	1.06%	4.54%	4.16%	0.0%	10.0%	9.09%	0.0%	NaN%	13.04%	0.0%	0.0%	0.0%	NaN%	0.0%	11.53%	0.0%	9.09%	25.0%	15.38%	0.0%	4.16%	10.0%	4.0%	9.52%	17.39%	4.34%	0.0%	8.33%	4.76%	8.33%	14.81%	NaN%	17.24%	38.09%	0.0%	17.14%	9.09%	NaN%	10.52%	8.69%	4.16%	9.09%	NaN%	4.16%	11.53%	8.0%	7.14%	4.54%	0.0%	7.40%	9.52%	4.76%	4.54%	13.04%	NaN%	13.04%	4.34%	7.69%	4.34%	3.84%	5.0%	NaN%	7.40%	0.0%	8.69%	0.0%	0.0%	0.0%	13.04%	4.54%	16.0%	8.0%	7.40%	0.0%	22.22%	0.0%	4.76%	21.42%	NaN%	6.12%					
																																																																																																															
41	Против всех	1547	42	57	50	46	47	43	38	21	28	29	37	18	45	47	47	43	45	58	39	42	35	1	64	67	2	6	5	8	6	8	3	0	6	11	9	6	0	9	13	12	4	4	8	8	2	9	1	7	5	7	13	7	7	7	7	0	7	2	10	7	2	0	7	2	6	10	0	4	15	12	4	7	2	12	5	11	11	8	0	9	6	17	11	11	7	0	4	11	7	7	13	13	9	3	5	8	9	6	7	7	3	13	0	28					
		7.00%	5.95%	4.59%	5.13%	4.48%	5.43%	3.41%	5.00%	3.50%	4.62%	6.54%	8.83%	2.26%	6.25%	3.88%	4.83%	4.09%	3.84%	4.93%	4.00%	3.89%	13.35%	0.82%	11.70%	6.28%	0.70%	27.27%	20.83%	34.78%	30.0%	36.36%	16.66%	NaN%	26.08%	25.58%	47.36%	25.0%	NaN%	34.61%	50.0%	50.0%	18.18%	16.66%	30.76%	40.0%	8.33%	45.0%	4.0%	33.33%	21.73%	30.43%	54.16%	29.16%	33.33%	29.16%	25.92%	NaN%	24.13%	9.52%	43.47%	19.99%	9.09%	NaN%	36.84%	8.69%	25.0%	30.30%	NaN%	16.66%	57.69%	48.0%	14.28%	31.81%	9.09%	44.44%	23.80%	52.38%	50.0%	34.78%	NaN%	39.13%	26.08%	65.38%	47.82%	42.30%	35.0%	NaN%	14.81%	47.82%	30.43%	29.16%	54.16%	56.52%	39.13%	13.63%	20.0%	32.0%	33.33%	18.75%	25.92%	24.13%	14.28%	23.21%	NaN%	57.14%					
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
																																																																																																															
