Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
"Наименование Избирательной комиссии:    Владивосток, Фрунзенская"																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1768	УИК №1770	УИК №1771	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1810	УИК №1811	УИК №1812	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1823	УИК №1824	УИК №1825	УИК №1826	УИК №1827	УИК №1828	УИК №1829	УИК №1830	УИК №1831	УИК №1832	УИК №1833	УИК №1834	УИК №1836	УИК №1837	УИК №1839	УИК №1840	УИК №1841	УИК №1842	УИК №1843	УИК №1844	УИК №1845	УИК №1846	УИК №1847	УИК №1848	УИК №1850	УИК №1851					
		30.43%	19.49%	20.18%	22.22%	19.45%	18.24%	15.16%	15.77%	16.29%	14.57%	21.63%	45.21%	17.95%	16.99%	18.63%	13.94%	16.09%	19.43%	18.43%	19.76%	19.38%	14.63%	18.17%	25.35%	39.86%	32.76%	60.00%	32.62%	29.27%	22.00%	23.03%	35.59%	41.67%	46.94%	47.80%	11.90%	10.00%	96.91%	30.77%	65.00%	58.82%	31.58%	100.00%	26.32%	32.14%	13.64%	17.86%	32.00%	24.32%	18.52%	26.67%	58.33%	16.67%	17.39%	72.73%	33.33%	46.15%	10.20%	25.93%	39.29%	4.35%	18.18%	26.09%	53.85%	62.07%	92.00%	41.18%	0.00%	48.28%	100.00%	97.16%	90.04%	100.00%	100.00%	100.00%	100.00%	100.00%	12.00%	8.33%	26.09%	16.00%	16.00%	83.53%	100.00%	100.00%	100.00%	91.30%	92.59%	81.25%	0.00%	100.00%	88.64%	91.84%	88.89%	68.00%	88.46%	68.18%	66.67%	91.40%	93.48%	92.13%	90.00%	96.84%	65.91%	34.44%	77.91%	23.33%	12.00%	74.07%	16.67%	45.98%	90.91%	85.71%	90.48%	86.96%	77.78%	76.00%	78.57%	83.33%	94.85%	100.00%	85.71%	42.86%	36.36%	4.17%	100.00%	100.00%	13.64%	18.75%	24.14%	22.73%	9.09%	18.18%	5.56%	18.75%	14.29%	64.71%	16.67%	30.77%	12.50%	50.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	175	1	5	6	8	6	13	3	5	4	2	4	6	2	11	1	6	8	9	1	8	5	7	0	7	2	2	3	0	1	0	4	2	6	6	1	0	0	1	1	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0					
		0.67%	0.10%	0.44%	0.64%	0.79%	0.66%	1.22%	0.45%	1.13%	0.80%	0.33%	0.66%	0.82%	0.33%	1.18%	0.13%	1.08%	0.94%	0.94%	0.20%	0.99%	0.55%	0.80%	0.00%	1.22%	0.31%	0.83%	0.91%	0.00%	2.00%	0.00%	1.42%	0.72%	0.64%	0.85%	2.38%	0.00%	0.00%	7.69%	5.00%	0.00%	0.00%	0.00%	0.00%	3.57%	0.00%	3.57%	8.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	8.70%	3.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	2.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	4.55%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
