Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																																																																			
Дата голосования: 04.12.2011																																																																																																																																																			
																																																																																																																																																			
Наименование Избирательной комиссии:    Вологодская городская																																																																																																																																																			
																																																																																																																																																			
Сводная таблица результатов выборов																																																																																																																																																			
																																																																																																																																																			
		Сумма	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412					
		28.18%	25.00%	16.28%	27.90%	29.03%	29.55%	28.11%	29.26%	27.32%	29.99%	27.25%	27.99%	28.94%	27.46%	28.70%	28.32%	30.98%	29.11%	28.17%	30.47%	31.30%	29.17%	29.51%	29.19%	28.72%	32.95%	26.33%	27.52%	27.34%	27.79%	30.25%	26.09%	28.18%	32.16%	27.05%	25.60%	28.21%	28.03%	26.84%	25.52%	24.49%	26.76%	30.35%	25.81%	26.66%	30.26%	31.91%	26.81%	22.88%	29.16%	29.50%	25.18%	29.11%	27.41%	32.08%	27.80%	28.22%	25.95%	24.06%	28.53%	25.68%	26.90%	32.65%	28.40%	26.64%	24.37%	24.61%	25.44%	26.22%	26.88%	23.18%	24.93%	26.59%	27.36%	26.12%	27.05%	32.76%	25.79%	29.29%	23.18%	25.12%	24.61%	23.92%	23.93%	26.49%	30.21%	28.48%	27.53%	27.98%	22.26%	28.61%	26.20%	25.13%	24.34%	32.18%	25.17%	27.05%	30.70%	28.61%	31.56%	26.31%	29.33%	26.31%	33.44%	29.01%	30.26%	30.02%	28.63%	27.66%	28.49%	28.24%	28.40%	29.22%	29.39%	29.00%	27.59%	27.42%	30.29%	29.48%	31.24%	32.99%	34.49%	21.19%	30.89%	64.45%	70.30%	40.30%	27.57%	32.82%	21.21%	42.86%	56.00%	45.16%	62.85%	38.46%	28.89%	36.92%	31.76%	36.51%	40.00%	26.91%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	1314	3	3	17	11	6	11	13	13	11	9	14	8	14	10	9	5	15	9	1	7	14	7	16	4	7	6	13	12	10	7	15	8	8	14	19	18	0	8	6	18	13	16	11	18	18	8	11	13	7	7	14	13	9	11	3	23	6	5	6	17	7	10	10	9	6	8	16	6	12	5	9	6	15	17	20	1	8	9	4	14	7	7	13	9	14	1	10	7	10	10	11	6	1	4	10	16	7	20	15	25	15	17	30	14	15	10	6	18	5	12	14	10	10	8	13	14	12	5	8	10	7	12	11	5	2	0	1	1	0	0	0	0	3	0	0	1	0	0	0	2					
		0.94%	0.89%	0.44%	1.18%	1.21%	0.64%	1.21%	1.14%	1.02%	1.27%	1.07%	1.15%	0.74%	1.34%	1.32%	0.93%	0.50%	1.46%	0.93%	0.43%	0.58%	1.15%	0.56%	1.41%	0.53%	0.88%	1.78%	0.85%	0.85%	0.76%	1.01%	1.09%	0.66%	0.64%	0.92%	1.14%	1.11%	0.00%	0.62%	0.69%	1.15%	0.90%	1.06%	0.75%	1.16%	1.17%	0.73%	1.05%	1.08%	0.57%	0.78%	1.27%	0.84%	0.73%	0.96%	0.34%	2.37%	0.87%	0.60%	0.82%	1.09%	0.83%	1.58%	0.72%	0.95%	1.01%	1.25%	1.29%	0.52%	0.85%	0.50%	0.66%	0.54%	1.05%	1.21%	1.20%	0.57%	0.87%	0.92%	0.79%	0.95%	0.78%	0.84%	1.21%	0.72%	1.02%	0.09%	0.80%	0.70%	0.88%	0.85%	0.94%	0.76%	0.53%	0.86%	0.74%	1.62%	0.72%	1.52%	0.99%	1.48%	1.15%	1.44%	1.59%	1.03%	1.13%	0.80%	0.48%	1.12%	0.54%	0.78%	1.06%	1.06%	1.13%	0.67%	1.45%	0.90%	0.84%	0.41%	0.61%	0.79%	0.78%	0.95%	0.88%	1.66%	0.50%	0.00%	0.37%	0.76%	0.00%	0.00%	0.00%	0.00%	1.19%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	0.80%					
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
																																																																																																																																																			
