Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																	
Дата голосования: 18.09.2016																																																																																																	
																																																																																																	
Наименование Избирательной комиссии:    Балашовская																																																																																																	
																																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																	
																																																																																																	
		Сумма	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №8211									
		3.69%	0.00%	3.20%	3.86%	0.00%	4.20%	8.21%	5.26%	5.94%	3.42%	3.20%	5.44%	1.74%	1.75%	6.52%	2.07%	5.68%	5.35%	3.09%	8.09%	5.70%	4.04%	3.62%	6.65%	3.12%	3.99%	1.33%	1.89%	6.39%	2.66%	2.76%	5.21%	4.99%	6.44%	7.25%	6.00%	9.11%	3.76%	3.29%	4.25%	3.96%	2.54%	1.75%	5.79%	5.30%	4.62%	6.24%	4.23%	12.80%	1.37%	3.46%	4.44%	2.57%	4.21%	0.82%	0.00%	2.60%	2.46%	1.47%	0.00%	3.81%	4.76%	0.00%	0.94%	5.29%	7.43%	1.54%	7.38%	0.85%	4.42%	4.12%	1.07%	0.37%	0.00%	0.77%	0.00%	3.80%	1.82%	4.61%	0.69%	1.73%	2.18%	3.05%	2.55%	8.51%	0.00%	0.81%									
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
																																																																																																	
