Выборы Президента Российской Федерации																																																																																																																																																																								
																																																																																																																																																																								
Наименование Избирательной комиссии:    Находкинская городская																																																																																																																																																																								
																																																																																																																																																																								
Итоги голосования 																																																																																																																																																																								
																																																																																																																																																																								
		Сумма	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1376	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1450	УИК №1451	УИК №1456	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470					
		6.75%	2.99%	3.18%	5.81%	5.55%	6.77%	9.11%	3.53%	6.59%	8.77%	7.18%	6.43%	6.24%	4.42%	5.41%	5.33%	8.05%	7.33%	8.02%	7.65%	7.58%	13.31%	7.35%	5.63%	6.88%	8.12%	6.80%	5.31%	5.84%	7.21%	6.34%	6.22%	5.33%	4.44%	9.63%	8.49%	6.39%	8.98%	3.08%	8.59%	7.44%	6.70%	9.23%	9.39%	7.63%	7.67%	6.35%	5.44%	6.53%	5.47%	5.52%	8.33%	5.75%	6.60%	6.75%	6.61%	6.85%	5.92%	5.83%	8.17%	6.87%	6.51%	8.14%	6.84%	8.01%	7.22%	4.89%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	4.71%	4.26%	1.20%	2.50%	2.47%	7.14%	0.00%	5.00%	5.56%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	5.00%	0.00%	9.52%	14.29%	9.52%	0.00%	0.00%	0.00%	0.00%	4.00%	1.77%	0.00%	14.29%	23.81%	8.70%	4.76%	23.53%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	4.17%	0.00%	1.18%	16.22%	4.81%	1.82%	0.00%	0.00%	8.00%	4.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.88%	3.30%	3.33%	10.00%	7.41%	2.30%	0.00%	0.00%	6.25%	0.00%	2.74%	2.67%	0.00%	1.14%	4.00%	0.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	11698	42	7	326	198	305	102	16	35	151	128	260	59	107	43	22	219	194	102	112	236	99	86	155	148	150	237	185	235	202	209	154	230	175	190	239	182	163	19	132	164	125	168	163	268	162	299	219	333	328	290	136	220	240	216	229	225	231	228	180	265	142	204	290	126	128	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	14	4	8	0	2	2	2	0	0	0	0	0	1	0	0	0	0	2	2	1	0	2	2	0	1	0	2	3	1	0	0	0	5	0	1	0	2	0	0	4	2	0	0	0	0	1	3	0	5	0	25	8	2	1	1	2	1	1	1	1	3	2	2	4	2	3	1	2	0	0	3	6	5	1	5	1	0	1	1					
		14.94%	13.95%	4.46%	23.10%	19.28%	19.11%	17.53%	9.41%	12.82%	11.13%	9.99%	14.29%	9.69%	13.14%	6.84%	7.33%	12.87%	12.37%	14.11%	17.13%	14.32%	9.02%	10.20%	12.46%	19.58%	13.53%	18.75%	17.55%	16.93%	16.93%	18.41%	12.94%	11.04%	17.68%	11.29%	16.51%	15.92%	13.94%	14.62%	14.35%	16.06%	13.95%	18.24%	15.15%	17.62%	14.27%	20.85%	24.80%	21.31%	21.87%	17.98%	14.53%	14.20%	15.69%	17.36%	19.91%	16.22%	18.47%	15.10%	12.05%	16.26%	15.42%	17.11%	19.84%	13.11%	11.27%	7.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	13.04%	16.47%	4.26%	9.64%	0.00%	2.47%	7.14%	10.53%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	10.00%	9.52%	4.76%	0.00%	9.52%	9.09%	0.00%	3.57%	0.00%	8.00%	2.65%	5.56%	0.00%	0.00%	0.00%	23.81%	0.00%	3.45%	0.00%	6.90%	0.00%	0.00%	17.39%	6.67%	0.00%	0.00%	0.00%	0.00%	5.88%	12.50%	0.00%	5.88%	0.00%	9.26%	2.91%	8.00%	4.00%	4.00%	8.00%	4.00%	4.17%	4.00%	4.00%	15.00%	5.88%	2.20%	13.33%	10.00%	11.11%	1.15%	2.99%	0.00%	0.00%	10.71%	8.22%	6.67%	1.25%	5.68%	4.00%	0.00%	4.35%	6.67%					
																																																																																																																																																																								
24	Против всех	5619	14	15	82	52	70	34	4	13	104	94	102	40	37	52	10	121	132	46	37	96	117	72	71	56	71	78	58	74	89	98	88	108	82	135	124	76	88	10	67	83	43	55	66	96	63	87	46	101	121	119	62	100	120	94	92	117	101	131	143	120	75	73	112	78	86	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5	4	0	1	0	1	10	2	4	6	2	4	2	3	4	5	5	3	7	7	5	6	9	5	12	4	17	2	6	4	5	4	2	7	15	4	0	0	3	2	3	11	2	5	6	2	9	29	10	5	6	0	1	3	0	2	1	2	0	1	5	0	0	6	0	19	20	5	6	5	17	16	14	27	8	0	0	7					
		7.18%	4.65%	9.55%	5.81%	5.06%	4.39%	5.84%	2.35%	4.76%	7.66%	7.34%	5.60%	6.57%	4.55%	8.27%	3.33%	7.11%	8.42%	6.36%	5.66%	5.83%	10.67%	8.54%	5.71%	7.41%	6.40%	6.17%	5.50%	5.33%	7.46%	8.63%	7.39%	5.18%	8.28%	8.02%	8.56%	6.65%	7.53%	7.69%	7.28%	8.13%	4.80%	5.97%	6.13%	6.31%	5.55%	6.07%	5.21%	6.46%	8.07%	7.38%	6.62%	6.46%	7.84%	7.56%	8.00%	8.44%	8.07%	8.68%	9.57%	7.36%	8.14%	6.12%	7.66%	8.12%	7.57%	6.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	5.32%	4.82%	0.00%	1.23%	0.00%	5.26%	50.00%	11.11%	23.53%	30.00%	10.00%	22.22%	11.11%	16.67%	22.22%	23.81%	25.00%	14.29%	33.33%	33.33%	23.81%	27.27%	42.86%	17.86%	41.38%	16.00%	15.04%	11.11%	28.57%	19.05%	21.74%	19.05%	11.76%	24.14%	51.72%	13.79%	0.00%	0.00%	13.04%	6.67%	11.11%	40.74%	15.38%	26.32%	35.29%	8.33%	40.91%	34.12%	13.51%	1.85%	2.18%	0.00%	4.00%	12.00%	0.00%	8.00%	4.17%	8.00%	0.00%	5.00%	14.71%	0.00%	0.00%	30.00%	0.00%	21.84%	29.85%	25.00%	18.75%	17.86%	23.29%	21.33%	17.50%	30.68%	32.00%	0.00%	0.00%	46.67%					
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
																																																																																																																																																																								
