Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																					
Дата голосования: 07.12.2003 0:00:00																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Губкинская  																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																					
																																																																																																					
		Сумма	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573					
		0.24%	0.33%	0.26%	0.0%	0.21%	0.0%	0.29%	0.0%	0.12%	0.10%	0.18%	0.64%	0.56%	0.13%	0.28%	0.23%	0.13%	0.13%	0.25%	0.25%	0.13%	0.20%	0.20%	0.41%	0.24%	0.13%	0.27%	0.39%	0.23%	0.34%	0.05%	0.31%	0.43%	0.46%	0.30%	0.0%	0.17%	0.0%	0.0%	0.44%	0.22%	0.0%	0.22%	0.07%	0.71%	0.39%	0.51%	0.51%	0.12%	0.40%	0.0%	0.0%	0.0%	0.0%	0.41%	0.42%	0.0%	0.0%	0.39%	0.0%	0.39%	0.0%	0.0%	0.57%	0.15%	0.47%	0.70%	1.70%	0.0%	0.0%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.25%	0.58%	0.0%	0.0%	0.09%	0.0%	0.21%	0.0%	0.0%	2.10%	0.21%	0.0%	0.0%	0.64%	0.0%	0.89%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	87	1	1	0	0	0	5	1	0	2	2	1	1	0	2	1	4	2	0	3	3	2	2	1	2	1	2	2	3	1	3	1	3	0	3	1	1	0	3	0	1	0	0	2	1	1	1	1	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	1	1	1	0	0	2	0	0	0	0	0	1	2	0	0	1	1	0	1	1	0	1	0	0	1	0	0	0	0	1	0					
		0.15%	0.16%	0.13%	0.0%	0.0%	0.0%	0.72%	0.14%	0.0%	0.21%	0.36%	0.32%	0.11%	0.0%	0.28%	0.11%	0.26%	0.26%	0.0%	0.25%	0.20%	0.13%	0.13%	0.13%	0.24%	0.13%	0.27%	0.11%	0.34%	0.08%	0.16%	0.05%	0.43%	0.0%	0.46%	0.27%	0.17%	0.0%	0.46%	0.0%	0.11%	0.0%	0.0%	0.14%	0.23%	0.09%	0.07%	0.25%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.19%	0.0%	0.0%	0.74%	0.0%	0.0%	0.15%	0.23%	0.70%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.34%	0.0%	0.0%	0.16%	0.60%	0.0%	0.21%	0.21%	0.0%	0.60%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%					
32	"15. ""Партия СЛОН"""	62	1	0	3	1	1	1	0	1	0	1	0	1	1	1	2	2	1	1	1	3	0	6	0	2	1	0	0	0	3	2	1	0	2	3	1	0	0	1	0	1	0	2	2	0	0	1	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.10%	0.16%	0.0%	0.98%	0.10%	0.47%	0.14%	0.0%	0.12%	0.0%	0.18%	0.0%	0.11%	0.13%	0.14%	0.23%	0.13%	0.13%	0.12%	0.08%	0.20%	0.0%	0.40%	0.0%	0.24%	0.13%	0.0%	0.0%	0.0%	0.25%	0.10%	0.05%	0.0%	0.18%	0.46%	0.27%	0.0%	0.0%	0.15%	0.0%	0.11%	0.0%	0.14%	0.14%	0.0%	0.0%	0.07%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5249	64	116	38	104	11	96	70	74	126	60	42	116	78	67	71	169	79	83	119	174	162	137	88	67	104	82	184	101	135	202	192	80	141	64	59	48	32	65	31	79	48	98	135	29	110	81	14	106	12	29	21	17	19	32	22	7	4	16	46	7	2	0	9	35	31	7	12	1	29	52	15	2	10	12	16	32	5	4	35	8	49	20	35	0	2	1	17	18	3	67	15	31	3	8					
		9.16%	10.72%	15.18%	12.5%	11.39%	5.21%	13.93%	9.84%	9.46%	13.84%	10.81%	13.59%	13.00%	10.80%	9.39%	8.47%	11.27%	10.57%	10.55%	9.94%	11.63%	11.13%	9.33%	12.08%	8.30%	13.73%	11.12%	10.49%	11.77%	11.53%	10.79%	10.0%	11.61%	13.22%	9.89%	16.34%	8.19%	12.45%	9.96%	6.95%	9.03%	10.27%	7.25%	9.81%	6.95%	10.81%	5.94%	3.58%	6.68%	4.87%	7.02%	8.57%	10.11%	7.63%	6.58%	4.65%	4.34%	3.22%	6.37%	21.39%	2.73%	1.49%	0.0%	5.14%	5.54%	7.41%	4.92%	10.25%	0.70%	5.24%	8.11%	6.84%	1.13%	5.23%	6.15%	5.16%	5.55%	1.27%	2.33%	5.78%	4.81%	4.75%	4.33%	7.35%	0.0%	1.21%	1.05%	3.63%	5.88%	2.75%	10.72%	4.55%	5.55%	2.11%	2.56%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	143	0	0	0	1	2	0	0	1	5	2	0	2	0	1	2	5	4	3	3	0	1	4	0	1	0	4	4	2	1	3	6	2	2	1	0	1	0	0	2	1	0	6	5	1	2	1	0	6	1	4	1	0	0	1	2	0	0	0	0	4	0	0	0	0	1	1	1	0	4	2	1	1	1	0	0	2	0	2	1	3	4	5	3	0	2	0	1	1	1	1	0	0	0	5					
		0.24%	0.0%	0.0%	0.0%	0.10%	0.94%	0.0%	0.0%	0.12%	0.54%	0.36%	0.0%	0.22%	0.0%	0.14%	0.23%	0.33%	0.53%	0.38%	0.25%	0.0%	0.06%	0.27%	0.0%	0.12%	0.0%	0.54%	0.22%	0.23%	0.08%	0.16%	0.31%	0.29%	0.18%	0.15%	0.0%	0.17%	0.0%	0.0%	0.44%	0.11%	0.0%	0.44%	0.36%	0.23%	0.19%	0.07%	0.0%	0.37%	0.40%	0.96%	0.40%	0.0%	0.0%	0.20%	0.42%	0.0%	0.0%	0.0%	0.0%	1.56%	0.0%	0.0%	0.0%	0.0%	0.23%	0.70%	0.85%	0.0%	0.72%	0.31%	0.45%	0.56%	0.52%	0.0%	0.0%	0.34%	0.0%	1.16%	0.16%	1.80%	0.38%	1.08%	0.63%	0.0%	1.21%	0.0%	0.21%	0.32%	0.91%	0.16%	0.0%	0.0%	0.0%	1.60%					
35	"18. ""ЛДПР"""	7529	77	73	60	122	31	71	89	160	77	52	22	97	76	112	91	202	80	106	145	172	247	229	113	126	69	91	284	128	190	308	324	97	127	82	36	65	34	70	97	119	80	212	226	51	161	137	75	155	21	45	54	27	30	48	60	23	13	31	25	42	12	7	15	56	33	15	14	15	81	68	25	25	12	30	46	69	61	13	72	13	120	64	57	13	11	8	49	56	11	60	22	41	19	49					
		13.13%	12.89%	9.55%	19.73%	13.36%	14.69%	10.30%	12.51%	20.46%	8.46%	9.36%	7.11%	10.87%	10.52%	15.70%	10.85%	13.47%	10.70%	13.48%	12.11%	11.49%	16.97%	15.61%	15.52%	15.61%	9.11%	12.34%	16.20%	14.91%	16.23%	16.46%	16.87%	14.07%	11.91%	12.67%	9.97%	11.09%	13.22%	10.73%	21.74%	13.61%	17.13%	15.69%	16.43%	12.23%	15.83%	10.05%	19.18%	9.77%	8.53%	10.89%	22.04%	16.07%	12.04%	9.87%	12.68%	14.28%	10.48%	12.35%	11.62%	16.40%	8.95%	7.07%	8.57%	8.87%	7.89%	10.56%	11.96%	10.56%	14.64%	10.60%	11.41%	14.20%	6.28%	15.38%	14.83%	11.97%	15.60%	7.60%	11.90%	7.83%	11.65%	13.88%	11.97%	7.10%	6.70%	8.42%	10.47%	18.30%	10.09%	9.6%	6.68%	7.34%	13.38%	15.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1032	13	10	6	20	7	22	8	9	23	6	8	12	4	9	12	32	19	27	27	32	37	37	13	10	13	14	35	11	19	29	28	8	11	17	6	10	6	6	8	9	8	26	23	7	12	18	7	25	5	11	5	2	5	8	4	4	3	5	0	4	3	7	0	17	8	1	5	6	7	14	2	0	5	5	6	2	4	1	11	3	22	7	8	0	6	2	17	9	1	24	0	12	1	1					
		1.80%	2.17%	1.30%	1.97%	2.19%	3.31%	3.19%	1.12%	1.15%	2.52%	1.08%	2.58%	1.34%	0.55%	1.26%	1.43%	2.13%	2.54%	3.43%	2.25%	2.13%	2.54%	2.52%	1.78%	1.23%	1.71%	1.89%	1.99%	1.28%	1.62%	1.54%	1.45%	1.16%	1.03%	2.62%	1.66%	1.70%	2.33%	0.92%	1.79%	1.02%	1.71%	1.92%	1.67%	1.67%	1.17%	1.32%	1.79%	1.57%	2.03%	2.66%	2.04%	1.19%	2.00%	1.64%	0.84%	2.48%	2.41%	1.99%	0.0%	1.56%	2.23%	7.07%	0.0%	2.69%	1.91%	0.70%	4.27%	4.22%	1.26%	2.18%	0.91%	0.0%	2.61%	2.56%	1.93%	0.34%	1.02%	0.58%	1.81%	1.80%	2.13%	1.51%	1.68%	0.0%	3.65%	2.10%	3.63%	2.94%	0.91%	3.84%	0.0%	2.15%	0.70%	0.32%					
37	"20. ""Политическая партия ""Единая Россия"""	17883	164	179	84	259	39	177	217	236	207	129	62	235	172	203	220	415	190	204	329	356	400	383	188	216	188	209	490	238	339	532	553	172	390	161	84	194	74	231	121	236	124	376	359	132	259	414	191	528	104	240	54	59	78	186	238	65	63	78	70	78	79	55	78	248	200	52	43	53	204	185	78	73	76	77	90	246	148	93	243	70	399	214	180	122	68	36	190	110	42	247	197	337	80	98					
		31.20%	27.47%	23.42%	27.63%	28.36%	18.48%	25.68%	30.52%	30.17%	22.74%	23.24%	20.06%	26.34%	23.82%	28.47%	26.25%	27.68%	25.43%	25.95%	27.48%	23.79%	27.49%	26.10%	25.82%	26.76%	24.83%	28.35%	27.95%	27.73%	28.97%	28.43%	28.80%	24.96%	36.58%	24.88%	23.26%	33.10%	28.79%	35.42%	27.13%	27.00%	26.55%	27.83%	26.10%	31.65%	25.46%	30.39%	48.84%	33.29%	42.27%	58.11%	22.04%	35.11%	31.32%	38.27%	50.31%	40.37%	50.80%	31.07%	32.55%	30.46%	58.95%	55.55%	44.57%	39.30%	47.84%	36.61%	36.75%	37.32%	36.88%	28.86%	35.61%	41.47%	39.79%	39.48%	29.03%	42.70%	37.85%	54.38%	40.16%	42.16%	38.73%	46.42%	37.81%	66.66%	41.46%	37.89%	40.59%	35.94%	38.53%	39.52%	59.87%	60.39%	56.33%	31.41%					
38	"21. ""Российская Конституционно-демократическая партия"""	137	2	2	0	1	2	0	0	0	4	0	1	2	3	2	2	3	0	1	7	4	4	2	0	2	0	1	3	1	2	5	3	2	2	1	0	3	2	3	0	2	0	5	1	0	2	4	1	2	0	1	1	0	0	2	1	1	0	1	0	0	0	0	0	1	2	0	2	1	0	0	0	0	1	1	0	0	1	2	4	1	4	0	2	1	0	0	11	2	1	1	0	1	0	2					
		0.23%	0.33%	0.26%	0.0%	0.10%	0.94%	0.0%	0.0%	0.0%	0.43%	0.0%	0.32%	0.22%	0.41%	0.28%	0.23%	0.20%	0.0%	0.12%	0.58%	0.26%	0.27%	0.13%	0.0%	0.24%	0.0%	0.13%	0.17%	0.11%	0.17%	0.26%	0.15%	0.29%	0.18%	0.15%	0.0%	0.51%	0.77%	0.46%	0.0%	0.22%	0.0%	0.37%	0.07%	0.0%	0.19%	0.29%	0.25%	0.12%	0.0%	0.24%	0.40%	0.0%	0.0%	0.41%	0.21%	0.62%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.47%	0.0%	1.70%	0.70%	0.0%	0.0%	0.0%	0.0%	0.52%	0.51%	0.0%	0.0%	0.25%	1.16%	0.66%	0.60%	0.38%	0.0%	0.42%	0.54%	0.0%	0.0%	2.35%	0.65%	0.91%	0.16%	0.0%	0.17%	0.0%	0.64%					
39	"22. ""Развитие предпринимательства"""	152	2	5	0	2	1	0	0	2	0	0	1	2	3	3	2	2	1	3	4	4	3	3	2	2	6	2	4	0	4	10	7	4	1	3	4	1	0	0	2	3	1	6	4	1	0	3	0	9	0	1	0	0	0	2	4	0	0	2	0	1	0	0	0	0	0	1	0	0	1	0	4	0	0	0	0	1	1	0	0	0	2	3	0	0	0	0	2	0	0	1	0	1	0	3					
		0.26%	0.33%	0.65%	0.0%	0.21%	0.47%	0.0%	0.0%	0.25%	0.0%	0.0%	0.32%	0.22%	0.41%	0.42%	0.23%	0.13%	0.13%	0.38%	0.33%	0.26%	0.20%	0.20%	0.27%	0.24%	0.79%	0.27%	0.22%	0.0%	0.34%	0.53%	0.36%	0.58%	0.09%	0.46%	1.10%	0.17%	0.0%	0.0%	0.44%	0.34%	0.21%	0.44%	0.29%	0.23%	0.0%	0.22%	0.0%	0.56%	0.0%	0.24%	0.0%	0.0%	0.0%	0.41%	0.84%	0.0%	0.0%	0.79%	0.0%	0.39%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.18%	0.0%	1.82%	0.0%	0.0%	0.0%	0.0%	0.17%	0.25%	0.0%	0.0%	0.0%	0.19%	0.65%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.16%	0.0%	0.17%	0.0%	0.96%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	10297	105	158	32	169	49	158	167	129	226	143	76	187	162	143	211	317	163	149	235	290	240	268	133	156	164	139	251	124	126	256	251	156	119	133	80	102	51	123	78	179	83	257	212	96	260	187	33	220	27	39	50	45	71	94	37	33	25	71	27	54	29	14	34	139	58	33	16	33	103	135	38	18	29	30	79	76	89	35	103	26	239	72	120	4	37	11	42	16	11	116	48	54	21	70					
		17.97%	17.58%	20.68%	10.52%	18.51%	23.22%	22.93%	23.48%	16.49%	24.83%	25.76%	24.59%	20.96%	22.43%	20.05%	25.17%	21.14%	21.82%	18.95%	19.63%	19.38%	16.49%	18.26%	18.26%	19.33%	21.66%	18.86%	14.31%	14.45%	10.76%	13.68%	13.07%	22.64%	11.16%	20.55%	22.16%	17.40%	19.84%	18.86%	17.48%	20.48%	17.77%	19.02%	15.41%	23.02%	25.56%	13.72%	8.43%	13.87%	10.97%	9.44%	20.40%	26.78%	28.51%	19.34%	7.82%	20.49%	20.16%	28.28%	12.55%	21.09%	21.64%	14.14%	19.42%	22.02%	13.87%	23.23%	13.67%	23.23%	18.62%	21.06%	17.35%	10.22%	15.18%	15.38%	25.48%	13.19%	22.76%	20.46%	17.02%	15.66%	23.20%	15.61%	25.21%	2.18%	22.56%	11.57%	8.97%	5.22%	10.09%	18.56%	14.58%	9.67%	14.78%	22.43%					
																																																																																																					
41	Против всех	3450	24	44	24	50	24	27	34	39	58	28	17	44	45	61	48	84	42	50	102	123	100	93	60	56	42	36	155	77	110	205	169	36	72	35	21	39	14	30	38	48	35	102	125	24	49	105	22	92	10	7	6	2	5	22	19	0	4	2	4	10	2	2	8	15	13	6	10	5	24	37	2	3	10	6	7	25	15	4	41	7	36	6	17	14	2	1	17	23	3	21	0	10	3	6					
		6.02%	4.02%	5.75%	7.89%	5.47%	11.37%	3.91%	4.78%	4.98%	6.37%	5.04%	5.50%	4.93%	6.23%	8.55%	5.72%	5.60%	5.62%	6.36%	8.52%	8.22%	6.87%	6.33%	8.24%	6.93%	5.54%	4.88%	8.84%	8.97%	9.40%	10.95%	8.80%	5.22%	6.75%	5.40%	5.81%	6.65%	5.44%	4.60%	8.52%	5.49%	7.49%	7.54%	9.09%	5.75%	4.81%	7.70%	5.62%	5.80%	4.06%	1.69%	2.44%	1.19%	2.00%	4.52%	4.01%	0.0%	3.22%	0.79%	1.86%	3.90%	1.49%	2.02%	4.57%	2.37%	3.11%	4.22%	8.54%	3.52%	4.33%	5.77%	0.91%	1.70%	5.23%	3.07%	2.25%	4.34%	3.83%	2.33%	6.77%	4.21%	3.49%	1.30%	3.57%	7.65%	1.21%	1.05%	3.63%	7.51%	2.75%	3.36%	0.0%	1.79%	2.11%	1.92%					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
																																																																																																					
