Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																																																																			
																																																																																																																			
Наименование Избирательной комиссии:    Череповецкая городская																																																																																																																			
																																																																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																																																			
																																																																																																																			
		Сумма	УИК №954	УИК №955	УИК №956	УИК №957	УИК №958	УИК №959	УИК №960	УИК №961	УИК №962	УИК №963	УИК №964	УИК №965	УИК №966	УИК №967	УИК №968	УИК №969	УИК №970	УИК №971	УИК №972	УИК №973	УИК №974	УИК №975	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1040	УИК №1041	УИК №1042	УИК №1043	УИК №1044	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061					
		2.75%	2.36%	2.70%	3.20%	3.11%	2.15%	2.15%	2.45%	1.84%	2.73%	2.55%	3.43%	5.26%	0.0%	2.20%	3.31%	2.46%	2.37%	3.12%	16.66%	6.38%	2.35%	3.17%	2.82%	2.02%	2.44%	1.58%	2.20%	3.21%	3.27%	3.18%	0.0%	2.68%	2.90%	2.89%	2.31%	2.60%	2.62%	2.35%	2.12%	2.83%	3.89%	0.0%	2.76%	2.95%	2.14%	3.09%	2.65%	3.09%	2.07%	3.17%	1.49%	0.51%	2.77%	2.37%	2.85%	3.24%	2.51%	2.17%	2.80%	4.34%	2.66%	3.39%	2.39%	2.40%	3.18%	2.47%	3.17%	2.19%	2.58%	3.19%	2.51%	0.0%	3.32%	2.87%	2.40%	4.66%	3.48%	3.11%	3.16%	2.75%	2.5%	3.75%	3.00%	2.76%	2.25%	3.21%	2.95%	3.20%	7.24%	0.0%	3.40%	3.31%	3.77%	2.53%	2.49%	2.73%	2.48%	2.68%	2.32%	1.93%	2.82%	2.99%	0.0%	3.21%	3.13%	1.83%	3.31%	2.55%					
28	"11. ""Истинные патриоты России"""	84	0	1	0	0	0	2	0	1	0	0	1	0	0	2	1	0	2	1	0	0	0	0	1	0	1	4	3	2	1	1	0	3	3	0	0	2	0	2	3	0	0	0	0	0	0	2	0	2	0	2	2	2	13	1	0	1	0	0	0	0	0	2	0	1	1	0	0	0	1	0	1	0	0	0	0	0	1	1	1	2	1	1	0	1	2	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0					
		0.06%	0.0%	0.07%	0.0%	0.0%	0.0%	0.15%	0.0%	0.07%	0.0%	0.0%	0.19%	0.0%	0.0%	0.27%	0.07%	0.0%	0.15%	0.07%	0.0%	0.0%	0.0%	0.0%	0.09%	0.0%	0.08%	0.30%	0.22%	0.20%	0.08%	0.06%	0.0%	0.27%	0.23%	0.0%	0.0%	0.13%	0.0%	0.14%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.12%	0.0%	0.11%	0.10%	1.03%	2.00%	0.09%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.08%	0.07%	0.0%	0.0%	0.0%	0.06%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.07%	0.06%	0.14%	0.07%	0.06%	0.0%	0.07%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.06%	0.07%	0.07%	0.06%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	1606	22	12	11	13	20	4	9	20	14	30	8	0	0	5	11	14	19	14	0	0	21	19	11	17	12	22	13	8	11	22	0	21	13	20	21	21	17	11	19	19	21	0	8	25	17	24	12	14	19	21	36	0	9	19	11	17	17	15	10	1	14	18	15	10	16	31	17	21	23	28	18	0	22	14	8	8	19	11	12	18	16	15	21	17	20	21	14	22	1	0	20	23	17	9	14	28	21	7	18	17	16	4	1	24	21	18	18	20					
		1.26%	1.57%	0.95%	0.92%	1.06%	1.48%	0.30%	0.61%	1.47%	1.09%	2.07%	1.52%	0.0%	0.0%	0.68%	0.84%	1.04%	1.45%	1.09%	0.0%	0.0%	1.49%	1.54%	1.00%	1.37%	0.97%	1.66%	0.98%	0.80%	0.92%	1.46%	0.0%	1.94%	1.02%	1.48%	1.42%	1.44%	1.27%	0.81%	1.38%	1.28%	1.66%	0.0%	0.76%	1.67%	1.14%	1.51%	1.09%	0.90%	1.23%	1.25%	1.91%	0.0%	1.38%	1.73%	0.95%	1.38%	1.47%	1.16%	0.82%	2.17%	0.95%	1.49%	1.28%	0.80%	1.15%	2.13%	1.17%	1.48%	1.48%	2.08%	1.37%	0.0%	1.74%	1.08%	0.64%	0.70%	1.44%	0.83%	0.82%	1.27%	1.21%	1.04%	1.37%	1.20%	1.36%	1.43%	0.90%	1.56%	1.44%	0.0%	1.38%	1.52%	1.14%	0.67%	1.02%	1.87%	1.49%	0.58%	1.19%	1.13%	1.16%	2.39%	5.26%	1.93%	1.56%	1.50%	1.42%	1.54%					
30	"13. ""Демократическая партия России"""	210	1	0	0	4	3	6	5	2	2	1	1	0	0	0	1	3	3	3	0	1	6	3	3	1	1	2	3	1	1	2	0	1	1	1	3	2	1	1	1	0	2	0	0	1	2	0	1	0	2	4	4	3	1	2	3	5	2	1	5	0	2	3	3	1	1	6	2	2	4	1	6	1	4	3	0	1	2	2	4	2	2	3	2	2	3	2	0	0	1	0	3	2	2	3	0	2	1	2	1	4	5	0	0	4	1	0	3	4					
		0.16%	0.07%	0.0%	0.0%	0.32%	0.22%	0.46%	0.34%	0.14%	0.15%	0.06%	0.19%	0.0%	0.0%	0.0%	0.07%	0.22%	0.22%	0.23%	0.0%	1.06%	0.42%	0.24%	0.27%	0.08%	0.08%	0.15%	0.22%	0.10%	0.08%	0.13%	0.0%	0.09%	0.07%	0.07%	0.20%	0.13%	0.07%	0.07%	0.07%	0.0%	0.15%	0.0%	0.0%	0.06%	0.13%	0.0%	0.09%	0.0%	0.12%	0.23%	0.21%	1.55%	0.15%	0.18%	0.25%	0.40%	0.17%	0.07%	0.41%	0.0%	0.13%	0.24%	0.25%	0.08%	0.07%	0.41%	0.13%	0.14%	0.25%	0.07%	0.45%	6.25%	0.31%	0.23%	0.0%	0.08%	0.15%	0.15%	0.27%	0.14%	0.15%	0.20%	0.13%	0.14%	0.20%	0.13%	0.0%	0.0%	1.44%	0.0%	0.20%	0.13%	0.13%	0.22%	0.0%	0.13%	0.07%	0.16%	0.06%	0.26%	0.36%	0.0%	0.0%	0.32%	0.07%	0.0%	0.23%	0.30%					
31	"14. ""Великая Россия - Евразийский Союз"""	158	1	0	1	0	3	1	2	2	3	0	2	0	0	0	1	4	2	2	0	0	4	2	0	3	1	2	1	1	1	0	0	4	1	5	0	0	0	0	3	2	1	0	1	2	3	1	0	0	1	1	9	0	2	0	0	1	3	1	0	1	0	0	4	3	1	1	1	0	4	1	7	0	2	3	2	3	2	3	2	0	1	2	1	0	1	3	1	4	0	0	3	3	2	0	2	0	1	1	2	1	0	2	0	1	1	3	3	0					
		0.12%	0.07%	0.0%	0.08%	0.0%	0.22%	0.07%	0.13%	0.14%	0.23%	0.0%	0.38%	0.0%	0.0%	0.0%	0.07%	0.29%	0.15%	0.15%	0.0%	0.0%	0.28%	0.16%	0.0%	0.24%	0.08%	0.15%	0.07%	0.10%	0.08%	0.0%	0.0%	0.37%	0.07%	0.37%	0.0%	0.0%	0.0%	0.0%	0.21%	0.13%	0.07%	0.0%	0.09%	0.13%	0.20%	0.06%	0.0%	0.0%	0.06%	0.05%	0.47%	0.0%	0.30%	0.0%	0.0%	0.08%	0.25%	0.07%	0.0%	2.17%	0.0%	0.0%	0.34%	0.24%	0.07%	0.06%	0.06%	0.0%	0.25%	0.07%	0.53%	0.0%	0.15%	0.23%	0.16%	0.26%	0.15%	0.22%	0.13%	0.0%	0.07%	0.13%	0.06%	0.0%	0.06%	0.20%	0.06%	0.28%	0.0%	0.0%	0.20%	0.19%	0.13%	0.0%	0.14%	0.0%	0.07%	0.08%	0.13%	0.06%	0.0%	1.19%	0.0%	0.08%	0.07%	0.25%	0.23%	0.0%					
32	"15. ""Партия СЛОН"""	197	0	3	0	1	2	6	4	1	2	5	0	0	0	4	0	0	1	2	0	0	1	2	2	2	1	1	0	0	5	3	0	1	0	5	1	4	2	2	0	3	0	0	1	1	5	3	2	1	2	3	9	2	0	2	1	2	2	2	1	0	1	1	3	4	0	3	0	2	4	3	4	1	4	1	3	1	2	2	5	3	1	2	3	1	1	0	1	3	0	0	2	1	3	2	2	3	4	2	4	1	1	0	0	0	1	4	2	1					
		0.15%	0.0%	0.23%	0.0%	0.08%	0.14%	0.46%	0.27%	0.07%	0.15%	0.34%	0.0%	0.0%	0.0%	0.55%	0.0%	0.0%	0.07%	0.15%	0.0%	0.0%	0.07%	0.16%	0.18%	0.16%	0.08%	0.07%	0.0%	0.0%	0.41%	0.19%	0.0%	0.09%	0.0%	0.37%	0.06%	0.27%	0.14%	0.14%	0.0%	0.20%	0.0%	0.0%	0.09%	0.06%	0.33%	0.18%	0.18%	0.06%	0.12%	0.17%	0.47%	1.03%	0.0%	0.18%	0.08%	0.16%	0.17%	0.15%	0.08%	0.0%	0.06%	0.08%	0.25%	0.32%	0.0%	0.20%	0.0%	0.14%	0.25%	0.22%	0.30%	6.25%	0.31%	0.07%	0.24%	0.08%	0.15%	0.15%	0.34%	0.21%	0.07%	0.13%	0.19%	0.07%	0.06%	0.0%	0.06%	0.21%	0.0%	0.0%	0.13%	0.06%	0.20%	0.14%	0.14%	0.20%	0.28%	0.16%	0.26%	0.06%	0.07%	0.0%	0.0%	0.0%	0.07%	0.33%	0.15%	0.07%					
33	"16. ""Родина"" (народно-патриотический союз)"""	12431	142	136	123	99	113	115	137	120	124	130	59	3	0	53	153	148	121	108	0	10	171	123	81	94	83	108	84	72	125	173	1	83	63	119	180	151	150	130	108	163	117	0	57	175	168	199	118	172	157	173	169	0	34	98	92	137	126	114	103	2	127	120	91	103	145	168	141	145	144	140	160	0	144	130	106	110	145	126	136	152	134	146	182	112	146	168	136	156	10	1	169	155	152	116	158	176	154	115	177	157	123	0	2	105	163	154	146	118					
		9.82%	10.17%	10.83%	10.37%	8.12%	8.38%	8.86%	9.32%	8.83%	9.67%	8.99%	11.25%	15.78%	0.0%	7.29%	11.78%	11.05%	9.25%	8.42%	0.0%	10.63%	12.20%	10.01%	7.38%	7.60%	6.76%	8.15%	6.39%	7.24%	10.48%	11.49%	7.69%	7.69%	4.95%	8.82%	12.24%	10.35%	11.23%	9.57%	7.90%	10.99%	9.29%	0.0%	5.43%	11.74%	11.28%	12.55%	10.78%	11.08%	10.20%	10.36%	9.00%	0.0%	5.24%	8.95%	7.95%	11.12%	10.91%	8.86%	8.49%	4.34%	8.68%	9.94%	7.77%	8.24%	10.49%	11.57%	9.74%	10.24%	9.30%	10.41%	12.19%	0.0%	11.41%	10.11%	8.48%	9.69%	10.99%	9.55%	9.35%	10.74%	10.15%	10.13%	11.87%	7.93%	9.97%	11.49%	8.74%	11.09%	14.49%	33.33%	11.73%	10.26%	10.24%	8.66%	11.57%	11.75%	10.93%	9.63%	11.73%	10.48%	8.91%	0.0%	10.52%	8.44%	12.16%	12.87%	11.52%	9.13%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	202	0	7	0	0	3	0	0	1	0	2	4	0	0	1	2	2	3	0	0	0	3	3	17	0	5	3	2	1	2	4	0	1	4	4	1	3	1	2	1	2	3	0	3	1	0	3	3	3	1	0	4	0	3	2	1	2	4	2	2	0	1	4	2	1	0	2	4	1	2	0	1	1	1	0	3	2	2	0	0	1	4	1	1	2	3	2	17	1	0	0	3	0	1	1	1	1	1	1	4	0	2	0	0	2	1	1	3	0					
		0.15%	0.0%	0.55%	0.0%	0.0%	0.22%	0.0%	0.0%	0.07%	0.0%	0.13%	0.76%	0.0%	0.0%	0.13%	0.15%	0.14%	0.22%	0.0%	0.0%	0.0%	0.21%	0.24%	1.54%	0.0%	0.40%	0.22%	0.15%	0.10%	0.16%	0.26%	0.0%	0.09%	0.31%	0.29%	0.06%	0.20%	0.07%	0.14%	0.07%	0.13%	0.23%	0.0%	0.28%	0.06%	0.0%	0.18%	0.27%	0.19%	0.06%	0.0%	0.21%	0.0%	0.46%	0.18%	0.08%	0.16%	0.34%	0.15%	0.16%	0.0%	0.06%	0.33%	0.17%	0.08%	0.0%	0.13%	0.27%	0.07%	0.12%	0.0%	0.07%	6.25%	0.07%	0.0%	0.24%	0.17%	0.15%	0.0%	0.0%	0.07%	0.30%	0.06%	0.06%	0.14%	0.20%	0.13%	1.09%	0.07%	0.0%	0.0%	0.20%	0.0%	0.06%	0.07%	0.07%	0.06%	0.07%	0.08%	0.26%	0.0%	0.14%	0.0%	0.0%	0.16%	0.07%	0.08%	0.23%	0.0%					
35	"18. ""ЛДПР"""	15388	178	153	162	146	200	185	204	179	154	211	64	2	3	104	152	147	144	169	2	7	175	142	171	179	139	169	211	171	164	161	0	142	209	143	128	128	126	112	123	136	130	6	167	139	150	129	160	149	205	182	276	95	93	162	162	178	151	207	181	2	188	127	139	169	172	145	158	146	165	148	138	1	132	125	184	135	140	156	163	180	155	173	185	172	173	198	190	179	7	0	175	168	154	163	173	181	163	158	167	172	197	22	2	131	153	147	138	162					
		12.16%	12.75%	12.19%	13.67%	11.98%	14.84%	14.26%	13.88%	13.18%	12.01%	14.59%	12.21%	10.52%	23.07%	14.30%	11.71%	10.97%	11.00%	13.18%	16.66%	7.44%	12.49%	11.56%	15.58%	14.48%	11.33%	12.76%	16.05%	17.20%	13.75%	10.69%	0.0%	13.16%	16.43%	10.60%	8.70%	8.77%	9.43%	8.24%	8.99%	9.17%	10.32%	13.04%	15.93%	9.32%	10.07%	8.13%	14.62%	9.60%	13.32%	10.90%	14.70%	49.22%	14.35%	14.80%	14.01%	14.45%	13.08%	16.09%	14.93%	4.34%	12.85%	10.52%	11.87%	13.53%	12.44%	9.98%	10.91%	10.31%	10.66%	11.01%	10.51%	6.25%	10.45%	9.72%	14.73%	11.89%	10.61%	11.83%	11.21%	12.72%	11.74%	12.01%	12.07%	12.18%	11.82%	13.55%	12.21%	12.73%	10.14%	0.0%	12.15%	11.12%	10.37%	12.17%	12.67%	12.09%	11.57%	13.24%	11.07%	11.48%	14.28%	13.17%	10.52%	10.53%	11.41%	12.29%	10.89%	12.53%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	2038	20	18	25	16	22	19	19	24	17	22	7	0	0	10	25	21	15	32	0	1	28	18	23	15	22	23	15	17	23	19	0	21	34	24	18	24	27	23	16	13	18	2	21	27	13	25	17	27	32	32	18	1	10	19	17	23	16	16	27	2	31	31	11	17	30	21	21	23	40	30	18	1	13	16	26	17	23	20	14	19	16	34	28	24	27	25	20	42	0	0	19	20	16	11	19	24	20	17	19	14	27	0	0	22	27	16	26	24					
		1.61%	1.43%	1.43%	2.10%	1.31%	1.63%	1.46%	1.29%	1.76%	1.32%	1.52%	1.33%	0.0%	0.0%	1.37%	1.92%	1.56%	1.14%	2.49%	0.0%	1.06%	1.99%	1.46%	2.09%	1.21%	1.79%	1.73%	1.14%	1.71%	1.92%	1.26%	0.0%	1.94%	2.67%	1.77%	1.22%	1.64%	2.02%	1.69%	1.17%	0.87%	1.42%	4.34%	2.00%	1.81%	0.87%	1.57%	1.55%	1.73%	2.07%	1.91%	0.95%	0.51%	1.54%	1.73%	1.47%	1.86%	1.38%	1.24%	2.22%	4.34%	2.12%	2.56%	0.93%	1.36%	2.17%	1.44%	1.45%	1.62%	2.58%	2.23%	1.37%	6.25%	1.03%	1.24%	2.08%	1.49%	1.74%	1.51%	0.96%	1.34%	1.21%	2.36%	1.82%	1.69%	1.84%	1.71%	1.28%	2.98%	0.0%	0.0%	1.31%	1.32%	1.07%	0.82%	1.39%	1.60%	1.42%	1.42%	1.25%	0.93%	1.95%	0.0%	0.0%	1.76%	2.01%	1.33%	2.05%	1.85%					
37	"20. ""Политическая партия ""Единая Россия"""	50463	548	526	455	523	527	491	601	560	520	534	214	4	6	320	513	539	537	540	4	32	540	487	431	496	544	527	535	395	394	594	5	464	560	514	564	649	509	594	571	574	464	23	466	589	600	572	375	618	578	693	687	32	317	460	477	493	472	535	491	8	588	471	527	556	543	626	591	551	663	539	536	3	478	500	483	475	506	531	595	569	564	535	597	563	569	569	628	517	23	2	558	568	602	561	486	576	625	452	593	616	533	68	7	484	508	423	501	513					
		39.89%	39.28%	41.91%	38.39%	42.93%	39.12%	37.85%	40.91%	41.23%	40.56%	36.92%	40.83%	21.05%	46.15%	44.01%	39.52%	40.25%	41.05%	42.12%	33.33%	34.04%	38.54%	39.65%	39.28%	40.12%	44.37%	39.80%	40.71%	39.73%	33.05%	39.46%	38.46%	43.00%	44.02%	38.10%	38.36%	44.51%	38.12%	43.74%	41.77%	38.73%	36.85%	50.0%	44.46%	39.53%	40.29%	36.08%	34.27%	39.81%	37.55%	41.52%	36.60%	16.58%	48.91%	42.04%	41.26%	40.04%	40.90%	41.60%	40.51%	17.39%	40.21%	39.02%	45.00%	44.51%	39.29%	43.11%	40.84%	38.93%	42.85%	40.10%	40.85%	18.75%	37.87%	38.91%	38.67%	41.85%	38.36%	40.28%	40.94%	40.24%	42.72%	37.15%	38.96%	39.87%	38.89%	38.94%	40.38%	36.77%	33.33%	66.66%	38.75%	37.61%	40.56%	41.89%	35.60%	38.47%	44.38%	37.88%	39.32%	41.14%	38.65%	40.71%	36.84%	38.93%	37.91%	35.36%	39.54%	39.70%					
38	"21. ""Российская Конституционно-демократическая партия"""	198	6	2	1	2	1	3	1	2	1	0	0	0	1	1	4	2	0	4	0	0	0	4	2	1	1	1	4	2	3	4	0	2	1	3	2	3	0	1	0	4	0	0	1	0	2	5	2	0	0	3	9	0	2	5	3	1	2	3	5	2	0	1	2	1	0	4	2	1	2	3	1	0	4	2	1	1	0	3	1	0	2	2	1	2	3	4	2	5	0	0	2	3	5	2	6	2	1	3	1	2	1	1	0	2	0	2	0	1					
		0.15%	0.43%	0.15%	0.08%	0.16%	0.07%	0.23%	0.06%	0.14%	0.07%	0.0%	0.0%	0.0%	7.69%	0.13%	0.30%	0.14%	0.0%	0.31%	0.0%	0.0%	0.0%	0.32%	0.18%	0.08%	0.08%	0.07%	0.30%	0.20%	0.25%	0.26%	0.0%	0.18%	0.07%	0.22%	0.13%	0.20%	0.0%	0.07%	0.0%	0.26%	0.0%	0.0%	0.09%	0.0%	0.13%	0.31%	0.18%	0.0%	0.0%	0.17%	0.47%	0.0%	0.30%	0.45%	0.25%	0.08%	0.17%	0.23%	0.41%	4.34%	0.0%	0.08%	0.17%	0.08%	0.0%	0.27%	0.13%	0.07%	0.12%	0.22%	0.07%	0.0%	0.31%	0.15%	0.08%	0.08%	0.0%	0.22%	0.06%	0.0%	0.15%	0.13%	0.06%	0.14%	0.20%	0.27%	0.12%	0.35%	0.0%	0.0%	0.13%	0.19%	0.33%	0.14%	0.43%	0.13%	0.07%	0.25%	0.06%	0.13%	0.07%	0.59%	0.0%	0.16%	0.0%	0.16%	0.0%	0.07%					
39	"22. ""Развитие предпринимательства"""	340	1	4	2	3	3	11	6	4	5	5	2	0	0	3	3	4	9	4	0	0	0	3	3	3	2	5	2	1	3	2	0	2	3	2	5	6	2	4	2	5	4	0	3	0	5	0	0	1	3	3	3	1	0	0	3	3	3	6	3	0	4	2	2	2	1	3	3	1	5	4	3	0	1	2	0	1	4	4	8	7	5	7	4	5	5	5	6	5	0	0	4	1	5	3	4	7	5	7	3	5	4	0	0	3	4	10	3	8					
		0.26%	0.07%	0.31%	0.16%	0.24%	0.22%	0.84%	0.40%	0.29%	0.39%	0.34%	0.38%	0.0%	0.0%	0.41%	0.23%	0.29%	0.68%	0.31%	0.0%	0.0%	0.0%	0.24%	0.27%	0.24%	0.16%	0.37%	0.15%	0.10%	0.25%	0.13%	0.0%	0.18%	0.23%	0.14%	0.34%	0.41%	0.14%	0.29%	0.14%	0.33%	0.31%	0.0%	0.28%	0.0%	0.33%	0.0%	0.0%	0.06%	0.19%	0.17%	0.15%	0.51%	0.0%	0.0%	0.25%	0.24%	0.25%	0.46%	0.24%	0.0%	0.27%	0.16%	0.17%	0.16%	0.07%	0.20%	0.20%	0.07%	0.32%	0.29%	0.22%	0.0%	0.07%	0.15%	0.0%	0.08%	0.30%	0.30%	0.55%	0.49%	0.37%	0.48%	0.26%	0.35%	0.34%	0.34%	0.38%	0.35%	0.0%	0.0%	0.27%	0.06%	0.33%	0.22%	0.29%	0.46%	0.35%	0.58%	0.19%	0.33%	0.29%	0.0%	0.0%	0.24%	0.29%	0.83%	0.23%	0.61%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	9625	71	75	95	92	83	76	77	73	82	89	39	4	2	57	104	79	89	64	1	3	91	96	79	124	85	84	67	73	97	131	4	85	79	123	138	113	125	126	146	140	122	0	75	141	152	146	72	112	125	126	167	3	38	69	79	76	108	93	90	8	121	112	79	74	92	111	126	99	117	112	112	1	101	127	97	88	107	111	112	100	107	153	104	118	102	109	160	127	3	0	115	125	124	104	118	109	70	74	95	99	99	25	1	74	73	93	96	86					
		7.60%	5.08%	5.97%	8.01%	7.55%	6.16%	5.85%	5.24%	5.37%	6.39%	6.15%	7.44%	21.05%	15.38%	7.84%	8.01%	5.89%	6.80%	4.99%	8.33%	3.19%	6.49%	7.81%	7.20%	10.03%	6.93%	6.34%	5.09%	7.34%	8.13%	8.70%	30.76%	7.87%	6.21%	9.11%	9.38%	7.75%	9.36%	9.27%	10.68%	9.44%	9.69%	0.0%	7.15%	9.46%	10.20%	9.21%	6.58%	7.21%	8.12%	7.54%	8.89%	1.55%	5.86%	6.30%	6.83%	6.17%	9.35%	7.23%	7.42%	17.39%	8.27%	9.27%	6.74%	5.92%	6.65%	7.64%	8.70%	6.99%	7.56%	8.33%	8.53%	6.25%	8.00%	9.88%	7.76%	7.75%	8.11%	8.42%	7.70%	7.07%	8.10%	10.62%	6.78%	8.35%	6.97%	7.46%	10.28%	9.03%	4.34%	0.0%	7.98%	8.27%	8.35%	7.76%	8.64%	7.28%	4.97%	6.20%	6.29%	6.61%	7.17%	14.97%	5.26%	5.95%	5.44%	7.77%	7.57%	6.65%					
																																																																																																																			
41	Против всех	5903	76	56	57	72	86	59	84	96	55	80	14	1	0	31	40	65	56	31	0	2	74	43	35	63	63	70	72	59	68	58	0	49	75	46	51	59	54	47	69	53	54	8	56	45	51	65	58	86	86	77	143	23	33	42	64	56	29	69	62	0	65	34	47	46	60	59	57	64	69	51	61	0	50	42	65	41	56	77	81	70	66	63	86	77	70	66	57	72	2	0	44	78	52	71	55	55	64	82	95	76	84	14	0	59	63	66	57	58					
		4.66%	5.44%	4.46%	4.81%	5.91%	6.38%	4.54%	5.71%	7.06%	4.29%	5.53%	2.67%	5.26%	0.0%	4.26%	3.08%	4.85%	4.28%	2.41%	0.0%	2.12%	5.28%	3.50%	3.19%	5.09%	5.13%	5.28%	5.47%	5.93%	5.70%	3.85%	0.0%	4.54%	5.89%	3.40%	3.46%	4.04%	4.04%	3.46%	5.04%	3.57%	4.28%	17.39%	5.34%	3.02%	3.42%	4.10%	5.30%	5.54%	5.58%	4.61%	7.61%	11.91%	5.09%	3.83%	5.53%	4.54%	2.51%	5.36%	5.11%	0.0%	4.44%	2.81%	4.01%	3.68%	4.34%	4.06%	3.93%	4.52%	4.46%	3.79%	4.64%	0.0%	3.96%	3.26%	5.20%	3.61%	4.24%	5.84%	5.57%	4.95%	5.0%	4.37%	5.61%	5.45%	4.78%	4.51%	3.66%	5.12%	2.89%	0.0%	3.05%	5.16%	3.50%	5.30%	4.02%	3.67%	4.54%	6.87%	6.29%	5.07%	6.09%	8.38%	0.0%	4.74%	4.70%	5.51%	4.49%	4.48%					
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
																																																																																																																			
